	Class at a reasonable price	Arrived at this hotel on a cold sunday afternoon and I was greeted by very friendly staff, and free steaming hot chocolate and marshmellows. A great way to warm up the rooms were functional, clean and comfortable. Had a great view, when I return to Chicago I would not hestate to stay here again. The staff were incredibly attentive and polite, business centre free internet access was a big plus.	
Nov 19 2009 	Great location and very small rooms.	The staff was friendly and helpful. When checking in, the front desk manager (Tracy Hunter) selected 3 other rooms for us to look at because the &quot;petite room&quot; wouldn't fit 2 people and our luggage. We got the room through priceline and we've never had a problem with any room until now. Tracy told us there would be an upcharge to change rooms. She also told another group checking in they would be charged more for their room. Other than the experience with Tracy the hotel was nice.	
Nov 16 2009 	Great location 	This is a great location, in terms of shopping and seeing the most attractive part of downtown Chicago. The hotel itself is relatively inexpensive for this part of town and for overall quality. There are a few aspects of the place that are a drawback, as has been noted in prior reviews. First, the place is hampered by its inadequate elevators. Even though it has five, you find yourself waiting a fair amount, including just getting to the lobby from the street level. Second, the rooms can be small. I had a corner room on the 11th floor, which measured roughly 9 x 11, leaving little room beyond that taken by the bed and desk. There was virtually no drawer space, and the closet and bathroom were also tight. For one person, it was acceptable, in a European/sailboat kind of way. The room itself was nicely done, with fairly good quality bedding and finishes. In talking with other guests, I got the impression that other rooms were somewhat larger, though not expansive.As for other aspects, breakfast was an anemic buffet priced at $15.00. The hotel has a large workout area on the top floor.Overall, I think the Allerton is a fairly good option, especially at the price.	
Nov 13 2009 	NICE STAY GREAT LOCATION	This is the second year in a row we stayed for three nights at the Allerton Hotel; the fact that we came back speaks highly of the property. We really like this place. It's funky, though. When you enter from the street level on Huron (even though it is a Michigan Avenue address), you are greeted by a doorman, but need to take an elevator to the second floor to check in. There really isn't a hotel lobby there either, but there is an understated check-in and concierge desk. The bar and small restaurant are there as well. The elevators are the smallest in North America, but the rooms are sweet and comfortable. This year we reserved the Jr. King Suite for a great price. The room had a living room with a TV and a bedroom with a TV. The bathroom is definitely tiny, but clean and in working condition. The Allerton is very much like the many hotels you would stay at in New York City. It's an older hotel in a great location that has been modernized, thus the rooms are relatively small, but they have been updated nicely. It has the feel of a Kimpton property. We like it, but you have to be able to go with the flow here. It's not a grand hotel with a lobby and a lot of staff. Rather, an older hotel with small windows in each room, but modernized for great comfort. The location cannot be beat; literally steps to Michigan Avenue and all that Chi-town has to offer.	
Nov 10 2009 	Great value	Great location and great value. Room was clean and very nice.	
Nov 10 2009 	Could not have been better	Very surprised to read some of the other reviews because our visit was wonderful. The front desk and concierge greeted us and immediately made us feel welcomed. We were able to check in early. Pleasantly surprised by our room (a junior king suite). It was clean, comfortable, quiet. The location could not be beat. The lobby bar and restaurant were very inviting. The old world charm was maintained despite a recent renovation - it was classy and tastefully done. If you're looking for a chain hotel, this is not it but if you're looking for somewhere with character, this is the place. We will definitely stay there again and would highly recommend it to anyone else visiting Chicago.	
Nov 10 2009 	Pleasently Suprised!	I always do my homework when it comes to booking hotels. After reading a mix of good and bad reviews on this hotel I booked anyway, because I couldnt beat the price. $150 night. And after spending 3nights there I have no complaints! Checking in went smoothly, staff friendly. Room was clean, fresh and suprisingly lots of room! The bathroom was small, but clean. Great location, we always walk everywhere. I would absolutely stay here again!	
Nov 8 2009 	Loved it!	Just recently returned from Chicago to attend a friend's wedding. In searching for a place to stay, I found a great deal on expedia.com for $89.00/night I couldn't pass up. I booked the Allerton on the spot then started reading past reviews on this forum. I became very skeptical about my choice based on everyone's complaints on the size of the rooms, elevators, service, etc. But based on the price, I figured how bad could it really be?Boy was I pleasantly surprised! The hotel is in an awesome location. The entrance is on Huron Street but N. Michigan is just to the right. We stayed in the standard room. A bit small but perfect for two.. no more! Loved the Bath N Body products! We had a view of N.Michigan Ave. I could see the Zara store just outside my window. They were having their grand opening that night, red carpet laid out and the whole nine yards! Everything is in walking distance, to the right about two blocks is the Hancock Observatory, the Navy Pier is probably about a ten minute walk to the left. So many shops in between to window shop. The red line CTA station was also just a short walk away!Yes the elevators are very small, occasionally had to wait awhile for one, but figured I'm on vacation, what's the rush anyway?! Didn't eat in the restaurant, prices are steep esp. for a cup of coffee. But complimentary coffee is available in the lobby every morning. There are also tons of restaurants nearby, we ate at Giordano's on Rush St., just two blocks away, Great stuffed pizza! Also in the evening, carriage rides are available just outside the main entrance of the hotel.Service was wonderful, we had a problem with the safe in the closet, but help was on the way in less than five minutes.Overall, our experience at the Allerton was wonderful and I would recommend it to anyone visiting the Windy City!	
Nov 4 2009 	Great Stay Great Location!	Stayed 2 nights in a junior king suite (pictures listed under executive suite on the Allerton website) after finding a great deal online. This room has a bedroom and separate living area, with a t.v in each! I enjoyed having the extra space knowing that the petite and standard rooms are quite small, but this is a boutique style hotel, and that is what you should expect! With that said, I could have not been happier with the hotel and the location of it. The staff was nothing but friendly and helpful. For example, after hours of sightseeing the first day, when we arrived back to the hotel our luggage was still not brought upstairs. When I called down to the front desk they apologized and immediately had someone bring it to us. The man that delivered the bags then gave us tips on where to go for some decent Chicago pizza! The concierege made reservations for us and always helped with directions! The Location was also great...entrance is on Huron Street, Michigan Avenue is to the right of it. The water tower is a 2 second walk as well as the Hancock tower, Lots of great stores along the miracle mile, navy pier about 10 minutes, less than 5 minute walk to the red line which can take you into the loop where you can easily walk to other great destinations. Bathroom had bath and body works shampoo and conditioner, both smelled great, wish they'd add a lotion to the mix! Never ate at the hotel, breakfast prices were too high, but everything else seemed reasonable for a hotel......they had different drink specials each night in the lounge...free coffee in the morning...Our room had windows on three sides...in the bedroom we had a view of Michigan Avenue, and partial view of the water tower...the other 2 sides were of buildings. In the living area we kept the blinds closed because we were right next to an office building and I could practically read what was on the persons computer screen (but it is a city, and buildings are close together, can't always have a great view)...I do recommend going up to the fitness center at night...small windows, but great view of the water tower and hancock tower out of one of them, and they look beautiful at night... I have no complaints about the hotel, but will list some things that maybe could have been a little better, but did not at all make my stay any less special or comfortable!1. bathroom was small, toilet takes up too much space next to the shower, there is only a small shelf above the sink for toiletries, and a magnifying mirror poorly placed right behind the door, so it got hit every time we opened the door!.....shower head was a little low for a person above 5'9..but great water pressure!2. elevators were slow at times, and smaller than normal (but could easily fit 5 people or so)...if you've been to a small European hotel, these elevators will seem huge :)3. breakfast menu is ridiculously overpriced4. internet is NOT free in rooms, but FREE in the lobby and business center.5. towels and bathroom were not very soft.6. Pillows a little too soft as my head would sink right through them...I found bed to be comfy but my friend hated it.	
Nov 4 2009 	Worst Hotel in 5 years	Stayed here two nights, Nov 2 and 3 and it was BAD. A conference rate of $157 appeared cheap enough but considering the hotel, service, etc it was WAY over priced. The rooms are just right for 4 shoe boxes. on the upper floors the hallways are about 90 degrees. Food is weak to average. Bartender in the evening was the most helpful person on the entire staff but the lobby bar is not very comfortable either. One Star is too many.	
Oct 30 2009 	Fair warning: Don't stay at the Allerton!!!	This hotel does care the slightest for the guests satisfaction. Upon check-in I requested two beds in the room as was told I would have to pay an upgrade fee, not for a nicer room, just for the extra bed, this was just the beginning, don't get me started. I strongly causion you against staying at the Allerton, plenty of other guest friendly hotels to choose from. Learn from my mistake!!!	
