	Great atmosphere -- lovely friendly and comfortable	Location -- wonderful for walking, shopping, dining and going outService -- extremely warm, friendly &amp; helpfulAtmosphere -- historic, elegant, uniqueRoom -- modern, comfortable, spotlessly clean	
Nov 23 2009 	Fabulous hotel in a great location!	The hotel was decorated beautifully for the Holiday season. We arrived earlier then checkin and the front desk staff was very friendly and efficient. We were lucky to get into our room early at no charge. The room was very clean and spacious we had a parlour suite since there was 5 of us in our party. The hotel is very close to the nightlife and about a 15 minute walk to all the shops on Michigan Avenue. It was a very lovely hotel and I would definitely stay there again!	
Nov 15 2009 	WOW!	I booked my stay via &quot;Last Minute Travel&quot; and was truly amazed at what a beautiful and historic property this is. The Staff was friendly and helpful, once you got past the bellmen. The bellmen / valet could work on their customer service just a little. My room was perfect. A standard room with a comfortable King bed, the bathroom was spoiless as had nice amenities. The carpet had a few worn areas, but the overall cleanliness of the room was tip top! The location is the best part of this property, the neighborhood is quite, but not too far from where you want to be. A true jem!	
Nov 10 2009 	Great Location but Rooms are Very Dated and Run Down.	This hotel is in a great location, nestled in the upscale Gold Coast neighborhood, very close to local restaurants, bars, walk to Lincoln Park/Beach or shopping on Michigan Ave. I love the location and was expecting an old historic hotel that is not in perfect shape. However, I must say that even so, I was sadly surprised by the rundown state of the rooms. We stayed in a parlor suite, and the space was nice, but the furnishings were dismal. The couch was rubbed thread bare in several places. The bathroom is completely out of date with chipping paint in the tub. The two TV's (one in bedroom and one in living room) were 20&quot; with poor reception. It was very disappointing to see this grand and historic hotel in such a state of disrepair.	
Nov 6 2009 	Charming historical hotel - love that doorman!	My husband and I stayed at this hotel for 3 nights. My expectations were not that great but the price was so good (through Expedia) that I was willing to take the risk. Our room was not huge but it had a walk-in closet big enough to store suitcases. The view was interesting- a little slice of the lake, but mostly the backs of historic homes with interesting patios. Our kingsize bed was very comfortable and the bedding and condition of the room was very good. We were on the 14th floor. The staff is wonderful and the Concierge, Barbara, was so helpful as we were tearing around trying to get in as much as possible on this birthday trip. Of course the Pumproom Lounge is worth the visit even just for a drink - probably over 200 pics of moviestars from the 20s on. Frank Sinatra sang in this famous bar/restaurant. We never ate there. The Gold Coast neighborhood is definitely worth a walk around - architecture is incredible. There is a gym and a 24 hour office w/computers and free printing. Short walk to Rush Street and the Original Pancake House for breakfast or the Corner Bakery. Three blocks to subway to downtown or a cab is about $10. I'd go back in a heartbeat. But then, I love having a doorman open the door for me!	
Nov 5 2009 	FOUND NO FAULT WITH THIS HOTEL REALLY ENJOYABLE STAY!	Pro's: Large room with extremely comfy bed. Was very quiet slept well. Clean Room and bathroom with no funny odors. Maids do not wake you or barge in. Free and plentiful toiletries and coffee in room Neighborhood is wealthy, historic and residential......no hard rock cafe scene Walk to the Lake or Michigan Avenue. Or 151 Bus takes you there. CVS nearby. Lovely common areas with lots of fresh flowers. Free and fast internet access. only had to wait once Reasonable rate and friendly staff and concierge. Cons:None! I will be returning.	
Nov 5 2009 	Great Chicago Historic Hotel	I have stayed in many hotels in Chicago over the years. I always check the rates at The Ambassador, before I book elsewhere. While this hotel has been around for many years, it is well kept and you will not find a better location. The hotel sits near great bars and restaurants, while positioned in a very nice area of apartments and old Chicago homes.The rooms have a feel of being in a charming European hotel.	
Nov 4 2009 	We'll definitely stay here again on our next visit to Chicago	All staff members were friendly and helpful.The room was large, quiet, comfortable with plenty of drawers and closet space.The location was great. A lovely quiet area, but plenty of restaurants and shops within easy walking distance. Just a 10 minute walk to a Red Line subway stop.It's an older, but well maintained hotel.	
Nov 3 2009	Great Location and Stay	Location is excellent if you want to get away from the Michigan Ave. trap. Neighborhood was where I would love to live if I was young and just out of school and worked in Chicago. Yes, the rooms are in need of some up-keep, but were able to set that a side from so many positives. The rooms really need an upgrade to the TV's. This was very disappointing when trying to watch a game or something. They need to get with the times, flat screens. All in all, for the value paid, very satisfied.	
Nov 3 2009 	Very nice hotel in a great location	In a very nice location close to shopping and places to eat and also in a beautiful neighborhood. A small hotel with a pleasant place to sit in the lobby, the Pump Room is a classic place to have a drink. We did not have dinner there so I can not comment but we enjoyed people watching while we had an afternoon drink looking out the window at the people in the neighborhood. It is a short walk to very good shopping and eating.	
Oct 21 2009 	You probably can find a better room with the same budget	The hotel lacks in the room maintenance. Cracks on tub, doors, and sink. The carpet had stains and holes. You pay the price for the history of the hotel, but you probably could get a nicer room for the same budget or even less.Service was fine but nothing special. Very noisy in the morning, could hear other guests in the hallway.Be aware that when you check-in, they hold $150 extra on the top of your nights of stay fees on your credit card, not very clear on the website.	
