	Great Location and Staff	Had a wonderful stay with my wife for our 1st Anniversary and hope to stay here again! Got into town early on a Friday, staff was extremely nice and helpful even though they didn't have our room ready because it was so early. Stored our luggage for us and even let us get some items back out after they had already stored them. Went out and did some sightseeing and came back to check-in which was a breeze and found out that they had given us a free upgrade to a suite because it was our anniversary. Room was very nice and clean with lots of room to spread out and relax. Later on in our stay, I realized I had forgot my shaving gel and call the front desk to see if they help me out since we were running late for our dinner reservations and someone was up to our room in no time flat with some shaving cream.One of the greatest things about this hotel is its location. You are right in the middle of EVERYTHING on Michigan Ave!! You have all the shopping you could want and more with the ability to run your bags up to your room and not drag them all over town. You have quick access to numerous restaurants that are just short walks from the lobby, as well as bus stops across the street that will take you to various museums and other points of interest in the city. The only thing I could see someone faulting this place with is the noise from Northwestern Hospital right next door. We were on the 27th floor and the noise did not bother us at all and my wife is a very light sleeper. Other then that, Avenue Hotel is a great place to stay and enjoy Chicago and we look forward to returning soon.	
Nov 23 2009 	Great Business Trip to Avenue Hotel Chicago	The Avenue Hotel is a great business hotel with an unbeatable location and great amenities. The rooms were top-notch and everything about my visit went smoothly. The hotel is a short walk to the Magnificent Mile and all the shops and restaurants you could want. If not for my business trip and more personal time was available it would have been ideal. I must make a point of making it back here for a more relaxing trip in the near future.My room was clean, comfortable and had a great view. The amenities were great and the bed was unbelieveable. I don’t remember ever having such a good night’s sleep in a hotel much less on a business trip. The staff at the Avenue hotel were wonderful. From the front desk staff to the bellmen, guest services and housekeeping, the entire crew went out of their way to assist with plans both inside and outside of the hotel, and the hotel bar and its wait staff are experts at serving business groups -- attentive but not overbearing.In general, my stay at the Avenue Hotel was exceptionally smooth and productive. Our business meetings went smoothly, the rooms themselves were comfortable and had all the up to date equipment for presentations. I would recommend this hotel to any business group, but also to any tourist looking for a hotel convenient to many popular downtown Chicago spots!	
Nov 18 2009 	Terrific hotel extra friendly staff	Brought the family along with me to Chicago for a conference at the Hilton. Been to Chicago many times &amp; hate staying at convention hotels--enjoy trying out new places. The Avenue was perfect for us. Location could not be beat--we were able to spend way too much time at the American Girl and Lego stores. The weather was unusually mild, so the 1-1/2 mile walk to the Hilton was pleasant. The $48 per day parking fee was a little steep (although not by Chicago standards), but we were able to take the car in and out as many times as we needed. Beds were EXTREMELY comfortable, shower pressure was okay, and the staff always greeted us with a smile. The kids were given small stuffed zebras when we checked in, which were a big hit. Only problem was that in the bathroom, we were able to hear conversations from the room next door as though the people were sitting right next to us. As for the predictable sirens and traffic noise, the 4-yr-old found that exciting and we were able to block it out when sleeping thanks to the nice loud fan on the air conditioning unit. Overall, very pleased &amp; would stay again!	
Nov 16 2009 	NOT a 4 star hotel. Location can't be beat though....	Let me start by saying we were in Chicago the weekend of some international convention, and thus hotel prices were through the roof!! I have never had trouble getting excellent hotels for a steal in Chicago, but this weekend was an exception. We got a &quot;great&quot; deal for the weekend at the Avenue. Average price per night was $225.My first impressions: Our room was HUGE --you could have fit 4 queen beds in there comfortably. The problem with this is that the tv was so far from the bed, I couldn't read the baseball score! And I have perfect vision. Also, there was a random medical grade hospital seat in our room, even though we weren't a handicapped accessible room. The good: Location is to die for, would stay here again knowing what to expect and loving the location. The beds are comfy. The curtains block out all light :-) It's a clean and comfortable (not exceptional) hotel.The bad: Water pressure is NON existent. I am all for being green, but the shower heads are abysmal. There is no safe in the room, but there are lock boxes at the front desk. This is incredibly inconvenient. I'm not carrying the queen's jewels, but I like to put my jewelry in a safe when I am gone, along with my ipod or camera, or even my wallet if I am not carrying the whole thing. The lock box was SUCH a pain, as I had to constantly wait in line while people were checking in/out to access it. Also, several things in the room were broken--a sliding door on the closet and the vanity light didn't work (was nice that they had a lighted, magnified mirror though). I even mentioned the terrible water pressure when at the lock box, and kind of got a shrugged &quot;sorry&quot; but there's nothing we can do.Summary: All in all, a good hotel if you are prepared for what I consider a 3.5 star experience. I would stay here again, the staff was very nice, the pub had great shepherds pie, and most importantly, the bed was comfortable with great pillows. And the location is fantastic. If you are expecting a 4 star hotel, I would stay elsewhere. Lastly--I know some reviewers complained about sirens/street noise, etc. I heard sirens and noise, but in my opinion it was nothing more than I am used to hearing when staying in a major city.	
Nov 13 2009 	Great Location Nice Hotel	We stayed here in February - no complaints. Room was large, clean, and updated. Staff was friendly and the location was great for shopping and restaurants.	
Nov 12 2009 	Sun Chips and Balloons	Landed in Chicago for the first time to see the Bears play. Ended up at the Avenue Hotel after some research. The hotel was right in the heart of where you want to be! Staff was very friendly and the E &amp; C downstairs is a great place to have a pint or start the morning off with a breakfast that you will not forget! Room was spacious and well appointed. Across the hall was a little noisy but that group was travelling to the Bears game also and with our door closed you couldn't hear the Canadians Snore. Although at some point we did hear the term &quot;Blue 42 Blue 42 Razor Razor&quot;! The beds were very comfortable with my roommate stating that he could spend all day just lying on it. All in all highly recommend the Avenue Hotel Chicago!	
Nov 6 2009 	Amazing Location!!	Asked for a high floor. Views from room window were of Tiffanys one way and the Lake the other. Beautiful &amp; large room &amp; clean. Location was a few steps off Michigan Ave &amp; all the shopping. Helpful staff. Would return if I went back to Chicago.	
Oct 27 2009 	Great Hotel Location in downtown Chicago.	Very nice boutique hotel. Looks a little spartan when you first walk in. Not alot of fluff like the chains. And is quite dark in the entry. The staff were very pleasant, and helpful. We asked for recommendations of restaurants, directions, maps etc. Met all our expections. Rooms were clean, very comfortable queen beds and pillows. Fluffy towels.Only complaint is shower head. Round rain type, not alot of pressure. Restaurant at top of hotel had very limited hours. Not a night spot to go to and have a drink. Buffet for breakfast was $ 25.00. Go to West Egg for a better deal.Location was awesome. Walking distance to Water Tower shopping and MI AVE. $ 7-8 dollar cab to Field Museum, Navy Pier, Old Chicago Shopping - Original Marshall Fields, and clubs on Hubbard. Looking for Limo service-Call Mr. James Limo. Reasonable with group rates and great guy.	
Oct 14 2009 	Very comfortable!!	We stayed here on 26 September - 30 September 2009. Very efficient, only slight problem we had the room was reserve for us was a King size bed as we are girls didn't want to share a bed. They were like it a charge to change it. We were like no, as clearly said on the paperwork it a double double we were require. Manager sorted it out. The other problem we had with the water draining away in the shower, that was sorted out straight away! Good stuff house keeping. Bath room is bit small, but only one person in the bathroom at one time so I don't know what the fuss was about with people in the past who's been! The bed are so comfortable with nice 4 pillows, felt I was home from home. Reception staff were friendly always spoke as we past no matter what time of day! The Door man sorted out our taxi on our last day. It was ready for us at 5am!! Couldn't fault my stay and would gladly to stay again. We both love Chicago for mainly for two reasons the people and views of the city!! Don't bother about the fireworks at Navy Pier as they are one hit wonders!! Don't eat at Hard Rock Cafe Chicago as food awful, had a fajitas and it was cold. Also don't eat at Pizzeria Uno as its not real one down Ohio St. Totally recommend The Corner Bakery Cafe, which is left out of the hotel, to edge of that block then turn right to end of that block bout 3 min walk!! It was best breakfast I had on our trip! Cinnamon rolls to die for, plus my mate enjoyed her Oatmeal. Sear aka Willis Tower is brilliant especially at twilight. The Hancock tower was good also. Please go to Millennium Park to see the Mirror Bean as that awesome!! I could go on and on as I had a amazing time in Chicago, as enjoyed it more there than New York!! Feel free to contact me if you like to know anything.	
Oct 13 2009 	overall good service	we stayed in this hotel for 2 nights oct 1st to 3rd, as we had booked through priceline we were expecting to get a small room near a noisy lift, however, I had rang ahead to ask for a non-smoking room and had mentioned that we were on a special trip--on arrival we were offered an upgrade to a corner suite with a partial view of the lake!!! GREAT. the bed was really comfortable, and we enjoyed our stay . This hotel is minutes away from michigan avenue--for the shops, also an easy walk(less than 10minutes) to the Wendella boat tours We ate in the elephant and castle which is attached to the hotel--basic food , price o.k. service good. was very busy the evening we were there.Had breakfast in the corner bakery which is just around the corner--lovely, We would definitely stay here again.	
Oct 9 2009 	Great locationnice roomsreasonable restaurant	Got this room through Hotwire. Really well appointed, free wireless, ist floor British themed restaurant is reasonably priced for all 3 meals. I would recommend parking a few blocks away vs the $48 next door fee(unless in/out service is important). Staff was very helpful.	
