	Great Hotel downtown	Very conveniet to downtow. The Hotel is quite, clean and confortable with a big lcd tv. The hotel park cost a little bit much that other solutions, but very convenient. For breakfast there is a Starbucks very close to the hotel.	
Nov 15 2009 	very satisfactory stay--and for the price outstanding!!	I stayed at the Essex for three nights while attending a conference at the Hilton Chicago. The Hilton couldn't be much closer--right across a small sidestreet . But while I would have paid $182 for a room at the Hilton, even at conference rates, I got my room at the Essex for $89 a night via Hotelicopter.com.I would have been satisfied with the Essex if I'd paid considerably more, but for that price, it was outstanding. The room was smallish but very comfortable. The hotel has clearly been remodeled in the past few years and, and while it was nowhere near as plush and ornate as the Hilton, it was perfectly pleasant and comfortable. The king-size bed was nice and firm with a cozy duvet. Everything was clean and in working order--the one problem (a light that burned out on the second day) was fixed promptly. The wireless Internet was fast and consistent (and while the price wasn't as high as what some business hotels charge, they never charged me for using it!) The staff was attentive, friendly and helpful. The location is great--right on Michigan Avenue, an easy walk to the Art Institute and a short cab ride to the Miracle Mile. As a single women I felt safe walking to and from dinner a few blocks away, even after darkIf I had to name one complaint, it would be that you have limited control of the temperature in your room, and it was a little warmer than I would have preferred. But that may have had something to do with it being nearly 60 degrees in mid-November--the hotel may not be able to crank down the heat on a dime when the weather is that unseasonable.I would absolutely stay at the Essex Inn on another visit to Chicago.	
Nov 10 2009 	Be cautious about what you want...	I booked the hotel because of its proximity to Soldier Field (3/4 mile) and the cost was not too bad. I choose to upgrade to a King Deluxe room so we could have a view of Lake Michigan and the southern downtown area.The theme of the room is certainly the 70's with bright colors and some interesting designs...they certainly like Andy Warhol. Pros:Beautiful view of the parks; walking distance to Millenium Park and Art Museum; walking distance to Soldier Field and the Planetarium (all within 1 mile). Cabs were plentiful, so it was easy to go up and down Michigan Avenue to get to the Magnificent Mile when we got tired of walking. A lot of brochures for local attractions.Cons:Little heat/AC control...if the hotel had the heat on, you could not have A/C and vice versa. The pictures are very deceiving on the website: the room barely fit the king bed, and I could stand in the bathroom and touch both sides of it...turn 90 degress and touch both sides again. I had to hang over the toilet to close the door, and there was no exhaust fan. No directory for hotel services even though the website says they have room service during limited time frame. The employees were not the friendliest. One bartender only talked to us when he learned we were going to the Bears game, and the other one said nothing but to take our order. The bar manager (I think) was lingering around drinking Jack Daniels, but said nothing. The front desk staff were nice.	
Nov 10 2009 	It's a good thing it's right by Soldier Field...	For a 3-star hotel, this place was about half a click up from a hostel. The decor was atrocious (70s, and not the good kind), the 'front desk' was this random desk hidden in the back of the 'lobby,' the rooms didn't have air conditioning (honestly? What hotel nowadays doesn't have A/C???) and we had to open the windows to get any air-flow, our room was cleaned the first day, etc. Oh, the other thing -- no 'Hi, welcome to the Essex Inn' type of guest book awaited us. No information about room service or eateries around the hotel... I mean, they didn't even have the hotel phone number on the fricking phone!We were going to a Bears game and you really can't get a better location to Soldier Field then the Essex, but that was all it had going for it. We went in November and the room was too warm for us to sleep well -- I cannot imagine what it would be like to stay in in the summer.Their little bar (The Savoy) was ok, food wasn't bad, but overall, this place was not worth the money. I don't expect to have marble and crystal everywhere I go with a 3-star hotel, but goodness, I DO expect A/C fercryingoutloud.	
Oct 26 2009	Very nice	Great location, close to the Loop and within walking distance to many Chicago sights, including the Museums. Rooms had very large window, which made the room nice and bright. But don't bother going to the in-house restaurant. The service was terrible and so was the food. There are many other eating options nearby.	
Oct 23 2009 	Decent Hotel	I went to this hotel during an annual science convention. It was a decent stay, there were some ups and downs. Service: First off the staff was very helpful and friendly, I never had a problem getting information, but they could use some training on the surrounding attractions. I asked one of the hotel workers at the front desk if there was someplace within walking distance to play pool. He sent us 3 blocks down to a crowded sports bar with one pool table. Rooms: I was pretty impressed with the room when I first walked in, very modern, had a decent size flat screen tv with tons of channels (Though you had to ask for a channel key down in the lobby) can't complain about the cleanliness of the room. My only gripe was that the bathrooms (at least in the double suite) were incredibly small. It was almost as if someone stuck one of the small ice buckets into the marble of the sink, it was almost too small to get your hands under the faucet. The shower and the toilet were extremely close together, I felt a little claustrophobic. Location: Awesome, close to the trains, nice view of the parks.Overall: Good stay, I wouldn't pay the high price ticket if I were staying for fun.	
Oct 16 2009 	Great service and location - tired decor	This was the first hotel my husband and I stayed in on our honeymoon (4 week road trip across America). The location of the Essex Inn was great and we were in walking distance of most of the tourist attractions and close enough to the L stations to get elsewhere. The staff at the Essex Inn were very helpful. My husband needed an Ethernet cable for his laptop and we got this from the front desk - no problem. They also allowed us to use the hotel phone to sort out a walking tour booking. They gave a good recommendation for breakfast - Yolk, about 5 minutes stroll away.The only problem with the hotel is that it is tired. It could do with a complete makeover, which would bring it more up to date and in keeping with the city.	
Oct 13 2009 	Reasonable Hotel for a reasonable price	We stayed here for three nights en route home from Hawaii.We arrived at 6 30am and were able to check in to our room straight away which was great.Room was quite large with two queen beds, adequate storage space and coffee maker.Small area with hanging space and wash hand basin before you walk into the smallish bathroom containing a bath with over shower and a WC.Only one bar of soap for bath and basin!!!.No safe in the room.Internet was $5.95 for 24 hours which is quite reasonable.Our floor was non smoking, going up in the lift once, we stopped at the third floor and the tobacco fumes instantly filled the lift, so make sure you book a non smoking room if you do not like the smell of cigarettes!!!This hotel is in a great location, the Tour and Trolley bus stops right outside.Hotel Courtesy Bus goes up town several times a day and the driver is very helpful.Within walking distance of lots of attractions, museums, places of interest and shops.If you go out the main door of the hotel and turn right, walk two blocks and you will come to a fantastic place called &quot;Yolk&quot; which does the best breakfast in Chicago, open till 3pm.Be warned, if you go at the weekend, you will have to wait for a table, but it is well worth it.If you come out the side door, turn left, and walk one block, you will come to Caribou Coffee shop, great coffee and free internet.Walk another block, turn left and you will come to a great Pizza place, the name escapes me, but the hotel doorman highly recommended it.Again, at weekends you will have to wait, but the Pizza is fantastic.This a reasonable hotel in a great location,and for the price it is good value	
Oct 10 2009 	The worst hotel in my whole life	Great Location in Chicago. The most inefficient unfriendly service I have ever seen in my whole and intense travelling. Breakfast is charged and very bad quality. Reservation software is a chaos.One friend and me came here to run the marathon. He arrived first and arrived late. My friend warned reception of my late arrival and provided my name. When I arrived the even told me my friend hadnt checked in when it wasn`t true.They charged me 299 dollars for a room and even they make a msitake I was not reimbursed. Iasked for the manager 3 times in vain.A hotel to avoid.	
Oct 10 2009 	good stay	just returned from the essex inn, great stay, could not fault hotel in any way, we had a fab room near the top, corner room, so 2 sides of the room were completley glass from top to bottom!!!, overlooked the Sears tower and the L so could not have been more chicago than that!! good staff at check in, took a few mins, nice 3 star hotel, but the best thing is the position, right on Michigan avenue, free shuttle to all the sights, we did'nt use it though, as we got a conbined transport pass, the bus stops directley outside the hotel and the metro is only a few mins walk away, the hotel is exceptionly good value for money as you are right next door to the Hilton and other 4 and 5 star hotels charging 4 times as much, would recommend the essex and would stay there again	
Oct 10 2009 	Great Location for some awesome sightseeing.	We stayed for two nights as part of a Cosmos Bus Tour across the States. Its location was just perfect for us, as we hadn't been to Chicago before and it was right on the main strip to get to the best sightseeing spots. Plus it was walking distance from Field Museum, Shedd Aquarium and Adler Planetarium. Just at the end of the block is a famous blues bar, Buddy Guys. If you ask at reception, they give you a voucher for half price entry to Buddy Guys. We also walked to the Sears (now Willis) Tower, and the bus goes very close by to get to the shopping district. The room was very nice and the staff were friendly enough.	
