	Good downtown business hotel	Great location, reasonable conference rates, small but clean &amp; tidy rooms, free wireless at a business hotel! Convenient to Blue Line Jackson station	
Nov 3 2009	Cool place to visit	Accompanied my brother on a 6 days annual american surgeon convention. We stayed at Club quarters. Got a reasonable rate of US$45/night. Visited Millennium park, Willis Tower and Navy pier. It was freezing cold. Loved the atmosphere and the architecture. It was indeed an enjoyable trip. Hope to be back soon with more time to spend.	
Nov 1 2009 	It's the Little Things That Make This a Good Value	Great value for the price. While the rooms are somewhat smaller than one might expect, it's the little things that count - especially when we are all trying to save a buck or two in this economy. Given the location, the room itself was the cheapest I had found. The rooms were clean and cozy comfortable. Now for the extras...Let's start with the unlimited free bottled water and then add the free wi-fi service on top of that. These days, other hotels are charging $10 for internet and $5 for each bottle of water. It all adds up. The staff were very friendly and helpful. There are several fast food and sit down restaurants nearby. The hotel is located right off of the Orange and Brown lines. Again, saving you money in the end.	
Oct 29 2009 	Excellent Value on Weekends Inside The Loop	This mostly self-service property and small but very functional rooms create value and keeps their costs down. Really enjoy the morning breakfast, downstairs lounge and business center, filtered water machines on each floor, both WiFi and Ethernet for Free Internet. Most of the features are business-focused, as is the room design. Stayed at several of their sister properties in other cities...always a gem. Very clean, comfortable rooms. Front Desk is very friendly and helpful, with knowledge of local area. My colleague, a first-timer at CQ, really enjoyed it and quickly realized the brilliance for business travelers. N.B. Weekends tend to have more pleasure travelers, as is common with most business-oriented hotels.	
Oct 23 2009 	Certainly would stay again	We spent a week here, finding it a convenient location (access to buses and trains quite good), including walking distance to several restaurants and attractions, and an easy taxi ride to others we visited. The front desk staff invariably were courteous and accommodating, and a reliable source of recommendations for dining (including cards signed by the Concierge that were good for discounts and, in one case, two extra side dishes), using public transport, sightseeing, etc.The room we had was nothing special, and the view of the Post Office not all that inspiring, although it was clean and well maintained, and included a fridge and a micro.The housekeeping staff seemed unable to equate two people in a room for a week with the need for certain numbers of towels and washcloths, and never quite got around to providing more than one tea bag (but lots of coffee) each day. Nonetheless, these small inconveniences were quickly taken care of, and at one point the front desk cheerfully gave us a large bag absolutely crammed with coffee, tea bags, creamer, etc.Good, but quite noisy restaurant and bar off the lobby, and there is an excellent members-only club room downstairs.Check-in and out were quite efficient.	
Oct 8 2009 	Cozy rooms and a great location	The Club Quarters was in a great location with only a couple of blocks walk to several trains, Millenium Park, the Sears Tower, and the art museum. The rooms are kind of small, but it was perfect for two people. The hotel was clean and they offer bottled water for free to all customers.	
Oct 8 2009 	great location great price	we were apprehensive to stay at this hotel because the price was so inexpensive for chicago, but it turned out to be wonderful. free bottled water, wi-fi and business center. the restaurant connected to the hotel has a vast variety of beers and the food is great! rooms are small, but updated.	
Oct 4 2009 	Shottie-Billing Practice~Check Credit card statements	Didn't really mind my stay;a good location,decent price &amp; rooms.... a Pre-Paid package from Expedia. Chicago is an awesome city!That said,Upon my departure and sequencial Visa statement I was billed a 2ND time for my stay!...and Had to make follow-up phone calls to get refunded.VERY DISAPPOINTED...unsatisfactory customer service,lost faith in this hotel chain.	
Sep 28 2009 	Great Stay for a Great Price	My family of my husband, a 6 year old and 3 children 18, 18, and 19, stayed at this hotel for the weekend. It was a great experience. The bedroom was smaller than we are use to, but it served its purpose with us having a safe, clean and comfortable place to sleep. The staff at the hotel was VERY kind. Being able to stay downtown for the price that we paid was absolutely great.I would recommend this hotel !!!!	
Sep 22 2009 	Good hotel - you get what you pay for	I stayed at this hotel for a week in late August. It was my first stay but I anticipate staying here again in the future. My company has a corporate agreement with Club Quarters so I don't have much of a choice on where I stay while in Chicago on business. The only &quot;dings&quot; I can really give this place are regarding the front desk and the beds/pillows. On several occasions during my stay the front desk staff was more interested in discussing their personal lives than helping customers. I expected the standard issue hard bed and that's what I got. What I was not expecting was the condition of the pillows. When I went to lay down, the interior contents of the pillow moved to either side of my head and my head was literally laying on the bed. So what's the point of even having pillows? By piling both of them on top of each other and kind of rolling that into a ball, I was finally able to get a marginally acceptable pillow.As others have mentioned, this hotel is not going to put you in the middle of the action of downtown. If you don't mind some walking in order to get to Michigan Avenue, Millennium Park, etc. then you'll be just fine. Because it's more in the business area of town, it can be a bit deserted on the weekends and after about 8-9PM on weeknights. But I walked around by myself on numerous occasions during these times and felt perfectly safe.As for the room size, I had a room with one queen bed. It is small by US standards but if you're in downtown Chicago, you shouldn't be in your room other than to sleep and shower anyway! This hotel caters to business travelers so if you're looking for a spacious and/or luxurious room then should look elsewhere. Overall I had a pleasant stay at the hotel and for the price I had to pay, it cannot be beat for downtown Chicago.	
Sep 13 2009 	Excellent hotel - a revelation	We used Club Quarters at the end of May for the first leg of our Route 66 tour. Thanks to this hotel, our trip got off to a flying start. We booked CQ through Hotwire. Considering we were staying on a weekend, it was an absolute snip. The check-in was facile, while the receptionists were exceedingly helpful - a huge boost given our long flight from the UK.The rooms, by contrast to many reports, were superb, and of good size. A classy touch was the free bottled water available in the hallways - much needed on long days of sightseeing. Although CQ is a bit of a hike to the Magnificent Mile and the Hancock, Chicago is such a mesmeric city that it's hardly a chore. Valet service was fast, efficient and really good value. There is also a decent boozer attached to the side of the hotel, which was smart and contemporary. In short, CQ was a revelation and provided a nice feel-good atmosphere before the four of us headed to St Louis. CQ was one of the best hotels we stayed in on our Route 66 tour.PS: Seek out Lou Malnati's Pizzeria a few blocks away for tea. Breakfast should absolutely be spent at Lou Mitchell's, which is about 10 minutes away.	
