	There is nowhere else to stay but the Plaza Metro	Cleanliness, oh my! Our room was spotless when we arrived and everyday we would return to the smell of new linens and sanitized bathrooms. Location was perfect, it was near souvenirs and drinks and snacks. The Ambassador suite was beautiful and roomy, two balconies, two bathrooms, wow! Service spectacular, they delivered a three layer red velvet cake to us for our honeymoon. Value....no comparison. We booked this room through Amtrak at a huge discount…cabs 24-7 at the front door, late check out, a view to die for, on the bus route to the L and one block from the Greek food. The Plaza was great, it was one of the nicest hotels for cleanliness and service; I've ever stayed at. Thanks to all the staff for making our honeymoon so special. We will see you soon, because we are so coming back.	
Nov 22 2009 	They're working to make things better	Stayed for 2 nights on business. I'd read the comments here on tripadvisor that the outside noise wasn't adequately drowned out and that the lights in the room were insufficient. So when I saw the sleep package which included ear plugs, I laughed. And then they had a note saying that they were working towards adding more lights in the rooms. So at least they are listening to customer's complaints, reading the responses here and doing something about it. I personally didn't need the ear plugs and I was ok with the lighting since I didn't need to read anything.What I liked the most was the fact that they had a quiet zone - a floor that was off limits to kids, where housekeeping started a bit later, etc. I wish all hotels had a floor like this as I've been bothered by kids running up and down the hallway late at night.What I didn't like the most was the fact that their elevator's card reader didn't work all the time. Initiallly, I thought it was the card that had a problem but it turns out that the readers in all elevator cars were just too old or maybe dirty that you had to slide your card up and down real fast while in the reader. (This worked for us when we got tired of going to front desk to check our cards.) Even their security personnel who had to escort us up one time said that even his master key sometimes doesn't work in the reader.	
Nov 21 2009 	Nice hotel but far from Michigan Ave.	I recently stayed two nights at the Crowne Plaza. It is your typical business hotel. I was in an executive suite which was very nice but there was not adequate lighting in the room and a little note of explanation that they were in the process of installing more lighting in the rooms. There was a fair amount of noise from the freeway the hotel sits right next to. I guess that's why they had earplugs in the room. The hotel dining room was okay for breakfast. There are several good Greek restaurants close by and a grocery store across the street. As far as the downtown area like Michigan Avenue, this is a good 20 minute walk if not more. I didn't really mind it except when it started raining. Be prepared to have to take a taxi to go just about anywhere from the hotel. I will say the front desk staff were very nice and very helpful when asked directions, etc. The bell staff were very good about storing luggage and arranging a town car back to the airport which was the same price as a regular taxi. Other than the lighting problem the room was comfortable except a little freeway noise.	
Oct 23 2009 	nice property	Last weekend my husband and our 2 adult sons had adjoining rooms on the 11th floor across from the elevators. Quiet, clean, comfortable beds. I was puzzled when I found ear plugs and an eye mask on the bed. Then I found out why - sleep package. okThe only noise came from the doorwall that did not seal. Nice balcony. We were there for our nieces wedding.	
Oct 23 2009 	Satisfactory hotel near Amtrak	We stayed in this hotel two nights before we boarded a train for home. It was adequate. We had some trouble with the shower. After they fixed it , it was much worse. But they did credit us with one night stay when we complained. We were a little further from town that we thought. But it is on a direct busline right into town. It was very easy. My husband is disabled and he could drive the scooter we rented right onto any of the buses very easily.	
Oct 17 2009 	Great Hotel Except For Lack Of Customer Service	Our Amtrak train was delayed due to flooding and we were given a room here. Now the hotel itself was great. Clean rooms and flat screen tv's. My problem was at check in. Amtrak pays for the rooms for its guests. This hotel was telling the Amtrak passengers that they would have to post a deposit of 50 dollars. Now Amtrak does not allow any hotel to collect deposits from distressed passengers. This was not a problem for me but some passengers did not have the 50 dollars. The front desk staff were not friendly at check in. I am a Priority Club Gold member and they told me that only Platinum members get breakfast coupons. Not friendly at all.	
Oct 17 2009 	small beds	Beds too small for two people. The hotel and rooms were clean and nice.	
Oct 12 2009 	Fantastic stylish hotel in a great location - highly recommended	This hotel is really great overall - we were pleasantly surprised. The staff is extremely helpful and friendly. The hotel location is great - just 2 blocks outside the Loop, but still centrally located for walking. It's just two blocks from Greektown, one block from a Walgreen's and one block from a Dominick's (full grocery) - which couldn't be more convenient once you realize you've forgotten to pack certain items! (Or want a bottle of wine in your room!) Lots of great restaurants a mere three blocks away on Randolph St. The rooms were very stylish, sizeable and the beds are killer - extremely comfortable. Room even had a flat-screen TV! The hotel even has BALCONIES - a rarity in this day and age of hotel windows that don't even open due to liability issues! The only strange thing was the bathroom - it was very odd. The sink/counter were situated in the corner, so the mirror was split left and right - very little counter space to work with and the faucet was offset to the left of the sink instead of centered. Kinda seemed like the Mad Hatter designed the whole thing, but you could work around it once you got used to it. Shower arm also bizarrely set up, but again, not a huge big deal. Considering we got a fantastic last-minute rate on the internet (right before the marathon no less!), we really got our money's worth. Highly recommended.	
Sep 22 2009 	Great hotel friendly staff and great beds and shower!	This hotel was very nice. The rooms were clean. The beds and pillows were very comfortable. The shower was awesome! I would definitely stay here again!	
Sep 16 2009 	Uncomfortable Noisy Awful -- stay Away!	The worst chain hotel experience ever. Rock hard bed was the worst. My arms fell asleep before I did. Lots of noise from the adjacent freeway and room next door. The airconditioner was old and loud. Small poorly lit room was made worse by inoperative lights. I am told this was low-income housing before they slapped a coat of paint and carpeted it. And it's expensive to boot! Such a bad choice. There are so many other good hotel options nearby -- choose any other but this.	
Aug 25 2009 	Loved this Hotel	We only stayed here one night and we loved the room. We had a king room and the bed was very comfortable. The room was updated and modern. Everything seemed really clean in our room. They did charge me for local calls which I thought was ridiculous and the buffett breakfast is a rip off, go somewhere else for breakfast and save $15.95 a person. I liked that we were able to use the balcony. I would stay here again.	
