	solid average but nice location	The hotel is conveniently located just off the Magnificent Mile which has excellent shopping, and is walking distance to many attractions (though not particularly close to the subway). The hotel is nice and rooms are well decorated (though no LCD tvs), but when we arrived, there was no shampoo in the room, no wash cloths (we had to call the front desk to have them and the shampoo brought up), and worst of all, the toilet seat was dirty and there was a used wash cloth from the previous guest drapped over the shower curtain. My wife and I would probably choose to stay somewhere else next time.	
Nov 24 2009 	Average Hotel Good Location	I stayed here this past weekend with some friends to go to an event in the city. I was satisfied, but the hotel has some things to work on for sure...read on:-I used Hilton's &quot;Requests Upon Arrival&quot; system online where you can order things like extra towels, pillows or beverages to have delivered to your room before you even check in. I knew that there were going to be 4 guys in 1 hotel room, so some extra towels and pillows would be great. These items were NOT in the room, even though I specifically requested them months prior when making the reservation. What gives?-3 bath towels in a room that is meant to hold up to 4 guests. That's the hotel being cheap right there, clearly. -We did not find out the hotel has an indoor pool available to guests until we checked in so we did not bring our swim suits. Why is this information not on the website?-Housekeeper tried to enter our room on Sunday morning without announcing herself when we had a Do Not Disturb sign up. Thankfully the room was locked, but still...come on now. -After returning late from a bar one night, we got in the elevator and had a security guard come in after us. He did not say a word to us, but just followed us to our room and then left. SO CREEPY. I am really not okay with this...made me feel like I was a criminal or something.-Location is very good...just maybe 2 blocks from Mag Mile and a few more to other good areas like State Street and the Red Line CTA. We could also walk to Vision/Excalibur where our event was at. -The hotel has been renovated and brought up to date with contemporary furniture, but you can still tell it was once a Holiday Inn back in the 80s just by the architecture and layout. The remodel really did do a good job though and it's on par with other Doubletree hotels, although they did not replace the TVs. Rooms really could benefit from some flat-panel TVs. Really like the window-seats in the room, great for storing luggage or extra clothes.-Friendly bellmen, always saying hello and seeing if we needed a cab.-Easy access to 7/11, McDonalds, bagel shop and Dunkin Donuts for quick bites. -Free WiFi in the lobbySO, all in all, I would stay here again if I got a really good rate; however, I think there are better hotels in this city with more personal service and a better attention to detail...two things that are very important to me as a guest.I would welcome a management response to my comments.	
Nov 1 2009 	Nice rooms good location	This hotel is close to the magnificent mile. Check in was swift. Room was spacious, especially for a city hotelroom. Nice view. Very comfortable beds. There's is a nice breakfast restaurant across the street (The Egg Cafe).	
Oct 31 2009 	A good stay	We travelled across the USA on a tour organised by Great Rail Journeys of York between the 7th and 27th October 2009. We stayed at the Doubletree Hotel Chicago Magnificent Mile between the Magnificent Mile and Navy Pier for one night. We were impressed that rooms had been prepared for occupation at 1145 on our arrival and we were presented with cookies on arrival and from our 20th Floor room we had a magnificent view although we could hear traffic noise from below. The room was large and comfortable and we slept well. The hospitality tray was limited. The hotel was very clean with modern decor and a large and busy foyer area. The staff in the gift shop were very friendly and helpful.	
Oct 29 2009 	Nice rooms missing a few luxuries	This hotel had a nice clean room newly updated. It was a few blocks from mag mile. The service was good. It did not have a workout room or pool. Also some hotels in this class have complimetary breakfast and this did not.	
Oct 26 2009 	Worked out just great!	I landed this hotel via Hotwire ($69), having a good idea that where Hotwire would place me in Streeterville would quite possibly be here. It totally suited my purposes and comfort as I was in the area for a few days for a friend's wedding in this area. It was lovely to be able to walk to the various locations (Ivy Room, Conrad Hillton, etc) we were to be at - and pay the rate I was able to secure for the quality of accommodations. The bellman who greeted me at the door and was on duty several times in the 3 days/2 nights I was there was cheery and helpful. Loved having Einstein's Bagels on the ground floor area for on the go lunch or breakfast option. Totally pleased with the 2 double bed room. Would stay there again.	
Oct 24 2009 	Good Choice	Two room suite with the usual Doubletree cleanliness. This hotel is a short walk from MM and all the shopping. The pool, which is located near the top of this hotel is such a change from the ground floor experience. I know you are not suppose to look in others homes, but I could not help but to see in the homes that were in the buildings from one of the windows. The room was very quiet. I would recommend this hotel, especially if you need to save money for shopping!	
Oct 20 2009 	Solid choice	Welcoming reception area with good staff and ground floor bar. Not on, but short distance from MM. Good size well appointed rooms. Did not eat in the restaurant as many options nearby.	
Oct 20 2009 	Great Location 	Stayed here for a weekend in August. I got a good deal through travelzoo.com. Check-in was pretty quick for a Friday (had to wait about 10 mintues) and they give you complimentray warm choholate chip cookies upon check-in. Our room and bathroom were clean. Staff we encountered were friendly. Parking is around $40 per day which sounds like a lot, but isn't bad for downtown Chicago. The location can't be beat. The hotel is only a few blocks from Michigan Ave in one direction and Lake Michigan/Navy Pier in the other. Would recommend to those looking for a nice hotel in a great location in Chicago.	
Oct 13 2009 	Good hotel would stay again.	My wife and I selected this hotel due to its relative proximity to the start line for the marathon which she ran. A quick cab ride from Union Station brought us to the front door of this hotel, where we were greeted immediately by Vlad who took our bags. Steve then grabbed the cart for us and brought them up to the room with us after checking in. The lobby is a very nicely decorated area, with rounded edges everywhere(someone else pointed this out to me--it was neat to see). The lobby is farily spacious, although given it was a busy weekend, it was sometimes tough to tell. I didn't take advantage, but free WiFi is available in the lobby.We got to the floor we were on, and again, nicely appointed, with a couch for waiting. Our room was a King lakeview. The room, including the bathoom was a very nice size, and clean. The bed was very comfortable. The location was terrific as well, a few blocks from Michigan Ave and all that entails.  I should note here that Lakeview is a bit of a misnomer. They aren't lying that you are facing the lake, the only issue that there are some pretty tall buildings between their location and the lake, and so your views of the lake consist of sides or between buildings. Not a big deal for us, but if you're the type who wants to see every sailboat and swimmer, you may be disappointed. The service was very good. Excellent, even. The one front desk agent was a little abrupt in informing us the gift shop was closed when we were checking out early, but otherwise the staff were excellent. Ben out front had a cab within seconds, and the concierge(want to say Dan, but I can't remember exactly) was able to arrange our large group(only a few who were staying at the hotel) some tables at a busy restaurant. We called for some sugar for coffee, and within 4 minutes someone was there with the sugar, and 20 minutes later there was a phone call making sure we got the sugar. The towels were a little inconsistent, but they were brought right away when we asked. Excellent service.The one big negative had to do with the TVs. Not so much that they weren't flat screens, although you might expect them in a hotel that was so recently renovated, but the volume that the hotel channel is at when you first turn it on. It didn't seem to matter what the level was when you last turned it off, the volume was such that most of an army barracks would be awakened in an instant. You have no control over that volume when you turn it on. It's a race to get it down ot a manageable level.The other thing was that ther was no information booklet, it was a laminated card that was folded 3-4 ways. This is minor, no question, just was difficult to figure out that was where you got the info. I kept meaning to check it out, but never got the chance, but apparently hotel guests have access to the Lakeshore Athletic club next door. This would definitely be a big plus if this is still the case.A very good hotel though. Would have no problem recommending to anyone.	
Oct 11 2009 	Who needs lunch when there's warm cookies calling your name...	This was out first trip to Chicago and our first stay in a Doubletree hotel. We were very pleased with of course the city and also the hotel. The people at the desk were very helpfull and did not judge you at all when you asked for their delicious fresh baked cookies everyday, sometimes even for breakfast! The rooms are a good size and the hotel is very close to shopping and restaurants. We had a great time!	
