	Loved it!	Loved it! One of my favorite hotel's that we have stayed at in Chicago. Great room, great breakfast, great location. Everyone we came in contact with was so pleasant. The lobby was beautiful. The room in nicely updated - and breakfast was delicious. Hopefully we get a chance to stay here in the future and most defiantly will recommend it to our friends.	
Nov 1 2009 	Everything you'd expect no dissapointments	This hotel lives up to its billing. It has a friendly staff, clean rooms, good complimentary breakfast, and a handy manager's reception nightly. The facility is well maintained, well appointed and almost feels like a luxury hotel. The &quot;suite&quot; layout is ideal for a family vacation, especially with children who still need naps or go to sleep at night early, because the bedroom and living room are separate. The location is fair, depending on your itinerary. Yes, Navy Pier is three blocks away and the Magnificent Mile is two blocks away; however, the red line of the L-train is 5 blocks away (closest station). There is a free trolley running on Illinois St and Grand Ave. at least on the weekend between Navy Pier and the Grand/State station; Embassy Suites is directly between these. The cost is fair, as well. It would be nicer for hotel guests to pay less for parking, but I'm sure they charge what the market will bear. The actual room rate is competitive, if not slightly superior to other hotels in the area. Dominick's supermarket is directly across Columbus Ave if you need supplies, but you should also consider Fox &amp; Obel (one block toward Navy Pier on Illinois St) if you like a more up-market selection. They also have reasonably priced brown box meals to go, which are a nice contrast to the typical deep dish or deep fried vacation food.	
Oct 27 2009 	Great location for a weekend trip. Nice large rooms.	My wife and I stayed at this Embassy Suites for one night while attending our reunion in Chicago. We arrived about a half hour before check-in and did not get a room until about 45 minutes after check-in time. They gave us a nice room on the top floor so I guess I can't complain. The complimentary happy hour was very busy, but the bar tenders kept up pretty well. The room was very nice with a nice view. The complimentary breakfast was pretty nice, but again it was pretty busy. The breakfast was not as nice as some of the smaller Embassy Suites I have stayed at, but still pretty good.We parked at a nearby parking garage for $31. You can valet park at the hotel for $39. We drove around a bit but couldn't find anything less than $31 for the night.I would definitely stay at this hotel again if I needed to stay in downtown Chicago.	
Oct 26 2009 	Among the Worst Hotel Experiences	Stayed at this hotel for a conference in late Oct 2009. I have some experiences to share: 1. This hotel has extremely bad cell reception throughout. My colleagues and I can't hear each other when calling from each other''s room, or calling from lobby to the rooms. I nicely pointed out this problem to the front desk supervisor ( no manager on duty at 8am in the morning), all she can say was &quot;sorry&quot; without ever acknowledge the problem. 2. Spoke with front desk twice trying to get some help on restaurant information reservation. The first night when I called, asked them to help me make a reservation about the Webber's restaurant. I was told that &quot;on a Wed night, you don't need reservation for a party of three - just walk-in you will get a table&quot;. So my colleagues and I &quot;walked - in&quot;, and it is a 45 mins wait. Apparently, nearly every night is like that. The second day, I tried to get some information about a good restaurant that I can take a client to. Again, they don't know anything, take a long time just to find out a phone number for a restaurant's (Shuler Steakhouse) which just across the street from them. 3. On my first day there, I tried to call the front desk by dialing &quot;0&quot;. First try, maybe 15 rings, no one answered. Second try, after 10 rings, someone answered. I politely asked the girl if I should call a different extension to reach the front desk directly as I have been trying. The girl rudely said &quot; I answered now&quot; without even apologizing. 4. Although the room is pretty nice, the hall ways leading to my room smells bad. 5. On the plus side, they do have free breakfast in the morning, and free happy hour drinks in the evening. I stayed at many hotels. The hotel has good &quot;hardware&quot; - rooms, lobby, etc. What they absolutely lacking is management, and employee training. By the way, their rates are not cheap, and very comparable with the Marriott which is .3 miles away, and beats their services quality by 200%. I will not stay at any Embassy hotels if I can help it.	
Oct 25 2009 	Great location and hotel	We stayed here for a few nights on a family trip to Chicago. This hotel is in a great location - only a few blocks from Navy Pier and Michigan Avenue. The rooms were nice and clean - nothing special. The waits for food and the cocktail reception could be really long with people grabbing tables as quick as possible. However, for a free buffet - I shouldn't really complain! : )We did the average &quot;stuff&quot; in Chicago - Navy Pier, Michigan Avenue, American Girl store, Lego store, Sears Tower and John Hancock Building. We took the water taxi from Navy Pier to Sears (Willis) Tower, which was fun for my son and more enjoyable than a taxi. We realized coming back that if we took the water taxi to Michigan Avenue - it was only a two block walk to our hotel.	
Oct 24 2009 	Worst experience ever - won't stay here again !	While traveling on business as a meeting planner, upon checking in, the extremely rude front desk said my pre-paid reservation for 4 nights had been cancelled by Orbitz.. After an hour of negotiations, that proved not to be true and we were given a smoking room because they said that's all they had (after they told us the hotel was sold out!). The morning of the 4th day, we found a check out notice under our door, and after another 30 minutes of negotiations, they allowed us to stay the 4th night. I had planned on bringing a group to Chicago in 2011 for a convention, however, because of this experience, I wouldn't even consider it! The hotel is lovely, but the staff does not come up to par!	
Oct 19 2009 	My bag "disappeared" from a locked Bellman's closet hotel was very unhelpful	I had probably the worst hotel experience ever here. Before I even checked in, my carryon bag with everything I needed most was stolen from the bell closet and no one there really seemed to take it seriously. Early when I had moved some things in and out of the bag while accompanied by a bellman, everything seemed fine until I came back to retreive my bags and the most important one with my laptop,camera, jewelry,car key, medicine, etc had been removed from the middle of a pile of three bags...very suspicious. AND to add insult to this, the hotel insurance says they are not responsible abover $250...BE VERY CAREFUL HERE, they do not seem to care about their guests or the safety of their belongings. I arrived on a Sunday and it was when I was leaving on Tuesday evening that the security officer handed me his card as I was getting in my cab for the airport.	
Oct 16 2009 	Clean and updated hotel in a great location	My cousin and I stayed here for 2 nights and had a great experience. This is a really nice property in a fab location - Navy Pier and the Magnificent Mile are both within walking distance. The hotel itself is atrium-style with a glass ceiling, so it feels really open and airy, which I liked. The room itself was really clean and seemed to have been recently updated. The towels were thick and plush, and the breakfast offered lots of options and was of good quality. Like some other reviewers mentioned, there were lots of families with kids staying here but it didn't bother us. The only thing I didn't like was that there was no place to get a coffee onsite. I arrived early for check in and while waiting for my cousin to arrive I asked where I could get a coffee. The front desk person said that there wasn't any place in the hotel to get one and that I'd have to wait until the bar opened. I can't remember the last time I stayed in a big chain hotel where there wasn't a coffee kiosk or Starbucks outlet in the lobby. Kinda weird. That's the only (admittedly minor) gripe I have. Overall my experience was good.	
Oct 9 2009 	Outstanding Value	Outstanding hotel - recently remodeled, friendly staff, delicious breakfast, great location (many rooms have view of Lake Michigan). Front desk staff very helpful in extending reservation for an additional night. Breakfast staff &amp; mini mart staff very helpful and friendly. Conveniently located within short walk to Magnificent Mile &amp; Navy Pier. Chicago trolley stop next to hotel.	
Oct 8 2009 	Much improved	I stayed at the Embassy Suites in August of 2009. It was TERRIBLE! What could go wrong it did. At checkout they compensated me for some of it, and assured me that my next visit in Sept would be better. I decided to give it one more try, and it was WONDERFUL. I was told that only a handful of the same employees were there and they were dedicated to making a turn around. This has everything going for it, made to order breakfast, evening reception and location.	
Oct 8 2009 	great family hotel	Embassy Suites was definitely ideal for families with small children. The location of the hotel to the Magnificent Mile and Navy Pier couldn't have been better. We knew the kids, age 3 and 5, wouldn't be up for walking too much which is why this hotel was chosen. The complimentary made-to-order breakfast was great. We saved so much money on that alone that it made the hotel choice worthwhile. Overall, we were very satisfied with Embassy Suites and would definitely choose it again.	
