	hotel and a lot of history	hilton downtown, it has a lot of history, and a few film have been made here, when it was build it was the largest hotel in the world ,it was called the stevens.	
Nov 17 2009 	Good Hotel Clean and quiet	I look for hotels that are cleand and quiet, and this one fits the bill. Roomsare well appointed, bed is comfortable. Somefood options about 3blocks up the street. Parking behind the hotel for $25 per day.I have stayed here before and will stay her again.	
Nov 16 2009 	Good overall but weak on little things	I was just at the Hilton for four days for a Conference. I always roommate with a friend, and this is my first experience with having two bathrooms, and two closets. That makes a lot of things easier! The room was large and clean and the beds very comfortable. The towels were large and wonderfully plush. I thought the service was good and the staff very pleasant. Now the little things that seemed so odd: I drink tea. I used up the two tea bags provided in the room on the first day, and they were never replaced, though the cups were regularly replaced. Fortunately I bring along some tea myself, so it wasn't a hardship but an interesting oversight. There are only two lamps in the room -- one over the desk and one between the beds. They were barely sufficient for a room that size. Also, there was no way one of us could have stayed up to read, etc., without the bedside light disturbing the other person. Finally, whoever got the idea that elevators need televisions in them should be fired. If there must be televisions, at least turn them down! I was there for the National Communication Association - 6000 of us. We talk to each other, even in elevators -- especially in elevators! In every elevator, the sound on the television was so loud you had to raise your voice to talk. By some coincidence, on the last day every time I got in the elevator a commercial (yes, a commercial!) for some kind of welding service was running, backed by heavy metal-style music. A woman got on the elevator and asked, alarmed, &quot;Is this a new style of elevator music?&quot; If only......	
Nov 14 2009 	What a downhill turn this once great hotel has taken	Listen folks, if you compare to the holiday inn, wow what a great stay I had. But this is the Chicago Hilton. It is known for its grandeur and it service, and you pay for it! What a disappointment for me!I have stayed at the Chicago Hilton several times before this stay. When I was a young girl, this place was like a palace to me. Perhaps I have become more critical as I aged, but I was GREATLY disappointed in my stay. First of all, when I stay at an alleged 4 star hotel, I expcet 4 star hotel service. I am currently pregnant, so travelling around and going here and there is diffucult. I was depending on service in order to make my stay a pleasant one. First of all, I called ahaed to ask for bottled water to be stocked in my room. Nothing fancy, just could I have 4-6 bottles of water waiting in my room for me. After being passed to FOUR different people and 15 minutes later, I was told I could order it when I arrived. UGH!When I arrived at the hotel, I stood in line for a long time. When it is my turn it takes a much longer time than usual to check me in. Why? My room apparently does not have heat!!!! So, they decide they are just going to put me in a smoking room!!!! Hello, could you look at me for 2 seconds, recognize my enourmous buddha belly, and realize that a smoking room will DEFINITELY NOT work out for me. I decided to point out that 1. I am pregnant, 2. The smell alone will make me vomit my entire stay, 3. I am asthmatic, and could DIE from the person next door smoking, 4. I would rather not subject my unborn child to 2nd hand smoke. 20 minutes later the FINALLY find me a room with heat and non smoking. Could they have offered me a seat or something? NO! I am standing there, pregnant, with my luggage . . . and NOTHING!I get to my room and it is a double, not a single, and I know have 2 beds, 2 bathrooms, and 0 luxurious robes they used to provide. They are now $40!!!!!! Later that evening, after dinner and theater, I returned to find I had forgotten my contact solution. EEK! now, at a typical hotel I would be SOL, but this is the chicago hilton. Last 4 star hotel I stayed in just picked me some up from a local store and charged me an arm and a leg. I called to the front desk and was told the gift shop had some, but they were closed (well thanks for the information???), and there was a 7-11 3 blocks away that had some. I am PREGNANT people!! No way am I walking 3 blocks in downtown chicago in the middle of the night for contact solution. Asked if there was ANY way they could assit me, afer I explained that i was pregnant. Nope, not a thing they could do. Time after time, nothing they could do was their response. Other 4 star hotels answer is ALWAYS YES with a price. :-) On an added note, a friend said her room was terrible (I looked--it was--dirty, old, icky!!), the towels were not something I would use as my regular towels in my home, much less my guest towels, and the shower was low pressure.Overall, I would say if you are going to spend the big bucks for a hotel stay---go with the 4 seasons-- if you want cheaper, stay at the radisson downtown which has MUCH better service for LESS cost. Too bad . . . used to be the most wonderful hotel in chicago . . . now I am suggesting the radisson over it. Also, the gym is wonderful but will cost you $20 extra a day!	
Nov 11 2009 	Do not stay here if you are in a wheelchair	I was at the Hilton with my wife who is in a wheelchair, and we found the property (and to be honest most of Chicago) to be very unfriendly to the handicapped. The front entrance to Michigan Ave is not handicapped door equipped despite have two revolving doors and at least 10 others. Very disappointing for a Hilton property where we paid about $300.00 a night to stay. If we were staying more than the 3 nights, and the cancellation policy wasn't so poor.we would have switched to another hotel. The entrance doors are heavy and to close together to have a wheelchair between them so you cannot even open the double door entrances one at a time. As such my wife was hit twice in the face by the door despite having friends help to open the doors as the wind blowing made the doors so heavy people would lose their grip, My wife travels independently throughout the nation approximately 80-100 nights a year for her employer, and she would rate this property one of the worse in the nation just for the front entrance. Other than the poor entrance the hotel itself is very grand and once inside is very nice to go back in time and enjoy the elegance of the common areas. We were on the 24th floor which is their &quot;executive floor. Unfortunately any Embassy Suite has better food and selections than what we were offered. Poor quality wine was $8.50 a glass. In fact the last Americann Inn we stayed in Park Rapids, MN had a better breakfast. Of course you could order the two eggs, hash browns, bacon and toast with juice at the hotel restaurant for $76.00 for 3 people???? Yes very spendy and not inspired in the least. Of course for just under $300.00 a night you would expect free Wi-fi internet, but no that would be another $20.00 so I was glad I had my verizon card. I guess you can tell I was not impressed other than the old Chicago feel the property had. Anyone with a disability should think twice before even getting in the front door. It will make a difference in choosing a Hilton property again. I almost forgot if you are not on the lakeside you can count on hearing the elevated train go by every 8 minutes like we did on the otherside of the property. It made a conference call very difficult.	
Nov 9 2009	This hotel got madd elevators .	This hotel has so many elevators you would have to switch elevators to go to a high floor.	
Oct 28 2009 	Second Stay was Better	This was my second time to stay at the Hilton Chicago, and this experience was more pleasant than my first. (Note: My first experience was not unpleasant.) This hotel is historical, so don't expect a modernized Hilton. Do expect modern electronics, however. My room was clean. The walls were as thin as the Hilton hotel walls tend to be, but I didn't experience any street/city noise. The convenient to McCormick Place, but it's a bit of a walk to the main tourist attractions. This is not a complaint, though, as it's a quick cab ride to any of the main attractions. The hotel restaurants are nothing to write home about, but they are decent. Expect the hotel to be very busy because it is large and can accommodate many people. Also, don't be surprised to share the hotel with conference attendees, who may be attending a conference in the Hilton or at McCormick Place.	
Oct 19 2009 	Fantastic Location! Hotel needs a renovation!	We traveled to Chicago for ACS meeting this past weekend. We decided to bring our children along to explore the beautiful city of Chicago. This weekend was also the marathon so the hotel was at capacity. Overall, the location is absolutely perfect with kids. The hotel was understaffed and needs a major renovation. We did stay in a &quot;suite&quot;, but all it had was some sort of a bar, and a little more room. The view of the lake was amazing. The location made all of Chicago's attraction so convienient, that it was worth it. My husband was upset that internet was not free for the $400 plus per night price tag...	
Oct 19 2009 	Classic and Grand	We had a lovely stay at the Chicago Hilton. We arrived early and they were able to accommodate an early check in at 10:30 am, plus we received a free upgrade to a room with two bathrooms and a large walk-in closet. The room was very clean, the linens were luxurious and the soaps were of a high quality. I have stayed in many nice hotels and I would have to put this one high on my list. I did not feel the hotel needed upgrading. It has a very classical feel of high quality and grand ambiance. The room did have an old fashioned TV, but we weren't in Chicago to watch TV. If I has one complaint, the room was a bit too warm.	
Oct 14 2009 	Needs renovation	Classy old hotel with a lot of history. Friendly staff. Rooms are bigger than typical hotels but in need of renovation. Clean though but decor is somewhat depressing colors. I even had problems with my lock and TV. Both fixed on time. Safe area but there is nothing around it. The hilton is not on the main part of Michigan Avenue with all the stores and shops. Right across from Grant Park. A bit of distance from closest CTA station so dont necessary recommend taking the metro from OHare.I was here for a meeting. IF I had to come back with family, would stay at another Hilton somewhere in the middle of touristy areas. But if you had to stay here, it is a very nice hotel	
Oct 10 2009 	Very Satisfied With This Hotel	My wife and I were here for only one night so did not take advantage of any of the amenities in the building. We found our room quite comfortable, clean. and well-maintained. We heard some street noise but there was no sound from adjacent rooms or the hallway.The only problem was that the clock radio was set for an hour earlier and we didn't notice until morning. Apparently it never got set ahead for Daylight Saving Time last spring (this is October). And I could see why--I could not figure out how to change the time and most likely no one else could either. As is the case with center-city hotels, extras are not free. You pay for parking, internet service, breakfast, etc. Visitors should be prepared for this. Also, expect to pay extra if you want a view because most rooms are going to face other buildings. And expect big city noise: sirens, garbage trucks, etc.	
Oct 9 2009 	Superb service	Superb service began the moment I arrived. Check-in was quick and painless. I won the room on priceline for $75. To my surprise, I was awarded a room with not only two double beds, but also two full bathrooms, on the 21st floor! A refrigerator was delivered very quickly at no charge. The bed was extremely comfortable and linens were supplied in abundance. My only complaint is that the thermostat in the room seemed to be broken, and it was chilly. A call to the front desk resulted in 2 blankets being delivered in short order. A mainenance man seemed to fix the thermostat so that the number on the box seemed to match the temperature in the room. The fan still blew cool air, however. The room temperature never did get above 71 degrees, and would be acceptable to most. Turning off the fan and using the extra blanket seemed to do the trick. I noticed the bathrooms were comfortably warm. The location is convenient to Millenium Park, Grant Park, and Buckingham Fountain, but a bit far from most nightlife. Overall, I had a great experience!	
Oct 8 2009 	Good hotel	Very nice hotel, the price paid was a bit higher (but you get what you pay for, right?)	
Oct 8 2009 	Good service for such a busy hotel.	We stayed at the HIlton Chicago for the weekend of the Chicago Triathlon and were quite pleased with the services despite the fact that the hotel was fully booked with nervous triathletes AND wedding participants. Staff and front desk were VERY accomodating. Our rooms, with a view of the lake were just what we wanted. We've stayed at the Hilton for several years and enjoy the proximity to the race and local attrations.	
Oct 8 2009 	Great Place to stay	This is a great place to stay. we stayed at this hotel for 4 nights and it was really good. we enjoyed the place.	
Oct 8 2009 	A great hotel for a conference	Attended a customer conference here in August 2009 and I was very impressed with this hotel. Having attended this same customer conference at different venues in prior years, I have to say that the hotel/conference experience was the best at the Hilton Chicago. It is a charming hotel with beautiful rooms. The ballroom is amazing. The conference space is well laid out and you don't have to hike really far to get from one conference gathering to another. The location is wonderful. You just can't beat being able to walk out the front of the hotel and be in the park and then within a short walk of Lake Michigan. I did have trouble with the first two rooms smelling very strongly of smoke. They changed my room, but for all the trouble, I wish they would have offered to upgrade me -- at least to a lake view! The food served was delicious -- especially for a conference.	
Oct 8 2009 	So disappointing!!	I was really looking forward to stay at “The Hilton” in Chicago right in front of Grant Park overlooking Lake Michigan.Boy! I was so disappointed … The room carpet was dirty, the TV broken, the bathroom old and leaky. We paid over two hundred dollars a night for a hotel that charges 20 more for the Internet, 6 dollars for a bottle of water and over 20 for parking!!The room service &quot;added&quot; charges were obscene!! and the menu unappealing.One of my colleagues got a room without temperature control, and when the breakfast he ordered from room service Monday was still outside his room on Thursday!!!The service was regular at best, I will definitely not going back to the “Hilton” Chicago.	
