	GOOD PLACE	It is a very comfortable hotel to enjoy your trips in a very good location	
Nov 10 2009 	Good Value for Location	Hotel is just steps away from the Red Line &quot;L&quot; so you can get around easily if you don't want to walk, drive or cab it.Very clean hotel, good water pressure, friendly &amp; accommodating staff, nice bed &amp; pillows (but the top sheet and pillow cases felt like they'd been starched!), temp. in room perfect &amp; can be adjusted. Didn't try Weber Grill but it looked inviting for a drink and a quick meal.2 computers are on 12th floor (need room key to access the room), so you can check email &amp;/or print out your boarding passes.Hotel is near a lot of great shopping, Pops for Champagne is around the corner &amp; only wish we had gone there. Mary's Cafe is good for breakfast &amp; is abt. 4 blocks away.If we can get as good a rate as we did this time, I'm pretty sure we'll stay here again when we visit Chicago.	
Oct 29 2009 	Great Deal for Downtown Chicago	I live in the area and stayed downtown for business. This hotel had updated rooms, very comfy beds, reasonable sized bathrooms and very good service. I am sensitive to odors, like Febreze covering up bad smells. Hilton Garden Inn smelled fresh and clean and had comfortable rooms. You can hear ambulance/police car sounds at night, which is typical of all Chicago area hoteld. Staff seemed friendly. I felt safe, and Weber Grill reataurant on site is a great place to eat. No probablem getting a cab in the morning when it was raining. I would recommend and stay again. Most downtown hotels have smaller rooms (especially in older hotels). This location is very good for visitors. Tons of places to eat within walking distance.	
Oct 19 2009 	It is just ok...	We were in town for a wedding and had two rooms booked; one for this hotel and the other for Residence Inn for a much cheaper rate. (See my review for Residence Inn) We arrived early as our flight landed at Midway at 7:55am and I had already called about an early check in. When we arrived they indicated that they were at 90% capacity. They did not have a non-smoking king room sbut had two queen non-smoking available for the same rate, so we took it! The room was nothing to write home about. The bed was not comfortable at all but the pillows were nice. The remote was old and barely worked most of the time which annoyed me to no end. Breakfast was not complimentary and just to get pastries and yogurt it was $10.95. If you wanted meant that was going to cost you an additional $4.95. I called one of the restaurants in the book from the hotel and ordered myself breakfast which came up to $19.22. They informed me that the menu has not been updated and the meal that was priced at $8.25 was now $10.50. I decided to cancel my order.	
Oct 18 2009 	Wouldn't stay again	My brother was getting married in Chicago. I was going to book the hotel for the weekend but we decided to stay one night and I'm glad we did. Based on some of the other reviews, some of the rooms must be updated with newer beds. Our beds were so uncomfortable that my husband and I didn't sleep all night and got up with sore backs and necks. The tub in the bathroom wouldn't drain. I ended up not taking a shower in the morning because I didn't want to stand in inches of water. The room had a nice flat screen TV but seemed a little smaller then the average room. We wouldn't stay again even though I'm a Hilton honors member....I would stay some where else.	
Oct 12 2009 	Awesome amenities great location affordable prices	This hotel was perfect and I wouldn't have changed a single thing about my two night stay. The rooms and common spaces were impecably clean and cozy. Although a little small, the indoor pool and hot tub were both wonderful along with the well appointed fitness room and computer lab with complimentary high speed internet. I loved the microwave and mini-fridge in the room along with the Neutrogena toiletries. The king size bed was one of the most comfortable I have ever slept in. Be sure to stop by the lobby around 6:00pm/7:00pm every night for complimentary warm just-baked cookies. The hotel could do well with a dedicated concierge in the lobby to help travelers find their way around the city in order to keep the lines down at the front desk.	
Oct 10 2009 	A nice cheap hotel	The hotel was a great place to stay. It is close to many attractions. The staff was helpful in referring us to nearby restaurants. My only complaint would be that the toilet paper is too far away from the toilet. You almost have to get off of the seat in order to reach it. The housekeeping staff was great in locating my clothing that I had inadvertently left behind. They are in the process of shipping it to me. I would definitely stay here again!	
Oct 9 2009 	Excellent hotel in prime location	This is an excellent hotel in every way, but be careful if you are there 4Q2009, as there is major construction going on outside the hotel on one side and the jackhammers started up on cue at 7am every morning. Really fun restaurant (Weber Grill) and right on the Red Line of the subway system. Walkable to Michigan Avenue, Marshall Field's, theatre district. Coffee maker also stocked with tea, which I am finding more and more rare these days. Couldn't fault it!	
Oct 9 2009 	Enjoyed the stay	The Hilton Garden Inn was a great location for us, it is very close to the red line if you would prefer not to take a taxi from the airports. We walked everywhere from our hotel and enjoyed its easy access.The staff we encountered were very nice and helpful with any of our questions or needs. The room we stayed in was very clean and comfortable. You can hear some street noise, but it is in the city so it was very much expected and did not affect our stay at all.We also ate at the restaurant, Weber Grill, and it was great. Although it was a busy night, the waiter was very friendly and attentive. The pretzel rolls were very good and the ribs were excellent. Would stay here again.	
Oct 7 2009 	Outstanding value and location	It's hard to find a decent hotel in downtown Chicago at a decent price during the week. I booked my room a few months in advance and found a great $149 rate. Everything about this HGI was great, from the speedy check-in, to the clean rooms, to the location, nothing could be better. What's really great is this hotel is literally steps from the Red Line stop at Grand. You walk up the stairs and the hotel is about 20 steps away which is very convenient if you're coming in on the train. For those that need any grocery items , there is a grocery store right around the corner where you can find items like soda without paying high hotel prices. I had a great view on the 21st floor and although this is just a standard HGI, the room was very clean and had a nice flat screen TV inside the room. I ate at the hotel restaurant (Weber Grill) one night and it was great. Overall a typical HGI experience, but for the price, you can't beat it for the convenience, location and price!	
Oct 2 2009 	Nice rooms but terrible organization/staff.	Booked room with 2 beds directly through hotel on the phone. Was going for a bachelor party and staying with 4 guys so definately needed 2 beds. When arrived at hotel they said they only had me booked for 1 bed. I showed them my confirmation email on my phone and they didnt care. Gave me bed with one room and only got $20 off and room was $200 per night. I was able to swich to double bed next day but what a hassle. Also the elevator broke and had to wait 45 min for the freight elevator! The rooms themselves were nice and good location only a couple minute walk from magic mile.	
Sep 29 2009 	Needs a renovation	The streets are under renovation, but the hotel isn't... and it needs a good one. Towels are worn-out and have holes, there isn't a shower cup in the bathroom, the shower courtain is quite old, the reception has two sofas and a couple of armchairs, but no bar. The hotel has a very smal pool and a very small fitness room. Is not worth the price they charge you. You have better options in Chicago.	
Sep 10 2009 	Great hotel with an ever better location	After much research, we chose to stay at the Hilton Garden Inn because of the great rate and location. The location could not have been any better. We got off the Red Line of the &quot;L&quot;, walked up the steps and were right outside the lobby of the hotel. Rode the subway and buses everywhere we went, if we didn't walk from the hotel's central location. Also, there is a free trolley to/from Navy Pier that stops directly in front of the hotel. If it is too full, just grab a city bus (#29) that will also take you to Navy Pier.The front desk was very friendly, professional, and helpful. Since we arrived around noon, our room was not ready for check-in, so we left our luggage with the bellhop and were on our way to explore Chicago. When we came back, our room was ready and we retrieved our luggage.The hotel was very clean, well-appointed, and everything seemed to be in working order. I was bit concerned about noise based on other reviews but we had absolutely no problems, except the occasional siren outside but that will happen with any hotel in downtown Chicago.The pool area was nice but small. We did enjoy the hot tub one night after a long day of walking.We will definitely try to stay here again on our next trip to this great city.	
Sep 10 2009 	It was magnificent!	We arrived early to Chicago hoping to leave the luggage in the hotel... but the room was already available, even at 10:30am!The location couldn't be better, and the service was amazing.	
Sep 9 2009 	Noisy Buy Nice	I have stayed here several times and this hotel is nice and in a great location with a great restaurant attached. However, I have noticed as the rates have dropped at this HGI due to the economic downturn I suppose you get the &quot;in town to party&quot; crowd and they are noisy coming and going all hours of the nights. If this wasn't enough noise, we were on the 22nd floor and you could hear people in the street wooping it up until the wee hours. There were many many sirens and you could hear traffic noise especially motorcycles. This is a very noisy hotel.	
Aug 8 2009 	Great location for downtown stay	We stayed at this hotel during our stay in July. The location couldn't have been better. The hotel was only two blocks off Michigan Ave. There were a ton of restaurants within a three block area so that was easy. The red line was literally right by the front door, the free Navy Pier trolley ran right by the hotel and most of the buses that you need for tourist items were only two blocks away. The staff was very friendly and the hotel was very clean. There is a parking garage next door where you can self park and save yourself some money. The pool was small, but the temperature was perfect. The workout room had a lot to offer. We would definitely recommend this to anybody looking for a downtown stay and would stay here again.	
Aug 7 2009 	EXcellent Location	This hotel is perfect location..Only a block or so from Magnificent Mile ( Michigan Ave)..Train Subway is right in front of the hotel,,took trains to Wrigley Field, Cellular Field and to the theater district to see Jersey Boyzz....Parking is a little expensive $44 per day with in and out priviliges but you are in the city and not much of a choice..The on-soite restaurant Weber Grill has good food , plus you are surrounded by great restaurants and shopping all around...Indoor pool made my little one happy , although the ventilation is horrible in the pool area, the chlorine smell and lack of cool air was made it difficult to stay long in the pool area for us...The rooms are modern, clean, so no complaints there..If we were to return to this part of Chicago I would stay here again and have no problem recommending it to others..	
Aug 3 2009 	Would definitely stay here again!	We Pricelined this hotel for a short getaway to meet friends in Chicago. ~ Paid more than we wanted to, but still a great deal! Really great location... a few short blocks from Michigan Ave. The corner room was lovely, with a view of an outdoor rooftop landscaped track next door. The room was a little cramped with two queen beds, rather than one king, but had everything you could want. The built-in cabinet with microwave, counter w/coffee pot &amp; fridge was SO pretty ~ I want one in my house! The beds were SO comfy, except I found myself sticking to the sheets, due to the thick pillowtop underneath. Overall, a great place for a great getaway in Chi-town!	
Aug 1 2009 	Do not stay here under any circumstances!	I'm writing this review to warn fellow travelers not to stay here. Because the wonderful Homewood Suites next door was booked up, we were wound up staying here. I expected this hotel to be similar to the Homewood Suites. Instead, it was a complete disappointment. Sure, the staff was very helpful and friendly, and the rooms were very clean. However, ultimately, when you pay for a hotel room, you're paying for a place to sleep for the night. The Hilton Garden Inn is a total, complete and utter failure in this regard. The walls have absolutely no soundproofing at all. You can here your neighbor's TV, conversations, everything. One night, I got shaken awake by my neighbor who happened to like to blast his TV at 1:00 a.m. And mind you, all rooms are like this. I kept changing rooms, and they all have the same walls which seem to be made out of a thin piece of drywall, or possibly even cardboard. No matter which room you're in, you'll be able to here TV's and conversations from the rooms adjacent to you. This place also serves no breakfast, unless you're willing to pay a rediculous amount of money for cornflakes and a bagel. You're better off staying in a cheap motel. Cheap motels that I've stayed at had better services and better soundproofing than this Hilton Garden Inn. If you're just looking for a nice, quiet place to sleep, do not stay at this hotel. For what you get out of it, it is totally overpriced and generally not a pleasant place to be.	
Jul 27 2009 	great location low on staff	location was great, resterant on sight was good, indoor pool was clean, warm enough to enjoy, whirl pool great as well, great location, few steps from the red line metro. Had a few issues with lack of staff. Had no towels, called front desk, took about 4 hours to get towels. next day no one cleaned room at all. called front desk about 6pm, someone came about 830pm to clean, didnt get usa today either but other rooms did. Same deal the next day as well, did come to clean the third day...... no conceirge on hand, tried to wait on line to ask desk staff questions, they were busy and not very accomodating. Rooms were large and nice, location was great, close to everything, but don't expect service any time soon, very short on staff and it was obvious.	
Jul 25 2009 	My first choice in Chicago	This was our third time staying at the Hilton Garden Inn. We reserved the room through Priceline, spending only $65 per night. TIP: The &quot;two Queen bed&quot; rooms are much larger than the King rooms. THE PROS:The bedding is updated, there is a microwave, coffee maker, mini-fridge and flat screen TV. We LOVED the Jewel grocery store just steps from the hotel. It stays open until midnight, too, and sells beer, wine and liquor along with the usual grocery store items. (In my home state you have to go to a special store to by alcoholic beverages.) The entrance to the Red Line train is just outside the hotel door and Michigan Ave is just three blocks away. The location is great!Free in-room internet service - and it actually worked well! THE CONS:There is no High Def service to the TV, though, so everything on the TV looks stretched out. (No big deal.)The lobby is very bland and small - but who really cares about that?We didn't use the pool, hot tub or exercise room.We MUCH prefer the Hilton Garden Inn to the nearby Marriott. We take about four trips to Chicago each year and have stayed at several different places but the Hilton Garden Inn remains our favorite.	
Jul 23 2009 	Good Time had by Me	I stayed for one week while attending a business conference. Within easy walking distance to Navy Pier, Art Institute, theater district, etc. Grocery store and Starbucks both across the street. Clean, comfortable, and quiet room. Only downside...$15 for an in-room movie was steep, and a small selection of titles.	
Jul 19 2009 	Great location!!	Pretty much had nothing much to complain about the hotel. Except when we checked in the staff who checked us in did not smile or greet us and continue talking to other staff while serving us. With the brand name, I expect polite and caring staff, but we did not get it here. However, there's another staff later who's really attentive, so I guess we just got unlucky being served by that one lady during our check in time. Room was clean, comfortable, with free wireless internet and spacious bathroom. It's virtually close to everywhere, Magnificent mile, Millenium Park, Navy Pier, etc. Bear in mind that you have to pay extra for parking. For valet it's $44 and self park is $32. Overall I'm satisfied and recommend this to anyone.	
