	Great hotel!	The staff was amazing.The breakfast and dinner was perfect. Saved us tons of money and was perfect for the kids.Great location!	
Nov 17 2009 	Great Hotel right in the center of Chicago	Really made welcome from the moment I arrived. Lobby is on a higher floor so rooms have a good view. I was on the 16th Floor and the room was incredibly quiet for being in the center of a city. You can take breakfast to your room and everything is available to do that. If there was one little defect it would be the swimming pool which looked like it needed to be resurfaced- the paint is peeling from the sides. Every morning while we stayed we went to Swim and no-one else was there. Nice that it is indoor and right on top of the hotel. Staff were very friendly and they also have a great Business Center where you can print your boarding pass for free. Internet is also free in your room. Would definitely stay in this hotel again. It is right by the Hotel Garden Inn if you are comparing hotels.	
Nov 17 2009 	Superb location everything's included staff was awesome.	I met my girlfriends in Chicago for the weekend for a birthday celebration and stayed at Homewood Suites. I wasn't sure what to expect, but we loved it. The rooms are huge, with a full kitchen, a pullout sofa and a monster king sized bed. Bathrooms are large enough for 3 women to get ready to go out at night without stepping on each other. The staff was great. We dined at Table 52, Art Smith's (Oprah's former chef) restaurant and stopped at Le Colonial one night and walked there easily. The first night we were a bit tired, so simply walked across the street to PF Chang's - who also provides the room service at the hotel. The entrance to Nordstrom is just across the street from the hotel's front door and for discount shopping, walking to the loop to shop on State Street is an easy morning jaunt over the river. All in all, a good price for a nice hotel with a charming staff and a magnificent location. Internet and breakfast are included in the room rate. I'll definitely come back and bring the kids next time...loads of families were staying there that weekend.	
Nov 14 2009 	Boring but comfortable roomy and convenient	This hotel looks like it was originally another hotel where they joined two small rooms to make each suite. Half of the suite is a kitchen and sitting area and the other, the bath and bedroom. Two TVs, plenty of nearby restaurants, view of the Wrigley building. Breakfast and dinner are included weekdays, but I preferred buying fresh veggies at the grocery store a block away to the comfort food they served. My client got me a great deal on the room given its location and amenities; my &quot;value&quot; rating would have been significantly lower if I'd paid rack rate. Note to light sleepers: there must be a fire station near by, as I regularly heard sirens in my south-facing room.	
Nov 1 2009 	Felt so much like home...	I visited Chicago with my two teenage daughters. Homewood Suites is amazing. The complimentary breakfast and receptions offer so much variety. The hotel was within walking distance to many places to eat and shop. We got caught in a thunderstorm, and got soaking wet. I dried all our clothes in the dryer right in the hotel! The Homewood Suites was so much like home. The suite was very spacious and had everything we needed. The hotel had lots of brochures and suggestions for dining and activities. The staff was so friendly and helpful. Chicago is an amazing place and the Homewood Suites is the place to stay. I would definitely stay there again.	
Oct 26 2009 	Great Hotel conveniently located	My husband and I stayed two nights and could not have been happier. We had a corner room with a wonderful view. The staff was polite and very helpful. The complimentary breakfast saved us time and money. Two blocks from MM and a short bus trip away from the theatre and art museum. We walked to the Navy Pier and road the free trolley back to the hotel. We would stay here again on our next trip to Chicago.	
Oct 26 2009 	Poor Service at Valet and at Check In	Dissatisfied with the service upon arrival at the hotel. In the pouring rain, 3-4 valet employees watched from 15 feet away in the front door as my colleague and I unloaded our vehicle of 6 bags, a laptop computer, rolling file box, etc. in the pouring rain. I complained at the hotel 'sfront desk clerk and requested to speak with the manager. Well, it's been nearly two hours since we checked in and no one has spoken to us about or addressed our complaint yet. Needless to say, we are hesitant about any future stays with Hilton and will probably not be uning them and this hotel for any future business or pleasure trips.	
Oct 14 2009 	Great Location for Shopping and Chicago-land Fun	We stayed for 3 nights at the Homewood Suites in mid-August and had a great time. We love the all suites layout- since it provided a nice pull-out couch for our two boys and a king bed in a separate room for my hubby and I. The only poor experience we had while we were here was at check-in (on a Friday) when our room was not ready. There were people camped out all over the lobby waiting for rooms to be ready and the staff seemed frazzled. We did not appreciate waiting for 45 minutes or so for our room- but after that the stay went fine. There is a small indoor pool on an upper floor that our kids really enjoyed. We went there a couple of times and there were never more than 10 other people there (on a weekend)- so we enjoyed that fact. The location of this hotel is great- right across from the back door to Nordstroms and close to many great restaurants- all within walking distance for kids. Bucco di Beppo is right across the street and PF Changs is kitty corner- just for 2 examples. They also have a free breakfast buffet in the a.m. but it was a bit chaotic. They do let you take breakfast items up to your room in to-go containers... so that is what we did to avoid the chaos. There is a Trader Joes 3 or so blocks away in case you'd like to stock your kitchenette with healthy stuff. We will definitely stay here again.	
Oct 14 2009 	Excellent location amenities	I stayed at this hotel for four nights while visiting friends and site seeing. The location is perfect - very close to the El and within walking distance of all the downtown sites. The suite was comfortable and well appointed. The wifi didn't work in the room, but I was able to use it in the lobby. I appreciated the breakfast. A light dinner is offered Mon - Thursday, but I didn't take advantage of it. The staff were friendly and helpful. Best of all, I had the most wonderful views of the city skyline from my 19th floor room. All in all, a very good experience.	
Oct 12 2009 	Great location. Great hotel. We will return.	Great location in the heart of downtown. Spacious rooms. Full kitchern. Wonderful breakfast and evening meals. Awesome staff. We will return here when we visit Chicago again.	
Oct 9 2009 	In The Center Of It All	This hotel was very beautiful. I went with a group of 4 friends and we had a blast. It was very centrally located and was close to all sorts of transportation. The Continental breakfast was magnificent! I didn't see much of the staff but all of the men at the front door were extremely helpful.	
