	Great Hotel Good Location Great Value	I took my girlfriend to Chicago as a surprise anniversary present the weekend before Thanksgiving. I am unfamiliar with Chicago, but knew I wanted to stay near the museum and Millenium Park. On a value travel website, I found a rate for Hotel Blake less than half their advertised rate and I was sold. Reviews said it was 3-4 stars, but I really wasn't sure what to expect.When we showed up, I was pleasantly surprised. It's in a good neighborhood, and only a few minutes walk from Michigan avenue. We checked in very late, but the desk staff was courteous and helpful, though we did have to unpack and carry our bags ourselves. Valet-parking was available from the hotel, but half price parking is available literally just down the street from the hotel. When we made it to our room on the 9th floor, I was amazed at the room. Large room, magnificent bed, good decorations, huge bathroom. There was no train or traffic noise on the 9th story, and we both got excellent sleep on the comfortable mattress. Free wifi, excellent soap, shampoo, body wash, etc... even a sewing kit. The room definitely deserved four stars, my only minor quibble was a little mold in the shower stall of an otherwise impeccable bathroom. We never really tried the TV, but the room clock connected to my ipod, which I thought was neat.The free breakfast was great and unexpected, but I recommend getting there early as they ran out of donuts and danishes well before the posted closing time. Service was uniformly cordial and helpful, recommending good restaurants and nearby attractions. (awesome, but get there early). The pictures of Chicago posted on the Hotel Blake website were not representative of the actual view from the hotel, but google maps let me know what to expect in the vicinity. Overall, I heartily recommend the Hotel Blake and will probably stay there again if I can get the same rate.	
Nov 23 2009 	This hotel is a hidden gem.	When this hotel was booked for me I was somewhat skeptical as the price seemed to indicate a sub standard hotel but I thought it would be fine for one night. Boy was I surprised; this is a charming hotel with big rooms, very nicely designed and well appointed. My room had a spa like shower, a very good desk space to work at and free internet service. The staff was friendly, knowledgeable and helpful. Next door is a great restaurant the Custom House which I would recommend even if you were not staying at the hotel, so the fact that is right next door is a real bonus. This hotel will be on the top of my Chicago list of places to stay.	
Nov 20 2009 	Great escape	I booked Hotel Blake for my recent visit to Chicago for a conference/vacation. The hotel was in a convenient location for the conference and super dining options (especially Tamarind). The hotel was superbly styled...fun and contemporary, rooms were very comfortable. Breakfast was simple but a wonderful start to the day. Staff was very pleasant and very helpful. Normally, I haven't traveled to Chicago much but having stayed at Hotel Blake I may make more impromtu trips to Chicago knowing I'll have a comfortable, fun place to stay.	
Nov 19 2009 	Never Disappoints	I stay at the Hotel Blake regularly for business, and it never disappoints. Clean, stylish, large rooms, nice bar, and attentive staff. My only complaint is the inconvenient ice machine location.	
Nov 14 2009 	Absolutly Beautifull	We needed a Hotel 11/9/09 close to our buisness location, The Hotel Blake fit the bill perfectly. We could not have been more pleased. The entire staff was Very courtious, helpfull and pleasant.The price of our stay was surprisingly reasonable, and included parking. We enjoyed cocktails in the Custom House Resturant while enjoying the Chicago nightlife, followed by a complimentry continental breakfast the following morning. Thankyou! the Ericksons	
Nov 13 2009 	Lots of bathroom space for girls weekend	I took an annual trip to meet a group of girlfriends in Chicago and we were happy to stay at the Hotel Blake. It's easy to get to by taxi, train, or walking around the loop. The room had modern furnishings, two very comfortable queen beds, and a large bathroom with two sinks and enough counter-space for all of our toiletries. The shower was a big walk-in shower with rain shower head. Our stay was very pleasant. The complimentary breakfast was sufficient for a free breakfast downtown, but on one of the mornings we got there just at the end of the session and everything was already cleaned up and gone. Internet was free with a code. Only small drawbacks of the room were no minifridge for refreshments, we had to walk up some stairs to get to our room, and one morning we didn't have enough towels. When we called the front desk we were informed that housekeeping wasn't there yet and that they did not have any towels.	
Nov 11 2009 	We were very pleased with the location services cleanliness and overall value for the money.	The the moment we stepped into this beautiful historical hotel we were greeted by the doorman who was very helpful in assisting us. As we both wanted to stay in a historial hotel with history, we were surprised at how exceptionally clean and modern the hotel facilities were. Our room was very spacious with beautiful and comfortable bedding.We were assigned a room looking out over the streets of the city as I had requested upon booking. Overall, we were pleased with how close in proximity the hotel is located to the financial district, the museums and shopping areas. We will no doubt return to this hotel.	
Nov 4 2009 	Affordable and Friendly	My wife and I stayed at Hotel Blake, having never been there before but seeing it listed on the internet. We were unsure because it cost less than some of the other hotels, and we did not want to show up and be dissapointed. We were not. We were greeted by a friendly staff that made us feel right at home. The rooms were spacious and very clean. I especially liked the oversize shower head in the beautiful marble shower! The complimentary breakfast was good, but we felt it could have used some additional items. All in all very good stay.	
Oct 31 2009 	great place to stay to see the sights	The Hotel Blake was perfect for our trip to Chicago to see the museums and enjoy the food. I wouldn't mind having my own house look like their rooms - I really enjoy staying in a place that doesn't have that generic hotel look. The location is walking distance to a lot of attractions and close to subway/El and bus stops for everything else. The Custom House downstairs has fabulous dinners. Wireless is included. However, the continental breakfast is very basic (muffins, bagels, coffee, tea) - go the Bongo Room at Roosevelt and Wabash. Our room had a view of the warehouse next door and the tops of a few buildings, but we were only there early in the morning and late at night - we were mostly out enjoying Chicago.	
Oct 27 2009 	Wonderful hotel in great downtown location!	My boyfriend and I stayed 2 nights at the Hotel Blake in October 2009. We wanted something that was clean, up-to-date, and in a great location in downtown Chicago. Hotel Blake was perfect for our needs. The staff is very friendly and accommodating. The room was a good size, nice flat-screen TV, wonderful bathroom with one of those wide shower heads which was awesome. Bed was very comfortable and the decor was up-to-date. We had the continental breakfast one morning (it was included which was nice) and had great coffee and bagels (there were other food offerings but that's all we had). The hotel is VERY easily accessible to the Blue Line, which takes you straight to O'Hare Airport. It was about 45 minutes on the train to and from the airport and the train stop is about a block from the hotel. If you're debating about cab from O'Hare to hotel (not sure the distant to Midway), definitely skip it-- the train is something like $2.50 per person for one way on a 45 min train whereas a cab is about 30 min and $45. We didn't get to try the Custom House, which is the restaurant in the hotel, but everywhere we went when people asked us where we were staying, everyone would say &quot;oh their restaurant is great!&quot; We walked to downtown and Navy Pier-- probably about a mile-- if you're in Chicago to see the city, it's definitely worth walking to see everything. If you're on the lazy side, you may want to take a cab, but it's really cheap.There is free wireless in the hotel, but if you didn't bring a computer, there is also free access to a computer and printer on the first floor. Staff at the front desk are very helpful in recommending local restaurants and bars, and giving directions. Stay at the Hotel Blake-- great deal and a hidden gem!	
Oct 22 2009 	Nice downtown Chicago hotel	Stayed two nights - got the &quot;Autumn Discount&quot; from the web site so the rates were quite reasonable for the area &amp; quality. Staff was friendly, room was nice. Enjoyed staying in a smaller hotel in a historic building. Easy walk to the Field Museum/Art Institute.	
