	A Quiet Retreat	Located on a quiet, residential street in the Gold Coast, the Hotel Indigo was always a pleasure to return to during our four night stay in a hectic city.The room was very peaceful with a soothing decor of wicker furniture and murals of shells. A bit small but there was a place for everything. And the room was very quiet -- no noise from the hallway or from the outside. The hotel is also a good place if you are travelling with a dog. A dog park is only one block away and Lake Michigan with its boardwalk is only four blocks away. Restaurants are close and it is also only a short walk to shopping on Michigan Avenue. If you are looking for a small hotel in a quiet area versus a large hotel more central to downtown, the Hotel Indigo should be just right. And the door man always greeted us with a smile!	
Oct 26 2009	Beautiful getaway	I'd go back in a heartbeat! I took my daughter on a 15th birthday trip, just the two of us. We stayed at the Hotel Indigo, which reminded her of her favorite book, &quot;Alice In Wonderland&quot; as the chairs were oversized and the colors all bright blues and greens. The room was a bit small, but the service was great and the ambiance fun and friendly. Great location, with a great little cafe right down the street.	
Oct 26 2009 	Relaxing fun close to the action!	A great place to stay! Check in was a breeze. We got there early and the staff was very helpful, changing us from a non-smoking queen room to a king smoking room! The room wasn't ready yet so they held our bags for us and recommened places in the area to grab a drink &amp; bite to eat. We came back and went to our room on the 4th floor just off of the elevator. I was worried that it would be very noisy, but it was not! :) The room was so comfortable and had everything we needed. I love the shower, lots of pressure &amp; hot water. The hotel is located close to the action. Tons of places to eat, drink &amp; shop close by. The Red Line is a block away and there were always taxis out front if you don't like to walk. You can take a short stroll and the Magnificent Mile is right there to do all the shopping you could want. There is plenty to see &amp; do within blocks of the hotel. The hotel is located in a very residential area with beautiful old brownstones. The area was well lit and seemed totally safe to walk in. I would recommend the Indigo to anyone!	
Oct 22 2009 	Great decor-great staff	Went to Chicago for a long weekend with a group of 8 women who just wanted to see Chicago. The Hotel Indigo was located on a great street just blocks from the Metra but close enough to take taxis home at the end of the day or walk to Rush St. for great restaurants. On arrival, we were able to leave our bags so we could get the most out of the rest of the day &amp; when we returned around 8 o'clock, our rooms were waiting &amp; our luggage sent up. Since we were 4 in a room, they had given us their lager rooms right next to each other. We all loved the &quot;beach decor&quot; of the rooms, with the bright walls, white beds &amp; furniture &amp; large windows. All through our stay the staff at the front desk could not have been more helpful. They helped us arrange tours, get cabs for the airport and answered any questions we had with an eagerness to help. We qall loved Chicago &amp; the Hotel Indigo.	
Oct 13 2009 	wonderful experience	From the moment we arrived we were impressed. The hotel was beautiful, clean, and the staff couldn't have been nicer. Our room was large and clean. The hotel was quiet. Located near the train so we didn't need to rent a car. I would highly recommend this establishment.	
Oct 13 2009 	Bright colors cheered us up after a dreary drive.	I had two free nights via Priority Club, so I used them for Hotel Indigo in Chicago. Originally I had asked for a king room, but later, my step-daughter decided to go along, and I asked to change to a double queen. No problem. After a dreary, rainy drive, the bright colors, great smell, and fun look of the lobby really cheered us up. The staff treated us just like paying customers, and were courteous, friendly and helpful. We had gotten there early but were able to get our room right away. We used the valet parking which made everything simple for unloading our car, and actually never took it out again until we left. When we saw our room we were truly delighted. The room was very large, (for Chicago, it was huge!) with the two queen beds, a sitting area with a table, two chairs and an armchair and the bathroom (admittedly small, the only downside of the room). We were on the front side of the building, over Dearborn Parkway, on the 9th floor, and could even see the Lake--what a great view. We found a goody bag with cashews and chocolates, another nice thing after driving, waiting for us with a pleasant note in it. The beds were comfortable, the shower, although very small, had great water pressure and was nice and hot. The Aveda products were a plus. I've also stayed at Hotel Indigo in Fishers, Indianapolis and found both to be good experiences--fun, lively, bright colors, just a lot different from the other chain hotels, making the stay a relaxing, interesting visit. I really can't find anything to complain about!	
Oct 8 2009 	Fun trendy hotel. . .just don't look too closely.	Fun,bold colors really make these hotel rooms pop. But don't look too closely or you'll discover that everything is put together rather cheaply. The shower walls are plastic made to look like stone. The polished hardwood floors are really particle type boards and so on. If we hadn't gotten this through Priceline, I would have been disappointed paying full price. We were fortunate and received a room with two queen beds. It was pretty spacious for a Chicago hotel. However, someone else in our party had only one queen bed and their room was TINY. Not too far from Lincoln park and the zoo. Parking is expensive but you get in and out privileges and it's only valet.	
Oct 8 2009 	very average hotel	I stayed with two girlfriends for a girls weekend trip (we're in our 40s). The location is great and the staff was nice enough. There was a huge spill on the wall near the bathroom which they sent someone up right away to clean when we called about it. Cleanliness was average. We stayed in a standard two-bed room. The rooms are nothing special. They have a bright, European-type decor but are pretty standard otherwise. Nice to have a little table with chairs to sit at. Our room faced the street and it was nice to peer into the gorgeous apartments across the street! The breakfast area food did not look good and I would not recommend it.	
Sep 30 2009 	Great Experience!	I just wanted to say from the moment I arrived until when I left I felt very taken care of and I had a great experience. The Door man I am sorry I forgot his name but worked both nights was both friendly and knowledgable. Liza at the font desk was amazing! Upon my arrival she remembered that I had called earlier, checked me into a very nice room, called to make sure everything was great, and also the next night remembered my name and sent up some fruit and a card to my room! She is a great asset to this hotel. The hotel was beautiful but even if it was'nt the staff made my stay! Thank you!Justine Alexander	
Sep 29 2009 	Great location and value	The hotel is very quaint, cozy and inviting. The rooms are adorable. They have free internet and printing which is great for being in the city. The rooms carry Aveda products which is another plus! Location is great...right next to bars and restaurants and the subway. It's a great location in the gold coast without paying expensive downtown chicago prices. The staff were helpful, esp. management. Very professional and when I complained about something they handled it right away both professionally and expeditiously with courtesy. That's a huge plus as management is present, visible and active. They also got me into my room right away despite checking in early and when their internet was down they let me use the one in their office so I could get some business emails sent. I would def. recommend this hotel and stay here again.	
Sep 18 2009 	Do Not Stay here	I am really suprised to see that people rate this as a 3 and 4 star hotel. The place was creepy. I checked into the hotel around 9:30 pm and I was exhausted. I am getting ready for bed and a 1/2 later the front desk calls and wants to know if everything thing is okay.....kind of wierd. Then I actually get into bed and find a drop of dried blood on the comforter the size of a quarter. Not to mention I never really fell asleep because the air conditioner was so loud. Than too make matters worse the blow dryer didn't work, so I had to leave for work with wet hair because I was running late and I knew the front desk would take a year to bring up a new one. Checkout: The front desk said that the comforters are washed after each guest??? The reaction to the blow dryer: Did you hit the hit the reset button? Ummm yeah and I tried a different plug well it was my fault I was going to work with wet hair because I should have called and asked for a new blow dryer.	
