	Good	Staff is very friendly, rooms are nice with great view of Chicago River and close to House of Blues and Harry Caray's Resaurant, as well, not far from Magnificent Mile. Hallways were dark and elevators a bit scary, but overall great hotel. The bar, Crimson, located in the hotel was not great. The bartenders were nice but the waitresses were like talking to a wall.	
Nov 23 2009 	Nice hotel good location great deal!	We stayed 5 nights for $129/night including parking (which is usually $39/day). Room was very nice, bathroom was spacious. Nicely appointed and very comfortable overall. We requested a quiet room and a refrigerator and got exactly that. Hotel staff was friendly and accommodating -- Rich, one of the parking attendants, was kind enough to drive us to a show (we were running late) and then park our rental car. The only complaint is about the morning coffee service in the lobby. First, the coffee wasn't very good (freshly brewed but cheap/slightly sour -- I roast my own beans at home so I may pickier than most). Second, and more importantly, the coffee was not only taken away at 9am (which seems early to me, should be 10am for those who sleep late), but one day I arrived at 8:50am to find it had already been removed. Third, they allow both the coffee and cream/milk to run out. Guests shouldn't have to notify hotel staff when there's no coffee AND no cream. That said, I would stay at the Sax Hotel again in a heartbeat at anywhere near this price. Recommended! P.S. There's an Einstein's Bagel place less than a block away for better coffee (but only slightly), the usual bagels, and yogurt w/granola (for a quick and easy breakfast), etc.	
Nov 3 2009 	A good hotel with a good rate = good times	This is a nice hotel. It is &quot;close&quot; on a lot of categories so if you get a good rate you should chose this as a possibility. Here is what close means. The hotel is close to being very good, close to good neighborhood close to having very good service. Would this be the first choice - close but no. It is a pleasant hotel. the rooms are nice. the neighborhood is 3 blocks from nice. Having House of Blues 20 feet away is close to being quiet. Overall I liked the hotel and paid $160 a night and would stay again at that rate or lower. Because the hotel is not great, not great service, not a great heighborhood, not great sound proofing I would not stay at $200. Hope this helps.	
Oct 27 2009 	Miss the House of Blues...	This was our first time staying at the Hotel Sax since it was converted from the House of Blues. The vibe is very hip and the location is great, but the room was not up to par with the price we paid. There were major chips in the tub, a burned out light bulb in the bathroom (that wasn't changed in our 4-day stay) and when I went to plug in my laptop, the outlet plate fell off in my hand leaving the outlet completely exposed. There are so many great places to stay in Chicago, we won't be back to the Sax.	
Oct 20 2009 	Very nice deal great amenities not cheap but affordable for the quality	The room was VERY modern and trendy. It had a lot of cool decorations, 32&quot; Plasma TV. High quality minibar, although we didn't touch it because it was a fortune! Be careful though because even if you take something off the minibar it automatically charges you for it (it has these cool sensor pads). We got a pretty good deal, I think about 25% off the room because we went in April (not the busy season).Other pros:-Great Location! Within walking distance to all major attractions-Fun &quot;Game room&quot; with Nintendo Wii, X-Box 360, etc-Right next door the the House of Blues! -Staff was very friendly, although I don't think we had a single problem!-Bathroom had very nice robes, a heating lamp to help you dry off faster and everything was very up to dateCons:-It was almost too trendy for me, even though I'm a fairly &quot;hip&quot; 23 year old! :D-Parking wasn't free, but I don't think it ever is around there. I actually somehow ended up in the employee parking section and only had to pay $10 a day!	
Oct 17 2009 	Excellent Hotel for a Great Price	My wife and I stayed at the Hotel Sax for 1 night while visiting Chicago...Overall a wonderful experience, a stylish boutique hotel.Pros:*Great price due to the economy*$42 parking was included from a deal on expedia.com*Very nice aesthetics throughout the hotel, lobby, rooms, etc.*Rooms were nice and stylish, comfortable beds. Victorian meets Modern.*Right next to the House of Blues, 10-Pin Bowling and Bin 36*Their own Crimson Lounge is nice, though I'm not big on drinking*Right by Michigan Ave.*Right by Shaws Crabhouse where we had dinner (EXCELLENT, EXCELLENT place to eat)*Interactive entertainment lounge with every current video game system hooked up to LCD/plasma tvs, including a rock band instrument set and BEER available...Cons:*We were given a double room, instead of one with a single bed that I booked (we were tired when we got in so we didn't care... I'm sure this could have been fixed).*No baths in our standard room, just a shower, in case you cared or wanted to relax and have one.*Kind of dim halls, I didn't know if this was meant for ambience or not.*Interactive game room closes too early (though I'm sure my wife wouldn't want us playing video games on our hotel).*Not much else to say honestly.For an average guy like me, this is a very nice hotel, at a great location, at a good price. I will definitely return here in the future, and recommend it to others, especially if you want to catch a show at the House of Blues right next door.	
Oct 11 2009 	Funky decor decent location and free Reese's Pieces in the lobby	Spacious rooms, beautifully decorated, very courteous staff. I would definitely recommend it to a friend. Expensive Parking ($49) . 2 block walk to the subway.	
Oct 8 2009 	Very Nice Hotel	What a surprise. We stayed here through priceline and loved every minute of it. We have been to many Chicago hotels and this one is in the top 5. The room are nicely decorated. The lobby and hallways are awesome as well. The front desk and guest services employees were very nice when we interacted with them. Nothing bad to say about this place.The building itself is old. Our toilet had running water once or twice and the windows could use some fixing but overall can't complain.We tried Bin 36 and A Mano and both are good places to eat.	
Oct 8 2009 	Funky decor and fab services	The hotel sax was a wonderful treat. I had seen mixed reviews before going, but really enjoyed my stay. Since I was driving, the hotels.com free parking offer tipped the scales for me. I arrived early (10am) and they were able to let me check in early. The location is central. The room has some unusual decor, but the bed was comfy. The free internet was also a nice plus. The gym was small, but offered enough for me. If I have another conference on this side of Chicago, I will definitely return.	
Oct 8 2009 	Fabulous Sexy Downtown Chicago Hotel	Everything about this hotel was outstanding. The service was beyond my expectations - the bellman took great care of our car, helped us get taxis, gave directions and even remembered our names during our whole stay. The room, although small was lovely with a window that could be opened and a fabulous bed. The whole hotel was very swanky and sophisticated. We didn't try the bar inside the hotel but there was a great steakhouse just across the parking lot, who served up steak and lobster at 11pm after a Cubs game. We will definitely be back!!	
Oct 8 2009 	Chic and Eclectic	Just visited Chicago and stayed at the Sax Hotel by a friend's referral. I'm from California, so I welcomed the &quot;swanky&quot; feel of this hotel. When you walk into the lobby, it is very modern with lounge music playing and a smell of incense in the background. The staff is very young and chic, they probably hire models for this hotel. LOL One of the floors has a business center with wall size flat panels, laptops and gaming consoles. I thought the gaming consoles were a little strange, I guess they cater to a younger clientele. Nonetheless, very chic and the Chicagoans fit right in to make this an interesting place to network even if it's just to check your email. The rooms have snake skinned chairs, 70's looking beds (that are huge), and a small radio that also looks like it was from the 70's. Turn it on though, and it's a blazing Bose system that will rock your room! Mini Bar has the cutest bottles of Patron Tequila, I thought that was a nice touch....At night, visit the Crimson Lounge downstairs. Great music with lots of nooks to hang out with friends. You need to be dressed pretty hip to mingle in that crowd! Lots of fun, loved it. Across the parking area outside is the house of blues. If you stay at Sax you get to visit for free. You also get to visit the private foundation room at HB, pretty neat place, make sure you book it through the concierge in advance, otherwise, they won't let you in! Just around the corner are some fantastic european style restaurants. Very good and healthy. Walk down the riverwalk and there are great steakhouses and Dick's last resort. I hope you visit, I loved it! Oh and each room has an X-box! I thought that was weird, but I thought I'd mention it.	
