	The worst hotel- Do not stay at this hotel	We stayed at this hotel because of some good reviews. When we checked in and got into our room the bathroom was a mess. The toilet as used, the stuff was all over the lid of the toilet and it was not flush at all. I almost got sick. I called the front desk and ask someone to clean it up.Some one did clean it up. I also asked for the supervisor and no one show's up. The supervisor or manager did not even call me.My husband and I were so tired from the flight, or we would have leaved the place. I definitely would not recommend this place to anyone.	
Nov 21 2009 	Great Location Thats about all!!!	stayed at the Inn of Chicago for 8 nights,very well situated,rooms are comfortable but could do with water and t bags as there is no breakfast room or restaurant at this hotel.Travelled all the way from Scotland to be given a room on the 4th floor looking over the marriot hotels brick wall at the back a view wouldve been nice.Arrived at reception to be greeted by staff who at the time couldnt be more awkward or rude if they tried to a fellow guest who was obviously in distress all because they couldnt get her card to swipe treateed like she was a criminal and not a guest,thought to myself i certainly wouldnt put up with that treatment,however when my daughters swipe card for her room wouldnt work the young spikey haired lad at reception who also looked after?? the guest in was referring to then tried to do exactly the same with myself and managed to press all of my buttons to the point he was a very lucky his manager stepped in.not the way you want to be spoken to whilst having a vacation.T he Bar!! If you like to wind down at night with family or friends you certainly cant do it here as the bar opens approx 5pm and closes at whatever time the barperson decides and on the night we were meeting our friends who had travelled from kentucky happened to be 10pm?? and not only on this occasion ,however Dan was a very nice person but as he admitted was part of a union so dont expect to be served within 15-20minutes or more if he has someone else hed prefer to chat to.Waited 21years to take my son to Chicago as hes always been a massive Bulls fan only to be Dissapointed in this historic hotel.The hotel however is perfectly located and the porters are definately the nicest and most helpfull of the staff and nothings to much for them and thankgoodness someone seems to care about customer service.I dont usually rant on unless im mistreated and i do know what customer service is as i do own a hote,a guesthouse and a publib bar in dif towns in Scotland and none of these staff except for the porters and the black lady behind reception would be employed by us even if it meant we had to work 24hours a day till someone else came alon.Theres plenty more hotels in Chicago and whilst this one is central i would give it a miss this time aroundOur kids are 21 and 19 and our friends are early 40s as well as ourselves and we all agree and all had plenty of fun elsewhere.So sad for such a great hotel with history that no one seems to care.Long live the unions???? (Not)	
Nov 18 2009 	Love this hotel!	This was my first time in Chicago and my friend and I were a little uncertain about this hotel before we got there. It was amazing. The staff (especially LaTonya and Dan the bartender) could not have been more helpful. Everything was taken care of for us, and the location is perfect. The value of this hotel far exceeds the others I checked out. We were so sad to leave!	
Nov 16 2009 	Far and Away the Best Customer Service EVER!!!!	My family and I decided to meet in Chicago for a weekend together. My future brother-in-law had decided to propose to my sister at the hotel on their terrace. The concierge LaTonya and manager Alyn did EVERYTHING in their power (including staying past their work hours) to help us make this the most amazing proposal ever. I have NEVER experienced such help and kindness from a hotel staff in my life. Words can't even begin to express the wonderful things they did for us. In addition, they helped with dinner reservations, special touches, tours, etc. Staff is hands down the best out there.The rooms are simple, clean and just enough room to be comfortable. The hotel just had such a cozy, family feel to it that I don't ever plan on staying anywhere else in Chicago. You won't be disappointed. Not to mention, the rates are absolutely unbeatable!!! I would recommend this place to anyone.	
Nov 10 2009 	Convenient and pleasant	We got this room for around $72 a night including taxes. The location is great, just feet from Michigan Avenue, and convenient to transportation, and a great place to set out on walks. We walked to the Art Institute quite easily. Check in was good. We arrived early and the room we booked, a queen, as not available, so the very nice clerk arranged for us to have a king room instead. The room was not enormous by any stretch, but more than enough room to turn around and maybe even dance between the TV and the bed. The room was on a corner, with two windows, the main one overlooking Michigan Avenue.I noticed they were gradually upgrading the rooms (on the mezzanine there were stacks of boxed plasma TVs, and the 22nd floor--we were on the 17th--was noticeably fresher than ours), but our unupgraded room was just fine. The bathroom as small, but not claustrophobic. For whatever reason the sink had obviously been recently replaced with one of those furniture-like models, and it was very handsome, but way out of scale to the rest of the bathroom.Requests for extra pillows and towels were fulfilled by the cleaning staff without any trouble. The bar staff was super nice. The Lavazza coffee shop in the lobby was convenient although the gelato was mediocre.The crowd here skews young. The lobby tries and generally succeeds at being hip and modern.	
Nov 5 2009 	Value for Location but disappointing.	Recently stayed on business trip. Lobby has been renovated to appear as a boutique hotel, but this isn't true for the rooms. Faded but clean room. Small bathrooms with no counter and shoddy worksmanship. We had to change rooms because of the odor of the carpet cleaning solution used in the hallway. Free wi-fi in lobby was a plus. Front staff were very helpful and friendly, but overall it was disappointing.	
Oct 26 2009 	I'd definately stay again!	I hadn't stayed at the Inn of Chicago for years, and after reading some of the negative comments was a little reluctant. Glad I booked it. The front desk was extremely friendly. Surprisingly, the manager came out to greet me, welcomed me to the hotel, and told me not to hesitate to contact him if he could do anything to make my stay more enjoyable. Room was roomy and clean. The only negative was that the mattress was so soft we kept feeling like we were rolling to the center of the bed. The hotel is a great location and well maintained. We'll definately stay here next time we visit Chicago and would not hesitate to recommend it to friends.	
Oct 21 2009 	What was all the complaining about....?	Wow - the folks out there had me so scared about this hotel that I tried to change hotels an hour before my plane left for my business trip to Chicago.What was all the huffing and puffing about? Hands down, this hotel is in an amazing location.Staff was friendly an accomodating. I asked for a room upgrade and got the Junior Suite - a cute little &quot;apartment&quot; with a living room area, plasma tv, a wet bar, bathroom, and bedroom (bed was SUPER COZY). The room was clean, and any request for additional toiletries was granted with a smile.The only reason I would say that the room was a 4 was due to the lack of complimentary internet in the room.The lobby has access to free Wi-Fi and is a cozy little hang out spot (I'm actually in the lobby area writing this review while I wait for my shuttle to the airport).So - don't listen to the negative reviews. You're in a great location, fun hangout spots are at abundance, and they are quick to accomodate for upgrade requests.	
Oct 17 2009 	Great Location Good Prices...	We have stayed here for 3 nights. The location is great, very close to the Loop. We stayed in a standard room but it was like compressed, the bath too. There was a door to another room I guess, luckily it was locked. The air conditioner was a little bit noisy and very old. If you are not looking for luxury but a budget place close to the Loop, I recommend the Inn of Chicago, Magnificent Mile.	
Oct 12 2009 	You are on your own here	I stayed at this hotel from september 9 to 16. On my last night, while packing, I found that my iPod was missing. I went downstairs to report this at about 10 pm and I was asked to fill some papers with a guy that never identified himself beyond being a security guard and no copy of the forms were offered to me. At one time this security guy told me that he needed to file a police report and even when there was a phone on the desk he went to another office and made the call (so I was told). He promised to give me the number of the report but today, almost 4 weeks after the event I still don´t have it.I left the next morning at 6 am so there was no more information about this issue the next day. I had to make no less than 8 calls from Mexico City in order to find out that maybe an answer was due for the following week. Another series of calls followed, all by myself, none by the hotel. Eventually they told me that the cleaning maid reported that se had never saw the iPod and that was it. The hotel, I was informed, had no responsability at all for the goods of their guests. So, if you are planning to go there, keep in mind that you are on your own. I guess that this might be the case for a $20.00 per night place in some forgotten part of the country but surely is not to be expected for a respectable business hotel in Chicago Magnificent Mile.Or maybe it has to be with the fact that I am not American and live in mexico. Trying to follow upo a claim like this is so frustrating and time consuming that in the end nothing happens at all.In short, if you spend some nights there the advice is to carry with you all your valuables as they will be safer with you in the streets than in the room and the hotel takes no responsability.	
Oct 6 2009 	Good value great location	We stayed in this hotel for 6 nights. Very pleased with location and quality, although we did book on a discount site and paid about 40% below original hotel price, which is probably why we thought it was such a good deal. Coffee shop downstairs with great cappucinos, excellent service at front desk, one block away from Mag Mile. Walking distance to underground, and to Navy Pier. Beautiful rooftop patio, and despite the signs, hotel staff don't mind if you buy a bevvie at the 7-eleven across the street and bring upstairs to the patio. Rooms are quite small, as are bathrooms, but clean. Cleaning staff are a bit loud in the morning, and have a tendency to ignore the &quot;do not disturb&quot; on the door and walk right in - be sure to use the chain lock!! Elevators are tiny and you may have to wait a few minutes to get up to your floor, but really not an issue.	
Oct 1 2009 	Don't get too picky!	I've read all the negatives - and there is an element of truth to them. On the whole, however, I thought this was a good place to stay. We previously stayed here before the renovations: the place is much better now. The staff were friendly enough: I don't expect gush. Sean behind the desk deserves a special mention: he dealt with a minor reservation glitch by giving us a better discount than I ever expected, and upgrading us to a corner room with a bigger bed. Yes, the bathroom was tiny, though it wouldn't actually cause any problems to a normal-sized person.Did the roof terrace close at night? Yes, but only when you'd had chance to watch the sun set, and it was pitch black. There were signs telling you not to bring in drink from outside, but in view of the hotel bar prices, none of the guests seemed to take any notice!Was the bar expensive? Yes, hotel bars always are. Was it full of oldies, too scared to venture out? Well I probably was one of those oldies, collapsing into the bar for a last nightcap with my wife and our friends after &quot;hitting the town&quot; from morning till night!If you want to be picky, pay a lot more money and stay in a better hotel: then get picky! This is probably the cheapest hotel on Michigan Avenue.	
Sep 27 2009 	Great Location Reasonable Price Mediocre Service	We stayed here for 5 nights in mid-September. The price was fair (about $100/night) and the location was great. Easy walking distance to the Navy Pier, River North, Streeterville, etc. and it was practically on the Magnificent Mile. Close to the subway at State Street.Amenities were ok. Nice workout room with good and ample equipment. Nice top-floor terrace with a good view (although the hours weren't great -- it closed at 10pm). One big drawback was no free WiFi in the rooms -- you had to go down to the lobby, which was usually filled with other guests doing the same thing. Particularly bothersome was that you could not get WiFi reception in the hotel bar, which was just a few feet away from the lobby.The room was clean and the maid service was good. The TV was an old CRT and the picture was a little fuzzy. The room is on the smaller side, and the bathroom is really tiny. We could've used 4 pillows instead of 3, and plush instead of feathered. Other than that, the room was fine.The bar was kind of lame. The only patrons were middle-aged to senior-aged guests of the hotel who seemed to frightened to venture outside. The beer selection was terrible (who needs 12 domestic lagers?) and overpriced. We didn't try any &quot;signature cocktails,&quot; and I'm sure we weren't missing much. The bartender was a bit of a jerk, too. We hoped to see a different bartender later in our stay, but it was the same guy every night.The bell desk was cool about keeping our bags for us while we did some more sightseeing on our last day after we checked out. The bell staff was very helpful and friendly, beyond their duties.The front desk staff wasn't terrible, but seemed aloof and nonplussed about working there. On the first night, our keycards were somehow erased and we had to go to front desk to have them replaced. The staff didn't seem to concerned or apologetic about this inconvenience to us.As for food, there was a nice tea/coffee shop across the street, a 24 hour Dunkin' Donuts (!!!), and a burrito place that was not that great. Also, a gay bar called &quot;Second Story Bar&quot; which we almost tried out before reading that it was a gay bar (we're a straight couple -- nothing against gay bars, just not our scene).At night, there was a creepy, lurking security guard who gave everyone who was sitting in the lobby silent, dirty looks. A little odd.Other reviewers complained about the noise and proximity to a fire station. We were on the 14th floor and didn't have any complaints about that. The walls are thin, however, and we had some rowdy frat boy neighbors the last night we stayed there.Overall, for the price and location, this hotel was worth it. If you're looking for better amenities (e.g., breakfast, free WiFi), then you might want to stay somewhere pricier. But this was a decent hotel and we were basically happy with our stay.	
Sep 19 2009 	Right off the Magnificent Mile	Three friends and I stayed in a double-double room at this hotel for one night. You can't beat the price for this location. The rooms are small, but the space is used well, so I didn't feel like we were tripping over each other. Two complaints would be that the air conditioner was a bit noisy, and don't even think about spending time in the room watching TV as the picture-quality was terrible and there was a humming noise coming from it. On the positive side, the 22nd floor terrace has really nice views.Parking was very expensive, but I guess that's to be expected if you stay downtown. We did self-park instead of valet and paid $60 for parking from 9:30 a.m. to 11:30 the next morning. When going out at night, we had no trouble getting a taxi, as there were plenty waiting right out front.	
Sep 15 2009 	Can't beat the location	As with the title, you just can't beat the location and the convenience but you also get what you paid for. This is a basic services hotel and while it had been renovated, it is showing it's age. My bathroom was renovated but I don't understand how you can put the sink beside the door --- I guess if the space is tight, you just have to make do. The room had a musty smell but since I was only there for a day and they were sold out, I stayed out for the most part. The bed was comfortable and beddings nice and clean, but the fabric on the desk chair was stained as well the carpet. I used my flip flops and didn't use the chair at all. The corridors also had a somewhat musty smell that I would think a dehumidifier should be able to take care of. The lobby is spacious and since you have to pay for Internet Access in your room, everyone just took advantage of the free internet in the lobby and used it from there so the lobby was rather busy with people and their laptops (me included).It was a toss-up whether or not I would recommend this hotel, but decided I could because you couldn't beat the location, but know what you're getting and that this is a 2-3 star property.	
Sep 15 2009 	Not what we thought it would be...	Check in: Our room was not ready till 4:30 (check in at 3 and they kick you out by 12 noon) not sure why it takes 4.5 hrs to clean such a small room! The front desk clerk was so rude!! The room was small, dark, dirty looking. The Bed was not comfortable, a sheet as the main cover of the bed...?? The bathroom was so small, hit your knees on the sink if you are sitting on the toilet. Waiting in line for an elevator everytime you try to up or down. Having the maids storage next to our room was not great-- they are so loud banging stuff around in there. was up every morning by 6:45 b/c of that! For the price we paid I should have spent an extra $100.to stay at a nice hotel down the street. The door guys at other places where nicer than this place. Not one person the entire 4 days said one word to us.  I would never stay here again if it was free!!!!	
Sep 14 2009 	Not as pictured	We selected the Inn of Chicago based on the web site, it looked contemporary and convenient. The Hotel lobby looked like one of those $1000.00 makeover shows. Very cheaply done. There was an odd smell in the entire hotel and they tried to mask it with Flower freshener which made it worse. The furniture in the lobby and halls were covered with lint and stains. The rooms were small (which is fine) but they were FILTHY. We went straight to the lobby to get out $ back and move on. After a battle with the manager he finally stated he would let us out of our reservation. Which left us on the street in January with our luggage. Horrible experience.	
Sep 14 2009 	Great Location Horrible Rooms	We stayed her because I got a good rate with Hotwire Travel Ticker and we were on a budget for our hotel room. We also picked it because it is so close to Michigan Ave. which was great, but our stay was anything but. Our room looked nothing like the rooms they display on their website. It looked like the decor hadn't been touched or changed in years. The bathrooms were so small that only one person could be in there at a time and if you really wanted to, you could go to the bathroom and wash your hands at the same time. The beds were very uncomfortable and the duvet cover was only enclosed by two flat sheets, which was disgusting because I doubt they wash the duvet covers very often. After a long day of shopping and running around, we were ready to get back to our room and shower. The hotel only has 3 small elevators for 22 floors that fit four people comfortably and 6 people tight. We had to wait in line and for numerous elevators to come through before we could even get on one. That drove me crazy since all I wanted to do was sit back and relax, not wait in line for an elevator. It wasn't enjoyable relaxing in the room because the room was much smaller than an average room you would find at Hampton Inn or a Holiday Inn.	
Sep 9 2009 	Great location downtown by Michigan Avennue	Very central location off Michigan Avenue, near shopping and restaurants and 5 min to nearest train station.	
Sep 7 2009 	Still the Most Convenient for a Place to Sleep	As a tourist in Chicago, one is usually too busy with the sightseeing attractions, visiting the nightlife or sampling fantastic restaurants. With that sort of agenda, all you need is a safe, comfortable place to sleep so that you can do it again the next day. The Inn of Chicago continues to fit that bill of convenient location, reasonable price, and no-frills-necessary accommodations.Located a block away from Michigan Ave., the streets around the hotel (the corner of Ohio and St. Clair) are quiet with relatively low foot traffic. Navy Pier is within a 15-20 minute walk, and all of the Magnificent Mile is even closer. Just within blocks of the hotel are restaurants of various cuisines (Italian, Armenian, tapas, Mexican, Asian), casual bars, and the obligatory national-chain donut shops and coffee shops. A 7-Eleven sits on the corner across the street for any late-night snack or beverage needs.The Inn of Chicago does tout its Innbar, a small lounge on the main level. However, as the crowds (or lack thereof) in the bar indicated over this Labor Day weekend, it is not the primary attraction of the hotel. There were, at most, maybe three or four patrons having a cocktail or beer at any given time, so the poor lonely bartender may be distracted by any human contact. Therefore, don't expect table service. Just go up to the bar yourself and order a drink there.The fitness center was described by hotel staff as having recently been renovated with new equipment. This consists of a series of new dumbbells (ranging from pairs of 5 to 50 lbs.), a vertical machine weight system with pull-up bars and weight bench, a recumbent stationary bike, two treadmills, an eliptical, balance ball, and yoga mat. A water cooler and flat-panel TV are also available in the room, but bring your own towels from your room.	
