	A great spot!	We have always been pleased with our stays at Intercontinental hotels. Chicago was especially pleasant with a helpful staff.	
Nov 24 2009 	Great location- wonderful city.	My husband and I went here for a short (week) winter holiday to ring in the new year.We enjoyed all aspects of our stay.The room was comfortable, well appointed and welcoming after a hard days shopping/sightseeing! If you happen to go to this hotel it can be hard to go beyond the hotels main street which is choc- a -block full of a shopping divas every whim! (Inc.Macys)If you go for new year-nothing beats the midnight fireworks extravaganza at Navy Pier-(its walking distance from the hotel)- come prepared for the winter chill though- when it gets cold in Chicago it gets REALLY cold.- blocks of ice puncuate the pavements like carerra marble teeth- at first its hard to ascertain exactly what they are- the masses of compact ice refuse to melt, and periodically you come accross signs warning you against the dangers of falling ice!(TRY DODGING THAT!).We made a trip out to Aurora( remember Waynes World???)- well also a great retail shopping outlet- the train alone was a treat(do it its an eye opener) - the sales also happened to be on when we got there( double joy!).Needless to say we didn't spend a lot of time in the hotel-I thought the location was super,rooms good,but really theres so much to see and do you will be enjoying yourself too much to give too much thought to room details!!The only thing which they could review for next New Years Eve is their early closure of the bar- we came back from Navy Pier on New Years Eve Night only to be told the bar was closed- yes - even to residents??(There is actually a-v.handy Starbucks in the lobby-I think it was even open!)There are p-l-e-n-t-y of excellent eatieries- check out the rooftop(you will see a conservatory type feature protrusion)-accross and to the rightfrom te hotel(can't recollect the name- excellent- we went there for an evening meal- it snowed- it was like hovering in a cloud(-oh if you are fond of a g n t their tonic water in bombay sapphire gin is toxic/explosive but ..flat- be warned). All good- hard to get everything done- went again at Easter with family(gd for children)- must sees- Shedd Acquarium(A1),Planetarium,Museum Natural History,Chicago Institute of Modern Art (full of pointillist studies), Sears Tower-excellent,Chicago Bulls(A+++++++++++==F-A-N-T-A-S-T-I-C), Chicago White Sox- bring blankets for same if you go in winter- I kid thee not- although you can avail of hot chocolate.River Tour- later in season- if th e notion takes you you can also prebook /view an Oprah show.Went to Musical- A1 2-so many things..so little time.. its a city to FEAST ON! Enjoy!!	
Nov 20 2009 	Another bright spot in Downtown Chicago	I was a guest at the InterContinental during the May 2009 Society of Hospitalist Medicine Conference- the venue hotel was booked. I enjoyed my stay immensely. The staff was very attentive-- especially during the rainstorm which greeted me upon my arrival. They were there with umbrellas to keep me dry as the cab driver unloaded my luggage. My room had a problem with the thermostat, but the front desk was very receptive when I brought it to their attention. Despite the busy downtown activity, the staff gave excellent individual attention. I will return to the InterContinental whenever my travel plans lead me to Chicago.	
Nov 16 2009 	Couldn't have been better!!	We only stayed one night but, the service was excellent, location was better than we imagined, and they were very flexible! We arrived in Chicago three and a half hours early and they were nice enough to let us check in early! Concierge was more than helpful with directions and food recommendations. I would love to go back! Highly recommended.	
Nov 14 2009 	The Chicago Intercontinental is starting to feel like a luxurious second home	Superb service and luxury but without any snobbish attitude. I stay here frequently and always feel well cared for. I am fortunate enough to travel all over the world and this place is my favorite for the understated luxury and comfort...and that POOL! It is simply fantastic!	
Nov 13 2009	Loved this location	We got a really good rate thru Hotwire and the location right on Michigan Avenue was perfect. Everything was just a short walk away. Parking was $53 a night which is a lot, but parking downtown is expensive. We were able to leave the car parked all day long while we went shopping and sightseeing so all in all it wasn't a bad deal. Comfortable bed and lovely bathroom. I think we had the &quot;Hotwire Special&quot; room because it was really small, looked out onto the rooftop A/C units and was next to the elevator. However, the room was lovely and quiet so who cared :) The staff was smart, efficient and pleasant.	
Nov 10 2009 	Girl's Weekend with American Girl	We take a yearly &quot;Girl's Weekend. There were eight of us ranging in ages from eight to eighty. I called the Intercontinental Hotel ahead to request ajoining rooms, two beds in each room and non-smoking. I mentioned that we were going to visit the American Girl Store as we have two girls with dolls. We arrived around noon and to our amazement, there were two hot pink star cookies with milk in each room! Waiting on the bed was a personal invitation to the girls to visit the store and a fold up bed for each one of the dolls as a complimentary gift to the girls. You can only imagine how excited the girls were.The hotel staff was great. The girls had a fun time in the pool then took their showers in the Athletic Club-they supplied everything from shampoo and conditioner to a blow dryer. One of the girls did not pack a toothbrush so we called the front desk and they sent up toothbrush and paste. We received &quot;Red Carpet&quot; treatment! We &quot;Pricelined&quot; this hotel and sometimes because of that you get inferior service. We did NOT! The staff was awesome and we would go again.	
Nov 4 2009 	Never again!	Well. I had thought that the InterContinental was an upscale chain, having stayed at the one in Hong Kong (formerly the Regent). I was mistaken. I stayed at this one for 2 days while attending a meeting and was very disappointed. The positives first: location, staff, lobby, food/drink. A Starbucks in the lobby. These were all fine if not better than fine. I suppose the $276/night was for these features.And then the negatives....The room was just deplorable. The Crowne Plaza in Minneapolis I stayed at last month was far better. I was in the &quot;nonhistoric&quot; side of the hotel--the room was tiny and in need of serious renovation. The bathroom was small, dingy, with peeling wallpaper, cheap or worn fixtures, scratchy towels, and sink faucets that went in the wrong direction. The bed was fine, however, comfortable with good linens. The fee to use the hotel gym was another unpleasant little surprise. I don't even know where to begin with that one, as I have not encountered that problem before. At what is basically $300/night, it seems insulting to ask hotel guests to pay extra for that.I guess I was shocked at the discrepancy between the attention to the nice lobby area, public spaces/services, customer service (excellent at the front desk and at the curb), and the very poor conditions of the room. I understand that this is a big city and that the hotel is in a great location, but I felt like I had been deceived. There are plenty of hotels to choose from in Chicago. Next time, even if I have to spend a little more, I will go elsewhere.	
Nov 2 2009 	Great Location	Great location - Lots of ammenitiesZest - Great restaurant - Staff (Frank &amp; Louis) were great.Lisa at front desk was very accommodatingWish we had of known more about the historical tower. Would have booked a room there. Had a look at one room and was very impressed (More roomy)The room we had in the new section was small and requires refurbishing	
Oct 14 2009 	This hotel did not measure up to 4 star quality. Lacking in several areas.	Upon check-in, staff was polite but offered no information about the hotel. I was suppose to have a Magnificent Mile Suite and paid for this; however, I could only see a side street. Bathroom was very small.I stayed Wed.-Sun. and each day something was missing from my room. No shampoo, no washclothes, no glasses. Restaurant was great with good service. Customer service was lacking with many areas. The hotel is over priced for what you get.	
Oct 13 2009 	It was fine but nothing special.	The Hotel InterContinental is in an ideal location, right on Michigan Avenue. Everything was in good condition, perhaps recently renovated. The room was average size for a city hotel, but it did have a built in sofa under the window which was convenient. The bathroom was small and the tub was so small and shallow it would have been a better idea to rip it out and build a nicer shower. The bedding was very comfortable, but the towels were scratchy. Skip the in-room coffee, its bad, and go downstairs and get a cup at the SBUX in the lobby. If you're hungry, be warned the room service is pricey. There is a fun place behind the hotel called Reagle Beagle. The burgers were great and the drinks were inexpensive. Not a bad hotel, but nothing special.	
