	a much needed relaxing stay!	Good hotel service starts at check-in and the front desk agents at the Red Roof are always so friendly! They made sure we had the things we needed for the night and greeted us everytime we walked past the desk. Our room was cozy and very clean. The comlimentary coffee in our room was perfect in the morning. I'll definitely stay there again soon.	
Nov 24 2009 	The crew at this hotel makes your stay worthwhile - especially Ms. Robinson!	Great staff. Great location. Needs renovation but all in all a great place to stay.	
Nov 23 2009 	You've got to include this hotel when you go to Chicago Downtown	Perfect location with perfect value! Walking distance to Navy Pier. Just one block away from Michigan ave.	
Oct 8 2009 	Great trip to Chicago	This was my first time in Chicago, we came for a Cubs game. After reading several negative reviews we were very hesitate about staying at this hotel but we were pleasantly surprised. We checked-in at about 4:15pm on a Thursday, it was very quick. We had a king room on the 16th floor. It had a nice flat screen tv &amp; a small desk. The elevators &amp; hallways are very small but...I didn't go to Chicago to spend time in them. The room was more then big enough for my husband &amp; I. I don't know what their double rooms are like but I could see that maybe 2 beds in a room might be a bit tight for a family of 4. However, for as little time spent in the room, I don't think it would be a big deal. If planning to be in the room for long amounts of time, I probably would spend a bit more for a nicer hotel. The elevators &amp; hallways are very small, but again...not there to spend a lot of time in the hotel. The location of this hotel can't be beat, especially for the price. Just steps from Michigan Ave &amp; Magnificent Mile shopping &amp; we were able to easily walk to about everywhere we wanted to go from the hotel. The only real negatives I have about the hotel room are this: the carpet seemed quite dingy with a big pink stain in the corner, the bathroom needed a bit of deep cleaning ie. walls around/below sink &amp; the grout in the shower needed to be scrubbed. This is a no frills place... if you're on a budget &amp; looking for a place to change clothes &amp; sleep at, this is a great value. I really can't complain about anything considering we paid only $50/ night thru Priceline...you can't beat that for the heart of Chicago.Food &amp; drinks in downtown Chicago can be pricey so I recommend the TGI Fridays that is on the other side of the block from the hotel (on Erie St.) They have a very nice bar area &amp; drink specials every day of the week. We didn't find this place until our last day &amp; wished we had much earlier. Great place to sit, watch a game &amp; have a drink after a long day of walking. We also stopped by the Signature Lounge on the 96th floor of the Hancock Bldg. for a drink. Instead of paying $12-$15/person to go to their observation deck, we went to the lounge &amp; had a drink. Drinks are pricey but you get a great drink while enjoying the great view. I recommend going during the afternoon to avoid the crowds for your best chance at a seat by the window. There is also a McDonalds &amp; a Walgreens about 4 blocks west on the same street as the hotel. Also to be checked out: Maggiano's Restaurant (great food, reasonable prices), Navy Pier for fireworks at night (Billy Goat Tavern for a drink), Second City comedy club (great show).We were really impressed as to how easy everything was to get to, either by walking or public transit. We ordered a 3-day pass from the CTA website prior to our trip. They were mailed to our house (included in price) &amp; don't activate until the first time you use them. They are good for unlimited rides on the bus &amp; el train. Use Google Maps for directions, it is connected to the transit authority &amp; will map your way for walking or public transit, giving you the correct bus # or train &amp; how to get to the correct bus stop. We used it on our Blackberry &amp; it worked great! We had one of our best trips ever &amp; the hotel was great for what we needed it for. We would stay here again &amp; I'm sure we will.	
Sep 25 2009 	Was a Good Value For the Price	On a spur of the moment I decided to go to Chicago to see Paul Potts and wanted an inexpensive place to stay. The hotel's location is ideal being only one block off Michigan. The room I had was a corner room was rather small and sparse but it was clean. For the price level you got the amenities you expected, small bar of soap, plastic wrapped plastic glass, shampoo in a package similar to ketchup pack. It was adequate and since it was just me the room was large enough. I had not read all the negative reviews of the hotel but found the staff helpful. I don't have any complaints. If you are looking for basic hotel serices at a great price (from Priceline) this is the place.	
Sep 16 2009 	lip service to roaches and bugs	My wife and I had stayed at the RRI on a previous visit, and I felt OK booking her and a friend there again. Unfortunately, her room had cockroaches, other bugs, and other cleanliness issues. A complaint brought an apology and excuses from the GM, but nothing else. A free night or a reduction in rate would certainly have been appropriate.In her note, the GM says &quot;I realize we have lost your business&quot;. How right she is.	
Sep 15 2009 	DO NOT stay here	cockroachs, black mold/mildew in bathroom, staff allow panhandlers into lobby, room is dirty even after staff cleaned; more like just replaced the towels	
Sep 14 2009 	Great location for the budget traveller	This hotel had some dodgy recent reviews, so I was pleasantly surprised at the friendly and helpful staff. Bedrooms were a trifle small, but this room (on floor 15) seemed in good decorative order, and bathroom was bright and clean. There's a safe in the room for your valuables; hair-dryer, iron and in-room coffee-maker. It's well situated for the Michigan Avenue's Magnificent Mile and an easy walk to Navy Pier, the river, Water Tower, the El and shopping. Some tasty and inexpensive eateries (Burrito on the Beach) are nearby. I'd gladly stay here again.	
Sep 13 2009 	Red roof inn is very near and walkable to all chicago attractions	Red roof inn is very near and walkable to all chicago attractions,but for parking, stay in redroof inn was very cost effective.	
Aug 31 2009 	Perfect	My wife and I stayed for one night and we were very skeptical after reading the reviews; however, the hotel served us perfectly. The staff was very friendly and the location was awesome. The room was small but certainly adequate, and it was clean. The bathroom was just fine. The flat screen TV was a nice amenity and the bed was comfortable. Hey, we only paid 50/night through priceline and you can't beat that. I would stay there again in a heartbeat.	
Aug 10 2009 	You get what you pay for..Nothing!!	I decided to take a weekend trip with a friend to Chicago. After searching through many hotels, I decided upon the Red Roof Inn because of the location and the cheap price. I should have known that the cheaper the price the cheaper the service. Upon arrival the desk clerk took my credit card and ID and started the paperwork. However, she kept answering the phones, and it took nearly 15 minutes just to get our room keys. When we entered our room, the air conditioning was broken. We called the Front Desk and they said they would send a maintenance man up to fix it. After 3 more calls to the desk in an hour and a half period, she offered to switch our rooms. The other room was smaller and had a broken light. The maid didn't even clean our room the next day until after 5pm!! My parents stayed at the Best Western and only paid 20 dollars more. Next time, I'll ante up the money and stay at a place that is deserving of my business.	
Aug 8 2009 	Red Roof Inn Downtown Chicago	The only bad thing I can say about this hotel is that they do not tell you how expensive the parking is...As a first time visitor to Chicago I did not know the parking situation.When I booked a room here they never told me...they probaly assumed I knew....That parking was an extra $36 a day...I was on a budget,and that blew my budget all to hell.Beware that parking is alot extra...the hotel it's self was fine...my room was a bit small but what the heck do you expect for one of the cheapest nights stay in Chicago...It was clean and comfortable...Staff was very friendly and one valet recommended and excellnt place to eat dinner that was under $10 for the entre.	
Aug 4 2009 	Spend the extra money and stay somewhere much nicer.	I stayed at hotel June 5-7 2009, though the location of the hotel is perfect, the hotel &amp; service itself is less then that. Upon checking in I was put into a room that was dirty and had spider webs in the in the windows and was the size of a closet (yes it's a downtown property I accepted that, the cleanliness however was not acceptable) I called down to the desk to see about switching rooms and was told I was in the largest room, they didn't offer to move me until I asked for a refund to move elsewhere. I was put in a much nicer room. This seemed to be partly remodeled. The day of check-out a person who was in the room with me dropped their phone between the bed and wall, went to pick it up and found old dried up vomit on the wall, floor and side of the bed. At check out i brought it to the ladies attention and was simply asked if I would like another copy of my bill. I decided that when I got home I would call the manager. Manager was nice apologized and offered to refund my money. Long story short it has been about TWO months and due to lake of competence, and just plan disregard with the extent of this issue; I am STILL waiting for my refund. The customer service is seriously lacking, I have gone through 3 different people promising my refund, none of which have actually followed through. I would advise you spend the extra money and stay in a much cleaner hotel to avoid any situation of this matter.	
Jul 28 2009 	Perfect for Teen/College Students	This hotel is in a perfect location downtown. The cleanliness wasn't the best, but if you're going to Chicago for the city, and not for the hotel, it's definately worth it. The cleanliness mentioned in other reviews was not experienced during our stay. We had a blast in chicago, and the Red Roof Inn provided a great night's sleep for us.	
Jul 24 2009 	Ok hotel but would pay more to stay somewhere nicer next time.	We stayed with my 2 daughters (8 &amp; 12) for an overnight fun trip in Chicago. We booked on priceline &amp; got a great rate, so I suppose you get what you pay for. I had been reading others reviews on the hotel &amp; honestly was terrified on what we'd find when we arrived. I was prepared to forego my money &amp; just head home if it was as bad as others had said. I was pleased to see that our room was clean when we arrived. Although I couldnt wait to get out of there because it was so SMALL. We were all tripping over one another &amp; really felt trapped almost. The check in staff was very nice &amp; friendly, as was the valet. It is definitely a 2 star hotel, so dont expect extra perks or luxury features. However, I was at least thankful that our room was clean. Lesson learned however, it was nice to spend less, but at the end of the day, I'd just assumed have paid $25 more &amp; stayed in a better quality hotel. The location was great though-right by everything in the heart of the downtown. We probably wont return again though.	
Jul 24 2009 	Good price for the area. The service and cleanliness were not so good.	We couldn't have asked for a better location for the money. That said, I travel quite a bit with my job and the Red Roof Inn on Ontario is one of the worst hotels I have had the pleasure to stay in. When we arrived, the air conditioner in the room did not work. I called the front desk to get something done about it. The girl at the front desk assured me that it would be taken care of. It wasn't. We didn't press the issue because the weather was mild during the week we were there. The room was not altogether clean. There were dirty q-tips, a face cleaning pad, and a wad of toilet paper in our ice bucket when we arrived. They stayed with us all week. I would only recommend this hotel to someone if they are willing to sacrifice customer service and cleanliness for a cheap room in an excellent location.	
