	Weekend Affordable and Close to ORD/Chicago	This is an excellent hotel if you are in Chicago for the weekend and you don't mind taking the MTA into the City (30-40 minutes $2). If you are flying in, then they have a very frequent shuttle to pick you up from ORD. And if you are driving-in just for the weekend, the hotel is adjacent to the Blue Line Station to get into the city. Traffic can be maddening.They have an good fitness room in the basement and the pool area is adjacent with families. The only caution is that I would recommend any room ending in ##14, you will be away from the freeway and the room is set up as a 1 bedroom. Many room have the TV on a lazy Susan/dresser separating the sleeping area from the living area. Other thing, all bathrooms are modern walk-in showers--no tubs...	
Nov 21 2009 	My absolute favoriate in the area modern 	Stayed at several different hotels in this area including Hilton, Intercontinental, Renaissance is my absolute favorate! The suite is spacious, comfortable and modernly decorated. Free internet is available at hotel lobby as well as executive lounge. It's about 20 minutes drive from Chicago downtown, 5 minutes from Rosemont convention center, 10 minutes from O'Hara airport. Hotel rate is very good for the weekend but expensive and hotly sought-after during Expo events.	
Nov 20 2009	Watch Your Wallet	The architecture and food in Chicago are two thumbs up! The Renaissance Hotel - O'Hare has beautiful rooms but if you are a light sleeper you can hear planes taking off. The shuttle drivers are very helpful and friendly. Carlucci's Italian Restaurant nearby gets a 10 for food, service and atmosphere. Shoeless Joe Jackson's is a huge sports bar - huge portions, bar atmosphere.The downside is the commute to downtown. The trains are usually packed so we ended up standing for the 40 minute ride downtown. One of my friends had her wallet stolen on the Red Line. Very crowded and she forgot to take off her backpack purse.The wait to see the Sears Tower is 1 1/2 hours to get tickets and 1 1/2 hours to get to the sky deck so plan ahead. Water taxis are a great way to get full views of the downtown buildings. The Pier has something for everyone but the restrooms are far apart. The Frank Lloyd Wright tours are NOT available on the weekend.Howl at the Moon has great entertainment! Unfortunately, the server (who knew we were from out of town) or bartender added 6 beers to our bill and we didn't catch it until the next day. We contacted them but they basically said too bad. CHECK YOUR FOOD/BAR TABS BEFORE YOU PAY!!!Chicago was interesting but the thefts will keep me from returning.	
Oct 24 2009 	luxury at an affordable price	i just checked out of this hotel a few hours ago and had to write a review. for 99 dollars, i don't think you can get much better. the hotel was very clean. rooms are large (all suite hotel). the decor is very modern (with the exception of no flat screen tvs). the staff was very friendly and helpful. very quiet -- did not hear a single airplane. breakfast was very tasty. it is a few steps away from the CTA train, and there is a complimentary shuttle to and from the airport. i think 9.95 for 24 hours of internet is not much to ask. would definitely stay there again.	
Oct 19 2009 	Excellent Hotel Overpriced Parking	We had two rooms at this hotel the weekend of the Chicago Marathon -- one room for my wife, myself, and our young children, and one room for my parents. The hotel is nice, the suites are roomy enough for families, and the huge bathrooms are fantastic. The location is good if you are planning on taking the train into town for everything you do (it's right next to Cumberland Station), as long as you don't mind a 30-minute train ride.I knew the parking was $20 a night, but I read some reviews online that said you could avoid it by parking in free lots around the hotel. But there aren't free lots around the hotel -- every lot has a sign saying that if you don't have a permit, you'll get towed. I didn't want to take the risk, so I parked in the hotel garage.Lovely hotel, but $20 per night parking is overpriced for the location. Also, no free wifi in the rooms. That was kind of surprising.	
Oct 15 2009 	Excellent Hotel	We stayed here in early Oct after a long flight from Ireland. The (complimentary) shuttle driver was courteous and helpful with our bags. The hotel is located quite near to the airport but noise was never an issue here, sound-proofing is very good. Check in was quick and efficient. Very nice front desk staff, extremly helpful. Rooms are fabulous, extremely clean with comfortable beds, massive bathroom with really nice smellies and plenty of fluffy towels. We ate in the restaurant on 2 occasions and were more than happy with quality of the food and the service. Hot food (omlettes, pancakes etc) cooked to order so its always fresh. Also had sandwich from the bar, top class also. We would recommend this hotel to anyone. We choose it after reading reviews on Trip Advisor and were so glad we stayed there	
Oct 14 2009 	The hotel was okay but not as amazing as I had hoped it would be	Pros: The room was very clean and had great Aveda shampoo/soap (a plus since I had forgotten my own stuff). The beds were comfortable, and there were plenty of channels. The hotel itself was a great value, giving us an affordable place to stay during the Chicago Marathon. The room service was very prompt, and the food was pretty good. I particularly enjoyed their fries. They had a nice pool and hot-tub as well, with towels on the way there. The breakfast was pretty standard hotel breakfast, with a made-to-order omelette station (I didn't get to try this because they mixed up my omelette (no meat) with someone else's (lots of ham and bacon)). But it looked good...just keep an eye on your food. Cons: When we got into our room, one of the shades in the &quot;living room&quot; was broken, and the door deadlock would occasionally get stuck in the locked position. We never asked the staff to fix these problems so it may be unfair to complain about it. There was ALWAYS a wait at the front desk, no matter what time of day I went down there. I really felt like the hotel was understaffed, but maybe that was because it was a busy weekend. We asked for more towels in the morning and told them they could take their time as we didn't need them until the afternoon. We didn't realize that this would result in an 8 hour delay, after which we called for towels again. They were promptly sent up at that point. The concierge lounge was nice and quiet, but didn't have public computers or printers for use.Upon check-out, I was a little upset because when we asked the woman at the desk to hold our bags for the day (we could have asked for late checkout, but thought this would be more convenient for the hotel), she crammed my marathon poster into our bag, then wheeled it into a wall and bent it in half. I was shocked at the lack of care for personal belongings, so I'd recommend you not utilize this service.	
Oct 14 2009 	Great Hotel Perfect Price	Everything was wonderful! You must stay here if you want to save a buck! Best deal in Chicago!	
Oct 14 2009 	Great Hotel Great Price!	Renaissance Suites hotel was great as always. This was our second time at this hotel and was just as nice as we remembered. Staff was friendly and helpful. Stayed in room with my parents. Large enough for two couples to have private space. We took the comfortable sleeper sofa and they took the bedroom with a king bed. Short walk from the train station. Saved lots of money!!!	
Oct 13 2009 	Decent Hotel Near the Airport and Subway	This property is nice. The rooms are modern and designed like a mini suite with a separate living room and bedroom. The room has a TV – flat screen in living room and old fashion one in the bedroom. The bathrooms are nice with a modern glass shower, but no tub. Room includes a very nice modern desk and ergonomic chair. The restaurant and bar offer good food, which is nice if you’re stuck at this property which is about an hour from downtown Chicago on the subway. Driving at rush hour can take two hours to go fifteen miles to the downtown loop. I’d normally stay at the Renaissance downtown, but decided to stay at this one because I had a meeting in the area.  The property has a decent fitness center with modern equipment. If you’re a competitive or recreational swimmer you’d hate the 20 yard lap pool because the water temperature is about 87 degrees. No one can swim laps in 87 degree water temperature. A better name would be a wading pool, which is great for kids.The hotel posted a note in the room that they were doing some minor exterior work on the building during the week day 9 - 5, which I didn't notice because I wasn't at the hotel during that time.	
Oct 5 2009 	Just what we needed after a long flight from the UK	We stayed here for just the one night, as it was close to O'Hare and we needed to recharge our batteries before setting off on a long road trip. It was perfect, from the fast, efficient check in, through to the big comfortable room, spotlessly clean, and the even bigger, very comfortable bed. The room was very quiet and the staff were very helpful with recommendations for local restaurants. Excellent value for money and so convenient for the airport. Highly recommended! You do have to pay for parking, but we expected that so it wasn't a surprise to us.	
