	Excellent Value and friendly professional courteous staff in Great Location.	My wife and I truly enjoyed our recent stay at this Sheraton Hotel. The value for money was outstanding - I know the price we paid is a reflection of the current difficult economic conditions but it really was worth much more money. The room and facilities were very comfortable and became our home during a week of constant activity. We looked forward to coming back to our room every evening, our &quot;island of tranquility&quot;, which overlooked the river and was very quiet. The front desk and housekeeping staff made us feel like special guests every day. We really liked the free internet access in the link café; the complimentary Starbuck's coffee and Tazo Teas are a generous and welcome amenity. Every hotel employee we met was helpful and pleasant. We loved the central location for our stay during Thanksgiving Week and will not hesitate to return to this hotel when the next opportunity presents itself. There is much we could say about the little things that make a stay enjoyable, and it is obvious that staff training and attention to detail as well as the intangibles, &quot;positive attitude, pride and willingness to please the customer&quot; are very evident throughout your facility.	
Nov 18 2009 	Shabby room. Nickel and dime pricing.	We stayed at this hotel during a very busy conference, so it would not be fair to rate some of the services. The room we were given can best be described as shabby. The alarm clock radio did not work and had to be replaced. The heating system was antiquated and did not work adequately. The toilet leaked onto the floor during the entire stay. The doors for the closet and cabinets did not stay open as they were hung incorrectly. There was no free internet or wifi available on the property and they charged $12 to use the fitness center. The public rooms, staff and the facilities were nice and there were restaurant choices. Location is great and I would advise that you check out the room first to see if it has been updated in the last 20 years before unpacking.	
Nov 17 2009 	Great Place to Stay for a weekend Getaway!!	This is the second time I have stay with my husband at the Sheraton. I just love it. First of all, it is tucked away from the hustle and bustle of Michigan Avenue but very close to walk to. It is just minutes walk from Navy Pier and is directly across the street from AMC East 21 Movie theater and Lizzy McNeils Pub. You really dont need to leave your block if you just want to relax for a weekend get away, stroll Navy Pier, catch a movie or grab a pint. The rooms are very clean and the beds are great!!! We had a corner room so it had 3 windows and was bigger than most. One thing I noticed is that you never wait for an elevator. One came instantly and the hotel was very busy with conventions and weddings. The valet parking does kinda stink. It does cost 50.00 but directly across the street is a parking garage. It may still cost but at least you dont have to wait so long to get your car. The staff however was very friendly and willing to help. It also helps when you tip. People who work in hotels dont make tons of money. So leave your housekeeper afew dollars on a pillow and tip the man hailing you a cab or bartender making you a drink. Definatley would recommend this place to anyone wanting to stay downtown.	
Nov 16 2009 	Nightmare Parking overrides a good hotel	Beware… Sheraton Towers has the worst valet parking system I have ever experienced. Sheraton really needs to do something different with the parking here. In the world of travel and having choices among hotels, it’s the small details like parking that become a deciding factor. It’s a shame really because everything else about the hotel was good. Ericka checked us in early with welcome arms. My room was clean, the bed was comfortable (I must have had a newer bed compared to other reviews), towels clean and the coffee pot was stocked. It was great to have a view from the room of the river and Navy Pier, which was so near I could almost touch it. Why would you pay for exercise equipment when there is a beautiful river walk just outside the door? Cute little coffee shop was downstairs with really high prices but what else is new in the city. Lots and lots of families with children carrying those expensive dolls but that’s normal every weekend in the City. I come to Chicago often and usually stay at a Hilton or Marriott property. This trip I decided to give it a go at the Sheraton. Valet parking is $50 no matter where you stay so the parking cost was not a surprise. What was a surprise was how incredibly unorganized their system is and that I had to wait 45 minutes to get my car! And I was not the only one. If you call down, the phone just rings. If you go down to the valet area on a busy checkout day, be prepared to wait… and wait… and wait… Good thing I did not have a plane to catch. I understand 15 or 20 minutes. But not 45! When I forgot something and had to go back up to my room, the poor lady at the front desk got the full brunt of my frustration and for that I apologize.	
Nov 14 2009 	Good Location	The hotel is very close to Navy Pier. Nice Lobby. The room was clean, but small. My only complaint is the bed was very uncomfortable. I would recommend the hotel because of the location but hopefully they will get some new beds!	
Nov 13 2009 	Nice hotel good location	Hotel is much nicer this visit than we had in the summer. We were glad because we have stayed at this hotel several times over the last 10 years and always liked to stay here. The new mattresses are very comfortable and the rooms very clean.. Hotel was very accomodating and upgraded us to the Club Level when we checked in early. Had a nice view of the lake and the Chicago River. Breakfast on the Club Level was very good, especially the bakery items. We will definitely come back!!!	
Nov 9 2009	We had a very nice stay here!	I stayed at the Sheraton for my cousin's wedding in October. The room was very nice with a fantastic view! There were also a lot of bars within walking distance for my sister and I. The wedding and reception were held at the hotel and they were beautiful! The hotel even offered a mini reception outside before the main event began. We got to enjoy drinks and hor' dorves right next to the river!! After the wedding the group all went to a little karaoke bar right next to the hotel. It was perfect!!	
Nov 8 2009 	Nice hotel good service all around	We bring a group once a year to eat and party and thank our clients. This was our first stay at this property. We got a special pre-paid internet rate of $109/night. WHAT a bargain! The location is fabulous. We joined the Starwood club upon check-in and were given corner rooms on the top floors. There was free water and Starbucks coffee in the rooms. The room had GREAT views and was quiet. The bed was very comfortable. The reason I give it four stars is because we had terrible reception on CBS; couldn't get it at all. Also, the free wireless in the room never worked after many attempts. We had to pay to access the internet. Also, there's a $12 fee to use the exercise facility and pool. I think that's high, although they did have very good machines and an excellent facility. We found the staff to be over the top friendly and helpful. Though the decor is a bit dated, it is warm and spacious with beautiful views from the lobby and bar areas. The ceilings are lower than some hotels, so the noise level never bothered us. I hope to stay here in the future- we were very impressed!	
Oct 29 2009 	Great Location Great Views!	We stayed here for three nights (Th, F, Sa) and were very pleased. We arrived shortly after 10AM on our first day, and were cheerfully given an early check in at no extra cost, with a room on the 18th floor overlooking the Chicago River with a great skyline view that included the Chicago Tribune building. Beds were very comfortable. Great location: 1+ block to Michigan Avenue and the stop for the bus that goes to the museums. Magnificant Mile and Millenium Park were easy walks. (Navy Pier looks close on a map, but it would be quite a walk. We ended up cabbing it. Or you could take a water taxi there.) We appreciated having several restaurants on site -- ate at the burger place, which had nice river views, as well as at the breakfast buffet (amazing selection, excellent food) -- with several other restaurants within a couple of blocks (PJ Clarks -- good! -- just a block or so away). The electronic tables (checkers, chess, interactive maps, etc.) in the lobby were a hit with our 11-year-old (and his parents!). Our son enjoyed going to the pool each day after returning from the museums and before dinner. Really, no complaints. Price was a little steep, but it was in line with what the other hotels were charging and acceptable to us given the location, the great views from our window and the pool!	
Oct 28 2009 	great location-shame about the Bank of America Protest outside	we hae just got back and want to start off with a Thank You to Alex and Alex (on the reception)for making our stay very pleasant. The Hotel has great views of Lake Michigan from our 34th Floor Room. Staying on the 34th Floor means we also had Complimentary Breakfast. The Hotel is well Maintained and looks like it has been kitted out for Business travellers, this means that the lobby has all the latest gadgets and gizmos. For example, there ae touchscreen tables that act as a eletronic chessboard/tour guide/GPS Map and much more things. Whilst you are there, check out the apple pie in the Chicago Burger Co.it's on the bottom floor and the pies are wonderful.Lastly, it would be remiss of me to not mention the BOA Protest. Basically they breached security in the Lobby, but were Kicked out by the police. They then carried on outsde for 30mins or so.The General Manager wrote all the guests an apology letter	
Oct 25 2009 	Good large convenient hotel in the loop	Stayed at the Sheraton Chicago Hotel and Towers for 3 nights. The hotel is large and well run. The location is excellent for any activities in the loop. High floors have good views of the river, the lake or the city. Rooms were well appointed and clean. I paid about $180 per night (before taxes), which seemed OK for the location, but not a super value. One quirk was that the room service was not available for lunch - you had to go to one of the restaurants in the lobby or the lower levels. The staff was extremely courteous and friendly, which is not always the case in big city hotels.	
Oct 25 2009 	Property in decline--my 2nd stay one year later	Stayed here 1 year prior for 3 nights and property was much better managed then. Returned this year for 4 nights (2 for a conference in hotel, 2 additional for pleasure). Can't say I'd choose to return here, even if the conference ends up being here once again next year. Once again, I stayed in an upper floor &quot;corner&quot; king club floor room.My list of complaints: 1. Poor lighting in room--room was very dark at night. CFL bulbs were not of a high enough wattage/luminence.2. General service throughout hotel was lacking. Received a fax delivered to my door 24 hours late--and was still charged nearly $15 for it. Never did a doorman open a door for me, even though they were always around and plentiful.3. Hotel dining options were pathetic for such a huge hotel. Two nights we were forced out of the hotel to dine because the only dinner option in the hotel was Shula's Steakhouse (very expensive) or room service (expensive and limited options). Totally unacceptable for a hotel this size.4. Club lounge has practically become a joke. Soft drinks are not readily available anymore except upon request from club room staff--who aren't always present. Continental breakfast pastry selection is good, but they don't even offer any eggs, hardboiled or otherwise, anymore. Evening cocktails has also become rather lame--food selections were rather limited and not very interesting. Massage chair in lounge was out of order. Lounge wasn't often very clean/presentable especially during peak hours.5. Daily newspapers no longer delivered to room door in morning. Papers were available at/near the Club Lounge entrance by the elevators.6. In-room high-speed internet access is not necessarily included on the Club Floor. I was booked under two different rates during my stay--conference rate (the more expensive rate) didn't include free internet while a promotional (less expensive) rate did include it. Ridiculous, especially for a Club Floor room.The positives I'd care to mention are few. Like the other 2 Sheraton's I've stayed at in the past 18 months, beds were very comfortable (although they lacked an ample number of pillows!). Housekeeping was generally good--room was kept clean.Overall, an overpriced, overrated hotel that is slipping in quality fast. Unless you get a great deal on the room rate, or need to stay here for a conference, I'd go elsewhere.	
Oct 19 2009 	Excelent for the price and the location is fabulous	Since we got an incredible cheap price for the trip, I was not sure if it was goingto be good. It was. The rooms are average, bed unbelievable comfortable and awesome view to the Navy Pier. When we arrived there was a confusion about our trip having breakfast or not: they solved it without hesitation by saying we had, but also gave us 1 breakfast buffet (which was really, REALLY good) for the 5 of us, plus the afternoon snacks (which I'm sure we didn't have access to). So, just to point out: excellent service basically everywhere: at the check in, solving our little breakfast problem, at the restaurant. The location is perfect, it is walking distance to Michigan Ave., the Millennium Park, it was really convenient for us. I think I would stay here again!	
Oct 18 2009 	Big name little impression	I stayed at this hotel to attend a conference that was being held there. The hotel was booked solid and they obviously had no way to handle that, they seemed understaffed. The high-speed internet that was supposed to cost $14 a day but was free for conference attendees did not work. The parking costs were OUTRAGEOUS! I thought the food was good that the hotel provided for the conference events. Very good actually. The other complaint I have is that half of the hotel was sweaty hot and the other half was freezing cold. We had to turn the heat on in our room. In July.	
Oct 18 2009 	Good location and upmarket changin facilities	We booked this hotel through Virgin Holidays but as a member of the hotel’s loyalty scheme I contacted the hotel with our preferences before checking in. We had spent the previous night at the Hyatt across the road as due to flight cancellations by Virgin we arrived in Chicago a day early, but couldn’t get an extra night at the Sheraton.We strolled across the river to see if we could leave our bags at the hotel before checking in that afternoon and they checked us in there and then (08:15), with a king bedded room overlooking the river, though on the 8th floor (Room 855) but not a high floor as we had hoped. But we were pleased that we could get into our room and went straight back to get our cases and settle ourselves in for 4 nights.The room was reasonably sized as we were on the corner and so had a bit more room than in the hotel’s website pictures. There was a small safe but it was only big enough to store a small travel wallet, and couldn’t store valuables such as cameras. There was also a key that you had to carry around with you rather than a combination.The room should have been relatively quiet but there was some noise from the road across the river as well as a small amount of river traffic. It was also in an alcove at the end of the corridor but unfortunately for us we had some inconsiderate neighbours who despite them putting a sign out asking for quiet didn’t reciprocate this as they came and went at all hours slamming doors etc.We did use the pool and were quite impressed by the size for a city hotel. The changing facilities were probably some of the best that we have experienced.There is a business centre here but we struggled to find it open – I must admit we were there the labor day weekend but never got a chance to use it. There was no wifi access in the hotel and so we went to Dominicks (with a Starbucks) just over the road to pick up our emails. We were a little surprised that there was a charge for the use of the business centre on check-out but this was promptly removed from our bill when we explained that we had not used the business centre.	
Oct 13 2009 	Conference at the Sheraton	We had our company conference at the Sheraton Chicago and it was fantastic. The service we great and the location was fantastic (right on the river). The rooms were pretty standard and were kept very clean at all times. I would definitely recommend this hotel for business and leisure travelers to the Windy City.	
Oct 8 2009 	room with a view	We recently stayed at the sheraton chicago hotel and towers. We went for our anniversary. The hotel was very clean and the room was very nice. We checked in early, 12:30, and they gave us a room right away. We asked for a king and they gave us a great room, with a view of the chicago river. It was very pretty at night, looking out at the river and the lights. The hotel is steps away from Michigan ave. We like to stroll down Michigan ave. to shop and people watch. It did not dissapoint. We had a drink in their bar, before we went to dinner. The martini's were great, if not a little strong. We only needed one for sure. The hotel is very big and a little impersonal. But we just needed a nice, clean hotel close to Michigan ave., and this hotel fits the bill. We got a great deal on priceline, and will stay here again. The beds are very comfortable.	
Oct 8 2009 	solid hotel!	customer service is wonderful at this hotel. i checked in at the front desk and because the hotel was not at full capacity at the time, i was immediately given a free upgrade with a smile. room was immaculate. bed was heavenly to sleep in, which is very important for any business trip. staff was friendly. overall, a very pleasant experience.	
Oct 8 2009 	Nice hotel laid back atmosphere	The hotel lobby was quite nice, check-in went smoothly and quick, and the restaurant with the breakfast buffet was worth the hefty price. The Chicago Burger Company restaurant on site though left a lot to be desired though in service. We left after not getting a waiter to even come to our table to take our drink order for 20 minutes and went across the street to the Irish pub. That place really was service-oriented, and the food was great!	
Oct 8 2009 	Central location ok rooms	Stayed one night for business. Decent location, very easy to get a cab, and ok service. Recently stayed at a W hotel, so this room seemed a little tired compared to the rooms a any W. Avoid the Burger &quot;Restaurant&quot; in the lower level - it's a complete ripoff. About $10 for a burger and you don't even get fries.	
Oct 8 2009 	Beautiful view. Just blocks from main attractions.	We stayed for our one year anniversary on the Club Level. You most likely could get a great view even if you weren't on the Club Level. There were a few snags along the way but they were eager to fix them and very polite.I would suggest staying here!	
Oct 2 2009 	after 2 nights at the W hotels in Chicago it was nice to not hear the night club in the elevator	was in Chicago for a conference. The week was busy for Starwood hotels, and I couldn't find anything downtown for Monday, the last day. I had booked at the aloft by O'Hare, but really didn't want to commute back into town. The day before checking in here, I was able to find a reward night open up. Honestly, I hadn't even considered the Sheraton, as I wasn't familiar with Chicago, and it didn't seem to be as close to my conference as it actually was (Hyatt and Navy Pier). I balked at the 10,000 points, but decided I didn't want to commute...and there is no way I was staying at another W Hotel on this trip (4 nights, 4 different hotels). Sheraton won because I wanted traditional elevator music, haha.The Sheraton Chicago Tower was clean and impressive from the moment we walked through the door, which was held open by the doorman. Alex was very friendly at check-in, and put us on an SPG floor, 30th. I immediately crashed on the familiar comfort of the Sheraton 'Sweet Sleeper' bed. It really is comfortable, and the Shine by Bliss bath products are very nicely scented. A retreat to the pool found it located overlooking the river, along with the exercise facility. The sauna and locker room were well maintained. The hotel is an easy, comfortable walk to most things on MI Ave. Taxis are available for the lazy. I wish I could remember the lady's name at the concierge desk, she was so friendly and helpful in arranging airport transportation.Likes: Sheraton reliability, comfortable beds, great location, the viewDislikes: small room with double beds, no club access unless platinumOverall: This is the hotel I will recommend for my parent's visit to Chicago coming up. Business travelers, families, and the worn down from glamouratti will enjoy the sedate nature of this hotel. Sometimes...you don't want the party to follow you back to the hotel.	
Sep 28 2009 	They don't care once you leave	Booked on Hotwire and all was O.K. while we were there. Decent room. Good view. Great location.Got home and found a $5.25 charge on credit card statement. It was a very small amount but I called and could not get anyone in accounting. I left 3 messages with 2 different people and did not receive a reply. I sent 2 Emails and did not receive a reply. Either this place has the most inefficient system to communicate with customers or they simply do not care.I would not suggest this hotel to anyone because if there is any problem it seems impossible to talk to anyone about it.	
Sep 24 2009 	AMAZING! We can't wait to return to the Sheraton Towers!	As much as we use TripAdvisor for travel tips, this is the first time we have written a review - and that's because the Sheraton Towers deserves such glowing remarks!In one word, AMAZING.There is not a thing we didn't like about this hotel.The Sheraton’s LOCATION to everything we did during our long weekend in Chicago could not have been better. We were walking distance to bars, restaurants, Miracle Mile, Navy Pier, Grant Park, bicycle rentals, shopping (Nordstrom!), everything!From the moment we entered the spacious, well-appointed lobby, we knew we had made a good decision for our stay-away-from-home.Our room was one of the nicest we’ve stayed in in years, with a comfy bed and views which extended for miles across the Lake. The hotel was roomy, clean, cozy... everything catered to making the visitor’s stay everything they would want it to be.Although there was Starbucks coffee and Tazo teas in the room, we opted to enjoy the coffee and DELICIOUS apple scones each morning from the coffee bar on the 2nd floor. Imagine, just feet from the hotel, enjoying breakfast with your loved one next to the river, listening to a waterfall and fountain just feet away. It was breathtaking. We relaxed as we watched the tourists go by on the ferries. We had the best turkey burgers/turkey burger salads downstairs at the burger joint, and delicious drinks at the lobby bar to start each of our evenings.We really could not have asked for a better hotel and would not even question staying anywhere else in the city.We've made a promise to ourselves that we will return with the kids soon and STAY again at the Sheraton Towers. And we can't wait!-The Chatfields, San Diego	
Sep 13 2009 	location Location LOCATION!	We reserached this trip for months. Having been to Chicago before we wanted to make this trip even better. We picked the Sheraton because of the location to almost everything we needed. The bus tour acrtually had a stop here, our bike tour was within walking distance as was the mag mile, tribune building and Navy Pier. This was by no means the cheapest of accomidations but I would pick it over others again. The staff was friendly, the in hotel resteraunts we went to weregood and the all you can eat breakfast buffett we splurged on the last morning fantastic- I would definantly use it again.The ony draw back we had was the burger joint in the lowest level were more attentive to the sidewalk customers than those indoors- we had to go ask the folks behind the counter to take our orders after waiting for over 20 minutes for a server to. She had to seat us as well, and was apologetic when we returned to get attention.Our room was nice- and reasonable, I might upgrade nesxt time for a lake view! but with the pierwithin walking distance the rivier view was fine.	
