	Very nice stay	We spent the Thanksgiving weekend at the hotel and got a very good price (much lower than the normal rate). The room was very nice as was the pool and exercise room. The parking was expensive, but they give 50% discount for hybrid cars (yea!) so it was reasonable. There aren't many places in the immediate vicinity to eat, but nothing is a very far walk.	
Nov 25 2009 	Not impressed and even more so - disappointed!	The staff at Swissotel were not particularly nice. They weren't overtly rude, but they also never went out of their way to address me as a guest. Each time I waited at the counter for staff (checkin and checkout - they did not put my bill under my door) for several minutes and then was waved to the desk upon my turn with no hello or anything, or apology for waiting in line. When I told them they needed more desk workers, my statement was not even acknowledged. Mediocre room and service for a very extravagant price. Also, views were good, but there are many hotels located closer to trains, Michigan Ave, etc.	
Nov 17 2009 	The Swissotel is one of our favorite hotels in Chicago and the corner rooms have the most fantastic views in the city.	We have stayed at the Swissotel many times. The accomodations and support services are phenomenal. All staff members are very courteous and go the extra mile in meeting your needs during your stay. I would encourage everyone to make the Swissotel your lodging destination next time you go to Chicago. You won't regret it and will return for future trips to the windy city.	
Nov 16 2009 	Great hotel but 15 minute walk to trains	My daughter and I booked this hotel through Hotwire. The staff was great and put us on the 30th floor with a view of the lake. The room was spacious, clean, and very comfortable. My only negative is that it's about a 15 minute walk to the trains which would be inconvenient on a rainy or cold day.	
Nov 11 2009 	Not as impressed as I had hoped	We had stayed there about 8 years ago, and loved it. And knowing it was recently remodeled, I expected a bit more. On the plus side, the bedding is wonderful, and the room size more than adequate. The bathroom is a good size, but the shower is a bit tight. The location is good - close to Michigan Ave, but far enough away to make it quiet.Things that bothered me ... no robes in the rooms, ice machines are not on every floor (and you don't find this out until you are looking for one), no turn down service at night, and when housekeeping did come, they did not replace the shower gel we had used which was totally empty. They had coffee in the lobby but took it away at 6 a.m. on Sunday morning. They did have a very nice coffee maker in the room, but all they provide is that awful powdered creamer. So if you like cream in your coffee, having the lobby option is very important. And it was not offered in the lobby at all on Monday morning.Oh, and no newspaper delivered to the room either. These are all things routinely provided in most upscale hotels.Concierge service was fine when we needed our boarding pass printed. But the day before, when presented with the question &quot;Can I take a backpack into Soldier Field for a Bears game&quot;, the reply was, &quot;I don't have that information, what does their website say?&quot;.I would have expected a little more digging for an answer. And FYI, you cannot take backpacks into the stadium. .But we found this out on our own.You no longer have free access to the pool and jacuzzi. I found this quite annoying! And they no longer have Swiss chocolates sitting on the counter when you check in. A small thing indeed, but a nice touch.I was booked at a discounted rate, so I was not totally diappointed. But if I had paid full price, the little things that bothered me would have morphed into big things. Best aspects in terms of my trip was the location and the bedding.	
Nov 9 2009 	Swissotel provides everything you cold want to make you feel like an important and valued guest	If you're going to Chicago and want to have a great hotel stay with no worries, this is your place. The staff is friendly and knowledgeable about the town and will go out of your way to be helpful. While my boyfriend andI were trying to get to the Pedway, one of the hotel managers stopped what he was doing and lead us to where we were going. after a long and exhausting drive from Tennessee, the beds at the Swiss were incredibly welcoming too. My boyfriend is currently trying to find out how they make their beds so comfortable and where he can get one of their comforters because it felt so amazing. Getting little toblerone (one of my favorites) chocolates on your pillow everynight is a nice touch that adds some elegance to your evening no matter why your staying there. The rooms look like they were just remodled and upgraded, there was an HD TV and a nice iHome docking station to put my iPod so I could set the alarm to wake up with my music instead of the radio. The whole decor was really to my taste, and of course it helped that it was impeccibly clean the whole time. While I was out exploring chicago, the blanket that I'd brought from home and left in a chair was even folded neatly at the foot of the bed when I came back. I'm a little bathroom phobic and these were really nice, super clean, with beautiful (very new looking) tile. I'm really into showers and so i liked the big showerheads that give you the rainfall style shower. I didn't try out the tub though. Also, i know there's a 24 hour exercise/fitness facility upstairs. I walked through it to go use the pool and jacuzzi (talk about a pool with a view, try the 42nd floor! that was a fun place to swim). It looked like it had a lot of weights and machines to choose from but I never got to use any of them.We were staying to go to SOFA (the Sculptural Objects &amp; Functional Art exposition) at Navy Pier. Having a great hotel in close proximity to Navy Pier, in a central location downtown, with a gerat view of Lake Michigan was important. (well the great view wasn't important, but it was a very nice bonus). The bar in the hotel lobby has a very comfrotable feel, even though stylistically its very classy. We saw several groups of people sitting around chatting with tables pulled together or by the fireplace, and both bartenders were very friendly and helpful answering questions about chicago. Our whole stay it felt like the staff went out of their way to make sure we had the best visit possible.Breakfast in the Geneva downstairs was great as well. I love fresh fruit but generally you only get apples and a banana, so seeing fresh raspberries, blueberries and strawberries (among other breakfast fruit staples) was surprising. They had a great selection of pastries, cereals, yogurt and breakfast meats. there were so many different things for breakfast (plus you could order off the menu) it would take too long to go into them, but I was happy to get such a variety of options.I wish I could mention every good thing about our stay...there were just so many little things that made it add up to a great trip. The only downside was that we had to leave. We're already planning a return trip to the Swiss where we can stay for at least a week to see parts of Chicago we missed and because we had such a great experience it really made us want to come back.	
Nov 2 2009 	Great rooms staff and location but extras overpriced	My wife and I got a deal off hotwire for a 4 star near michigan and it ended up being this hotel. The hotel staff was very nice, from the moment we drove up. We were put on the 41st floor (of 43) and had a nice view. We were not sure what to expect since we used Hotwire and got a great rate, so we were very pleased.The location is perfect. A couple blocks from Michigan, so a walk or a short $5 taxi ride takes you to any shop you would like. We went to the Shedd Aquarium for around $6-7. We also found that if you take the escalator down under the hotel, there is a dunkin donuts and many other shops/restaurants to eat. They are open during the week, but most were closed on saturday. Room service was expensive in the hotel. I just remember $29 for eggs benedict. Don't quote me on that exact prices, but it is pretty close. Even with the amount we saved on the room, we could not justify spending the amount they listed for room service. We found a great place for breakfast a few block away called South Water Kitchen - great meals and we spent about $35 between us.We paid for parking at the hotel. It is as expensive as everyone says - $52 per day - but we felt with what we saved, it wasn't too bad. I would rather not have taken a car at all, but needed it for a day of work. I will save my money next time on the car and parking and use Go Airport Express to/from the airport or a cab, then use cabs or walk to get around the city. Also, I would have liked to use the Fitness center, but it was $15 per day. I would have probably done it for $5, but would rather it have been free. We did go and check it out. It was totally empty. Nice, but totally empty. I wonder if a lot of people pay to use it. Positive - Great room, comfortable bedVery friendly staff, help you in any way they canInternet was $9.95 per day - not too badAlthough we didn't eat there, they have a Palm Restaurant off the main lobby.Close to everything - underground eating, Michigan avenue shops - walking or short cabNegatives- Room service expensive - ridiculously expensiveParking expensive - $52 per dayFitness center cost $15 per day	
Oct 21 2009 	Really Nice Business Hotel	I wish I had reviewed the Swissotel Chicago when it was more fresh in my mind! I really enjoyed this hotel for business travel. The good:-Rooms: Recently rennovated. Large, really comfortable bed. Spacious bathroom with nice ammenities. Every room as a view of the river - really lovely.-Location: Just a couple blocks off of Michigan Ave. for shopping and restaurants. -Meeting Space: I attended an event at the hotel. They just added a brand new Conference Center in addition to their existing meeting space, which I did not experience. It's beautiful. Great views, really convenient space for any event.The okay:-Staff: They were fine. Nice, but not overly welcoming. A &quot;hello&quot; or &quot;welcome back&quot; when you walk through the lobby would go a long way.The bad:-Business Center: This was closed when I was staying at the Swissotel. Very tough for a hotel catering to business travelers. I hope they get it up and running soon! I went over to their sister hotel, the Fairmont Chicago, to use their business center. They were very kind.I would definitely return to the Swissotel when on business in Chicago.	
Oct 18 2009 	They charge for wireless and it doesn't work	This hotel nickel and dimes you for everything -- $15 to use the gym, $11 for wireless internet. I wouldn't mind the charges if I had known about them in advance or if they had just folded it in to my bill and I would have paid a little more... It's just irritating to arrive at the front desk and be told you have to fork over extra money for what should be basic hotel functionsAND THE WORST PART IS THE WIRELESS DOESN;T WORK except in the lobby. In the room, it only works occasionally (just enough to frustrate you) so you have to use your computer downstairs in the noisy lobby. This is a serious minus for a business hotel--wireless is a non-negotiable for me. I won't be staying here again until I hear that they have upgraded this service.	
Oct 18 2009 	Fantastic view excellent service - top notch!	My husband &amp; I stayed here while in Chicago to run the marathon. We stayed in a standard room which was a good size, very clean and so quiet. But the view...fantastic! We had an unobstructed view of Navy Pier, the Chicago River and the north loop. What a treat to watch the fireworks display at Navy pier from the comfort of our hotel room.Whether travelling to Chicago to run the Chicago Marathon, to shop or to sightsee, the location of this hotel was perfect. And all of the the staff were very professional, courteous and friendly.	
Oct 18 2009 	Great location great staff great everything!	I recently stayed at the Swissotel Chicago for business and must say it exceeded my expectations. The staff was terrific both with my room and with the business aspects of our event. My room was fantastic with beautiful views of the city, large flat screen tv, and a very comfortable king size bed. The food for our event was delicious. The onsite restaurant was pretty good but a bit overpriced. It was a bit confusing getting to some of our event room since some were in the original side of the building and some were in the newer addition. All in all though it was a great place to stay if you want to be near the heart of Chicago.	
