	Room and service was horrible	When we arrived at the hotel we were properly greeted and taken up to our rooms. When we got into our room the furniture inside was stained and really beat up. The worst part of the room was the bathroom door. The bathroom was fitted with a sliding door that did not go into the wall but alongside it. The door had no lock and left about a 2-3 inch gap where if you walked by it you could see someone on the toilet. The concierge was not helpful on suggestions of restraunts or nightlife. The concierge told us that we were better off staying in our rooms since there was &quot;nothing to do in chicago after 10 pm&quot;. Our last night we ordered a movie and the quality of the movie was horrid (movie was pixelating and blurry) so we called down and I had to argue with the person at the front desk to have them credit us the money back for the movie after we had stopped it less than 5 minutes in. This is not a full service hotel we had to pay about 10 bucks for anything and everything. We had to pay about 12 dollars to have them bring us up extra glasses since the old ones were dirty and the maid did not switch them out. The only redeeming thing about my trip was the fun I had with my friends not the hotel.	
Nov 14 2009 	Great Place to stay	I have stayed at this hotel twice in the past two months. It is south of the mile across from the park which makes it a much quieter place. It is only a few minute cab ride or walk up to the action on the mile or over on State. The staff is very friendly and helpful and the rooms are nice. One of the nice things is that it is a smaller hotel (compared to the Hilton next door and the other convention size places) and that makes for a really nice stay without the convention crowds in the lobby.	
Nov 13 2009 	Lovely hotel convenience of location depends on the traveler...	I stayed at the Blackstone A Renaissance Hotel for two nights for a short getaway. The plan was to do a little sightseeing, shop, and visit Harpo Studios as an audience member =). The hotel is lovely. The building is just breathtaking (though the interior is a bit too modern and does clash). The rooms were a very nice size with a huge marbled bathroom. The bed was comfortable, there is a large flat panel TV, wireless (which is not free and just overpriced), and a Starbucks located right in the hotel (though that staff just did not know what they’re doing so it really was not that much of a bonus) . It really is just a beautiful hotel. Service…well, to be very honest the check in staff was a bit uppity. I found the female employees to be rather rude upon check in, so I really didn’t feel like asking them anything. The doormen were incredibly, wonderfully helpful and kind as was the cleaning staff. I’m sure service is fine at the Blackstone, but we were really put off by the tone when we arrived. However, this does not make or break a person’s stay. I think I can put up w/ just about anything as long as I’m in a clean room w/ a good location. And location is something you need to seriously consider before booking your stay at the Blackstone. I think to get to Harpo Studios the location is fine. It’s a $12 (tip included) cab ride to the show. If you’re visiting the Chicago Art Museum or Millennium or Grant Park it’s a ten minute walk. To Chicago O’Hare airport it’s a good 30 minutes by taxi at $40 (tip included), or 1 hour 20 minutes by metro (only recommend using during the day, have to change lines after first stop) for $2.00. However, if you want to be in the middle of things (and I think we all do!) you should not stay at this hotel. I think that if travelers should stay at the hotels located on the Magnificent Mile, where all the restaurants and shops are. Hotels over there are also a ten minute walk from the parks and museums. The Blackstone, while lovely and comfortable, is just not as conveniently located as other hotels with the same rate or lower. At night, being two women alone in the city, we felt a little more weary in this location. Also, normally on my trips I prefer taking a city’s metro/subway – it’s just a great way to save money! On this trip we didn’t do that despite the close location of the metro (5 minute walk). Even walking from the metro to our hotel in the day we felt a little unsafe, so we sure weren’t going to take it at night! But, to reiterate, this is a lovely hotel just wasn’t a convenient enough location and not enough shops or restaurants around.	
Nov 10 2009 	Like a hotel you would see in the movies	I was blown away by this hotel. It was absolutely gorgeous! My taxi driver commented (and I'm not sure if this is true or not) that the hotel was completely remodeled a few years ago, which initially made me feel a bit skeptical. But once I walked into the lobby, I knew I liked the place. I really liked the style of the rooms (very modern with a fun color scheme). The beds were comfortable and had quality linens. The bathroom had cool lighting and a great shower. If I were back in Chicago, I would definitely stay here again.	
Nov 4 2009 	Enjoyable stay.	I stayed at the Blackstone for 5 nights during October.Overall, I was pleased with the hotel. The staff are friendly and the facilities still look fairly new. The décor did not bowl me over (not to my taste) but it was clean and that's the main thingThe room faced the park and lake, so it was nice to wake up to a view each morning. I did not eat at any of the hotel restaurants but did have room service. Service was prompt but what gets to me is the automatic 20% service charge. I realise it's a standard at all the Marriott's I have stayed in but I don't have to like it. The room was a good size but some things left me puzzled. I assumed it was a room kitted out for people with a disability/mobility issues (given the size of the bathroom and low hanging hooks and rails) but some things (like having a bathtub) did not make sense. I did not like the low hanging rail in my room as I could not hang anything long up. I also thought the light switches were a pain. Instead of one switch, each light had 2 dials to fiddle with and it wasn't obvious (at least to me) how to control them. I just kept pressing until something happened. The room was also furnished with a low chair/high desk combo. It might look good but I did not find it practical for either eating or working.The only thing not acceptable was the cleanliness of the towels. Everyday I was given new towels and without fail, there was always at least one in the pile that was stained. The hotel is within walking distance from a number of attractions and transport options. In honesty, I would probable stay at a more centrally located hotel on a future visit.	
Nov 4 2009 	Great hotel in South Loop - convenient to Soldier's Field	My husband and I celebrated our 1-year anniversary in Chicago. I got him tickets to the Bears-Browns game on Nov. 1st. I booked the Blackstone because it was convenient to Soldier's Field. On a previous trip to Chicago, I stayed up at River North and I really liked it there. The locaion on S. Michigan ave is great for South Loop attractions like Grant Park, The Museums, and Could Gate, and of course, is within walking distance to Soldier's field. It is a bit of a walk if you want to go up North to Magnificent Mile, but it's pretty convenient to most of the subway lines, including the Loop. The back side of the hotel is a bit lonely at night, especially on weekends. We walked to Lou Malnatti's pizzeria for a late dinnerwhich is only about 3 blocks away, but the street was a little eerie late at night. During the day, it is fine though. It's a convenient short train ride to Lou Mitchell's as well, which is a wonderful place for breakfast. The hotel itself has a dimly-lit refurbished lobby. The hallways however, were nice and bright. We told the staff upon checking in that we were celebrating an anniversary and they said they upgraded our room. We were on the 20th floor overlooking some of the South Loop. Was hoping for a park view, but oh well! Not a big deal. Our room had a king bed, which was super comfy. The room is about average size. I am from NYC so I am used to very small spaces. The bathroom was wonderful and modern, equipped with an in-mirror TV, which for some reason didn't get the exact same channels as the TV in the room. There is a standing shower only, with a rain shower head which was lovely. There are Aveda toiletries as well. Room is decorated in a modern, minimalist theme, but overall, very comfortable. Service was fine. We didn't really hang around the hotel too much but check in and check out was very smooth.Another great breakfast place which is just a few blocks south on S. Michigan Ave, is Yolk. It gets really crowded too, especially before a Bears game! But it is delish. Overall, very happy with the Blackstone, but I found that the rates for the hotel were slightly higher than some of the equal-star rated hotels up on River North. Not sure if it was because of the Bears game (there were a lot of people attending the game who stayed at the hotel), but overall a pleasant stay. I would stay here again if I had to be in the South Loop. BTW, we used the gym and it had very modern equipment, and larger than I expected, which was great!	
Oct 29 2009 	Outstanding service and accommodations	We stayed in late October while in Chicago for a wedding. The staff here is excellent, very service oriented and very friendly. We had a city view room on the 19th floor. The rooms are very clean and have cool contemporary look, glass walled showers, etc. The bedding is luxurious. Nice flat screen TV, etc. What really made them standout was on Sunday when we were set to go home, our flight was cancelled. We needed to stay another night. We had booked the rooms at a &quot;cheap&quot; rate over the internet. I thought they would really stick it to me to stay another night without the internet rate. They didn't do that. Instead the gave me a LOWER rate and UPGRADED my room to a suite looking over Grant Park. Unreal. It turned a bad thing (getting our flight cancelled) into an enjoyable extra night in Chicago.	
Oct 21 2009 	I will be back!	Just spent three days and two nights at this lovely hotel and practically had to pry the two children (6 and 10) out with a crowbar. The staff was welcoming and gracious, the room was large and beautiful and the fireworks from Navy Pier both nights pretty much ensured we would always pick a lakeside room. I have paid the same amount per night for a tiny room with no view in NYC so this was a real treat. We ate breakfast cheaply at both the Corner Bakery and the Chicago Carry-Out next to the Travelodge and enjoyed fabulous tacos at Flacos Tacos so sadly did not try the restaurant at the Blackstone, which would have been unappreciated by children anyway!	
Oct 19 2009 	Solid Service	This is an older hotel that has been refurbished. Staff works hard to provide outstanding service. Rooms were nice but small compared to more modern hotels. Very close to Field Museum, Shed Aquarium, etc. Good for couples! Glad my kids stayed at home.	
Oct 18 2009 	Awesome hotel great service	Great hotel and the service was out of this world. Great workout facilities, excellent location near parks, clean, rooms with character. Here was the clincher for me....my wife and I went out running in the morning. Walking in the door, the front desk person - Jordan, asked us to hold for a minute. He then ran and got us ice cold bottled water and cold towels. Later we used his intimate knowledge of Chicago to find places to eat and entertainment. Fantastic property.	
Oct 18 2009 	Classic Renaissance	Typical or classic Renaissance hotel. Refurbed older property. Lobby a little dark common for older property. But room was great, clean and modern. Bathroom was also large. Inroom iPod radio a plus. This is what I expect from this chain. Friendly front desk. Unique bar in basement was very cool. Good value for business but for tourists it is a long walk to Miracle Mile. Close to stadium. Overall great choice for overnight business trip	
