	Just OK	You can tell they are cutting back. I know times are hard but when you charge $300 you expect fast service. Room service took way too long and I was late for my meeting.	
Nov 25 2009 	Couldn't have asked for a better hotel experience!	My friends and I stayed at the Drake from 11/18-11/22. We came to see the Oprah show, and we also spent the weekend shopping. We had such a great experience. The hotel staff was super friendly, especially Tom Marshall at checkin. We were upgraded for free from a room with a king size bed to a room with 2 bathrooms and 2 oversized queen beds. The staff went out of their way to make sure we had a great visit. The hotel was clean and very nice, and quiet considering the Light's festival was that weekend. The location of the hotel was perfect...ideal for shopping and enjoying the Mag. Mile. I highly recommend the Drake.	
Nov 10 2009 	Great overnight stay !	Great overnight stay at The Drake on 11/7. I reserved the room at a great price via Priceline. I sent the manager an email requested a renovated room and he made it happen! I was pleased with the follow through, especially since we were paying a lower rate. Yes, the rooms are a bit dated but that is by design. If you are looking for sleek and modern, stay at W. Parking was a bit steep at $49 but that includes in &amp; out, which we utilized to pack up at the end of the stay utnil we were done shopping. Overall, great stay and I would recommend to anyone looking for a night away.	
Nov 4 2009 	Perfect Getaway	My wife &amp; I stayed at The Drake Hotel this past weekend for the first time and we were extremely satisfied with our experience. We were celebrating her birthday, and I had notified the hotel of this a month before our arrival. Upon check in we were graciously upgraded to a Junior Lake View suite, and the desk staff member wished my wife happy birthday. Which came as such a surprise to my wife because she had no idea I even contacted the hotel!The room was dignified &amp; charming, with the best view of Lake Michigan we had ever seen. The bed was meticulously made, and extremely soft and comfortable. They also positioned the bed perfect in the room so you could gaze out all the wrap around windows in the suite!! We spent the day relaxing and enjoying the room since it was rainy outside. To top off everything we got a knock from room service and the hotel management had sent us up a dessert plate, sparkling water, &amp; birthday cake! My wife was elated and it truly made us feel special.We will definitely stay at The Drake Hotel again and I would recommend this hotel highly based on our experience. Also, I am a Chicago native and you can't beat the location if looking to shop, eat, or hit nightlife. Everything is in close proximity!	
Oct 23 2009 	excellent	we spent 4 nights at the Drake and enjoyed a superb experience. The room was large andincluded a mini fridge. the bed was the most comfortable one I have ever slept in, simply luxurious.Check-in and check-out was quick, and the hotel staff were most courteous.I will definetly stay there again when I visit Chicago.	
Oct 21 2009 	Old and Tired	I've always wanted to stay at this hotel due to the reputation and location. We were celebrating our 20th anniversary and I booked the room online. We had reservations at a fancy Italian restaurant right across the street and I thought everything would be perfect. When we checked in I realized I should have splurged on a suite and asked if I could upgrade. The agent (as if reading from a script) said since I booked online she could not do that. I explained that it was our 20th anniversary and my wife was looking forward to a special weekend. She barely looked up and handed me a key to a room that had not been touched for at least 25 years! The bathroom had chipped tile and dull marble. I was shocked at the state of the place. We spent as little time as possible in the room and tried to make the best of it. For $300.00 I've stayed at nicer and more plush Hiltons or Marriotts. I would not recommend this hotel to anyone! The doorman was very nice however.	
Oct 20 2009 	Top Ratings Across the Board for this Very Top Hotel - THE BEST!	My friends and I were elated when we got tickets to the Oprah show, but our stay at The Drake was the icing on the cake. The location couldn't be better -- steps from Chicago's historic Water Tower, the John Hancock building, and all the fabulous shops and restaurants of the Magnificent Mile. The convenience factor was a saving grace for us as we were able to walk everywhere, minimizing cab fares, and could easily stop at the hotel to drop off shopping bags or relax between sites. Our two bathroom, double queen room was perfect for the four of us. We especially appreciated the extra bathroom when we had to get up early and all prep at once for Oprah. I would imagine that the same room configuration would be perfect for a family -- the room was so spacious that it even had a living room area and separate office nook!Every corner of the hotel exudes elegance, from the spectacular floral arrangement in the lobby to the recently renovated hallways and comfortable, upscale rooms. The staff was welcoming, helpful, and polite. The saltwater taffys on our pillows were a nice touch.If you want to make the most of your trip to Chicago, stay at The Drake. It truly offers the best of everything.	
Oct 19 2009 	Good if you like twin beds	The hotel is beautiful. We were impressed until we got to the room and found out that the two beds we had requested were TWIN beds. I did not know any hotels had twin beds anymore. We should of been told that on the phone . We had three people in our party so we went down to desk and talked to &quot;Lorenzo&quot; but he would not help us at all.	
Oct 18 2009 	Check out the room carefully	My wife and I stayed in The Drake earlier this month. For the first couple of nights we had a room which could interconnect with two neighbours. Sound proofing is minimal and a group of tennagers arrived in the room next door. They may as well have been in our room. Sleep was impossible and the hotel completely failed to shut them up. Having relocated to a second room the following day the stay improved.Gym and leisure services are basic.	
Oct 16 2009 	Marvelous Stay at The Drake	My girlfriends and I recently stayed at The Drake Hotel during a visit to run in the Chicago Marathon. I had booked the room using Priceline, and was thrilled when The Drake Hotel popped up as our hotel. However, after reading some of the reviews on tripadvisor, I became a bit worried that we might end up in a small room needing renovation. I emailed the manager, Tom Thomas, to request the best possible room during our stay. Within a few hours, I received an email back from the Executive Assistant welcoming us in advance and assuring me that we would enjoy our stay. I kept my fingers crossed.We arrived a bit early for our stay (11:30a) and inquired about check-in, but the current guest had not checked out yet. We left our bags and went out for a bit. I called back at 1:30p, and the clerk (who politely remembered me) said our room was now ready.Upon entering the hotel, you can truly feel the emphasis they put on luxury. The staff is incredibly friendly and helpful, from the front desk clerks, to the concierge to the bell man. Everyone had a smile on their face and friendly things to say. The enormous flower display in the lobby fills the room with a lovely fragrance.When we checked in to our room, I could not have been more pleased! It was an enormous room, with two large beds and best of all two bathrooms. Perfect for three women! The beds were incredibly comfortable, with plenty of soft pillows and soft sheets. There was a large sitting area, nice TV, and even two large windows with a view. Everything was exceptionally clean and to a very high standard.If you are considering The Drake Hotel, I would suggest you book the hotel with confidence, and simply email the manager to ensure your room meets your expectations. We were thrilled with our stay and will definitely consider The Drake Hotel for future visits to downtown Chicago.	
Oct 13 2009 	Great Time	I stayed here for several nights. Granted we didn't spend too much time in the hotel, it was a great experience. I reccomend upgrading to the Executive Floors if you can.	
