	"The Finest Chicago Hotel I have stayed at to date"	This past week I stayed at the Sutton Place Hotel in downtown Chicago. I was attending a medical conference and the location of the hotel, within walking distance of the &quot;Miracle Mile&quot;, downtown and the Lakeshore made it a perfect location.&quot; I have stayed in many of Chicago's finest hotels, many of which are typically priced well above the level of the Sutton Place Hotel. I have never stayed in a finer hotel in Chicago. As a comparison, my medical conference was held in a &quot;Five Star&quot; hotel, five minutes walking distance from the Sutton Place. I was in several of the rooms at this &quot;Five Star&quot; hotel as a guest of fellow physicians. I in fact have stayed in this &quot;Five Star&quot; hotel several times in the past, yet without question the Sutton Place Hotel was finer, in my opinion, in all respects. The Sutton Place Hotel's price was one quarter of this &quot;Five Star&quot; hotel. I was placed on the Penthouse Suite of the Sutton Place, I had a perfect view, my room was spotless. Both room service and the attached restaurant / bar were excellent. The hotel offers a business center in which guests are able to use the internet for free, which allows me to leave my laptop at home. The valet parking rates, with hotel validation, are a very good deal. I would HIGHLY recommend any Chicago traveler, for business or pleasure to stay at the Sutton Place Hotel.	
Nov 20 2009	Best Staff EVER	Stayed there for a week and was extremely impressed by the staff, who made this probably our best hotel stay ever. By our second day there, the doormen greeted us BY NAME as we came and went and remembered little details about where we said we were going. The concierge was very friendly and super helpful, arranging nice tours and getting us awesome seats for a musical. The room was small, but the floor-to-ceiling windows made it feel much bigger than it was. We enjoyed the chocolate covered strawberries that were waiting for us when we got to the room. The separate tub (it was huge) and shower were nice, too. The restaurant had good food at suprisingly reasonable prices. The hotel location was fairly good; we were able to walk to some places, but mostly took cabs. Overall, though, it's the staff that made Sutton Place top notch.	
Nov 19 2009 	Location location location *	Perfect location - close to everything (for a first-timer to Chicago) but just the right distance away (couple of blocks) from the &quot;busy streets&quot;.Doormen were friendly, staff were good, rooms were decent, and a hidden surprise - a business centre with free internet access for guests!We also signed up for the Sutton Place loyalty club, which gave us free wi-fi, and after only one 5 night stay (with some bonusing), we already have enough points to redeem for a breakfast buffet for 2! Really great value as we took advantage of &quot;room sale&quot; pricing offered by Sutton's website.	
Nov 18 2009 	Great Place	It is a very nice hotel. I was in Chicago for a conference and it was in a great location to the downtown area. Lots of shopping and great restaurants.	
Nov 11 2009 	friendly welcoming staff great location	my husband and I booked this hotel through priceline-named our own price and got a great deal(less than 1/2 price), we were worried that we might be treated differently from others who had paid full rate, but no, we really enjoyed our stay here. From check-in to check-out we were treated like we were special--we were upgraded to a lake view room with floor to ceiling windows on 2 walls, what a great view.we had room service on 1 night--food was perfect, service quick and professional--we were impressed, we were sorry we didn't have dessert as well as soup and main courses!!! but as portions were huge could not fit it in!!all staff were so helpful and polite,room was very clean, nicely decorated, and large. the business centre was useful to check emails, although there are only 2 monitors and I had to wait a while on one occasion as both were occupied. There is a charge for printing--not something we saw in any other hotel we stayed in on this trip--but if you want to print out boarding passes it's free so that's fine. the hotel is situated close to shopping with lots of nice restaurants nearby--we tried the pancake house for breakfast one morning---very good, busy and expect to wait for a table but enjoyable, the second morning we went to the corner bakery--great porridge(oatmeal) and tea!!, very good value.It's just a short stroll to lake mitchigan, or take the red line into downtown or further, overall this hotel is ideal and we would love to return there some day, the staff are fabulous	
Oct 16 2009 	Great Location	We were in Chicago for the marathon and arrived at the hotel very tired after a long flight from London, only to be told that they did not have our reservation. The staff at the desk, although very pleasant were inexperienced in customer service. It was eventually sorted but we had to miss out on a dinner reservation and we were not even offered a complementary drink from the bar. This bad start aside, we could not fault the hotel. The rooms were spacious and very clean and the beds were extremely comfortable. The complementary tea and coffee that is served in the lobby every morning is a nice touch. The doormen were extremely pleasant and not atall pushy for tips. You could not find a better location in the whole of Chicago. You are a five minute walk from the shoreline, lovely beaches and very scenic and you are the same distance from the start of the magnificant mile. You are immediately opposite two fabulous restaurants, Hugo's Frog Bar and Gibsons Steakhouse, both pricey but worth it for the quality of the food. The hotel bar, The Wiskey has a great selection of cocktails and wines and the atmosphere is great with a mixed crowd of young and old alike, not atall stuffy.I would definately recommend this hotel and I will definately stay here again next time I am in Chicago.	
Oct 15 2009 	Nice hotel great location would definitely go back	A friend and I stayed at the Sutton Place to watch some friends run the Chicago Marathon. It was excellent from beginning to end; super-helpful reception staff, beautiful room with great views, really comfortable beds, soaking tub, blazing hot shower and the place is also incredibly quiet. You can easily get around by walking or subway and the Pancake House across the street is cheap, cheerful and good food. Also check out the German tea shop down the street. All in all a great experience.	
Oct 13 2009 	Excelelnt Location and Ambience	We recently stayed in this hotel for our first visit to Chicago. It is located 1 1/2 blocks from Lake Michigan and also from the shopping area. It looks like a residential neighborhood but is convenient to everything: transportation, sightseeing, and great restaurants. The rates are reasonable and the staff is superb.	
Oct 5 2009 	Great Place within walking distance to everything!	My Husband and I stayed here when we had to travel to Chicago on business. We both agreed that we would absolutely stay there again. It was located in the heart of a great restaurant district. We shopped, ate and went sightseeing all without needing a car or taxi. The rooms were clean and comfortable. We had a lot of space!! I would recommend this hotel to any of my friends or family.	
Sep 29 2009 	Location great watch for hidden charges!	I left the hotel with a $211 bill and arived home with a $241 charge to my account. When I called the manager, he predictably sent me to the accounting department who was no longer working. I can't recommend a hotel that employs these tatics.	
Sep 24 2009 	Wonderful experience	I resided at The Sutton Place Hotel while visiting Chicago for a 10 day vacation. The hotel felt like home away from home. The bed was very comfortable and I soaked in the big jacuzzi tub every chance I got. I had the corner room which overlooked the Pancake House and had views of Oak Beach and the Lake. I am a late riser and staff were understanding, they did not to bother me to clean the room. Luckily they have day and night cleaners, sometimes I never left the room until late afternoon, those were my lazy days. The room felt like an apartment and the stereo with speakers was an added amenity. When I read a book I would put the stereo on for background music and with the sunlight gleaming into my room it was very relaxing. The only disturbance I experienced was the slamming of doors by the housekeeping staff. I would suggest they use door stops when constantly entering and exiting the rooms they are servicing. Apart from that and the Friday night happy hour at the Tavern on The Rush, the room was reasonably quiet. Being a solo traveler I found the area around the hotel very safe and I felt comfortable walking about at night. Since there are so many popular restaurants in the area, it can get very busy with traffic and people in the evenings which is great for people watching.  The beach and Mag Mile is about 2 or 3 blocks away, a 10 minute walk at best which is very convenient for lakefront exercise or shopping. I enjoyed the double decker bus and trolley tours, which I did twice, after all you can't see the best of Chicago in one day! The Lakefront Bike and Roll tour and the evening Architectural Boat cruise were my favorites, both tours are so very interesting and informative. Most people I encountered were very friendly and helpful, I met a lot of nice people, cab drivers, sales staff in the shops on State Street, the tour guides and other solo travelers on the various tours. Although I did visit Chicato for 10 days, there is still so much I did not experience, therefore I shall return. A big thank you to the Chicago forum, their advice in the pre planning stage of this trip was priceless. Sutton Place advertised a 48 hour promotion sale, therefore I booked a corner room for $110.00 per night, If you are planning a trip to Chicago, check the hotel website for promotions daily, I got lucky and have no regrets!	
Sep 21 2009 	Fabulous Hotel	We thoroughly enjoyed our stay at The Sutton Place. The beds were excellent as were the pillows It is close to everything. Across the road is the Original Pancake Parlor. You could not find a better place for breakfast. The only downside to the hotel was the cost of parking, but apparently that is pretty much standard in Chicago. We parked our rental car at the Airport for $8 a day and caught the train into town and that was very easy.	
Sep 13 2009 	perfect stay in chicago	wonderful and friendly hotel. cant praise the staff enough from the bellboy to reception they were efficent and smiley.nothing was too much trouble from recomending restaurants or booking tours. rooms were clean and bright choose a corner if you can which gives you a lake view. could possibly do with a refurbish a little bit 90s but the staff make up for it.	
Sep 10 2009 	Fantastic!	The only bad thing about this hotel is there is no free parking and the parking they do offer is $45 for 1 day! The front desk were very polite and helpful while checking you in; the bellmen and consierge were very helpful in sorting out directions and helping in finding attractions. The room was great with a very comfortable bed; the best bit was the tub, by far. The bathroom was decked out with a stool to sit on while putting on makeup, and also a phone. The location was ideal, as there were fantastic restaraunts within the vacinity and it was located next to the magnificent mile. We were also easily able to walk to navy pier.	
Sep 9 2009 	Fantastic Experience	From the moment of arrival to the time of departure every service we recieved was excellent. Everyone on the entire staff was professional and helpful. Our room was excellent, very clean and comfortable with an exciting view of the city.What do we say about LOCATION - well location is everything and this Hotel has it. We could easily walk or cab to nice restaurants, Miracle Mile shopping or Chicago River Bike Tours and Boat Tours.It would be difficult to pick what we liked best about our stay but if pressed I have to say the Dining in the immediate area.	
Sep 9 2009 	First class service from the moment you reach the property...	Judging by the way we were greeted you would think they gave us the Penthouse Suite. That's because they treat every guest as if they're in the Penthouse.Our room was great; very clean, and decorated nicely. The service was excellent from beginning to end. Sandro who manages the front desk was fantastic! He handled an extra night stay with professionalism and a warm smile. When we left, he told us to visit again or just stop by to say hello. Nice touch... It felt like the staff at Sutton Place Hotel really care about your experience. Did I mention location? The hotel is a prime property in the heart of the glitzy fine dining and people watching area known as Rush Street. You are steps away from Tavern on Rush, Hugo's, Gibson's, LuxBar, Carmines, Morton's, and Whiskey Bar. If you walk two blocks east, you're at the lakefront. If you walk two blocks north, you're in the busiest stretch of nightlife in Chicago (Division Street).I would definitely recommend this hotel to friends and family.	
Sep 4 2009 	Great Location BUT NOT a 4star hotel	Pros: Great location, very comfortable beds, excellent price $95 nightly, within walking distance to everything, very quiet area to be near Rush streetCONS: small hotel room, small lobby, dull room colors, actually rooms need Remodeling, not impress with bathroom rooms, This is definitely not a 4 star hotel; if it were listed as a 3 or maybe a 3 half star expectation would have been different.	
Sep 2 2009 	Great Hotel	We got a priceline rate of about $110 per night, so we were very pleased with the hotel especially at that price. We did get one of the smaller rooms with no separate shower, but we didn't really care. The beds were comfortable, very clean, and nice flat screen tv. The service at the hotel was amazing, everyone was friendly and made you feel very welcome. One note -- we have stayed in many different areas of Chicago's downtown, and this is definitely the swankier Gold Coast neighborhood. Felt very underdressed at times. Great hotel for a great price.	
Aug 26 2009 	Very nice hotel and excellent location	Rooms are comfortable, beautiful and quiet and the staff helpful, location (smack on Rush Street across from Gibsons) is excellent. CD player, minibar and dressing gown are nice touches. I got this on a $99/night special, otherwise I rarely stay at a place this nice! Only critique I have is the wi-fi internet ought to be free of charge in a place like this, and the TV/cable needs upgrading. It's the 21st century, folks, if your hotel is in the priciest neighborhood in Chicago, you ought to have satellite HDTV not basic cable and standard TV!	
