	Wonderful	I had a sore throat and the hotel brought to my room a carafe and a microwave to make tea. WONDEFUL.	
Nov 23 2009 	a perfectly located small hotel with good size rooms well appointed and a superior concierge named stephanie	talbott has everything one could want: clean, bright large room and a location about two minutes walk from michigan avenue; EVERY staff member was smiling, attentive and knowledgeable but stephanie the concierge started helping with the planning a few months before our arrival and never stopped being helpful (this trip was to celebrate my wife's 70th birthday). Stephanie arranged symphony tickets, jazz club entree, restaurant reservations, and provided information about the art institute, walking tours, etc.	
Nov 22 2009 	Comfy Home Base Near Shopping	We stayed at the Talbott for two nights in November 2009. It was a great home base for exploring downtown Chicago, just a block from the shops on Michigan Avenue and a short cab ride to the Art Institute and Navy Pier.Our room was on the smallish side but comfortable and clean. My only complaint was the bed linens, which consisted of a duvet and decorative throw (no top sheet). I prefer a bit more weight/substance, and even at 5'4&quot; I had to choose whether to cover my shoulders or my feet.One tip: Skip the continental breakfast. It's a European-style spread and features only yogurt, bread, cereal, sliced meats and sliced cheeses.	
Nov 20 2009 	The Talbott was great!	We chose the Talbott for a family weekend in Chicago and it was perfect. The location was wonderful, just a block and a half from Michigan Ave., very close to shopping and restaurants. The staff were very friendly and helpful with suggestions and reservations. The rooms were very large and well-appointed. We shopped at nearby Sur la Table, Urban Outfitters, Anthropologie, Bloomingdale's,and Water Tower Place. We had fun and good family dinners at the Big Bowl and Cheesecake Factory.	
Nov 15 2009 	Great Suite in Best Location	We have 2 young children so we stayed in a king one bedroom suite with adjoining standard room. This gave us two seperate bedrooms and a living room w/desk. Loved the rooms. Big, very nice furniture, great TV's, and very clean. Across the street is Starbucks. Grocery with good deli &amp; wine just around the corner and Walgreens 1 block north. Try Bar Luxe for breakfast. Food is great, it's two blocks north, and no wait. We are in Chicago every couple months. We've stayed at Embassy Suites (simple, rooms too small), Four Seasons (nice but no nicer than the Talbott for 1/2 the price), Hotel Monaco (also very nice). In the future, we'll be spending most visits at The Talbott.	
Nov 15 2009 	Comfort and Location	Stayed for 5 nights in October to celebrate my husbands 50th birthday. Doormen and bell boys were excellent. Front desk staff a little aloof but professional. Room was very comfortable and immaculately kept by housekeeping. Agreed with other travelers comments about breakfast - why bother when it does nothing to enhance the stay and the &quot;elevator&quot; music in the cramped and badly lit breakfast room at 8am is just too much!! Just two little niggles - got a better rate 3 weeks before arrival than I did when I had booked 4 months prior. In addition they paid no attention to the comment that we were celebrating a special occasion. Some little extra touches would have steered me towards excellent rather than very good.	
Nov 13 2009 	Wonderful Hotel	My family and I stayed at the Talbott from 8/10/09-8/16/09, Room 510. The entire stay was great. We had a double queen room which was huge. I was concerned about room size since there was four of us in the room, but no problem what so ever. The staff was attentive and helpful. The location was great (you must go across the street for cupcakes at More - even better, just stand outside the place at night and smell the cupcakes baking). I would highly recommend this hotel.	
Nov 10 2009 	Wonderful experience	We first want to congratulate and thank their concierge staff. Before we even got there, Stephanie was a huge help. She treated us like gold and read our needs correctly. Very nice person. Gene also was helpful while we were there. The check in was terrific and the guy was very friendly and he upgraded us without us knowing. Did not realize it until we were in the room. The bellmen during check in and during our trip were very friendly and helpful. The Room was great. Well cleaned but when we had used some coffee mugs and glasses it took them a while to replace. There is a restuarant on premise called Bice Bistro. We got back from our restaurant on Saturday night at about eleven and the bar was closed. We were told Talbot was not a destination place. Seems like if they marketed that more, it would be another revenue stream, especially with all the new condos and apartments in the area. Now to the wourse part of the Talbot. That breakfast you get when you register on line is not worth it at all. Continetal breakfasts at Holiday Inn Express, Hilton Gardens etc are much better. In fact, if I were the Talbot I wouldn't do it. No fruit, cereal that was for kids, restocking for bowls for cereal, no bagels, just toast. We ate there one of three mornings and that was all we could take.We loved the Frette bedding and towels. Top notch. Aveda products were terrific also. . We loved the location. Kind of a quiet side street. Heard a lot from folks on this message board about construction. Yes it is going on but it is not the Talbot's fault. It isn't that bad anyhow. Their lobby is small but very quaint. Nice fireplaces to sit close to with a cocktail. Finally we had a temperature problem and hair dryer problem with our room and when we called, it was fixed right away.It was a great three days.	
Nov 2 2009 	Bring an alarm clock	My girlfriend and I were there for a weekend at the end of October. The room was clean but you could see it had seen better days. The carpet was kind of....Since it was our first time in Chicago the concierge suggested a restaurant. It was obvious that the restaurant gave a kickback of somekind since we had to present a ticket given to us by the concierge.The biggest drawback for us was that on our last day we asked for a wake-up and never got it. A good think that my spouse woke up otherwise we would have missed our flight. We told this to the receptionist who didn't to care too much about the situation. &quot;Sorry about that I'll talk to the manager&quot;. Also our minibar wasn't restocked and we had to trust the hotel on our consumption since no one was available to check.The situation is nice(very near the Hancock Tower and the Magnificent Mile) and in comparison to the other hotels it appeared human sized.Mike and Nath	
Nov 2 2009 	Had Great stay at the Talbott!	From the moment I arrived, I was treated like an honored guest. Staff is amazingly friendly without being overbearing--every staffperson gives you their name from the doorman to the concierge. They have a nightly turndown service with chocolates on the pillow. This is a historically renovated hotel that still has amazing modern conveniences--electric buttons for stating when you don't want to be disturbed. They also have many eco friendly choices. Plush robes in the rooms, amazing towels. We used the one conference room for our meeting and it was the perfect size for a group of 20 or so. I slept great and cannot wait to go back to this hotel.	
Oct 29 2009 	Great hotel in a great location.	My husband and I recently stayed at the Talbott for 6 nights and thoroughly enjoyed it. Our room was a &quot;Deluxe Parlor King&quot; which the Web site says is 520 sq ft. The room was HUGE, which made it very comfortable for an extended stay. (Our room appeared to be a handicapped accessible room which makes me wonder if it was even a little larger than that type of room would normally be.) The bathroom was very large also, with a separate tub and shower and Aveda products. The towels were nicer than our towels at home. The place was very clean and the staff was friendly and helpful. The hotel was just a couple of blocks from Michigan Avenue so it was close to lots of great shopping, restaurants and sites. The free breakfast was okay if you like to keep it simple in the morning (toast/croissants, yogurt, lunch meats &amp; cheeses, cereal). If you need a little more, there is a great diner nearby (Tempo Cafe), a place across the street and a Starbuck's in the area. Be sure to also hit the fabulous cupcake shop (More) down the street. One thing that we didn't like was the Business Center. This consisted of one computer which you had to pay to use in 15 minute increments and then pay for copies also. It's free to use for printing boarding passes, but I didn't realize that until after I spent $7 to print ours. Next time, I'll just take a laptop. Despite this, we had a wonderful time at this hotel and will stay there next time we visit Chicago.	
