	Pleasant comfortable but unspectacular lodgings	The Westin Chicago River North is a well-run chain establishment centrally located in downtown Chicago. Our room, with a view of the Chicago River, was by no means over-the-top luxurious, but it was well-designed and spacious, with good lighting and comfortable seating. A quiet room and the Westin &quot;Heavenly Bed&quot; made for excellent sleeping conditions for someone who often does not sleep well even in better hotels. Service in the hotel was polite and efficient.What keeps this hotel from receiving a top rating: (1) lack of any &quot;wow&quot; factor: the room, while comfortable, was also generic; (2) no free wi-fi; (3) the food we were served in the banquet rooms (for a wedding) was fairly indifferent in quality, even for banquet food. Still, if the price is right, this hotel can offer a very good deal.	
Nov 23 2009 	My new favorite hotel in Chicago	Loved, loved loved this hotel. Beautiful soothing decor, enormous rooms and bathrooms with great views. Terrific location no matter what you are doing. Staff very accomodating and room service was very good, as were the restaurant and lobby sushi bar. Fabulously comfortable bed. This hotel will be my first choice from now on. One recommendation - a surge protector on the desk. I had to crawl under the desk to plug in laptops, chargers etc.	
Nov 12 2009 	SPG status seems to not matter a lot - convenient location nice staff	I've stayed here at least 20 times and the staff are unfailingly nice. It's about average for what you'd expect in a Westin. They seem much more interested in how often you've stayed with them at this location than what your overall Starwood relationship is, which is disappointing. And the Platinum lounge is kind of lame - you feel like they are trying to shake you down for anything other than tap water, and it closes early. They also try to charge you for internet access on the lobby computers, just to print a boarding pass. But location is good and treatment is good.	
Nov 7 2009 	Excellent location	I stayed here for a conference. I was on my own. It was easy to find and a great location. Near shopping and restuarants. The service was great and the room very comfortable. A little on the expensive side for accomodation, however when in a large city on your own I think its worth the extra.	
Nov 4 2009 	GREAT Experience	Loved this hotel. Loved the executive lounge. It was a GREAT experience.	
Nov 3 2009 	Very nice hotel great view from the room	The hotel looks very nice, kind of a boutique hotel. I really loved the soap in the room - leaf shape - and the massage shower. Big rooms, very clean, helpful staff at the reception.Food in the restaurant was not exceptional but still acceptable.	
Oct 27 2009 	Chic Hotel	We stayed over Valentine's Day weekend and got an awesome rate of just $129 a month. Sign up for the e-mail blasts and they will send you notices of special rates. You cannot get a better hotel in the heart of Chicago for that price anywhere. The hotel is located along the river and across the street from House of Blues and a great wine bar called Bin 36. You are also just a short walk to Michigan Ave. and a lot of the major Chicago attractions. The L is not too far either. We stay here all the time!	
Oct 22 2009 	Great choice in the heart of Chicago	We stayed here for a long weekend after placing a bid on Priceline to find a hotel in downtown Chicago. We were presently surprised after we discovered the Westin River North would be our home for the weekend.The location is right on the Chicago River, overlooking Wacker Drive and downtown Chicago. It is very easy walking distance to the Loop, the El trains and Michigan Avenue. The River North neighborhood is home to many great restaurants and seems to have better nightlife than the Loop. All in all, it really was a very convenient location for exploring the city. It seems to cater primarily to business travelers, but is also a very comfortable and accomodating property for leisure travelers as well.The room was large and comfortable, with a very nice chaise lounge (fainting couch?) right by the floor-to-ceiling window. A great place to sit and watch boats sail along on the river down below. The bathroom was also very large, lots of counter space, large mirrors, etc. The style was somewhat Asian, with dark marble tiles and sleek lines. (I think this property was previously a Hotel Nikko, or something like that. The architecture and some of the furnishings are definitely a hold-over from that, although still very nice.)The only drawback I have about this property is their unwillingness to place us in a different room. Three of us (adults) had purchased the room using Priceline. (Yes, I know the fine print at Priceline tells us that the reservation is technically only for two people.) When we checked in, we requested a room with two beds but were told they had us in a room with one king bed. We asked for a different room but was told they were &quot;sold out&quot; for 2nd night of our stay and they wouldn't be able to move us. Even though two of us are Starwood members, we were still refused on our request to get a room with 2 beds. I find it hard to believe the hotel was sold out -- especially since they kept saying it was sold out the next night. I feel like we were somewhat given the shaft because we were Priceline customers. I, of course, have no way of verifying this.We tried calling down to the front desk later in the evening, and even stopped by there in person the next morning and were still met with resistance. Even though the room was very comfortable, the front desk staff and their service left me with a somewhat bitter taste in my mouth. They were not accommodating and were not sympathetic to our request for a different room.	
Oct 21 2009	Rock Star Quality	You will feel high class staying here! The #1 benefit I had staying here was the unimaginably comfortable beds here. By far the best night sleep and makes u wake up with a smile!	
Oct 11 2009 	Great hotel...excellent service	My husband and I have stayed at this hotel before while in Chicago. The second time we checked in the agent behind the desk told us &quot;Welcome back, welcome home&quot;. I thought that was a nice touch coming off of the JFK Epway and dealing with the downtown traffic. The beds is what keeps us coming back. They are so heavenly.We love this hotel and will stay there again. Sure it's expensive but when my husband and I go out on vacation we like the special touches and will spend the money to feel pampered. For thoes who do not want to spend too much check in the wintertime for some great rates. The first time we stayed there was in the dead of winter on a special rate that included parking. Sure who wants to go to Chicago when it's cold, but that is where you can find great deals.	
Oct 8 2009 	What a fabulous place to stay	I'm something of a regular at this elegant hotel. Large enough to have all the amenities I seek (executive lounge, nice work room, lobby bar, in-room internet) and yet small enough to feel personal. The location is terrific for doing business in the loop.	
Oct 8 2009 	Fantastic Hotel but overpriced especially for the extras	We love Westin hotels. So much so that we have a Heavenly bed in our home. Our kids loved watching the boats on the river from our riverview room. This location is fantastic, the lobby is luxurious, and all in all the rooms, decor, etc. was everything I expect from a Westin, even down to the smells. The free use of a computer and iternet in the room was a nice touch for the club level rooms.However, we paid extra to be on the club level. So why is it that every time we went to the club, the employees hinted at charging us extra money? Apparently, what they do not tell you when you pay extra for the club level is that they only expect two people in your party to enjoy it. If you have two young children staying in your room, the club employees make it very clear that they should be charging you $12/person for each snack time that you bring more than 2 people there. Therefore, even though we paid extra for the club amenities, we found ourselves tipping the club employees the equivalent of a decent breakfast at the Panera.While I would recommend this hotel to a friend, I do not recommend the club experience. It is not worth the extra expense.	
Oct 8 2009 	Wonderful Hotel in a good location	The Westin Hotel could not have been more accommodating. They allowed us both early check in and late check out. We were there for a wedding and they helped with several requests for things we needed and made great suggestions for things to do and where to eat. The room was extra clean and spacious, very comfortable with a lovely view of the river. The only criticism is that the lobby is a lilttle dark. They need a little better lighting. Would definitely stay there again as well as recommend it.	
Oct 1 2009 	Good hotel and location	Spent a Saturday night here free as part of a promo for staying at Starwood properties. They gave us a better than average room, and also gave us access to the club floor, which was a nice surprise. The room was very quiet, with an excellent ventilation system. It was also clean and has a very comfortable bed. Staff here is very friendly. On the minus side, there appears to be a significant charge for everything, even a bottle of water in the room. There is a charge for using a computer in the lobby as well, so this is not a hotel for those on a tight budget. There is an bagel place across the street for a simple food cheap. The location of the hotel is excellent, just a couple blocks to the train for the airport. The club floor usually costs another $30 for the room, which is probably not a good value, since the continental breakfast and evening snacks are not generous. One thing to note: the hotel is very very in the public spaces, such that you could walk into a column or trip easily. We tried the room service - sushi, which was fine. We would definitely stay here again, if the price were right.	
Sep 28 2009 	Very nice hotel near Magnificent Mile	I stayed in the Westin on Dearborn Ave for one night last week and was very happy. The hotel was in a great location, short walking distance to the Magnificent Mile and the main shopping drag of the city. The room was a good size, with king bed, chaise lounge, flat screen, computer setup, and nice view of a river. Good central location, nice lobby, and helpful staff. Would definitely stay here again.	
Sep 14 2009 	Great for families with baby in tow	I've never written a review before but since I have stayed at this property twice, I feel like I should. This recent stay was even better than the one before. I used Starwood points so I figured we would get a less than stellar room, but they gave us a river view room with a minibar fridge. I just used the space in the minibar fridge to store baby stuff that needed to be cool, and we used one of the hotel's very serviceable cribs for our 4.5 month old. I had requested a crib when I made the reservation but the front desk didn't have that info. No problem, though, they sent the crib straight up. One of the doormen in particular was very nice. He wore glasses and of course I can't remember his name. The lobby is great for strolling a sleepy baby who needs to go to sleep. Even though there were conferences in the city and the hotel the entire weekend, it never felt super crowded to me and everyone was friendly. It's in a great location and the only annoying thing is the entrance is hard to see from the road. But cabbies know where it is so it's not usually a problem. Oh and the internet isn't free in the room, but I believe it is in the lobby. Overall lovely stay.	
