	Great stay in the windy city	Hotel was as described and whilst there was obvious works going on in the hotel we never heard anything. Staff were always polite and welcoming and its situ is ideal. I would recommend The Old Pancake House for breakfast, as per other trip advisor recommendations, it is superb quality and value.	
Nov 16 2009 	Great Location-Great Service	We chose to stay at the Whitehall because of its location to the event we were attending at the Four Seasons. I was surprised at the wonderful service received from the valet, doormen, front desk. and the friendly bartender. The location is perfect for shopping! We had a large room with a king bed and it was clean. I also loved the robes they provided for our stay. The only downside was the bathroom was very small, only one person could fit in to use the sink and/or toilet. I left my prescription glasses in the room upon departure and Louis from security called to inform me they were found and he would mail them to my home. Like I said, great service! I will definitely stay at this hotel again. Valet parking at the Whitehall for a night was $48...next time I will use the parking garage directly across the street for $35!!	
Nov 1 2009 	great hotel great location..	this hotel is smack bang in the middle of everything great location and great hotel ,hotel rooms are lovely what more could you need..	
Oct 28 2009 	Classy hotel in a good location	We stayed at the Whitehall for five nights in mid October at a good rate, the very first destination of an extended round the world post-retirement trip with our backpacks. The helpful receptionist gave us a beautiful junior suite when she heard about our plans. This historic hotel is really well located, just off Michigan Avenue and very smartly decorated and furnished. We used the restaurant once for an evening meal and the food was very good, but expensive, but then most of the Chicago restaurants are pricey in that area. Wifi is not free but we were able to take advantage of a signal in our room from a neighbouring hotel and also many cafes have free wifi. We had breakfast at Yolk (a trendy place on Wells St) and also at the Corner Bakery Cafe on Rush, both great places. Staff were very helpful and we had a wonderful time. The only disadvantages for us were that the room was a little dark and as often is the case, it was somewhat warm, even with the air-conditioning. We would definitely recommend this hotel to others though.	
Oct 8 2009 	Great location and a very quant environment	The Whitehall is an older, but renovated of course, boutique style hotel in downtown Chicago. It is in a wonderful location. You are in very close proximity to the Magnificent Mile, Lake Michigan, Navy Pier, and Rush St... All easily within walking distance. The location is also nice because the street it is on is usually pretty calm throughout the day and night... Really the only other thing on the block is the Four Seasons.The room was small, but fairly well appointed. The bed was very nice and comfy, the bathroom was clean and updated. We booked through an online travel site at a really great rate, so honestly we were very pleasantly surprised with what we ended up with. The hotel staff was always courteous. There were always bellmen waiting at the door no matter the hour. We did not try room service or the adjoined restaurant. I'd definitely recommend this hotel if you are traveling to Chicago on a budget or a sightseeing trip. Its a really good value.	
Oct 2 2009 	This is no four star Hotel	I took a chance on Hotwire, and what a mistake. It was cheap but Hotwire misrepresented the star rating. They said four stars but to my eyes it is two stars. Starting at the reception, where the paint on the wood trim looks old and five layers thick. The room is old, dated, not renovated for several decades. The air unit was noisy. The room layout was awkward. The TV was old school. The light switch did not work. Bed was good, so was water pressure. Shower curtains were the really thick plastic type that does not bend. It is an embarrassing address. Had to leave. Got no refund, lost two nights. Went to the lovely Dana down the street. Lesson...never again Hotwire.	
Sep 5 2009 	Location and Comfort	Stayed here for a week in late August. There was some apprehension as others had noted small rooms, noise, dirt and loud or malfunctioning air con along with intrusive building building work.Well whether we were lucky or not I don't know but the stay had none of those things. The room was spacious we had a normal room with a view of the Hancock and the Lake which had more than enough space for 2 and had a great bed and bathroom. The Aircon in the room was yet to be upgraded but worked well and although noise was audible it was acceptable.Everyone there was very friendly and it was ideally located for shops and all attractions. If it had a better bar/restaurant on site then it would have been just perfect but the bar and restaurant are independent of the hotel and so the lack of appeal may not be down to the hotel but it is something that they do need to work on. Till they do, cocktails at the signature room, 96 floors up the Hancock represent great value when you consider the views no charge for entry and are cheaper than the attached bar to the hotel. For breakfast the original pancake house has been given credit and rightly so. Einsteins Bagels represent a reasonable option if the wait is too great, next door to Urban Outfitters a block away	
Sep 5 2009 	Excellent for the price	Stayed at the Whitehall for 6 nights last month and have no complaints. The location is perfect for exploring some of the tourist highlights, good restaurants and of course the shopping. Staff were friendly and helpful at all times and the room we had (which i think was a standard) was spacious and very nicely furnished. In my opinion you would be paying a lot more for a better hotel than this and unless you were splashing out for a honeymoon or something i wouldn't bother.	
Sep 3 2009 	Not even close to 4 Star	I often joke with friends about people who complain about hotels on Tripadvisor...but now I know how the cranky travelors feel.We booked the Whitehall hotel through Hotwire for Labor Day weekend. It was supposed to be 4 star, and I've never been as disappointed in a hotel. This place is a dump. It's under construction and the staff is rude. (We had to wake up the front desk person to check us in at midnight last night.)We routinely work from hotels. I knew that this hotel charges for internet, but they charge $10 for every laptop you want to use...so we are paying $30 a day for internet access in this hotel which is outrageous. The room isn't even worth $30.From a typically easy going travelor, take my advice and avoid the Whitehall Hotel. It's a dump.	
Sep 1 2009 	Loved the Whitehall.	After reading some of the reviews on here we nearly didn't book but expedia were offering a good rate for our 8 night stay, so we went ahead regardless and were pleased we had. From the minute we stepped out of the taxi we were made to feel very welcome. All the staff we encountered were friendly, welcoming and polite. Check in was quick and efficient and we didn't smell any strange smells in the lobby during our 8 days!! Our room was 1313, maybe unlucky for some but not for us. The room was a good size and was spotlessly clean. The bed was superb, we wanted to ship it home. The air con worked very well too (a problem for some other reviewers). The bathroom was also a nice size and very clean. Towels and toiletries were in good supply.We were obviously in one of the newly renovated rooms as there was no problem with tired looking furnishings, dusty carpets or peeling wallpaper. Facilities in the room included a minibar, TV, hairdryer, safe, iron/ironing board and robes. No tea/coffee making facilites are in the room but it is available in the lobby in the morning. Ice is brought by the evening turn down service. We were situated at the end of a corridor and rarely heard any noise from other guests. We had partial views of the Hancock Tower and because our room was overlooking the church and a quiet side road we didn't hear much noise from outside either. There is a notice in the room to warn you of renovation work and they do have plastic sheeting down in the corridors but if we did happen to be in the room during the day (when jetlag kicked in) we didn't hear any extra noise. Probably the best part of The Whitehall though is its location. Just off Mag Mile its easy to reach most of downtown Chicago by foot and its very safe. We walked as far south as Soldier Field and as far north as North Ave beach. The only public transport we used was the water taxi but that was more for sightseeing than necessity. The John Hancock Tower is virtually on the doorstep as is great shopping and lots of nice restaurants. Finally, we didn't eat at the hotel restaurant at all but can definitely recommend Tempo Cafe (2 blocks away on the corner of E Chestnut and N State) for a lovely filling breakfast. Don't be put off by the crowds outside, head to the front and put your name on the list, its worth the wait. We ate there everyday.	
Aug 25 2009 	We loved it -- Obviously depends on the room...	We loved the Whitehall. Our room had been renovated, which means:1. Best bed and linens ever2. Lovely marble bathroom with nightlight3. Good TVFour things we loved most: 1. Great concierges. Booked us and our Chicago family on a fab architecture cruise. Also good advice about where to catch the bus.2. Best brewed coffee in the morning in the lobby. 3. Nicest, most pleasant staff4. Location, half block from the John Hancock towerHint: go to the Original Pancake House for one of the best breakfast ever.	
Aug 18 2009 	Old rundown hotel in great location.	4 nights/$4103 good things: Location, a block of Michigan and Rush. Shower water pressure. Comfortable bed.The hotel is under construction right now. Plastic covers the hallway carpeting. Everything is o-l-d. It smells old in the lobby, etc. You get the picture.In the room, the bed seemed to be the only fairly new piece of furniture. The two covered chairs were so worn it looked like they bought them from goodwill. Both chairs had dark, grease spots from where people leaned their head against them. Dust lines the carpet against every wall. Wall paper was peeling on at least 3 different corners. There was a huge waterstain and crack in the ceiling in one corner of the room. Customer service is hit and miss. I honestly felt bad for the few employees who made an effort. What's the point if the front desk clerk is great and house keeping forgets to clean the room? They overlooked our room the second night and when I mentioned it that evening while asking for extra towels, the response I got from the gal manning the desk that night was: 'and...?'The tv in the room is old. Channels are fuzzy. Audio levels spike everytime you change the channel.I am by no means a 5 star traveler. But I expect clean rooms and courteous customer service. In this case, I would've gladly paid extra to stay at the Westin across the street. Least I wouldn't feel like I was staying in a rundown old folks home.	
Aug 5 2009	Wish we had known they were under construction	I just got married in Chicago and our entire wedding group stayed at the Whitehall Hotel. It would have been nice if they would have told us that they were under construction on EVERY floor. The upside is that we were so busy that we were not in the rooms long so we did not hear any of the construction, but there is plastic on the floors and several rooms on each floor are being worked on. The best part about this hotel is their beds and showers ( the water pressure is great!!). I would stay here if you want to be close to the magnificent mile, but if you are looking for a fancy hotel this is not your place.	
