	Review...	Hotel itself was nice. Concierge was great as well as the staff in the bar/restaurant. The staff at the front desk were horrible!!!! We waited 1 1/2 hours passed our check in time and finally I went up there for the third time and they had a room ready for us. Hotel was beautiful, rooms were nothing special, hotel was close to everything...including the hospital across the street that has ambulances with sirens leaving and arriving all times of the night! Ugh.	
Nov 25 2009 	Great location great weekend rates	Impressive, well maintained. Room was large with desk and armoire/tv. Staff is very helpful and friendly. The front desk in a word, reserved. There are several breakfast stops within 1 to 2 block walking distance, Corner Bakery, West Egg Cafe and Einstein Bros. Bagels. Corner Bakery is across the street and opens at 6AM, for the first coffee of the day. Great baked goods.	
Nov 21 2009 	Nice hotel would return	Nice hotel, great location, minutes away from the Magnificent Mile. Our rooms were nice and big (deluxe room) and the only thing I could really complain about was the noise of the ambulances at night, but that is just due to the proximity of the hotel to the hospital. Our room was on the 17th floor so the noise wasn't terrible, but I could definitely hear them at night, however, they did not keep me up, I was just awake when they passed by, others in my party didn't know what I was talking about the next morning when I asked about it, they slept through the night with no problems. It was also a little annoying that you had to enter the hotel and then take one set of elevators to get to the main floor where the other set of elevators were located to take you to your rooms. But overall a very enjoyable stay, friendly staff, nothing of note to complain about. I would definitely return to this hotel on my next visit to Chicago. 	
Nov 16 2009	Great location comfy beds great deal!	My mom and I stayed at the Wyndham for 2 nights and had a very pleasant stay. The beds are very comfortable. The location is great if you want to be near the Magnificent Mile. One thing to note is that the room photos included in the Trip Advisor hotel profile are not of a standard size room. We had a standard room with two queen beds, and it was much smaller than the room shown in the photos. For two people it was fine, but if you’re a family with kids, it would be pretty cramped. One minor quirk about how the hotel is laid out that might be problematic if you have mobility problems is that you need to take two different elevators to get to the guest rooms. Customer service at this hotel is great. The concierge was really helpful with dinner reservations and directions. As far as price goes, we got a great deal that I couldn’t have been more pleased with. Overall, we had a great experience at the Wyndham and I would not hesitate to stay here again if I needed to be in this neighborhood again.	
Nov 5 2009 	Great Price and Location	I booked the Wyndham for the weekend of 10/30/09 thru 11/1/09 on Expedia for 99.00 (nonrefundable) per night and the hotel's website was charging 215.00 (nonrefundable) per night, so I got a great deal and was very happy about that. Upon arrival the staff was very friendly and more than willing to help. At the check in desk the clerk told me I could upgrade to a suite for 30.00 per night so I did. The room was adequate, the furniture to me is a little out dated. The TV could also use an upgrade to a flat screen. Oh... And valet parking is 50.00 per night, so be prepared to pay. Luckily we found street parking and left the car there the entire weekend. Other than that minor complaint, the location was great, again, the staff was very friendly, and the bed was super comfortable. I definitely recommend this hotel!	
Nov 4 2009 	Good location - good rate - well appointed	The hotel is in an excellent location, with friendly helpful staff (espec concierge) and well appointed and well maintained rooms. The beds and bed linen were especially comfortable and clean. Having to pay for wireless internet in the room was a little galling, but on a rate of UK£85 per night one can't complain. Excellent inexpensive breakfast to be had just across the street at the Corner Bakery - the cognoscenti of Chicago were inside enjoying Anaheim scramblers and everlasting coffee.Recommend both hotel and the Bakery..!	
Nov 3 2009 	Great location but made to feel we did not belong	Took our family to Chicago for a short sightseeing trip in October. Stayed at Wyndham for 3 nights in two rooms. Upon arrival our booking was messed up to the point that we were given the keys to someone else's room. Going back to the desk did not even prompt an apology! Throughout front desk treated us as if we weren't good enough. As a By Request member, I had expected a very different treatment. Value was sadly lacking and prices for parking or breakfast were outrageous, when staff were more busy talking to one another, than attending to clients.	
Nov 1 2009 	Fantastic Location -you just can't beat it!	We stayed for 2 nights &amp; got what we felt after staying, to be an excellent deal via hotwire.com for $88pn. I've go to say -I was alittle concerned &amp; apprehensive about staying here, thanks to all the other reviews &amp; people's honesty about the place. We are Aussies and arrived early(11am) having travelled approx 18 hrs. Firstly: Check in is not on the ground floor, you need to take the lift up a floor. We were greeted by a friendly gentleman &amp; explained why we were here early. He actually asked if we wanted a high or lower floor.! I was &quot;armed' with all the reviews &quot;dont's&quot; so I was prepared to argue/fight to get a room on a higher floor, so no noise &amp; we could sleep. He offered us a room on the 17th floor with a king bed, so we took it. I didn't have to say a word - he must have sensed I was well prepared &amp; very jetlagged, so don't argue with a tired Aussie! Unfortunately, our room wouldn't be ready until 3pm, but he suggested we come back at 2.30pm &amp; they'd see what they could do. The gentleman recognised us straight away &amp; advised our room was ready. The room was clean, tidy with a limited view &amp; the bed was very comfortable. The best part was - we DIDN'T HEAR any sirens from the ambulances at the hospital.! The hotel doesn't have a pick-up service &amp; no free Internet. Secondly: The location was great - easy walk to Michigan Ave, the Magnificent Mile, Navy Pier etc, we walked everywhere &amp; there is a tourist information just up the road near the Water Tower. Shopping is on your doorstep &amp; there are some great restaurants, so venture out as we didn't eat in the hotel. It wasn't windy at all for early Sept, &amp; we went Chicago Beach for lunch, where there is a great cafe/restaurant right on the beach. If you get a sunny day its excellent down there- a good feed &amp; some cold beers (made us feel at home- except no waves at the &quot;beach&quot;). The moral to this story is - if you get a higher floor, you won't hear the sirens. If you are a light sleeper, I'd consider elsewhere. Or just take a gamble like we did as it was only for 2 nights.	
Oct 19 2009 	Good location and clean...but it ends at that	If you are a business traveler and NOT a light sleeper, this is the perfect hotel for you. Great location in Streeterville neighborhood with all of the tourist attractions within walking distance. If you are a leisure traveler, there are many more interesting options just across Mag mile in River North.Yes, the room was clean and the bed was very comfortable, and I don't typically write negative reviews, but there were just too many little details that would cause me to recommend other options to first time visitors to Chicago. (And for a four diamond rating, I would expect more).Check in went like this &quot;Name please...can you spell that...I need a photo ID...your room is on the 10th floor...elevators are down the hallway on the left.&quot; There was no &quot;welcome&quot; or &quot;thank you&quot; or &quot;I hope you enjoy your stay.&quot;Again the room and bath were clean, spacious and comfortable...but basic. The mirror above the vanity was not large enough to span the space and did not align with the positioning of the bathroom sink...thus you had to step to the right to see yourself.The hotel is adjacent to Northwestern Memorial Hospital so you will hear the sirens from ambulances from time to time through the night.The doors slammed shut and the walls I thought were quite thin.So, again, there are so many other unique options, with a little research, a leisure traveler can find something more memorable and relaxing.	
Oct 11 2009 	Great Surprise	We booked this hotel as part of a Hotel Special hoping for the best. When we arrived we were thrilled to find a centrally located and glamourous hotel. The fixtures and rooms are lovely. Staff are friendly and did their utmost to make our stay. Shopping is on your doorstep as are some great resturants. We went to a Brazilian resturant and rate it as the best meal of the 2 week stay.	
Sep 27 2009 	Good Jog	My elderly relatives visited us from abroad. They got here a day ahead of schedule and my wife booked them into the Wyndham Chicago. They spoke no English. My wife called ahead to tell the desk to expect them. When my relatives arrived the front desk took care of them without any trouble. A nice hotel, to be sure, but it was the extra effort that impressed me, and my relatives. Thanks guys.	
