	Great hotel quiet location ideal for weekend away!	We stayed at the Apex for a weekend in November based on the reviews from this site. We were not disappointed. We stayed in a King Deluxe room on the first floor and the room was HUGE! The bathroom had a large bath and a walk in shower.My only gripe was that the pillows were terrible! The standard ones are feather so I would suggest ordering extra or foam ones for a more comfortable night.The room was VERY quiet for London as we could only hear the wind in the trees of the small square opposite our window. It is within 3 minutes walk of Tower Hill tube station, which will take you to Embankment which is only a 5 minute walk from Leicester Square etc. Ideal for Tower of London as it is just across the road. We didn't have any food in the hotel as there was a pub just around the block that did full English breakfasts for £3.99 which was OK for us. There is also a pizza place, noodle bar and various other eateries within a 5 minute walk. I would also suggest walking over Tower Bridge and walking towards London Bridger on the South Bank as there were a multitude of places there.All in all a fab weekend at a fab price.	
Nov 24 2009 	Excellent hotel very pleasant stay!!	We stayed overnight at the Apex City of London, this weekend, it was very, very nice. The rooms were very clean and welcoming with everything you would need for an overnight stay or longer. The hotel is very modern and spacious and is set in a quiet sidestreet in easy walking distance of the tubestation. The staff were most helpful nothing was too much trouble. Lovely breakfast with lots of choice. We will definatly be staying again.	
Nov 19 2009 	Great place to stay on business	Stayed for two nights nearing the end of a long week working in London. Getting to the hotel was like coming home. The front desk staff couldn't have been friendlier nor more accomodating. My room was available right away. Room was clean, large for UK standards, huge comfortable bed. Lovely large bathroom with modern seperate shower. Two people could easily negotiate this bathroom. Complimentary water in the rooms was nice too. Didn't have dinner in the restaurant, but did have beverages. Bar is open until 1 am, which is nice since most places close at 11 pm. Close to tube stop and tower of London. Agree with other reviewers, don't know why this is a 3 star property as it was easily 4 in my opinion. Only challenge was getting a taxi in the morning during rush hour. On a side street, so I had to take a quick walk to the tube station - little effort considering all the good things.	
Nov 9 2009 	Absolutely brilliant place to stay for business or pleasure.	First of all, Apex City London lives up to the outstanding reviews on Trip Advisor. We arrived after a 24 hour flight from Australia at 7am in the morning, it is literally 5 minutes from the Tower Hill tube. The staff made us welcome until our room was available. The beds are fantastic, as is the free WiiFi. The toiletries are great and the staff can't do enough to make your stay pleasurable. We used it as a base to explore all of London and we found Tower Hill a quieter part of town. The gym is excellent, and better than most Hotel gyms.There is a Pret a manger nearby and it was great for a quick bite or lunch on the go.Rooms were spotless, and we liked it so much we upgraded to a deluxe room for the last 3 days. It is worth the upgrade. I would stay at Apex City London on any return to London. Don't look anywhere else this place is it for tourists and business in London.	
Oct 29 2009 	Excellent choice for the City.	Stayed for 3 nights in Oct 2009. It is a great location for the Tower of London, Tower Bridge, and doing business in the City. Lloyds office and Leadenhall Market a 4 minute walk and plenty of food choices nearby.  The staff was helpful but definitely opt for the buffet breakfast as the in-person service was painfully slow, by any standard.  Most taxi drivers seem to know where it is and finding a cab is VERY easy - if they're not out front there's one a block away in any direction. Good Tube options with Tower Hill a block away, Monument, and Bank all very close.  The only thing to be aware of is that the location is solidly in the City. If you're going to be running around all over London, beware. Either plan on taking the tube and making a transfer, or spending a lot of time in cabs. With zero traffic it took 20-25 minutes to get there from Paddington, and in thick midday traffic a full HOUR to get back TO Paddington.  Decent bar but not a thriving bar scene after hours. Overall relaxing. I paid up for the Superior King room and was amazed by the size of the room as well as the bathroom. However beware - shower head is tiny and low pressure.	
Oct 25 2009 	Great London hotel in a quiet location near the Tower of London	Stayed Saturday night to attend a birthday party in London and although the party was over near Hyde Park we were really pleased we chose the Apex. It is smart, very modern and the service efficient. Highly recommended.	
Oct 25 2009 	A good base to see London	We were given a room upgrade during our 3 nights stay here in September. The room was spacious and well appointed as was the bathroom. The bed was big and comfortable, and the room was quiet at night. Didn't spend too much time in the hotel, but it was located near a very good pub for meals and a short walk from shops, tube station and The Tower of London. We booked this hotel based on what Trip Advisor had to say about it, and were not disappointed.	
Oct 23 2009 	great location	Well located, well priced modern hotel. Very nice waiter served breakfast and professional service from all staff.	
Oct 22 2009 	The nicest hotel I have ever stayed in	This hotel is in a fantastic position, close to the Tower of London and very close to several tube stations. The Reception staff were most helpful with maps and directions and various suggestions to make the most of our stay in this lovely hotel.The rooms are outstanding with several little touches that really improved our comfort, the bed and bedding were amazingly comfortable, and the breakfasts were truly out of this world, I have never stayed in such a friendly and luxurious hotel.	
Oct 21 2009 	NICE ENOUGH	Friends and I stayed at this hotel in September, had the basic room. Very modern, but rather impersonal I thought. Breakfast was lovely as they come and take your order from the breakfast menu - nice to be looked after by someone rather than the buffet style for a change. Lovely young man on duty the first morning and then it all went a bit pear-shaped on the second morning, had to ask a couple of times for someone to take our order and then ask again for tea/coffee/toast etc, but not that big a deal. What I will say is that the shower was hopeless. It was like a hand-held style that I would say at best, dribbled! Not sure I'd go back to be honest, not sure why, just didn't bowl me over. That said, I would recommend it as it was a nice, modern hotel and they had a good offer on at the time, which I think has been extended, so worth checking out.	
Oct 19 2009 	Fantastic Value	We recently had a weekend break in London, using the Apex as our base.What a good choice we made. We has a standard room and it was more than adequate, Comfortable, clean, convenient and very friendly staff. After long days sightseeing the local Wetherspoons is very convenient half way betenn the Tube and Hotel. for a nightcap.Can't wait to go again.Keith &amp; Debbie, Manchester.	
Oct 19 2009 	A lovely hotel	I recently stayed at the Apex hotel for my boyfriend's birthday, where we came to London to relax and to see a show.I booked online with Late rooms (and got a v. good deal). We arrived in London and after much Tube hopping we left the station to find the hotel was 2 minutes walk away in an ideal location (brilliant)On our arrival checking in was quick and hassle free. We have a choice of which floor and smoking or non-smoking then we made our way upto the room. It was small, but cosy, was spotless and very tidy, it was excellent.We didn't eat at the restuarant or drink at the bar, as the food was a little pricey, but this was to be expected!The hotel had free internet access. The staff was attentive and extremely helpful and even when we asked for directions to the show, they recommended the cheapest way and most convininet way to travel.We checked out 2 days later with a smile on our faces. Again, the checking out was quick and hassle-free, and they'll even store your bags for you until you need to depart for home.The only that was annying was the location of the plug sockets. They were behind the TV which was a pain when using the iron and also when using the hairdryer as the cord wasn't long enough.Other than that it was fantastic, I would definately go again and would recommend it to friends and family (they should visit late rooms first though)	
