	Simple hotel good location	Overall the hotel provided exactly what we needed - a base for a 2-day sighting seeing trip around London. The location was good since it was right near the Earl's Court Station that allowed us to get everywhere we wanted to go. Otherwise there was not much near the hotel.The room was actually bigger than anticipated. It was very basic though. Only negative was that the one women at the desk wasn't helpful at all with any of our questions. Would recommend for a basic sightseeing stay.	
Nov 21 2009 	Good hotel GREAT value	I just spent almost 2 weeks at this hotel on a solo leisure/shopping trip, and I don't have many complaints! It's an incredible value in such a pricey city and as others have mentioned, it's access to the Earl's Court tube station is it's shining glory. The area has a nice neighborhood feeling and there are many amenities within a few steps from the hotel (drugstore, grocers, post office, atms, pubs, restaurants, convenience stores, stationers, internet cafe, etc etc!). The room was nothing special... quite drab and outdated, but it was very clean and everything was in working order. It was small, but I had plenty of room to move about and put my belongings. Oh, and that tea kettle that boils water in seconds was a lovely thing to have in the room. I never saw any insects or pests, I never ran out of hot water for showers, and whenever I requested anything from the staff, they were very prompt and polite. I was definitely a late riser and the housekeeping staff always took the &quot;do not disturb&quot; sign seriously! I also have to thank the gentleman at the front desk the morning of my checkout... I was short 30 or 40 pence for some phone calls I had made from my room, and he just smiled and told me not to worry. Thanks!There were only a very minor complaints about my stay. The main one is the creaky floorboards! I know there isn't much the hotel can do about it, but my goodness was it annoying! I couldn't walk anywhere in my room without a headache. And I could hear everything that was going on in the hallway like it was right next to me, so I inadvertently eavesdropped on many conversations. Although I wasn't in London to watch TV, the couple of channels that were available had a bit of static. The room was always too warm for me, even with the fan and windows open (in the middle of November), and the bed was a bit uncomfortable at times (there was small plastic circles embedded in mattress... I have no idea what they were). Also, the halls were never really tidy... always piles of towels or toilet paper laying around from housekeeping. It never bothered me, but I can see how it might look disorderly to some visitors.Although I was thinking that on my next trip to London I would try to find accommodations with self-service lodging (kitchenette, fridge), to save a bit of money on dining out... I would definitely stay at Barkston Gardens again and give it my recommendation!	
Nov 19 2009 	Average hotel in good location	I stayed in this hotel for 2 nights and overall it is a fair value for money in London. Main benefit is that this hotel is only a couple of minutes walk from Earl's Court tube station, which is very central and you don't need to spend hours to get to main places of interest. Breakfast is also quite good - we had a full English breakfast package, which worked out very well. However the &quot;restaurant&quot; looks very tired and reminds me of an old public canteen. Nevertheless, quality and variety of food is very reasonable. Bedrooms in this hotel overall are not that great. Good things are: spacious room, clean. Bad things - everything looks very very tired, bathroom - although shower works - looks awful, old and very outdated (but still clean). Windows - forget double glazing. Very old and very dirty, can't open them properly - I needed to use a folder to stop it from shutting. Curtains used to be white, but it I think it was a long long time ago, and now they are grey. Floor (and carpets) is also quite bad and every time you walk, it makes terrible noise - which is especially noticeable during the night if you or your kids have to get up.I first thought of rating this hotel as 3 out of 5 because of it's location and room rates. But the more I think about it, the more negatives I find. I would not really like to stay in this hotel in the future - I would rather move away from the city centre, or choose a bit more expensive hotel in the same area.	
Nov 11 2009 	Excellent value for money	Located just a few meters away from Earls court tube, it is easily accessible by public transport that drops you only a few meters away. Location is excellent, couldn't be better.Even if it is next to a busy road, at night the area is quiet and you can sleep well.Rooms are very big when compared to other same level London hotels with plenty of room to put baggage and be comfortable. Bathroom is ensuite and not very small, the only problem was that water wasn't very hot, but we could manage to have a bath without any problem. Rooms and hotel were clean.Breakfast was nothing special but accaptable with fresh toast, another type of bread, cereals, one type of ham ans cheese, jams, ecc. You can also choose from hot chocolate, tea or coffee, I had the first two, and the two of them weren't good.I definately recommend this hotel since it is excellent value for money, located in the centre of london with easy transport facilities being just a few seconds away.	
Oct 28 2009 	Completely satisfied!	This hotel was excellent for what we wanted - a real London atmosphere in a great section of the city, at reasonable cost. The room was modest size - no problem for us as we knew what to expect - and charmingly furnished. The bathroom was modern and clean. No problem! The staff was fine, although we had no special requests.Someone who wants an American-type room may not be as happy as we were, it's just a matter of taste.	
Oct 27 2009 	surly arrogant condescending and demeaning staff!	If your idea of customer service is surly, arrogant, condescending and demeaning staff you will simply adore the Barkston Gardens Hotel. If not, i suggest you run the other way, fast!	
Oct 11 2009	Under construction	The hotel was under construction while we were there. It wasn't too disruptive, but it made walking down the hall unpleasant as they put in a new elevator. Our room was okay and very spacious, the beds soft and comfortable, but our bathroom was scary. I say scary because the shower sang, and the tiling was poor, with large gobs of caulk everywhere to fill in gaps.The location was Excellent. From Earl's Court tube station, you turn right, walk half a block, turn left and you are there! It's on the Piccadilly line which makes it convenient to get to and from the airport, or Kings Cross/ St. Pancras train station if you don't have a car. There were also plenty of choices as far as restaurants, grocery stores, bakerys, internet cafes, and a little shopping. ATMs located accross the street from the underground.Breakfast was a nice buffet. Tea and toast plus whatever you can concoct with cheese, rolls, ham, cut up fruit, and cereal.	
Oct 10 2009 	A good hotel for many reasons	I just returned from London where I stayed for the fourth time at Barkston Gardens.The hotel has a very good position along the Piccadilly Line, just a few minutes walk from Earl´s Court underground station. The rooms are good enough, not luxurious.The floor makes (terrible) noise and sometimes theres no hot water, but it does not bother me to much. The international breakfast is always the same but contains the basic drinks and food stuffs. The personal is friendly.	
Oct 8 2009 	Great location!	Great location! I was surprised how close everything was to this hotel. The restaurants, drugstore, grocery store, and shopping was close by. The tube was literally a 5 minute walk. Great location overall. The hotel is an older building, but it does have big rooms and big bathrooms. They need to update the furnitures. The bed was uncomfortable!The hotel staffs were very nice and courteous. Great customer service. I will definitely stay here again. Hopefully, they would have new beds.	
Oct 6 2009 	Excellent Location	We have just returned from London - our one week at the Barkston Hotel was quite nice. it is very functional, close to all travel, (subway and access to Brit Rail) ,shopping, bank, boots drug store, food, bakeries, etc. We found the hotel basic, &amp; clean and met out needs. The buffet breakfast was well organized and exceeded our expectations. The front desk staff and the staff in general were prompt, professional and responsive to our needs.Our room was on the 6th floor - you should ask for a 6th floor room - the floors are &quot;creaky&quot;. Our room was clean and quite adequate - we were out most of the day and only spent time in the room at night. I will say that the furnishings in our room were a bit &quot;tired&quot; - the carpet and bed clothing need to be updated. The windows are old - but we could open them. We found the room warm and asked for another fan for the room - which was promptly delivered. Lots of hot water in the bathroom- very clean and modern. Lovely huge bathtub.A new elevator is being installed, however, we were never bothered by the noise - they started work around 10 am and finished by 5 pm. This hotel is basic but close to everything you need if you are out all day. Would recommend it and also would stay there again.	
Sep 30 2009 	Listen to the bad reviews - trust me this isn't a bearable cheap hotel	Seriously: you may see the bad reviews and think, &quot;They're just being prissy, but I'm a real traveler - I can handle a bit of old and in-need-of-renovation, I'm just going to be sleeping there.&quot;Do yourself a favour. Go onto Google: search &quot;barkston gardens cockroach&quot;, &quot;barkston gardens lice&quot;, &quot;barkston gardens bedbugs&quot;, &quot;barkston gardens scabbies&quot;, &quot;barkston gardens rats&quot; and &quot;barkston gardens pests&quot;It's not even that the rooms are that ugly - and don't get me wrong: they are ugly. For the price you're paying, it's unreasonable ugly. They're on par with hostels, but you're paying 65 pound a night for a single room. Mine had dead cockroaches in the bathroom. The &quot;bed&quot; is actually two couch things nailed together. It slants to one side and slowly dumps you out of bed.As for the location that everyone totes as being so convenient: Earls Court is not a nice part of town by any description. It's close enough to the airport, but to be honest, provided you can carry your bags or pay five quid for a cab, go to the Stratford Hotel Ibis. Yeah it's more expensive: but it's a hotel you can not dread coming back to.	
