	Don't stress just book it- it's fine!	I stayed up until 1:30 a.m. one night, stressing about hotels (and their cost !) and especially worrying about the reviews on this place and whether I could find a more affordable, more centrally located, nicer hotel in London. I wish I had gone to bed earlier in the night, because the hotel was fine. It wasn't grand- simple, small, clean and a place to sleep. But it wasn't awful, either. Would I book here again? Yeah, probably if the price was right. However, I wouldn't go out of my way to book here either. LOCATION- I wouldn't say it was &quot;centrally&quot; located- maybe walkable to Kensington Palace, but that's about it. However, it is just about a 7 minute walk to two different tube stops (the district, central and cirlce lines), so that's really all that matters in London. BREAKFAST- We purchased through Veneer and breakfast was NOT included in our price- it would've been an extra 8 pounds. So, instead, we stopped at the Spar near the tube stop and purchased some bananas and cereal bars. Much cheaper and allowed us to get going at our own pace. SIZE/AMENITIES- We stayed in room 37. It was small- if you're American, imagine a typical guest bedroom with bath. However, I personally don't care about having a large room 'cause we are active and siteseeing. Rooms included a nice large hair dryer, shirt press, hot water pot with instant coffee and tea, large closet with safe. The TV did not have cable, only about 5 stations or so... again, doesn't matter to us, but might to others.BATHROOM- Decent sized, with deep tub. Really bad shower pressure. Tile was loose on the floor. Included lots of counter space and a towel warmer. STAFF- Always seemed nice enough. No problems, but they didn't go out of their way to be super kind or anything, either. They did let us leave our bags in the &quot;luggage area&quot; when we arrived VERY early in the a.m. before our check in time. The luggage area was really just open shelves. It worried my hubby at first because we were the first to put our belongings there, but when we got back later that evening, the luggage shelves were full and noone had tampered with our luggage. NEIGHBORHOOD- The street where the Tube exit/entrance is was a bustling area with lots of food and shopping. Some of the restaurants were obviously more geared toward tourists, but there were a few unique spots, including some authentic Chinese and Mediterranean. There's also an indoor mall, marked with a big &quot;W&quot; on the outside near the Bayswater Tube station and I also noticed a few consignment shops, which I was discovered too late to visit. So... if you're up late reading this and super worried about the accomodations... just book it!	
Nov 11 2009 	dont bother	Stayed at this hotel for 2 nights. The hotel is quite small. When we entered the room we where surprised at how small it was, it also had cracks in the celing and the decor was dated. Our room was also located right next to the boilor room so it was a noisy few nights. We paid for bed and breakfast so we where very suprised that at the end of our stay we where charged for breakfast. Its a good job that we did not decide to eat there on the second day as it was disgusting and no way worth the money! If we visit London again we will not stay here again as it was not worth the money.	
Nov 2 2009 	Would come back	Like other rewies, I agree the room is tiny, but I only used it for sleep, so, it was ok. The staff was very friendly and helpful. Really close to the Hyde Park.	
Oct 30 2009 	A little disappointing	Room was the smallest one we have ever stayed in - only enough room for one person to walk around whilst the other had to sit on the bed. Bathroom had mold in the shower, the light pull above the sink was filthy. Good breakfast - apart from the tinned mushrooms. Staff were very helpful and polite. Bed linen and towels were spotless. Hotel was very quiet and a short walk from tube station.	
Oct 26 2009 	gave us a room in lower ground	We didn't pay that much, about 210 £ for two nights. BUT - we got the worst room in the whole hotel: room 2 at lower ground (LG). That was clastrophobic. Our window view was straight into a stair, and we could see the bottom of the cars.... :( In the bathroom there were some muld, not good, especially because my friend was pregnant. Ok service. Good location. No minibar.	
Oct 18 2009 	a very nice place to spend a vacation in London	The Hotel Byron was a very nice place to spend a vacation in London. It is nicely located a half block from Kensington Park and 2 blocks from two different tube stations. There were several very good and relatively inexpensive restaurants near the stations. The hotel itself was a small older hotel that had been recently updated. The rooms were small but comfortable and the bath rooms were relatively modern. They had an interesting electrical system that had you plug in a card when you entered the room. The key to the room was attached to the card. When you leave, you must take your key and therefore unplug the card and turn off the power in the room. The beds were very comfortable and the hotel was very quiet. The bath consisted of a bathtub with a shower in it. It was clean modern and comfortable. The rug was quite old and stained. The staff was very helpful and friendly. The Breakfast, which did not come with our package, was very good but very expensive at 7.5 pounds. We ended up over by the tube stations for breakfast most mornings. There are also a couple of restaurants with free or inexpensive web access so you can avoid the high price in the hotel. Overall I would rate the hotel as very good and would recommend it to others.	
Oct 7 2009 	Brilliant location excellent value for money	The location could not be better, close to two underground stations and two minute walk to Hyde Park and in a quiet street. Room was tiny but clean with comfortable bed and good shower. Breakfast was excellent, English breakfast cooked to order in addition to the usual continental selection.	
Sep 29 2009 	Very nice accessible London hotel	After much research on where to stay in the Bayswater/Paddington area of London (just north of Hyde Park) on this, my second visit to London -- including corresponding with many of the reviewers who contributed to TripAdvisor.com -- I decided on The Byron Hotel on Queensborough Terrace. Its location partway between the Queensway and Lancaster Gate Underground stops on the Central Line was critical to my choice.Additional reviewer comments factoring into my decision included the friendliness of the staff and the cleanliness of the rooms. All of this was true to the utmost. Granted, the hotel rooms are small and pricey by U.S. standards ... but when Rome, etc. From what I could see, all rooms were updated, with tiled baths, nice showers with plenty of hot water, clean sheets and nice furniture. My only complaint was that my initial room, on the first floor, was a bit noisey. I asked to be moved to an upper level, and the staff very kindly accommodated me within an hour of my request.Readers should know that when London hotels say &quot;coffee and tea services in the room,&quot; they really mean a tea kettle with instant coffee -- not a drip coffee pot like we have in U.S. hotels. I, however, knew this from my previous travel to London, so I planned ahead and purchased those individual coffee bags (like tea bags) before I left the states. That worked out well because they taste better than instant coffee and take up very little room in luggage.Readers should also be aware that, contrary to the electrical system in the U.S., in order to activate electrical outlets in the UK, you first need to flip the switch next to each outlet (or lamp) to get the juice flowing to the outlet. After doing this, then plug in your adapter and converter to get electricity to your hair dryer or flat iron (in-room hair dryers are provided, but I brought my own). Knowing this beforehand can save you from making a frantic phone call to the staff when you're rushing to get ready in the morning! Also, when you leave the room, all electricity is automatically turned off; so I'd recommend leaving a window open so your room isn't so stuffy when you return.Another bit of advice: when advertising says &quot;fully air conditioned,&quot; it doesn't mean the level of coolness we're used to in the U.S. Rooms have only one air-conditioning register (and no return register to draw cool air down, like we have in the states). The cooling factor in my room for late September was adequate, but just barely. London has gotten increasingly warmer over the years, and its summers have become rather difficult. For those who can't tolerate the heat very well (like this reviewer), I'd recommend traveling in late September or October.Again, the staff was fabulous ... so very, very nice. My compliments to them all. And the room was very clean. I would stay there again ... and I certainly hope to do so within the next five years or so!Please feel free to email me with any questions, either about the Byron Hotel or London in general.heleneg@temple.edu	
Sep 18 2009 	Beware the basement rooms	I am sure that this is a wonderful hotel to stay in -- unless you are put in a basement room. Reading the other reviews confirms this in my mind. We arrived late on a red eye flight, tubed over to our hotel, checked in easily, and were sent downstairs. Our room was huge for a London hotel room, but the shower leaked and there was a very strong smell of mustiness that ruined it for us.Service was fine, breakfast was solid, the room was ok and a good price performer -- except for that smell! I would never want to stay in their basement rooms again; I might go back if I was guaranteed not to be put in them.	
Sep 17 2009 	Very nice hotel very clean.	This hotel was very nice. The rooms looked newly refurbished. It was very clean. We love the location near Hyde Park. Paddington station is about a 15 min. walk and it is close to the Queensway Tube station. Some might want something closer to more sights though. The room was very small, but this is typical for London. It is probably the nicest hotel we have stayed at in London.	
Sep 14 2009 	The Byron Hotel feels like coming home	Once again we had a great time at the Byron Hotel! Thank you for all - it is such a lovely and helpfully staff. It is allways a pleasure to come to the Byron - feels like coming home.Thanks for a great time in London	
