	Great location	i stayed here as it was close to Paddington and I was leaving the following day for Heathrow and could jump on the Heathrow Express. I had a single room on the 2nd floor (no elevator). It was VERY tiny and the bathroom was even tinier. I had to be careful when using the toilet as there was a ridge around the shower and I could have easily sprained my ankle. Quite frankly, the walk in closet I have in my apartment is larger than the bathroom was. This hotel, as in many others in London, does breakfast only one way. I've never understood why the cooks cannot scramble an egg. They can only fry them sunny side up. If you have a bowl and a fork, you can scramble an egg. But here they couldn't do that. In fact, when I asked, the waiter looked at me like I was from another planet and he didn't even know what scrambled eggs were!!It's an OK place to stay if all you want is a bed and tiny bathroom. For breakfast, I suggest Garfinkel's on the corner of Praed Street.	
Oct 20 2009 	adequate	Stayed here for 5 nights at the end of September, first of October. We had two rooms, 1 double and 1 triple. The triple was extremely cramped. The bathroom and shower were the tiniest I have ever seen. However they both appeared to have been recently refurbished and were sparkling clean with new floor and shower tiles and fixtures. I cannot say the same for the rooms themselves. Very dowdy and worn. The triple room overlooked the park which was nice and had a nice large window, which helped since the room was very stuffy. However the window didn't stay open, we had to prop it up with the waste paper basket. Breakfast was forgetable. If you stay be sure to ask for a room on the first floor or second (if you are a hiker). No lift and the staircase is narrow and winding. But for the price (quite reasonable) we could put up with a few inconveniences.	
Aug 29 2009 	Not a surprise	Good location (5 minutes from underground and 15 mins to downtown), peaceful area, lots of restaurants nearby.we stayed in a small room with a nice view over Norfolk square (nice park full of coloured flowers): no wardrobe, no cabinet, no air conditioning: fortunately it was cool so we did not need it. Very small bath: I've seen larger washbasins on trains and aircrafts. Take care while paying by credit card and insist on paying in pounds otherwise the kind staff will offer you to pay in your currency without saying to you there is a 3,5% commission charge on the total amount. Apart this, staff is kind and helpful.If you don't like english breakfast you can only eat cereals and some bread and butter.Good hotel to spend few nights, I would not recommend it for a whole week.I think it is rather expensive 95£ x night for such a hotel, anyway living in London is not cheap. Before booking this hotel, I would try and look for something else, book it if you cannot find any better. Do consider that in its same Norfolk square there are quite a few other hotels and guest houses and the area around is really OK.	
Jul 29 2009 	Ideal location value for money	We stayed at the hotel for three nights. The location is ideal, it's close to/round the corner from Paddington station (train to Heathrow) and the underground station where you can take the tube directly to some of the main attractions like Mdm Tussauds. Hyde Park and Oxford Street are walking distance away. And even though it's close to a busy road and a train station it's fairly quiet.The rooms are not massive, the showers are especially on the small side, but we were out most of the time so that didn't bother us. The staff was very helpfull and kind. The breakfast was good.We enjoyed our stay and will definitely come back!	
Jul 16 2009 	great value for money excellent location	brilliant location, very close to paddington underground, and a five/ten minute walk to Hyde Park-fabulous for star spotting! we went on boxing day, so were able to see the Christmas German market at Hyde park, which i would highly recommend. The Cardiff Hotel was easy to find, yet surprisingly in a beautiful area for the money we paid. When we were given our keys i was dismayed to find a set of ladders in the room and plaster board on our sheets, with ceiling tiles laid in the bathroom. I asked the reception if they could do anything about this, so it was all cleaned and spotless after 10 minutes. The only downfall for this hotel was the 'breafast' menu were were given whilst staying there, very bad food, and we had to go to a nearby restaurant for breakfast. Overall an amazing stay, would recommend it to anyone, good location with a few local pubs and restaurants nearby.	
Jul 5 2009 	The Cardiff is little more than an overpriced hostel!	On the Internet this hotel looked quaint. Don't be fooled! I am not a picky person when traveling, all I really need is a clean place to lay my head. However, the Cardiff lacked even that simple amenity. At check-in it all seemed normal enough. I was aware that the hotel did not have a lift, as most in the area don't; however, lugging my suitcase up the five flights of narrow, steep stairs was not so fun. The room was Bates Motel material! Wallpaper stained and peeling, the carpets were stained and in need of cleaning, the bed was sagging and the sheets and coverlet were grimy and musty smelling (I slept fully clothed on top of the coverlet). The bathroom was badly in need of a good cleaning as the stench of urine was overwhelming. There was no air conditioning and only a rickety fan was provided, the room's single window would not stay open and I had to prop it open with books in order to air out the room when they decided to paint the hallways on the hottest day of the year with no ventiliation. Breaskfast was little better: I was served toast that had mold on the corners. The final straw, however, came on my way back up to my room from breakfast--a dead mouse laying on the staircase two steps before arriving at my door. (He probably died from the paint fumes!!) I called the front desk about it and it took them forever to send someone to clean it up. So even though you read the mixed reviews as I did and you think that it can't possibly be that bad, please know that IT IS that bad. The Cardiff is little more than an overpriced hostel...	
Jun 16 2009 	Excellent for the price	Stayed in the Cardiff hotel for four nights in May. I was surprised to find a good clean although small room in such a convenient location. Close to Paddington station. A huge hearty breakfast and staff who could speak english was a big bonus. Would stay again.	
Mar 1 2009 	Great budget priced hotel	We spent one night at this hotel. Booked on the internet on the day that we checked in. Hotel is in a great location. Plenty of restaurants nearby, safe and very close to the underground. The staff was very friendly. Room was very small, very clean and breakfast was excellent. Would highly recommend this hotel for those on a budget.	
Jan 13 2009 	budget hotel great location	I stayed at the Hotel Cardiff for 6 nights over New Years 08/09. I booked the hotel based on the cost (49 pounds a night) and the reviews on this site. I can't argue with much I have seen here.The room is functional, the bathroom is small and there are no elevators. So basically, it's a typical 2 star European hotel. The location is great. The free breakfast was nice and the price was right. Staff were friendly. Paddington is a short walk and it was no problem with street noise at night. Would definitely stay again on my next trip to London.	
Jan 1 2009 	One of the best located small-budget hotels in London	I spent four night at the Norfolk Hotel with a friend at the beginning of December 2008. The main highlights of the hotel and the reasons why I gave it 4 stars instead of, say, 3, are the following:1. The location. The hotel is situated in a small, quiet square, 5 minutes walk from the nearest tube station (Paddington), the bus stop and the railway station from which the Heathrow Express departs. Moreover, from the hotel you can easily walk to Oxford Street (it takes about half an hour) and to Hyde Park. In the hotel surroundings you can find plenty of pubs, small restaurants (Italian, Greek, Indian...), fast-foods, take-aways.2. Breakfast. The full English brekfast was just great, nothing to complain about.3. The people of the staff were generally kind. On my last day I was allowed to leave my luggage at the reception after checking out. The reception is open 24 hour a day and you get a key that opens front and room doors.4. My twin room and ensuite bathroom were clean and reasonably big. 5. The rooms are cheap.Now the less pleasant things. I wasn't very pleased with the fact that I had to pay on the day of my arrival, but I knew that from the start, so no surprises here.The fact that there's no lift sometimes can be tiresome. But again, this is stated very clearly on the hotel web site, so I was well aware of that before leaving for London. Our room, despite being clean and provided with tv, confortable beds, tea and coffee facilities and a lovely view, looked a bit as if the curtains, the bedclothes, the furniture needed some refurbishment. I must admit I didn't care for this very much, because I was out almost all day.Apart from these last few things, and generally speaking, I was very satisfied with my stay at the Norfolk Hotel and I'll certainly consider going back there whenever I'm in London again.	
Nov 27 2008 	Budget Hotel - budget room	This is a budget hotel in a very good location 5 minutes to Paddington Station. Lots of nice eateries and cafes close by. Hotel staff were really pleasant and helpful. Breakfast, included in the room price is a good start to the day, but can become a bit monotonous. Rooms are very basic and really small. They could really do with a revamp. Just a shelf in the tiny bathroom and a few hooks on walls and behind doors for coats etc would be a great help. Bathrooms, apart from being tiny, are also really shabby.	
