	Cracking Gem with Central London a 30min tube ride away	Stayed 2 nights at the Chiswick Moran to attend a friends wedding at Kew Gardens and I am soooo glad that we did. Its a cracking hotel which, if it was in central London would be far more expensive. We were booked into Room 425 which was a lovely spacious room, albeit set up for disabled guests-although that meant it was very spacious. The carpet was lovely and the room was very modern and well designed. It is only about 400m away from Gunnersby Tube station and ideal to visit Kew Gardens and about a half an hour away from Hampton Court-it was ideal for our needs. The bar is lively and when we stayed (Fri and Sat) had a DJ playing which gave a great atmosphere with some cracking bar staff to boot! Only had breakfast the first morning (was severly hungover on day 2!) but it was good 7/8 out of 10-its a help yourself style buffet but no baked beans : (. We had a lovely evening meal on the first night selecting the set menu which at around £17 for 2 courses was good value for the food.	
Nov 20 2009 	Great hotel would use it again.	We stayed for one night after a family wedding so didn't get to use much in the way of hotel facilities. Managed to find a very good rate on the web. Lovely modern, clean rooms for less money than you'd normally pay for a B&amp;B.	
Nov 20 2009 	Great hotel - Poor Car Park	I was very impressed with the quality of this hotel. The room I was given was huge, well equipped and very well decorated.I am disabled and have difficulty getting out of my car. I was therefore annoyed to find all of the disabled driver parking bays occupied by cars, none of which displayed a blue badge. This was because these bays were free of charge and all able bodied drivers had to pay £10 a night for parking. This meant I had to park my car in the hotel's underground car park. This was cramped and had small bays, which were quite close together, making parking and getting out of the car difficult for me.	
Nov 12 2009 	A nice reasonably priced clean hotel very close to Kew Gardens and the Gunnersbury underground.	A nice reasonably priced, clean hotel very close to Kew Gardens and the Gunnersbury underground.Stayed at this hotel for a long weekend break after a recommendation from a friend. The room I stayed in was quite large with a large bathroom both of which looked as though they had been recently refurbished.Restaurant very nice with a good selection of food all at about average price for the area.Would recommend and will stay again.	
Nov 11 2009 	Weekend Break in London sorry I mean Chiswick	We chose this hotel because of previous reviews. Let me get the basic details of the hotel out of the way. Nice large room for London, clean and modern with good facilities. The service, oh dear, rubbish, particularly at breakfast time, a half an hour wait for inedible food. We complained but I guess they get this all the time as it just washed over the staff and management. The location, this is what lets this hotel down for a London break, on the sunday it took us nearly 2 hours to get there from Kings Cross, ok there were certain tubes not running, which isnt the hotels fault, but the location impacted greatly on the travel time. Because of this we stayed in Chiswick sunday night, found a great pub called the Pilot by the way, and most of monday until we ventured into London to see Oliver, which took 50 mins each way. So to summarise I would avoid this hotel for a London break if you like to be amongst the buzz.	
Oct 19 2009 	Great hotel modern laid back good location.	Stayed here for 5 nights. Chiswick is a lovely area, with good transport links. The room was clean, modern and comfortable. One or two points would have improved it though. There was no shaver point in the bathroom. The mirror in the bedroom had no electric socket near it, so shaving in the morning was a faff. Had to move the teatray and balance our own small mirror against a vase! A rack to place our suitcase on would have been handy. Limited shelving in the bathroom. The ironing board in the wardrobe was too big and was placed diagonally inside it, leaving very little room for clothes to hang. The room looked lovely, but these minor issues would have improved its practicality.Food was well cooked and good quality. Although breakfasts were often chaotic,service was good natured and laid back. Had dinner in the hotel one night and it was excellent.	
Oct 13 2009 	Stylish convenience lacks service	From the outside the hotel looks smart and when you enter you get the LA feel that is mentioned on their website. However the experience deteriorates when you make contact the with the staff.I arrived early for check in and was told to wait around until a room became available as guests were just starting to check out. I sat in the lobby catching up with paperwork for an hour before seeking an update on my situation. The staff member (who it seems had forgotten me) advised that my room would be ready in 15 minutes. After half an hour I went back up to the front desk again - the original staff member had now gone on her lunch break and forgotten me again - and was finally checked in.The room was very stylish and certainly met the chic boutique expectations with the funky light fittings and furry carpet. The bathroom was spacious and the bath itself was a good size. The shower was large but the tiled floor had limescale deposits in some areas. The bed was hard but duvet comfortable and the the tea/coffee facilities were good and finished in a nice shiny chrome effect.The breakfast was very dissapointing; staff were weary and barely managed to say hello, and the croissants were small and lacked flavour. Overall, the hotel was an excellent location (2 mins from the tube station) and the room was comfortable but the staff seemed poorly trained.	
Sep 21 2009 	Excellent Hotel - Especially for London	I've been staying in the Chiswick area for a while and I'd never found a decent hotel...until my last trip when I found the Moran. The rooms are nice and spacious, the staff very friendly and the location rocks. Our offices are on Great Road near the end of the M4 and I was able to walk in to the office it is so close. Also, the Gunnersbury tube station is just across the road.I will absolutely stay there again in the future.My only non-idea comments would be that the TV was tiny and the channels very limited (but that's the UK for you I guess) and the room had a shag pile carpet - it looked clean but there's something about having a shag pile carpet in a public 'barefoot' area that just seems a bit odd. The food was OK but not great - I'd say that it was good enough.	
Sep 13 2009 	This has just become my favourite London hotel	Excellent location at end of M3/M4 side of town with parking. Very close to Gunnersbury tube so easy access on District Line tube into town. This hotel is so stylish- from the entrance lobby all to the way to room 711 at the top of the hotel. Decorated in grey, white and splashes of yellow this room has a kingsize comfy bed, separate chaise longue, flatscreen TV and a fantastic bathroom with huge roll top bath and a separate walk in shower. Room has all the facilities a girl needs including mirrors everywhere in the right places for the hairdryer, applying make up and getting dressed. Great bar area with good ambience for a late night drink. Plenty of choice for breakfast in a lovely restaurant setting. Will definitely use this hotel for all my stays in London from now on.	
Sep 2 2009 	good value for london	Nice large clean room with all the facilities you would expect. We were on continental beakfast and although what we had was good there could have been more choice. Just over the road from Gunnersbury Station, so good transport to central London. Ov.erall good value	
Aug 28 2009 	This hotel was ideal in every way and nothing was too much trouble	I was recommended the Chiswick Moran by my son and was not disappointed. It was ideally located for our family celebration at Dukes Meadow Golf Club and although I was on my own when I arrived ,I was joined by other family and friends, who had decided to use the same hotel. We all agreed that it was of a high standard and excellent value especially at the special rates we had found.All the amenities were of a high standard and I loved the retro feel to the decor. Most notable was the staff , for whom nothing was too much trouble. There was a friendly yet efficient and air to the hotel that really made us feel welcome. The only negative comment was that I could not find a shaver socket in the bathroom to recharge electric tooth brush. Next time I will bring an adapter for the main socket.in the bedroom. Fortunately I was only staying two nights and the toothbrush held out!! i feel sure that the wonderful staff would have supplied me with a solution had I needed itThanks to all. We had a great time.	
Aug 27 2009 	Perfect hotel	My husband and I had an extremely enjoyable stay at the Chiswick Moran Hotel in West London. The hotel staff were extremely helpful and friendly. The bedroom was very comfortable and spotlessly clean. The food was good and dining room very pleasant.The hotel is just off the North Circular in Chiswick - it was easy to find and is convenient for public transport, tube and buses. Gunnersbury Tube Station is a few minutes walk away. Chiswick is just up the road, where there are some lovely shops and restaurants.The Chiswick Moran is the perfect base for a stay in London. It was a great weekend - sightseeing, shopping and a visit to the theatre and then to return to the quiet and comfortable calm of the hotel was absolute bliss. We have never stayed at a better hotel in London	
Aug 24 2009 	Top service Hotel	I have been there August 22 th. Excellent service, high design level and functionality.Highly recommended.Jorge P.	
Aug 18 2009 	Great stay in top class hotel	My wife and I stayed in the Chiswick Moran Hotel for a Saturday and Sunday night in August 2009. We got the tube to Gunnersbury station which is located about 200 yards from the hotel. The tubes are great but the only thing is that there tends to be alot of maintenance work during the weekends which can lead to disruption. Our room was ready on arrival at 12 noon. It was bright and had air con which was great as it was a roasting weekend. We dined in the bar and found the food very good. We found the staff very pleasant and the hotel was spotless. We will go back.	
Aug 17 2009 	Loved it - definitely be back. Best in Chiswick.	We spent two nights at the Chiswick Moran. We got a great deal online with hotelsclick including continental breakfast so we were waiting for there to be a “catch”, but everything was great.The hotel is easy to locate as it’s only minutes from the motorway but when we arrived we were horrified at the signs telling us it was £20 per day parking. However, when we checked in we were told the most we’d pay would be £10 per day, but actually we ended up parking for free.We’ve stayed in the area before so we knew what to expect from Chiswick. The hotel is located opposite Gunnersbury tube station and a 5/10 minute walk to the centre of the high street. A flat easy walk and well lit at night. Chiswick itself is a nice, safe, family orientated place with plenty of restaurants, bars and pavement cafes.The hotel itself is beautifully decorated and well kept. Boutique style rooms, with enough space round the bed, a lovely big desk and full room width window. The whole place is clean - the tiles in the bathroom were incredibly shiny. Speaking of the bathroom, you can’t help but love the fittings and the décor and the “window style” nightlight is stylish but incredibly practical. One minor negative was the shower, it just wasn’t very powerful. Oh, and the toilet wasn't very comfortable - but looked nice.The breakfast was nice, fresh pastries, cooked meats, cheese, cereals, juices. Too tempting. We were offered a £5 upgrade to a cooked breakfast but we didn’t feel the need.Some reviews have commented on the road noise so I was a little worried when we realised our room was on the front but we just didn’t notice it. Other reviews have commented on the customer service. We were always greeted with smiles at the front desk and the breakfast staff couldn’t do enough to help. They made a special effort to welcome my five-year-old, which doesn’t always happen.We felt incredibly at home here. We were impressed and will definitely return.	
Aug 9 2009 	Great Service and food	Stayed at the Moran for 2 nights at the end of July .Service from all the staff was excellent.Food in the restaurant was good and plentiful Good selection for a buffet breakfast.Stayed in an accessible room that was very well equipped only problem was a sink that no plug would fit Well situated for Kew and the tube good taxi service and bus links.Only problem was the disco in the evening on Friday and Saturday in the bar the music was very loud it was hard to hear yourself speak and only one or two dancing.Apart from that it is good value.Good free disabled parking.	
Aug 6 2009 	Nice Room service interesting!	This is a very bizaare hotel. On arrival you feel that you are in a mid european star hotel. The welcome from the front desk was OK, but unfortunately our room wasn't ready when we first arrived. We left our luggage and went out for the afternoon. We when arrived back the room still wasn't ready and they couldn't find our luggage!Eventually we reach the room, which was lovely. Everything you needed in a modern contemporary style. Cozy bed, big bath, modern shower and nice magazines. We liked it.Its worth staying in for the room, but if you want good service and nice food, then perhaps not the best.	
Jul 28 2009 	Absoultely Superb	We chose the Chiswick Moran hotel as we wanted a cheap but modern accommodation near the centre of London and will definitely be returning on future trips to London. You know when you look on a hotel website and they have pictures on of the rooms and you think they pick the best room to show you well every room looked just like the pictures, modern, with a lovely TV you even had speakers in the bathroom, they have adequate storage space wardrobe and drawers and a seating area with magazines the bathroom was also large with a walk in shower and large path and the service by staff whilst being there was superb. The only thing if anything I could improve was was that they provided cooked hot food breakfast rather than a continental breakfast.	
Jul 23 2009 	Some rough edges	We checked in after a 9 hour flight from the US. At checkin, we weren't informed that their hot water boiler had broken down. After wasting gallons of water futilely waiting for the hot water to come on, I called the front desk to be told that there was no hot water and that repairmen were working on it. Over the next day, whenever I enquired, I was told that there would be hot water soon. Never happened. Finally I spoke to a manager at the front desk about some form of recompense for not having any hot water. He informed me that I would be given a 20% discount at checkout.During my whole stay, 26/6/09 to 28/6/09, there was no hot water. When I checked out, the front desk refused to give me the discount saying that I had to pay in full and then write in and management would consider whether or not to give a discount. The manager who made the representation to me was not around and I requested to see the manager on duty. After waiting for 15 minutes, the lady at the front desk came back after confering in the back office and told me that they would give me the discount. I understand that hotels can have problems from time to time but I didn't like the fact that they tried to go back on their representation to me and I had to be stroppy before they would give me the discount. The hotel didn't make any effort to keep guests informed of developments or lack thereof.The rooms are quite nice and are clean. Unfortunately free wifi is only available in the lobby. There is a bar next to the lobby and it gets very loud in the evening. On the Saturday night I was rudely awoken by drunk revellers in the hallway who were shouting. The breakfast (included in my package) was pretty substantial and the staff at the restaurant were nice.	
Jul 21 2009 	Great Hotel in Peaceful Location	We stayed three nights here to attend a family wedding in Kew Gardens. Upon arrival we were upgraded to an executive room (as were all the wedding bookings), and breakfast was included in our very reasonable 89 pound rate. The room was very large, exceptionally clean, modern, and came with all the necessary conveniences. The bathroom had a separate shower and huge soaking tub with lovely tile. We really enjoyed Chiswick, and the hotel is a short walk to shopping/restaurants or a longer walk/short bus ride to Kew Green in the other direction. Having lived in North London in the past and always stayed at more central hotels, we found this to be a much better alternative. The location is much quieter with great value for the money, but you are about a three minute walk to Gunnersbury on the District Line and the Overground and can be in the centre very quickly. Hotel staff was always extremely friendly, and the restaurant staff especially made us feel very welcome. There is a breakfast buffet on the weekends, and an a la carte menu on weekdays, and the food was more than adequate. Also, the front desk will give you a password for two hours free wireless from the lobby or the restaurants. We really enjoyed our stay here and will recommend the hotel without hesitation when you're visiting London.	
Jul 15 2009 	Fantastic	All the staff are friendly and helpful and the rooms are amazing the breakfast offer a wide range of cold meats, pastries and cereal for continental but they also offer a hot buffet too. Only stayed for 2 nights but from what I gather your rooms would also be cleaned every day!	
Jul 14 2009 	Such a shame	This is a beautifully furnished hotel. It has so much to like. But......If you encounter any problems in this hotel you are likely to experience a very poor approach to customer service. I can actually confirm that this companys approach to customer service is rotten to the core, because I have not only spoken with various levels of management at the hotel, Ive actually written to the owner(7 days after I emailed him Ive still not had a response).I can definitely understand why people would stay here. But just be aware that you are staying at a hotel that looks great, but that isnt interested in feedback from its customers. This actually means that they dont really care about customer service. They take a defensive approach to problems, even when their performance is so inadequate.When I first stayed at this hotel a few years ago it was in the top 20 hotels in London on Tripadvisor. As I write this it is 98th. Now it doesnt take a genius to work out that it is heading in the wrong direction.I would love this hotel to be well run, because so much of it is luxurious. If they had owners and managers who were dedicated to providing great customer service it would be a fantastic hotel.This will be my last stay at this hotel	
Jul 14 2009 	friendlyeasy to findgood location and smart	Hotel was easy to find,all staff very friendly &amp; helpful.Room very nice and clean.Location excellent as going to Wimbledon.Restaurant a little on the expensive side but we expected that in London! Would use hotel again.	
Jul 5 2009 	Try this hotel	Just an overnight stay but I was very impressed by every aspect of this fine hotel. Especially the warm and friendly staff. They made me feel very welcome and unlike a lot hotels in London where the staff act like they are doing you a favour by letting you stay there!The rooms are spacious and very comfortable.Would have every confidence in recommending this hotel to anyone.	
Jul 5 2009 	Cool rooms	Last minute stay here and what a surprise, looks a fairly ordinary business hotel from the outside, but the interior was quite different. Stylised rooms, fab bathroom.Extensive breakfast menu.	
Jun 22 2009 	Great Hotel Impressed.	I was very impressed with this hotel. The room was everything you really needed with chic and retro looks and very clean. The bed was incredibly comfortable and a room with a view (6th floor, north facing to wembley stadium in the distance) the bathroom was modern, clean and well laid out. There is also a safe, ironing board and tea and coffee making facilities. My only gripe with the room is I couldnt quite work out the air conditioning, you cant open the windows. The staff were very helpful and there is a confortable bar downstairs but its no London pub. We didnt use the restaurant for evening meals, the continental breakfast was basic but you could pay extra for a cooked breakfast if it wasnt included in your staying cost. The location isnt central London (its zone 3, be careful when buying tube tickets) however we liked the location, turn left out of hotel and 20 minute walk gets you loads of great restaurants, shops and pubs (also the last zone 2 tube station, Turnham Green district line) If you get the tube from here you are in central London in 20 minutes so Chiswick is much quieter. We felt very confortable walking here at night and there are lots of buses too.	
Jun 9 2009 	Ideal home from home whilst visiting kew Gardens	After travelling from the North this hotel was easy to find only 7mls off the M1. The hotel was within walking distance of Kew Gardens Chiswick High Street and the river Thames path. Our room was more than comfortable tastefully decorated with Kingsize bed and with clean and up to date bathroom. Irish buffet breakfast excellent staff were friendly and helpful only downside was having to pay for car parking ( which did seem very secure) although I think this could be the norm in London I would recommend this hotel .	
May 31 2009 	Very modern and good hotel	I and my wife stayed in Chiswick for 4 nights. Good location as the Tube station Gunnersbury is just 5 minutes of walk away. It is a quite district/location although it is just minutes away from central London. Modern deco room with good view overlooking surrounding scenery. Very clean. Breakfast is delicious. We really enjoyed the stay over there. We will definitely come here to stay again if we visit London.	
