	Glorious public spaces but worn out rooms	We stayed at Claridge's for a weekend in November in a suite, which we were told had recently been 'refurbished'. The bedroom and living room, although both very large for central London, were rather worn out with vintage curtains and some chipped paint and tired carpets - fine generally, but not at £1,200 per night! The service standards are good, probably amongst the best in town, and the lobby is one of the most glamorous. For us, though, the room was a big let-down. Brown furniture, cheap pictures and very old fashioned lights and so on. It reminded me just how chic The Connaught now is, albeit with rooms which are a fraction of the size.	
Nov 10 2009 	A One Off Experience	A stay at Claridges is like going into another world! Certainly worth pushing the boat out for a one off experience! A real sense of history and glamour. Fabulous service. We were given a mini tour of the hotel on when being shown to our room and offered complimentary glasses of champagne. Where else do you see a sofa in the lift?	
Nov 6 2009 	GREAT STAY	I have been many 5 star Hotels all over especially in europe and can say that Claridges is a very good hotel. The rooms are a little old but they are huge and comfortable. The room service and the food generally at every place at the Hotel is very good. The bar is full every night of the day and all services including wireless internet, tv...etc works perfectly well. The location is also very good esepecially for the good shoppers.	
Nov 4 2009 	Claridges just doesn't cut it compared to other 5* hotels	We recently stayed at Claridges whilst a friend of mine stayed at another local 5* hotel and in comparision I feel we were ripped off! Just the basic things you'd expect from 5* hotel now days like decent tv, internet access, video access weren't working in our room, whilst my friend was enjoying all this and a amazing view over Hyde Park for a fraction of the cost.I also had the problem of been charged £50 a day for parking which I didn't even have a car at the hotel and have not been able to get a refund for.This hotel has had it's day and although the service and decor are still amazing it just doesn't cut it with a modern day hotel.	
Nov 2 2009 	One of the best hotels in the world!	Our large family traveled to London last year and everything was perfect again at Claridges. Rooms are beautiful, bathrooms are the best in any hotel I have ever been to, service is unparalleled, location is wonderful and the concierge is top of the top! And everyone was very attentive and accomodating with our children!	
Oct 28 2009 	Quite simply how it should be done.	I say never judge a hotel by how it treats some of its guests, but rather by how it treats all of its guests. At the weekend i am far from being the suited and booted creature that I am during the week, and yet the welcome that we received from Claridges was top drawer in every respect. The staff had a real sense of humour and genuine warmth. knowing how to deal with people the way that they do is not something that can be learned by rote. This is a real 5 star hotel. Not some upstart. The staff are attentive and truly professional. i would guess that many of them have worked there for many years judging by the pride that they quite clearly take in their place of work.Claridges is now firmly at the top of my list of places to stay and to recommend. This particular stay wasnt without small hitches, but the manner in which they dealt with these is a true mark of the quality of this establishment..	
Oct 27 2009 	Watch how they operate...	My partner took me here for a special treat. The staff are amazing, the best of any London Hotel of this calibre.Gordon’s restaurant was full of Chaves from Essex, or similar. Galvin’s Windows at the Hilton, and Alain Ducasse at The Dorchester are far superior. The staff ran around like rabbits giving the overall effect of un-relaxed dinning, but very helpful. Food nothing special.Room service breakfast, great. Bathroom fatastic. Wardrobe to hide in!Had a HUGE problem with paying the hotel bill. My partner had presented his card on arrival; on departure the card was not accepted. ONE week later and many phone calls later the problem was resolved. Claridges blamed the card company, and the card company said Claridges was sitting on the money. The latter was true, after a phone call to the hotel one week later the money was released back to the card. God knows how much interest they make on this practice as rooms/suites are not cheap. Will not stay there again.	
Oct 27 2009 	outstanding	stayed here sat 24th oct 2nights cant praise this hotel highly enougheven before we stepped in the door the welcome from the doorman was excellent.we were treated like royalty by every member of staff.even the lift attendantwe were upgraded without even knowing about itour room was beautiful and the bathroom pure luxurythis is real 5 star believe methanks clariages cant wait to return	
Oct 23 2009 	Simply the best 5* in London	My 5th visit to Claridges this year. We stayed in suite 412. So many other hotels could learn so much from this hotel. Claridges truely sets the standards for others to attempt to follow. Expensive but worth every penny !	
Oct 18 2009 	One of London's finest	I stayed with my husband and booked a deluxe room. When we checked in and were shown our we were pleased with the room. The bedroom was very roomy with a seperate dressing room and a big bathroom.We booked a package which included breakfast and a bottle of champagne which we thought for the size of the room proved to be excellent value.The service was faultless hotel spotless with lovely bar and restaurant.If you want a luxurious 5* hotel with attentive staff, then do not hesitate booking Claridge's.Go on and spoil yourself.	
Oct 15 2009 	A first class hotel and staff	This was our first trip to London and Claridge's was our choice over other hotels. We were not disappointed. Claridge's has to be one of the nicest hotels we have ever visited. We arrived by chunnel and Claridge's sent a van to meet us. The driver was right there to greet us and help us with our luggage.Upon arriving at the hotel were we welcomed by a very friendly staff and shown to our rooms after a tour of the hotel. Our rooms were so lovely and cheerful...yellows and blues. I would recommend these over the more drab art nouveau style ones.WE had all our breakfasts, high tea and several dinners at the hotel. The food was the best we had anywhere on our trip. the waiters were attentive and friendly and we never felt rushed to leave our table.My husband used the spa and said it was great..fresh fruit available.The bathrooms had heated towel racks, Asprey toiletries and housekeeping offered free bottles of water every nite. there were trays of fruit in our rooms at night as well.All in all, Claridge's is what you would expect from a five star hotel and more. Can't wait to go back.	
Oct 14 2009 	heaven	i cannot rate this hotel high enough, we've stayed here many times and will go back again and again	
