	Who gave this hotel 4 Stars ??	I have just spent Saturday night at this hotel, and must say it was a big mistake.A West End show, romantic dinner and a night in a great area of London was spoilt by this Hotel.Although all of the staff were very pleasant and helpful, the room was very tired / antiquated bathroom / pathetic toiletries / dirty windows / tatty net curtains / filthy window runners / no mini bar (in a 4 star London hotel ??) breakfast was awful (which the hotel tried to charge me for, after I had prepaid on B &amp; B terms / bad stains on the carpet / very basic bed and pillows - just a very miserable room.I am not sure about Health and Safety regulations, but if ever there was a fire in the corridor outside the room I stayed in , the occupants would perish as the windows could not be opened at all- they were secured by means of obvious screws into the window frames. It's hotels like this that can give London a bad name - the room was two star at best - do not stay here expecting 4 star !	
Nov 21 2009 	terrible service and disorganised	i stayed here for a long weekend 14-16 nov, the hotel was easy to find being a 5 min walk from KHS and fairly central. room was fine as was the lobby etc.down side is the bathroom isnt well lit and the room window has single layer of glass so if its windy or someone is moving a metal trolley outside it is clearly heard - luckily we were at the front of the hotel as at the rear is the central tube line so u hear it clearly in the room, the double bed is also small but comfortable.when checking in at reception i was asked if i wanted to put credit on the room to pay for anything from the in room minibar - i declined. ( later found out that there is no mini bar)That evening i met some friends in the restaurant area and asked to plac the items on the room, the waiter asked if i had aranged credit on the room and i said no, he said no problem and gave me a slip to put the drinks on the room, some other drinks were paid cash by my friends and we left. At MIDNIGHT the room phone rang and someone from the bar was complaining i had not paid for the non room drinks,had 2 burgers and that we had left without paying for the drinks or food.. obviously not true. I asked them if it was normal to phone guests at midnight and he said yes perfectly normal practise for them.the reception then called 20 mins AFTER midnight to ask why i had not paid the bar bill and demanded payment - they would not accept putting the bill ( £16) on the room for when i check out, i gave the lady my CC details and thought that was the end of the story. In the morning i checked with reception and they had no trace of the bar bill.. and could not find any reciepts!! i arranged that the bill would be paid on my check out and she wrote a comment on the computer about this.That evening at 1145PM the bar called again complaining about the bar bill - i informed them the reception had already arranged the bill, to prevent them phoning again after midnight i unplugged the phone to get a decent sleep. In the morning I found a bill slipped under the door saying i must pay the bill as it had not been payed.Obviously this chain of events just shows the hotel is very disorganised and does not trust the guests and doesnt care if they dsturb the guests at rediculous times of the night.the hotel is not 4 star it is a 3 star with small double beds.....i would have stayed at the hotel again but the sad experience with being woken at midnight means i will never stay there again - i will be sure to inform others of my experience also.dont bother with the hotel breakfast as its greatly overpriced, some people go to the muffin man just round the corner but a far nicer and cheaper place is opposite the kensington tube station.	
Nov 19 2009 	Good location and nice hotel	This hotel was in a great location, just around the corner from High street Kensington tube station. We arrived late in the evening and had no problems checking in. Our room was pleasant, on the first floor. Very quiet room. It also had a fridge in it- which is something my partner and I really like to have when we are staying in a hotel. The bed was comfortable. The shower had good pressure and there was plenty of hot water.  The only issue we had with this hotel was that on the morning we were leaving, the cleaner knocked on our door before 9am ( we were still asleep and this woke us up) and then half an hour later our telephone rang but when we answered no-one was there- we felt this may have been a way for the hotel to wake us up as we came in rather late the night before after being out all day and thought perhaps they didn't trust us to get up on time for check out- which was at 12pm! Apart from that one negative aspect of our stay, the hotel was very pleasant. I would recommend it to my friends. It was a good price (compared to other hotels in London) and spacious.	
Nov 18 2009	England France Italy and Greece....	Neat, tidy, clean and the single beds in our room were the MOST comfortable...hated to leave it in the early morning! Had a bit of difficulty with two separate taps in the loo.....one tap for hot and one for cold.....and they are not that close to one another o:)....but overall, thoroughly enjoyed our 2 night stay....	
Nov 11 2009 	Holding Rooms Hostage for a Price - Pay 30 Pounds Now or Wait 5 Hours	As indicated by many others, I experienced the same issue of having to pay more in order to check in. I was traveling on business for 10 nights with a club room reserved. After an 11 hour flight from the states, I arrived at the hotel at 10am. I was told rooms were not available until the official 3pm check in time. However, if I paid 30 pounds, a room would MAGICALLY become available for immediate check in. The front desk would not budge on this - either pay now or wait 5 hours.This is the third time I stayed at this hotel this year. I did not encounter this issue previously. If this is how this hotel is going to treat its business travelers, I'll choose to go elsewhere next time. This is a very poor business model in order to try to generate more revenue. They may have gotten 30 pounds out of me now, but for my next 10 night trip to London in January, they aren't getting my business. I'm also alerting my corporate travel department of this practice since this property is only one of four preferred hotels we are permitted to book.	
Nov 9 2009 	Disappointed	We stayed here for the time between our wedding and honeymoon so that we could see some of London town. We had booked it through a discount website but as it was a 4 star hotel, we were expecting it to be better than we found.Upon checking in, we were listed for a twin room! which for a couple on their pre-honeymoon wasn't very good so they switched us to a double room which turned out ot be a disabled room.This would have been fine expect it wasn't in very good condition and the room overlooked some offices which wasn't good.If we had had a better room we may have had a better stay.	
Nov 9 2009 	Good location good breakfast good staff tired and dated rooms	I have just returned from 4 days in London as part of a business / leisure trip. We used the tube to travel from Kings Cross through to Kensington High Street. The Hotel is is only 5 minutes walk from the tube station, very well placed. Check in was no problem and between our party we had a 5th floor standard room and an 11th floor club room. I must say that I was disappointed with the standard of the room. The decor and furniture were dated. The bathroom appeared to be the original (70's era) and although generally clean, the shower curtain was heavily stained and the shower mixer was not thermostatic. One morning there was no hot water. I found a plastic bag over the smoke alarm and it is apparent that despite the rooms having no smoking signs on the doors, people ignore it and smoke anyway. The people opposite our room smoked continually and that foul smell drifited under our door. This is obviously not enforced by the hotel as it carried on for days. As you walk down the 5th floor corridoor you can smell the smoke eminating from several rooms.The 11th floor club room was decorated to a higher standard and the bathroom a little tidier however this is how I would have expected a standard room to be in a four star hotel.I found the communal areas of the hotel very clean, well decorated and bright. The self service breakfast was very good in so far as choice and being fresh. I found all staff I encountered friendly, helpful and courteous.I am not one for complaining or appearing fussy about minor details but I feel that the hotel really need to update the decor of the rooms and tackle the smoking issue. We paid on average £150 per room per night.Location does help this hotel and Kensington is a nice area to stay in. Notting Hill and several other attractions such as the Olympia centre are withing 15 minutes walking distance. We found an excellent Indian restaurant near to the Olympia Centre called KARMA. It is on Blyth Road.	
Nov 7 2009 	Close to the Tube!	Got a good price on the rooms, and the location was ideal - a quiet area a short distance from the Tube. The rooms were fine, especially for the price.	
Nov 5 2009 	Not bad. good base for London trip	We arrived in London on Monday afternoon, and got the tube to Kennsington High street which is really close to the hotel and the directions to the hotel from their web site are spot on. We arrived to the hotel at 1pm. The girl at reception told us we couldn't check in until 3 pm but if we paid £20 we could check in straight away. Seeing as we were only in London till wednesday afternoon we went ahead and paid it. However after we had handed in the money anther person checking in was told that she could wait till 2pm to check in or pay £20. So its a scam and wasn't a great start to the hotel.We were put in a quiet room on the 6th floor. There was an awful musty smell the hallway of the hotel but thankfully it didnt carry into the room. The room was plenty big with 2 single beds as requested. the bathroom was clean and restocked daily which is good. there is a little fridge in the room too but it does get noisey. also 7pm on tuesday morning is when the man from the bottle bank arrives and it is a bit of a racket. We hadn't booked in for breakfast but they did give us vouchers. however its still cheaper to go eat in the Muffin Man Cafe just up the road. The hotel is in a beautiful part of London and close to the tube station, defintely a perfect base if you plan on travelling around London. It is comfortable and clean. it's a no fuss hotel. and for the price it is good. I would have no problem staying here again.	
Nov 3 2009 	Excellent Location.	We stayed at the Copthorne Tara for three nights leisure break. We booked room only on an offer from Last Minute.com. When we arrived we were given vouchers from the Hotel reception for breafast at £10 each which just about made it worth having value wise. The breakfast was ok (nothing special) but the buffet style allowed you to fill up for the day. The room was very comfortable (especially the bed) and clean, although not at the plush end with flat screens etc.The main plus side for us is the location. It is just off the Kensington High Street, near to the tube station, Albert Hall, National History Museums and a shops etc. Also at night it is relatively quite.We had very little to do with the staff but what we did was very efficent and friendly.Whilst not the most uptodate plush hotel in London its location more than makes up for it. We would stay again but not pay top money for it.	
Nov 2 2009 	Certainly Worth Consideration	My friend and I spent 9 nights at the Copthorne Tara. Overall the experience was very pleasant. We had a clean room, that while a little dated was comfortable and met all our needs for our stay.My disappointments were few, the first was upon check-in at around noon I was told I could have my room for an addition 50GBP, which just seemed unreasonable. If the room is available it’s available. This just doesn’t seem like a good practice for a hotel with a large international clientele. I left my luggage and headed out to explore the area, went back about 1330, spoke with a different clerk and was given my key right away, however, though I had given all my information to the earlier clerk, it wasn’t available in the system, so had to go all through that again. It was a bit annoying and not the first impression I had hoped for. The separate hot and cold water on the bathroom sink was a bit annoying, but nothing I couldn’t handle.There were a couple odd technical issues with the room, upon trying to order room service, at a much too late time, everything else was closed, the phone didn’t work. I went to the elevator area, placed my order and reported the phone out of service. Within 5 minutes someone was there to fix the phone. Considering it was around 0230, it could have waited, but we were up and waiting, so why not. Next thing was the master switch for the room stopped working. We were heading out for a day of sightseeing and couldn’t turn off the lights, not matter what we tried. Called maintenance and by the time we returned everything was fine.Housekeeping did a nice job of keeping the room clean. The beds were comfortable, the room was much larger than I had expected, though I will admit I’m not used to a twin bed. The TV worked, like most hotel TV’s the remote was questionable, but it was mainly there for background anyway so didn’t care all that much. Our room did face the tube tracks but I never really noticed any significant noise from it. All the staff that I encountered was friendly and helpful. Though the one clerk upon check-in didn’t exactly give me the service I would have liked, part of what he was doing was following company policy and that’s more of a management issue than a worker issue. The location was excellent, a quick jaunt to the High Street Kensington tube stop, and a few decent places to eat in the area.I would definitely stay here again, though because of the request of the additional money for early check-in, it would not be my first preference. And I’ve read the arguments about that being common and such but when it comes down to it, it’s a customer service point and I do know other London hotels that while they may or may not have that policy, I’ve never been told nor have I been made to wait to check in.	
Nov 2 2009 	four star hotel ?	i normally expect to be welcomed at the door of a four star hotel.Here it took 3 days to find someone on duty to get a cab for us.housekeeping also left a bit to be desired in both of our rooms.However,that said reception was excellent at check in and out.The service in both the brasserie and the bar was excellent. The quality of food was excellent and reasonable value	
Oct 31 2009 	Clean convenient but not 4 star	We stayed at the Copthorne Tara. The rooms were old and dated. The staff was rude and could hardly speak english. The only plus was that it was relatively clean and moderately priced. It was just not 4 star accommodations.	
Oct 28 2009 	A good choice for location service amenities and stay	This was our second visit and once again we had a great stay. This hotel is very well located just off Kensington High Street and near to The Natural History museum etc.We had a Club room on the 11th floor and whilst this was compact especially with a camp bed for my 10 year old son to sleep in, the room had all the amenities we required and great view towards The London Eye etc. If you choose a room with a view expect to hear noise from tube trains- they run overground by this hotel. Otherwise ask to be located with the dreary view yet it should be quiet!Service by Rusal in The Club Lounge was outstanding- it was like having a personal butler! Buffet breakfast was very good. At all times the service and friendliness of the staff was most welcoming.	
