	great location lovely staff but needs double glazing	Arrived early for check in but staff kindly let us in to our room early since we had been travelling from early morning. Room nicely decorated but bathroom very small. The main problem with the room was a very bad draught coming through the window very cold. Think double glazing would solve the problem of the cold and the road noise which kept us awake.Area lovely but not much to do in the immediate area not a great choice of entertainment. Taxis very expensive took one to west end cost us twenty five pounds each way. All said we enjoyed our stay needs a few minor adjustments.	
Nov 20 2009 	Very Hot Very Small but Very Clean "Superior" Room???	Checked in at 12:05pm and this process was very quick, very easy and two hours before we could check in! the reception staff asked about a morning paper and explained about breakfast times and asked if I wanted to open an account on my room, this was an excellent start to our 3 day mini break in London.Room 567 (Superior Room) here we come, plenty of lifts close to reception upto the 5th floor and then I opened the door to our (cupboard) room.The room I have to say was very warm and very clean but also very small, my concern was if this is a superior room I really would not like to stay in a standard room. I was unable to turn off the radiator in our room only down, we had to sleep with the A/C on all night ( It was too hot) and with the size of the room I woke with a fantastic headache the next morning ** note ** go out and put A/C on whilst your out and also sleep with window open, its quiet enough to do this. The bathroom I thought must be massive in that case and as I opened the door I realised this was also tiny, just big enough but careful in the bath / shower as there really is not a lot of room!The hotel location is only two minutes walk from Lancaster Gate tube station (Central Line) very useful, and has a small taxi rank outside the hotel again very useful and Hyde Park over the road (nice) The Swan Pub is next door and a corner shop just after the pub both useful for our stay.The staff are very polite and very helpful, breakfast is very good better than I expected to be honest and the hotel is very clean!!!Overall, I thought the staff are very good, the location was good, the price was OK, the room was poor BUT clean, I decided not to complain because we only spent limited time in the room anyway!	
Nov 17 2009 	Great Location faultless service organised	Stayed here for a night in October and a night in November 2009. Rooms really nice, small, but really clean and modern. Bar open until very late. Breakfast was superb, I was astonished how good it was, great eggs, beans, bacon and sausage.No complaints.	
Nov 16 2009	Lovely Hotel...	I dont understand what people can complain about with this hotel! I stayed here begining of November for my 21st birthday with my mother and sister. Check-in was easy and fast, room was fine! After looking at reviews and pics on here we were abit worried, but it was really nice! Not much space for 3 of us to store and hang our clothes, but we were only there for the night. It was clean and comfortable. Nearest tube station - Lancaster Gate was approx 5 mins walkin distance. Everything else was in easy reach. We didnt eat at the hotel, so cannot comment on the food, but The Swan pub next door, does a lovely breakfast! I would deffinetly stay here again and recomend 2 other ppl...despite the drunken man shoutin outside our room at 2 oclock in the morning.	
Nov 14 2009 	Great Location Well Appointed	Right across the street from Hyde Park, the hotel is very comfortable and clean. Nice size for London and continental breakfast is very pleasant. Best feature is location and access to transportation - Central Line tube stop very close by and frequent local buses take you to Oxford St	
Nov 11 2009 	Hotel had everything we needed	Lots of other reviews state rooms are small,I found them adequate.The Hotel has a great location,handy for the tube and if you like to walk you can walk to Harrods etc through Hyde Park or Oxford St no problem.There was a great selection at breakfast,cooked or continental.Will use this hotel next time	
Nov 9 2009 	Not as bad as previous reviews	Myself, sister and my mum stayed at Corus for a weekend break. Due to previous reviews, we almost cancelled are stay but when we arrived we were pleasantly surprised. It werent as bad as a lot of people worked out. The rooms were clean and modern, the bathroom was small but big enough and I couldnt touch the four walls as a previous reviewer suggested. All of the staff were friendly.It was a 2 minute walk to Lancaster Gate tube station which is on the central line and close to all tourist attractions. As a few people commented on the wait for breakfast, we went to a pub 2-3 doors away, called the Swan. A good full cooked breakfast, served immediately for £8 each.All in all a good hotel for the price, close to everything you need to see, a pleasant stay.	
Nov 3 2009 	Great view. Great location.	This was a very easy, middle-of-the-road stay. I asked for a room with a view of the park, and they gave it to me. I asked for a better hair dryer than the one in the room, and they provided one. We asked for more towels, and they arrived within two minutes. The room was small, but we expected that. The room was updated, but the bathroom was lacking. It wasn't as clean as it could have been, but it wasn't anything I wouldn't do again. One major downer, but not a deal-breaker, was that our room was literally right next to the pub next door, and one night (Friday night) we couldn't get to sleep until after midnight because of the noise. We knew of this complaint from previous reviews, but we just assumed we would probably be at the pub too, however, we weren't, and it was really loud. I'm sure you could request a room far away from the pub if you think it might be an issue. Good price. Hyde Park is gorgeous and right across the street. We walked through the park to Harrod's and to Buckingham Palace...quite a jaunt, but it was nice. I would stay here again.	
Nov 3 2009 	smart tip	excellent location, small but very &quot;stylish&quot; rooms, very quiet, just across hyde park/kensington garden, 50 m to Lancaster gate (district line) underground station, a lot of different kind of restaurants in walking distance...	
Oct 31 2009 	Great location curfuffle at breakfast pokey rooms poor disabled access	I went down there with 3 other pals (one in a wheel chair) for a boys weekend, On check in we were offered single rooms in stead of the twins we had booked, we jumped at the chance. Our good fortune turned out to be short lived as the single rooms were tiny, being over 6 foot i banged my knees in the bath room more than once. The bath is quite difficult to get in and out off, however even on the 8th floor the shower was excellent. There are 3 lifts/elevators which had mind of there own, I did feel like a little boy playing in the lifts trying to go to breakfast going up and down 3 times before I reached the reception. If you have booked a full english package, which tecnically speaking is not true as they serve butter from scotland and seville orange marmalade. Seriously what you get is well worth the money, the only issue is when you get into the dining room. you need to be in there as early as possible to prevent getting stuck in a queue in the lobby before going down to the dining room. To be fair to the Hotel we were warned about this problem and they do lay on tea and coffee for people waiting in the queue. The only issue I have is that they are not dealing with true problem of the queues and only dealing with the consequences of the queues.The location of the Hotel is good, just over the road form Hyde Park and a short walk from Lancaster Gate tube station. They do not have a recognised disabled access method, which caused our part problems.	
Oct 30 2009 	Definitely NOT a 4* as indicated	This hotel was described to us as a four star ...it was not!!! The room was cold and pokey with little space to pass each other between wardrobe and bed, It was supposed to be double glazed too but the draught was lik a gale. The window sills were covered upon our return in the vening with at least 12 ladybirds. Breakfast was well presented and managed though but that is the only positive thing about the stay. We will NOT be returning as it was such a disappointing experience. PS forgot to mention the gentleman in the room next door snored all night long so no sleep was had by us !!	
Oct 29 2009 	Not up to Standard	Had booked with local travel agent and paid extra at time of booking for room upgrade. On arrival the allocated &quot;superior room&quot; was the size of a wardrobe and although spotlessly clean was in no way equivelant to the 4 stars it purports to be. Spoke to receptionist who was very nice and re-allocated us to a room on the 10th floor which she stated was of the same standard and price. This room was 4 times the size and more in keeping with a 4 star establishment. The real problem came next next morning at breakfast. After standing in a queue for 15 minutes our room number was noted and we were informed there was a further 30 minute wait for breakfast. After a complaint to the manager we received a full refund for the first days breakfast as we refused to wait and were fast tracked into the dining room for the rest of our stay. The staff were very helpful at all times and I cannot fault them but this does not make up for the shortcomings of this hotel and I would not recommend it.	
Oct 29 2009 	Bank Holiday weekend break	Unfortunately we read the reviews on this hotel after we had booked &amp; paid for it. Had we read them beforehand we would not have done so. The room itself &amp; bathroom were tiny, far too small even for two adults (and we are by no means large adults). It was obvious that this was originally a good sized room which was divided in two to produce two rooms which are totally inadequate for any normal person to stay in. Everything about the facilities was small &amp; cramped and this is the first hotel that i have stayed in where a double bed, out of necessity, had to be pushed against the wall !!!!The bathroom was ridiciously small. Really not much more to say about it.We were told on the day we booked that it would be wise to get down early for breakfast the following morning as the hotel was very busy. Having read the reviews we took heed of the warning and were down at 7.30am the following morning. Obviously everybody else was told the same thing and crowds started to build up around 8.00am. By the time we were leaving the dining room at 8.15am there must have been 40-50 people queing to get in for breakfast. We made sure to be down at the same time on the following morning but having to get up at 7.00am while on holidays, just to get in for breakfast was not acceptable.On the plus side the location of the hotel itself is great, very close to Lancaster Gate underground and right beside Hyde Park which is beautiful. The rate per night was reasonable but i definately would not stay there again nor would i recommend it to others. I would much prefer to pay extra and have the feeling of staying in a hotel, not a shoebox!!!	
Oct 29 2009 	Small rooms but convenient location	My husband and I stayed at the Hotel for 3 nights from 17th to 20th August 2009. The exterior and reception areas of the hotel look very decent, butthe room that we had was really tiny. We had asked for a double bed on booking but on arrival they gave us a room with twin beds, that couldn't be joined together either because the room light was situated inbetween the beds. Also the hotel was fully booked so we could not even upgrade. The room had no wardrobes, only a metal rod with some hangers to hang clothes out. There was no space to store luggage. And the bathroom was cramped. So from a room size perpective, it was not good. However, the location of the hotel is excellent. Across the road is Kensington Garden and two tube station, Paddington and Lancaster Gate are within very easy reach so you can travel anywhere at any time. There were some lovely restaurants in the area as well. Other amenities were also closeby, such as a laundromat and internet facilities, that were much cheaper than the hotel.So if you're just looking for a place to sleep at and intend exploring the entire day, then this hotel may suit you. Otherwise give it a miss.	
Oct 28 2009 	Full English? Expect to wait... and wait... and wait...	My thoughts:1. Small room overlooking staff's smoking area- lovely smell of tobacco wafting into the room. 2. Really liked the idea that i could brush my teeth whilst sitting on the toilet and soaking my feet in the bath!3. Nice that they offer coffee and tea in reception area in the morning- not so good when you realise it's because when you go for breakfast you are told there are 40 others in front of you and so to expect a half hour wait at least! Something we were not warned about on check in. When we complained we did have a refund for breakfast that day (as we decided we didn't wish to waste the day waiting for a breakfast we'd paid for like 40 others) and were booked straight in for the day after. However i realised the reason for such long queues was that tables were not turned around quick enough.4. May sound trivial but biscuits. (It all adds to the experience) Well the lack of them with tea and coffee. When we saw them on the house maids trolley we were told they were not available for the type of room we had! What nonsense! I do think paying hundreds of pounds justifies a biccy with your tea!5. Yeah great flat screen TV as advertised but a shame that you can't tune them and that only terestrial TV is available.6. If you use your shampoos and body wash on first day they are not replaced.	
Oct 26 2009 	nobody has mentioned the queue for the breakfast!!!	Oh dear corus!! Lovely hotel with a great location, just far enough away to walk to Regent street and other sites in London, but 4 star - no way!We have never had to wait over 25 minutes to get a table for full english breakfast before, we have been to many hotels in the UK and had to wait a few minutes for breakfast but not 25 - that is terrible. Some people we spoke to had booked to go on the London Eye but were not sure whether they were going to make it, and if you have paid for full english surely you should expect it. Could not fault the staff as they were coping with it very well, the problem is the restaurant downstairs was too small for the amount of guests - not good enough Corus. We upgraded to an executive room which was on the 10th floor and was very roomy - well worth doing. The only problem was the whistling noise coming through the celing vents, whats that all about??? It didnt happen all the time but at 7 o,clock in the morning when your on a leisure break its not a great thing to happen. We booked in for an evening meal on the saterday night and we could recommend this as the food and service was excellent and good value. One more tip to all visitors to this hotel, if you want to have a drink either before or after your meal go to the Swan pub which is just around the corner on Bayswater Road, much cheaper and an excellent atmosphere. Overall we had a great weekend break but could have done without that wait on a morning.	
Oct 25 2009 	Pokey Rooms	We booked a standard room. Huge mistake. The room was so narrow you had to get on the bed from the foot. A pathetic looking ironing board hung off the wall next to the bed and a tacky little metal fan was fitted to the wall to cool the room down. The window was fitted with ironwork which made the room look more like a jail cell than hotel. Everything was done on the cheap.	
Oct 23 2009 	Lovely but bit out of the way!	The hotel itself looks pretty from the outside and inside looks really elegant and nice. The rooms are small but you can't expect much bigger in London really! I don't think it's worth the price as it was really quite expensive (£80 per night) but it is a really nice place to stay. The nearest tube station is Lancaster Gate which is about 5/10 minute walk away but there isn't really much in walking distance without the tube. The nearest shop was quite expensive so I'd advise having something already with you if you're going to get peckish on your way home from a night out! Taxi driver had a bit of trouble finding it too.	
Oct 18 2009	Great location tiny twin room with grotty outlook	The hotel location was excellent beside Hyde Park at the top of Oxford Street, the reception staff were friendly the breakfast great. The twin room 308 was very small and dark and with a horrible dirty outlook and it smelled slightly damp. I didn't complain as I was with my teenage daughter who didn't mind, it was not the only one in the corridor and it was a last minute deal, however I would not accept that room again in what is suposed to be a four star hotel. I would recommend for the location with the warning to check the room first.	
Oct 18 2009 	stayed at the Corus Hyde Park	It's a 3 stars hotel, so I didn't expect much (part of a long business trip in the city). I was actually really surpriesd. The staff was really great and welcoming, my room was a bit too small for my taste, but it was okay. I ordered through last minute travel site, the price was affordable. Right on the corner of Hyde Park, that was amazing.	
Oct 16 2009 	Great Location	This hotel is in an excellent location, very near the tube and opposite hyde park. However the regular rooms are very small, we had to upgrade to the family room to ensure a good standard of room. Breakfast was nothing special, limited choice and availability. Staff fairly friendly but as its a very busy hotel can queue for a while at reception and bar areas.	
Oct 9 2009 	Clean and friendly place to stay	I read some of the reviews on this site before our stay and agree, yes the rooms can be on the small side. Our room on the seventh floor was fine for our four night stay. We had a faulty lightbulb which was attended to swiftly. The food was great and one thing I'd recommend is the pre-theatre dinner two course meal for ten pounds each. The portions are not large but certainly filling and beautifully presented-not just thrown on the plate. We were served on both nights we did this by the lady who showed us to our breakfast table each morning. We wondered if she ever got to sleep at any time! She always seemed to be there. All the staff we came in contact with were very friendly and efficient. We will certainly consider staying here next time we are in London.	
Oct 9 2009 	ok hotel but standard rooms are frighteningly small	We booked the hotel based on the nice photos on the website and seemingly great price. When we arrived we found that our &quot;standard&quot; room was more like a cupboard under the stairs, we could barely stand up in it and immediately had the sense of panicky claustrophobia! To get a normal size room you have to get an executive type room. We booked it online through British Airways, and initially were told that the hotel wouldn't allow us to upgrade ourselves when we asked to pay more, but thankfully someone from BA spoke to the hotel and we were allowed to pay more money for a normal size room. The foyer is nice and smart and the location is great.	
Oct 7 2009 	An OK hotel but rooms VERY small...	Having stayed at many London Hotels in the past I stayed in the Corus Hyde Park for my wifes birthday to allow us to see a show. The pictures seen on the website do not do it justice. Checkin/Out easy and quick. Breakfast---interesting one here. MASSIVE queues just to get in for breakfast in the morning plus MASSIVE queues to actually get food. Staff during breakfast seemed uninterested. Bar---clean and quick. Room. We stayed in a double room. This BY FAR is the smallest hotel room we have EVER stayed in. The actual doors to enter room and enter the bathroom wereabout 3/4 the size of a regular door. I am a big person and some times I had togo in sideways...no kidding. The room felt as if an original normal sized room had been partitioned down the middle with a false wall. The bathroom was so small i could touch all four walls easily with alimb while sitting on toilet. The shower was excellent but to enter shouwer the side of the bath was so high that I imagine some people may find it difficult to enter/exit.All in all a good hotel and value for money.....but rooms terribly claustrophobic.	
Oct 6 2009 	OK Hotel	Good hotel clean and tidy, good location right next to Hyde Park, facilities just what you need for a short stay and won't break the bank, just don't eat in if you like adult size wholesome portions - try the Swan pub next door. Not that the foods not good - it is, modern tasty and good service - just tiny portions. If they were intended to be works of art they would be priceless . After a hard days shopping, sightseeing or work however its just not what you want or need!	
Oct 6 2009 	very enjoyable stay	Good location, 3 mins Lancaster Gate Tube. Room clean and with everything required. Staff courteous and helpful.Breakfast perfectly adequate.Double/secondary glazing would have been helpful for traffic noise.	
Oct 6 2009 	small rooms	The standard double room is too small and not worth the price. Too many peolpe for the breakfast during the weekend. Wating time 20-30 minutes. Next time I'll find another hotell.	
