	Great place	Stayed here on weekend of 28th Nov, with 3 other ladies. Was brilliant room, great value for money. Cant knock anything, it was fab. Would definitely recommend. The location is ideal and the tube is right outside the door. The staff couldnt do enough, it deserves its 4 stars. Kensington is a lovely place, very quiet and safe.	
Nov 24 2009 	Fantastic VFM	I stayed in this hotel on Friday 20th November, with 4 other friends. I had booked this hotel via the hotels website and got a very good price of £55 per person.The hotel is in fanastic location for the West End and we were able to get tubes and taxis very easily. The reception area is very modern as were the rooms we stayed in. The rooms were spacious with 2 double beds in each. The only tiny complaint I would have was around the residents bar, the bar manager in the bar was dressed in a suit which obviously did not fit him and had also seen better days. Also they added a 12.5% service charge onto the bill, which I did find a bit steep.Would not hesitate to recommend this hotel.	
Nov 17 2009 	Big room convenient location	We chose this hotel as part of a flight and hotel package. It was a good value because a family of four could stay in one room with two double beds, which is not easy to find in London. The size of the room was very good, the TV was new, and the beds were comfortable. We had a room facing the garden, and it was nice and quiet. The location is a 3 minute walk to the Gloucester tube station which is on 3 tube lines, and is also walking distance to Kensington Gardens and the Science and Natural History museums. We didn't eat in the hotel because there are plenty of restaurants right outside the hotel, as well as a grocery store across the street. We were very happy with this hotel and would stay here again.	
Nov 14 2009 	Excellent hotel excellent location	A lovely modern, clean hotel with good room size and friendly helpful staff. We booked on their website and got a room only rate of £135 incl taxes. It is on the picadilly line great for heathrow and moments from the underground door. I will certainly return.	
Nov 7 2009 	Great Location but expensive	We had last stayed here in November 2008 when the Hotel was in the middle of the refurbishment and changing from a Holiday Inn. The location is so good that the few niggles of staying in a part building site had not put us off booking again this year.We stayed for 4 nights from Monday 2nd to Friday morning 6th. This was half term in Luxembourg where we live.There were 3 people in our party my wife and me together with out 18 year old daughter. I had booked two of the nights with reward points and the other two nights were an Advanced purchase breakfast (for 2 people) rate at £197.80 per night all taxes included. This is at the top of our budget and if we had to pay the rate indicated at reception £295 per night standard room without breakfast, we would not be stopping here.The check in was simple and straightforward. We had arrived on an early flight but our rooms were ready. We were allocated room 626 (no smoking as requested) This was on the 6th floor with the even numbers looking on to the garden. Which I assume works for all the floors.We were offered a &quot;club&quot; upgrade for £50 per night which we declined. Anyone on an expense account will like these &quot;club&quot; facility's. As a traveller paying my own bill I know I am not as important as the business traveller but that's simple economics.The staff were friendly and helpful particularly in the breakfast room. The Hotel is clean, modern and is in an ideal location. The room we had was large enough for 3 grown people and the bathroom is modern and well styled. Even tho' there is only one lift operating at the moment we did not experience any long delays.I have no hesitation in recommending this Hotel to all travellers.Just a couple of niggles.The &quot;free&quot; wifi did not work well above reception and not at all on the 6th floor. This I was told would be &quot;fixed&quot; soon. It better be by my next visit.The very modern alarm clock in the room was screwed to the bedside table so the time could not be seen when in bed without getting half out of bed. Is this style over substance?The &quot;hooks&quot; on the back of the bathroom door were certainly an example of style over substance as they did not hook very well. Or to paraphrase the advert, &quot;they do not do what it says on the tin!&quot;And finally the locked windows. Is that to keep the guest safely in their room or burglars out of the room. What happened to mother natures fresh air. We are urged to preserve natural resources (see the Hotels mission statement about consumption of water and electricity) yet the only way to control the rooms temperature is with the air conditioning.The Hotel is not perfect but neither am I.We will return if we can.	
Nov 2 2009 	Good location hotel could be better. Renovations left out extractors!	We stayed during the half term holiday, from Wednesday to Saturday. We chose this hotel because we had stayed there a couple of years ago and they had given us a room for 5. The hotel has undergone an extensive renovation including rebranding, it was formerly called the Holiday Inn. The entrance and foyer of the hotel is well laid out if small. We had forgotten to bring a copy of our reservation and only had the confimation number with us. The staff weren't prepared to believe us that we had booked a room for 5 (2 double beds and a rollaway bed) on the ichotelgroup website so check in was less than friendly. They asked us if we knew the name of the person we had booked with! Not something anyone is likely to remember after a few months and should have been easy for them to find out. As we had arrived too early to check in, we said we would phone them in a couple of hours to find out if they had checked with their reservation service as to whether we were indeed booked into a room for 5! We left our luggage with the concierge and left for sightseeing. We called at 2pm and they assured us that we had indeed booked as we had said and that our room was ready. On returning to the hotel, we got our bags from the concierge (couldn't they have done this earlier without us?) and went to our room. It was a little small for 5 but we didn't complain as it's rare to find a hotel which will do this. The following morning we discovered that the bathroom didn't have an extractor for steam and that the windows in the bedroom were sealed shut. The air conditioning system didn't seem to work either. The water was streaming down the window and pooling on the sill. We rang reception to ask for the key to window but they told us there were none. Having mentioned that 2 of our children were asthmatic, they immediately suggested we move rooms to one with a balcony so we could open the doors. They asked us to have our bags packed and leave them in the room and they would move them within a couple of hours. On our return the bags were indeed moved to a bigger and much better room. Why couldn't we have had this room from the beginning? It was much more suitable for the 3 beds and 5 guests. Air conditioning worked very effectively and the french doors opened over the gardens which was very pleasant. Important note: if you are a smoker, beware they charge £150 if they find any guest has smoked in their room even with the window open! Had I wandered into a boarding school or what? In all I would stay there again for the simple reason that they gave us one room which is quite a saving when you have 5 in family. £500 plus for room only for 3 nights is quite enough to pay, thank you. Nothing special about this hotel, very few channels on the TV, internet access in the room is £8 but is free in the foyer with a colour printer for guests' use. Staff were generally very friendly especially the concierge staff.	
Oct 25 2009 	Great Location	....yes it's a great location- a direct tube ride from Heathrow. Plus Kensington is a beautiful area and there are a great range of eating options just outside the Hotel. The London Bus tour companies also have a stop nearby. The rooms were nice but the temperature was too cold in the room and too hot in the corridor. Our one room service meal was generous, well presented but overpriced- but that is London.	
Oct 23 2009 	Excellent hotel and staff - bit pricey though!	You can usually rely on a Crowne Plaza to be of a certain standard and Kensington meets expectations in this regard. Good job we were on a reward night I have stayed in places just as good that were less than half the price of the rack rates listed in reception!Comfortable room, good location and good staff. If you can get a decent room rate, you will be more than happy here.	
Oct 16 2009 	Friendly clean and helpful. Good location`	My husband and I always stay in this area as we know it well. The Crowne Plaza was terrific. I had requested a quiet room and we were given a very nice one overlooking the garden. We found the staff helpful and the breakfasts good with plenty of choice.The one downside was the lift but I understand another one is being put in. We would stay there again.	
Oct 14 2009 	Great Location/ 2 Beds !!	Pros1. Great Location / Very Close To Tube Station /food/ groceries2. Room was extremely quite / We faced the back of the hotel3. 2 Beds in 1 room which is very hard to find4. Very pleasant staffCons1. Wifi didn't work for me but at least the lobby has 2 free computers to use2. Elevator was broken for 1 day. We were on the 5th floor so it was haul to do without3. Shower water pressure was good the first day, lousy the next 2 days4. Asking for ice is a hassle. The last night I was told the ice machine was broken.5. Maid Service made the beds fine but left other things out like replacing the glasses each day with new ones or removing the ice buckets that we accumulated.	
Oct 10 2009 	first rate service super location	Stayed 1 night in October 2009 very high quality room, breakfast fantastic. Location is less than 75 meters from tube. Would stay when ever on London, although the price was at the top end of my budget at £170 per night but well worth it. Oh yes the bed was the best I have slept on in a uk hotel.	
Oct 9 2009 	Wonderful friendly convenient	Stayed here for four nights, and I was delighted to see the free WiFi was working again, I got a lot of use out of it. The receptionists were very friendly, the room was impeccably clean (Room 510) with a good view over the side of the church behind the hotel.I was amazed at how quiet the room was, there was no traffic noise, no banging of doors, no shouting in the corridor. The room had an ironing board, maybe just a little thing but I find it irritating having to phone room service to get one delivered. No problems here.The bar staff were friendly, a little slow perhaps but hey, got to find something wrong! Yes there is only one lift (elevator) but you get used to allowing an extra minute or two for it to come. Food is expensive but there's a supermarket over the road, and plenty of restaurants within a 100 metre radius for breakfast or evening meals.If I had to change one thing, and one thing only it would be the alarm clock in the bedroom is stuck to the worktop, so you can't move it. What that means is that I couldn't actually see the time when I was in bed, and therefore if I wanted to check it I had to sit up.In a nutshell, safe, convenient, clean and friendly.	
Sep 30 2009 	Best value and quality in Gloucester Road Area	This is a very good hotel and if you can get a good rate, value for money. I stayed there twice in the last week. My first room was small but very nice. If you are a single business traveller it is perfect. If you are a couple or family with a lot of luggage, then this room would have been a major problem. My second room was an upgrade (I am a PClub Platinum member). This room was very large and nicely fitted. This is going to be my new hotel of choice in this area of town.	
Sep 28 2009 	A great place to relax	I had a lunchtime flight from Heathrow and decided that the CP Kensington would be an ideal place to stay before my flight as it's very easy to reach by tube. If the flight had been earlier I would have booked an airport hotel but none of the airport hotels are in the league of the CP Kensington.I paid for the room using priority club points and paid £50 for a lounge access upgrade (that's £50 per room, i.e. £25 per person, a bargain). Let's put this in perspective, if I'd stayed at home I'd be paying over £65 to get a taxi to the airport in the morning, either that or face the hassle of two buses, the Bakerloo line and the Heathrow Express meaning I'd have to get up really early. With all that considered I'd be crazy not to stay at this hotel.For less than an airport taxi I got free drinks and canapes in the evening and a superb breakfast in the morning. The evening drinks service is provided at your seat, which is unusual for most Crowne Plaza hotels where it's common to help yourself, the breakfast consists of a continental buffet (which is the standard CP offer), but the CP Kensington goes one further and offers a full English breakfast made to order which is a great way to start the morning and ready to face the hassles of airport security. The breakfast alone is enough to make this the best Crowne Plaza lounge I've used and I've tried a lot of them!The lounge also offers a choice of a Windows PC or a Mac to work on, this is great for someone who works with Linux and uses a Mac at home, I really hate some hotel PC setups particularly that awful iBahn kiosk software.Staff, great as always and some even remembered me! The barman remembered my favourite drink and a few other staff around the building welcomed me back. I think this is quite impressive as I've only spent three nights in this hotel previously and the last time was back in July.My room was a decent size but not as big as the massive room I received in July. I am a Priority Club Platinum member, but I've always stayed in this hotel on points and so although I always get allocated a decent room I do understand that those Priority Club members that are paying for rooms will be first in line for the super upgrades such as those multi-level suites.The bed is a good size and very comfortable, the TV has a good range of channels and movies, the bathroom in this room was a little on the small side (compared to my previous room) but the bath was a decent size and the room was well lit and that's all that matters.The lounge was definitely the highlight of this visit but let's not forget the superb gym. Obviously not the best place to go after the free booze and canapes, but I spent an hour there upon arrival before making use of the lounge.Bad points: I've still had no success with the free wifi, when I first stayed here I wasn't even aware there was supposed to be any free wifi. I know they're working on improving this and I'm sure in the end it'll all work out. I'm not sure why they can't make the wired internet access free in the meantime (contractual obligations?). Check-out completed without issues, a quick walk across the road to the Picadilly Line I was soon at Heathrow enjoying another drink in the new bmi lounge at Heathrow before my flight to Munich for Oktoberfest. Sorry: never had the chance to pop out for a curry, so no free mentions of that nearby restaurant. I'll try better next time :)	
Sep 26 2009 	When is an upgrade not an upgrade?	I'm a big fan of most InterContinental brand hotels. I've got Platinum status in Priority Club and generally try to stay at one of their brands. It is the little extras you get for loyalty that are nice.So I thought I would try out this Crowne Plaza and whilst the room was very nice (although mine was hot as the A/c didn't seem to do very much) with a great bathroom and fab towels. Some other things left a bit to be desired.Now I understand the upgrades are &quot;subject to availability&quot; but in the likes of the Hilton if they can't upgrade you, they offer you something (from wine to free internet or at least something to thank you for your loyalty.) However, at this hotel, I was told it was completely full so no upgrade. With a bit of prompting the lady at check in seemed to find me a Club room.However, what she didn't tell me was that the &quot;upgrade&quot; was only the room. For the first time that I have stayed in any hotel where I have had the upgrade, seems the Club Room was off limits. I only found this out when I tried to use it. The guy at reception didn't seem too interested in my point about not being told. He just kept repeating that I could pay for it if I wanted. If I had been told there was no lounge access that would be ok, but it was not being told. That and what is the point in being loyal?Finally when I checked out, there was no &quot;did I have a nice stay&quot; nor any other interaction. I was just given a copy of the bill. So, nice (albeit warm) room but cold staff (at least in my experience.) Bed was great and nice chair for the desk to work at. Location is great. Close to the tube. You can make your decision on staying here!	
