	Small dusty noisy and bad service	My husband and i stayed here for one night only and that was enough. I know this may sound harsh but we have never been so disapointed with a hotel. I boasted to my family about staying in a 4* hotel but had to admit on my return that there wasn't much to boast about. The room was tiny, you have to walk around it sideways apart from the bathroom which i must say was the only good point especially the way the water ran out of the tap but i must stress this was the only good point. It was dusty because of the continued refurbishment that was happening. I know many peopke have taken this into account but the work should be finished if it's going to cause disruption fot the guests. The next pitfall parking, this is something we specifically looked for and it suggested that parking is available for guests but it didn't state as long as you are willing to pay £40 a night. Last but not least breakfast, after entering the dining room and waiting 10 minutes for them to clear a table which we subsequently cleared ourselves, we then waited 10 minutes for some clean plates but forgot to ask for clean cups at the same time which took another 5 minutes to get. After eventually sitting down to breakfast which wasn't very nice we then heard a funny noise followed by two of the guests unplugging the warming hubs as it sounded as though it was about to blow up. We shortlly checked out after this. We responded to the review on their website and were offered an apology and a free upgrade to a clubroom on our next stay if we paid for a double standard room. Which i personally thought was a bit of a joke!!!! The other point we found was after entering our debit card details online we were then asked to pay for the hotel when we got there as it didn't take the money out from the online booking which on top of everything else was a little irritating!!!!!	
Nov 26 2009 	GIVE THIS NEWLY OPENED HOTEL A TRY	This hotel has recently been reopened and although upgrading is still continuing, (however not obtrusively to guests) it is a very good hotel, and when all works are completed, it has the potential for being a really excellent hotel. Its location is perfect for central London. Queensway and Bayswater stations close by. It is next to Hyde Park with plenty of eating places at hand. We stayed in a double deluxe room with breakfast included. The room was excellent value (£97) for central London. Room size was good, and all finishes were new. We had a good night's sleep and no outside noise. The hotel still has plenty of 'old worlde' charm, because the lobby and ground floor rooms were of original wood panelling with huge fireplaces, and stained glass windows and original art covered ceilings visible from the second floor, were still complete (hope these features never get removed!) There are two lifts to the upper floors. My only gripe was that the cooked breakfast was lukewarm, but we asked a member of staff to put it in the microwave which they did willingly. Staff deserve a mention here because we found them very helpful. Would definitely stay at this hotel again.	
Nov 23 2009 	Everything's New in great location! Highly Recommended!	Stayed for 5 nites with my 4 yo. Hotel just reopened after major refurbishment so everything was spanking new &amp; clean! Comfy bed, good sized bathroom (with Grohe fixtures!), tea/coffee making facilities (great if yr child still drinks milk), LCD TV, excellent location (5 mins walk to Queensway &amp; Bayswater Tube Stations, 3 mins to bus stop with buses to Oxford street about 5 stops away). Esp good for young children cos I could return to hotel for my 4yo to rest up before heading out again. Staff were very helpful &amp; children friendly. Just wish the Double Deluxe was a tab bigger or at least a proper space for my luggage.	
Nov 17 2009 	Where deluxe means a 2.5m by 2.5m room!	We have chosen the hotel due to its location. I do know that hotel rooms in major European cities are generally small but this was literally tiny, there was only place for a double bed. There was not even place to put our two-cabin size bags. Before making the reservation I phoned to the hotel and I was adviced to pay for a deluxe room if I need more space. I can not imagine what a standard room would look like, or maybe I was fooled and be allocated a standard room after paying for a deluxe one. When I complained that my room doesn't look like the one published in the Internet they say they will check it and the following day instead of offering some kind of compensation they simply said I was right and ensured me that they were going to change the photos, as if this was my problem. The hotel has been recently reopened after undergoing a major refurbishment. This is probably why nothing works properly and the tecnical staff keeps making noise in the corridor outside my room at 3pm when I was trying to rest after a long bussiness meeting. I must admit that the public areas are quite impresive, if this is what you look for.	
Nov 13 2009 	Newly opened excellent value	This hotel only opened on 31st Oct 2009 so the reviews from before that do not apply.The location is excellent with many restaurants &amp; shops on the surrounding streets. The building is beautiful and the staff were friendly. I booked a deluxe double through book travel and stay for £95 - a clear bargain for central London. Taking this into account I was very pleased (though I would not have been had I paid the £300 rack rate).The first room we got was so tiny I thought there must have been a mistake so I went to reception to explain the problem and they kindly moved me to a larger room at no extra cost. This second room was much better.Although the rooms are extremeky small they are very well appointed and decorated with class and care - stand alone sinks, flat screen TVs, newly refurbished in every part. My good ranking is taking into account the price I got for the room and the helpfulness of the staff. It is not worth the rack rates on the website however - though what hotel in London is?	
Nov 4 2009 	Wait till early or later 2010 to book! You'll be disappointed.	To be fair, the hotel has re-opened (unbeknown to us when booking was placed). To begin, we are in our second night of seven, but DO NOT BOOK FOR A GOOD FEW MONTHS!. The first impression was excellent, the eccentric and eclectic interior of the foyer shows so much of what would have been.BUT..... as we arrived right on 2pm for check in, we had to wait and watch two very unorganised reception staff fumble through the new booking system and after fluffing about, they then asked us to wait about 15 minutes in the lounge. Refreshments were offered and after 2 hours and 45 minutes we were then checked in. A couple of re-assurances during the wait were offered and as we checked in we complained about the lengthy wait and the apparent &quot;15 minutes&quot; it would take and the girl promptly said &quot;I checked you in before others and I've said I'm sorry&quot; in a really dismissive way. (mind you there were about 5 other couples who entered after us).Night 1: TV wasn't even plugged in to the wall and there was no remote. This was quickly fixed and we were then told by a random maintenance man, the Hotel opened 5 days ago. THE ROOM WAS BRAND NEW!!!!!Day 2 (Today): Toilet flooded and internet disapeared from wireless network.all in all, with 5 pre-paid days to go, the room is fantastic , very small, but comfortable.The workmen and I mean an army of them are constantly up and down the hallways and with both toilet issue and trying to get the only working lift, you never see the same workman twice.The only saving grace has been the FANTASTIC Porters, who are only too happy to go out of their way to assist and are more than apologietic, unlike the reception staff.I recommend waiting until Feb 2010 or even later, it may be then ready.	
Jul 19 2009 	A place to sleep but not much more.	Two years ago my wife and I went to London for our honeymoon, and ended up at this hotel. It's located in Bayswater, close to Hyde park, so I find the location very good. The hotel itself however...not so good. The first day we didn't get into our room because of som problems with the key card, and the staff wasn't thrilled to help. The room we got was the smallest hotel room I've ever been to, an the bathroom was equally tiny. Apart from this, and the cockroaches, the hotel was ok.	
Jun 29 2009 	Very impressed by this clean and tidy hotel	Stayed one night in room 304 and was really impressed with the spotlessly tidy and comfortable room. The whole place has been recently refurbished and was like new.The room was on the front but no noise issues. It was everything i could have hoped for. The local Lo Spuntino Bar/Cafe on Bayswater road serves very nice food and amazing coffee.When you read negative remarks about small rooms you have to wonder what people expect from a City Hotel	
Aug 4 2008	Would not recommend	First of all the hotel had lost our booking and gave us dirty looks like it was our fault even though we had paid in advance. The staff were rude and not at all helpful. Also their English was very limited which made communication difficult. We were put in a room at the back of the hotel and felt that because we were not paying the top rate on the top floor we were treated like we were not worth the time of day.Breakfast was an experience in itself. We were glared at by a waitress when we walked in and the food was cold and tasted terrible. We commented on the service and food to reception but were just greeted with a shrug.It was a relief to check out of that place. We even filled out one of the comment cards but because our review of their place was less than favourable we were not surprised to ever get a response from them. London - Great place. Shaftsbury Premier Inn - Not so great!!!	
Jul 25 2008 	Good for a London city-break... Just don't expect luxury or great service!	The first impact is great: the façade is amazing and the lobby and public areas around it are just beautiful. The rooms are very small (and by that I mean really really small!!!!) and the only view you get is to a wall, but they're comfortable and, let's face it, you don't go to London to spend much time in a hotel room. The staff could use some training and some costumer service skills but they're OK, just don't expect big warm welcoming smiles (or any sort of smile for that matter) and if you want to hit the night and stay in bed the whole morning, be prepared to be woken-up a few times by the impatient cleaning ladies knocking on your door (and even opening it and walking into the room).The location is fairly central and close to the tube and buses.	
Feb 13 2008 	Pleasantly Surprised	I had searched for a few hours online and read numerous reviews about the broom closet sized rooms at various hotels in London. Reviewers had good things to say about the Shaftesbury Hyde Park and they were right. I booked a double room on the hotel website at 55 pounds per night including breakfast (for one night in February). I also joined the hotel's Premier Club Rewards program right after booking. When checking in I mentioned the rewards program and asked for a complimentary upgrade. The clerk checked for availability and it was available. Our room had 2 queen beds, a nice sized bathroom (by English standards) and a fridge with complimentry bottled water. The breakfast had everything including bacon and eggs, cereals, fresh fruit and yogurt and cold meats. The staff were friendly and the hotel was clean. It was a 3 minute walk to Paddington Station where we caught the Heathrow Express to the Airport. All in all, a very good experience.	
