	Convenient London City Hotel	Well located about 2 minutes walk from the Tower of London and 30 seconds from Tower Hill Underground Station and 1 Minute from the Tower Gate DLR Station. If the Circle Line is in operation, which it hasn't been most weekends, then the hotel is well located for all of London. The room we had overlooked the train line but we never heard anything. My wife is a very light sleeper and she never had an issue. The bed was comfortable, the room was large and so was the bathroom, with a good shower. The staff were helpful enough, but not that friendly, probably owing to their limited grasp of English in some cases.Continental breakfast was included, it was basic but of a good quality. The toast was a bit of a let down, put out in a basket pre-made, so it was a bit cold. Apart from that everything else was good. Didn't eat in the hotel for dinner. There are plenty of other places around including a few nice places at the Marina near Tower Bridge.	
Nov 20 2009 	Expensive and needs refresh	Stayed here on Nov 16. Room rate of £300 for the night excluding breakfast. Huge room which included a sitting area. However the bathroom was tiny - nowhere to put my bag of shaver etc. The sitting area did not have a television nor could you see the one in the bedroom from the sitting area. There was no mini bar in my room either although one of the myriad of pieces of furniture did have space for one. The room itself badly needed a refresh. Hotel itself is nice and very centrally located but for £300 you expect more.	
Nov 17 2009 	Spacious Hotel but in no way deserving 5 *****	When you book 5* and pay for 5* you expect high standards. This hotel does not deserve the high rating. They look after the reception which is very nice along with the bar, but you are not living or sleeping in the lobby. The room is large but not clean at all, the cleaners even knock on the door and wake you up early (I suppose this is to finish earlier). Stayed for one night and checked out the next day. I suggest staying at the newer hotel The Grange in St Pauls.	
Nov 17 2009 	lovely hotel spacious room .great pool great views and location	WOW this hotel was a surprise. It was so perfectly located with fantastic views over the Tower of London. We had booked a cheapie and got a lovely room with a little lounge area. A quick 24 hour London trip from the North to see a great exhibition - Anish Kapoor at the RA- it was fun and definitely worth travelling to see - we managedto get Tate Modern in and a walk around the tower of London and across Tower Bridge, down the south bank to Bankside and the Tate, great stuff.But we had a fantastic time at the hotel - it had the best pool of many hotels I have been in - 25 metres !! and it was so quiet. And this is EC1. Highly recommended	
Nov 4 2009 	A room with no view... but extremely spacious	As we asked for a spacious room where we would be able to move around with a wheelchair, we expected a nice double room. What we got, was a 17 meters x 12 meters large suite and a bathroom with a real large bath, 3 tubs and separate shower. During our stay from Friday thru Monday we kept the curtains closed, as the view was an big office and a railway station. The room was absolutely sound proof and we slept like a log. The continental breakfast was absolutely great and we have never seen during a hotel breakfast so many personnel. The personnel was very courteous with no exception. In the weekend one has to pay an extra BP 8. On Monday morning all cooked English breakfast ingredients were available without extra charge.The TV set in the suite was rather poor. Just a simple small TFT screen which was far too small to look at from the bed. The airco was good, both cold and warmer. The quality of the bed and other furniture was excellent.The hotel is hidden just behind the underground station Tower Hill. We found out that this station is unaccessable for wheelchairs, so - once we arrived on the station - we could not exit!!!! We had to travel further to Westminster Station to exit the underground and take a bus. The rest of our stay in London we only utilized buses.Whenever we will visit London again, we will certainly book one of the Grange hotels.	
Oct 29 2009 	Beautiful hotel and good spa and pool	I stayed at this hotel having booked online. Our room was upgraded so I don't have much to offer on the the standard rooms, save that they seem to have a good specification and if they were a quarter of the standard of the room we stayed in they are fantastic.The hotel itself is clean and very well decorated. The spa has some good deals though overall is a bit pricey for the standard treatements. The hotel pool is by far the best I've seen in a hotel I've stayed in being a full 25m long (according to the hotel literature - I didn't measure it but it looks that way).The staff are good though we found the check in and check out a little slow. The one time we had to ask staff to come to the room they did come very quickly.Overall the hotel is very good and is in a fantastic location for the City/Tower Hill area and the price we paid seemed a very reasonable rate for the standard and location.	
Oct 26 2009 	Location Location Location	Stayed for 2 night Fri/Sat in October. The hotel can boast an excellent location only 30yards walk from Tower Hill Tube, 20 mins from kings Cross. 5 mins walk from Tower of London, 5 mins London Bridge! This is an upmarket safe part of London.The booking in procedure was easy, staff were polite and professionalThe first room we were given was 423 this backed onto Fenchurch train station and we could see the platform from our window only 50 feet away. The windows were triple glazed however at 6.50am i could here bing bongs and train announcements. I spoke to the concierge and was moved with no fuss to the 10th floor, this room was much quieter and had a better view than of a train platform. The continental breakfast was nice and restaurant staff were excellent, i would use this hotel again especially the swimming pool, 2 x saunas, jacuzzi bath, and steam room !!!!	
Oct 23 2009 	NICE HOTEL	Stayed at the hotel for 2 nights in October. The hotel is very smart and the check in was fantastic, ladies on reception were as friendly as I have had anywhere. Room was very well appointed but also quite small. We did not stay for breakfast as we found an Italian Deli round the corner that did great food and it was fairly cheap. Hotel breakfast was £17.50 each so we didn't bother.On first night we had a meal in the Japanese restaurant which was ok, but I would not eat there again. Much better to walk over tower bridge and turn right where there are a few restauarnts and bars etc and it's a nice walk.We tried to get into Jamies Olivers 15 restuarant which is a short taxi ride but it was fully booked.Location is very good as yo have the DLR, Tube and Fenchurch St station on your doorstep.Taxi from Kings Cross to hotel was £10 (you can easily get there on the Tube though if you prefer).All in all for £200 it was very good value - recommended.	
Oct 17 2009 	Nice hotel good location	I stayed at Grange City Hotel for four nights, had a good deal from lastminute.com Top Secret Hotels. The hotel is in a great location, near to the Tower Hill underground station and of course to the Tower of London and Tower Bridge. I had a Superior Room (which is - if I understand correctly - their standard room). The room was facing towards the Fenchurch Street railway station, but you could hear no noise from outside (however see comment below from the noise inside). Bed was big and comfortable with plenty of pillows. There was enough space in the room for one person with not too much of luggage, and the bathroom was ok as well. The rate did not include breakfast and as the normal rate for breakfast is quite expensive, I had my breakfast outside of the hotel. There is for example a Weatherspoon pub serving nice breakfast close to the hotel. While the hotel is nice enough, I would not pay the normal rate for it. However, I was in London for sightseeing, and did not e.g. use the spa, which was included in the room rate.As a summary:+ good location+ nice, comfortable rooms+ extra plus for meeting couple of my personal expectations: good overall lighting in the room and a paper basket in the room (not only in the bathroom) - may sound funny but comes from longer periods spent at hotels in business trips.- My door was left open by the staff one day. Nothing was missing, but still not very pleasant. They were very apologetic and said it was the first time this has happened.- Paper thin walls. You could hear everything from your neighbours from sneezing to the 3 am fights (my tip to that girl is that ditch the guy; no one deserves to be talked to like that)	
Oct 11 2009 	One of the better hotels in the area	Having had a terrible stay at one of their competitors in the area (see Tower Guoman), I decided to give this one a try. Nice sized rooms for London, and the bathroom was fine. Breakfast was included in my price and it was indeed hearty--I could not finish it and had fruit left over which came in handy mid-day! The halls are a bit narrow and the lobby is nothing special, but how much time did I spend in the lobby or hallway? When I go back to London again on business, this is where I am staying. I found it just a bit pricey, but my company paid, and for what you get it is a pretty good value, considering other hotels in the area.One thing I found exceptional--when I questioned the £2 newspaper charge, they quickly removed it after I said I had not requested a newspaper. I know for a fact this would not have happened at the Tower Guoman (see my review!). Little things like this will keep me coming back.	
Oct 8 2009 	Great Service	I stayed at this hotel just one evening to catch a flight to Luxembourg. I stayed here only because my regular hotel nearby was fully booked. Upon arrival I was asked if I ever stayed at the hotel before – no. Well then, said the clerk, we will upgrade your room. My ‘upgrade” was in one of the penthouse suites – physically huge with multiple televisions, a kitchen, etc., etc., etc. More fantastic was that the suite had an unblocked view of the Tower of London and the Tower Bridge. I only wished I could have stayed her longer. Maybe next time...	
