	Excellent - we will be back	We have just spent 3 nights at this hotel and really enjoyed our stay. Reception area was very attractive and the Christmas trees were up which added to the ambience. Reception staff were very accommodating when we arrived 2 hours early they found us a double room right away. It was very spacious, clean, well decorated and there were nice products in the bathroom. We ate in the restaurant on the first night, the food was good and there was an exceptionally friendly Spanish waiter who was really helpful. Breakfast was excellent plenty of choice and something for everyone. There is a well equipped little gym with sauna which we intended to use but sadly we ran out of time. Gloucester Road tube station is only 3 mins walk away which made it easy for us to get around the capital. There are two good little pubs nearby and some shops and cafes. The only negative thing I have to say about the hotel is that the towels were really small and thin - it's about time they were changed for new fluffy BIG bath towels.	
Nov 10 2009	Fantastic place to stay!	I stayed for 3 nights at Harrington Hall and had a great experience. The rooms were large and clean, and decorated in a very quaint, old English country style. They had all the amenities we required in the room, such as minibar, iron and ironing board, tea and coffee making facilities and hairdryer, etc. The bathrooms were also nice, the only tiny complaint is that sometimes the bottom of the bath can get slippery. Cannot really comment on the service as we did not have any need to call the staff for anything, but check in was fast and hassle free. The location was perfect, only about 2 minutes walk from Gloucester Road tube station (which is on 3 lines, meaning you can get to most major places in London without having to change trains). Gloucester Road has many shops and places to eat, so you will have no trouble getting what you need nearby. The hotel is actually located on a small street off Gloucester Road, so there is not really any street noise. It is not far from the Natural History Museum and the Victoria and Albert Museum if you are interested in those things. Harrods is only a very short bus ride away. I booked this room through Priceline and it was a real bargain for the quality we got. I would definitely stay here again and I would recommend this hotel to anyone travelling to London.	
Nov 9 2009 	Good Staff Great Location Decent Hotel	I am getting more and more impressed with the NH hotel chain. They have dedicated staff and good properties. There are however many little irritating things that are preventing the stay to be great.Room 337+ Efficient staff at check-in *****+ Big roomy room ***** (for London)+ Bathrobes, slippers... *****+ Clean room and bathroom *****+ Helpful Staff ****+ Great Location in a quiet street, close to West London attractions*****+ Nice and diverse choice for breakast and lunch buffet. Good coffee.- 2 twin beds put together **- Very small towels (not consistent with 4 stars)- Soundproofness totally unefficient **- Temperature Control (heat coming through the vent, even though it is closed)**- Rooms are a bit pricey ***- We needed to change the room card 3 times as they kept demagnetizing.- Little details (never got a 2nd coffee at breakfast, 1 liner missing to curtains to block the sun, drinking glass not changed by housekeeping, bathtub partially clogged...) However the hotel staff were eager to fix those once we mentioned them.A decent hotel, very functional but missing the little touches of comfort that are now standard in four stars hotels	
Nov 8 2009 	Nice hotel large rooms great location	We spent one night here as we were passing through London. I got the room at a very good rate through Priceline and we were extremely pleased with it. The rooms are larger than many in central London, immaculately clean, and the decor and amenities were very nice. The style is Edwardian I would say, with big floral fabrics and prints of foxhunters on horsback and such. Could be a bit fiddly and twee for some people..... The room included a nice flat panel TV, iron, ironing board, trouser press, safe, and plenty of storage space in a little alcove off of the room itself. The staff were pleasant and held our bags during the afternoon while we went out for a bit of beer and sightseeing. The location is excellent - about a two minute walk from the Gloucester Road tube station, and easy walking distance to a couple of our favorite pubs and the Earls Court area with lots of nice restaurants. Decent pubs close by (near the tube station) as well.	
Nov 6 2009 	Excellent hotel at an excellent location	Love this hotel. I stumbled upon it on hotelclub's website, and then saw tripadvisor's review was good, so decided to go for it. It's a lovely hotel. We got a very reasonable rate. The hotel is located one block off Glourster Road Tube stattion, so for those that are using the Heathrow airport, this is very handy, as it's on the same line so you don't need to change when hauling your luggage around. The neighbourhood is very nice and quite posh. There are lots of eateries here, such as Nandos, nice pubs, nice restaurants - and then there's a waitrose just across the street. The hotel itself is quite classy and posh, with friendly staff. Room is very very spacious (I just got a standard double), nice decor (victorian style, but done up nicely and recently), and everything in the room is furnished to a high standard. Bathroom very good, good hot water pressure, clean, modern. With air conditioning. No noise. All in all, this is a fabulous hotel, and I am intending to come back here every time we come to London. It's not always you will find one that hits the mark so perfectly.	
Oct 26 2009 	Best budget hotel in London so far	This is my 7th trip to London in the last 8 years and I must say that this is the best hotel I have stayed in for a weekend trip so far. HUGE spacious room (I booked a room with 2 single bed as as I traveled with my mom), everything was clean and in order. The rooms and bathrooms seem to have been refurbished lately in a Laura Ashley-like style, the beds were new and comfy. Breakfast was ok, we had to queue once but only for about 5 minutes. The personnel is very nice and concerned about the guests´ needs. The hotelroom is equipped with LAN (Swisscom) and there are 2 PCs in the office center. Unfortunately internet is not free, not even in the office center and one printed page costs 50p (which I think is totally overpriced). At least they give you a complimentary 15 min voucher for using the internet. I would definitely stay in the hotel again. Great location, the Gloucester Rd subway station is a 2 min walk away, there is also a small shopping arcade (gloucester arcade) with a Boot`s Pharmacist and a Waitrose open 7 days a week (12-6 on Sun)	
Oct 20 2009	Good location quiet rooms...good value for central london	Stayed at the hotel as part of a larger group tour. Main floor lobby is nicely renovated and air conditioned, but the rooms and hallways are a bit dated and not as well air conditioned for our liking. Our room faced a nice, quiet courtyard. Breakfast was great, and the location was even better...really a great selling point if you're heading to the Natural History Museum of the V&amp;A. Don't have anything to complain about...made our rushed tour through London as pleasant as it could be!	
Oct 8 2009 	Enjoyed our stay...great location!	We stayed here for three nights before our British Isles cruise. The location is simply the best! The Underground is only a block away - Gloucester Road Tube stop. Three lines are available here: Picadilly, District and Circle. Service was great. We were able to check in early which was appreciated since we arrived around 10am. Breakfast was self-serve and I would definitely have it included in your reservation. Rooms are all nicely furnished. We paid only $150 a night - great value for an outstanding hotel. I would highly reccommend this hotel and will definitely stay again.	
Oct 2 2009 	Great Location needs updating.	I paid in advance for the booking yet on arrival was asked to pay again. A small inconvenience which was quickly sorted out but did mean our stay started out on a negative point.Rooms were clean, well lit and beds were comfy. The decor of the rooms was a little outdated for my likeing but perfect for those who like their hotel rooms to appear &quot;homely&quot;.Staff were not British; as in most hotels these days. Usually I do not see this as a negative. However the staff we encountered at this hotel did not speak english fluently and had trouble with regional accents. I guess they must have been new to the UK but it did make communication with them a little difficult and did impact on the service.	
Oct 1 2009 	Rooms was a bit "chintzy" but huge!!	The check-in staff member was very friendly, efficient and even upgraded my room to a King. The room was a little &quot;chintzy&quot; with floral wallpaper and antique furniture but surprisingly huge. The bed was a little uncomfortable. They give you the option to swap your pillows to ones that suit you better....firm, soft, neck support etc. Check out was very efficient. The staff were very friendly and you can tell the company is trying to bring in new ideas for customer satisfaction.I would recommend this hotel without hesitation.	
Sep 28 2009 	Comfortable Stay with Friendly Service	Very comfortable stay. The staff were very friendly and always willing to help. Rooms are spacious. Overall great value for money and I would highly recommend it.	
