	Incredibly noisy room	Unbeatable location which is both the best and worst asset of this hotel.Just across the road from Victoria Station, it is situated strategically, especially if you arrived in London from Gatwick. The drawback is... the room (4th fl) was facing Victoria Station and it was INCREDIBLY noisy at nights. I cannot believe that, when designed, nobody realized that being so close to Victoria the rooms should have been, at least to some extent, soundproof. I stayed for 2 nigths. First one barely slept. I got up from bed several times to double check that the windows were closed as I just could not believe so much noise could come into the room. Second night I slept much better... because I had previously bought earplugs.By the way, the internet connection was free, but very slow.	
Nov 25 2009 	Clean Hotel but...	We took a trip to Paris and London this summer. We spent our time in London at this hotel. The hotel/rooms were clean and the service was great. The hotel is located steps away from Victoria Station which has its pros and cons. Pro: easy to get around the city, tube station w/several places to eat made it great for getting up early in the am and grabbing quick coffee and a bagel or donut before getting on the Tube. The station has everything from Sushi, McDonalds, Starbucks to Booths Pharmacy and Marks and Spencer for quick groceries. Con: near the train station...the view was of the office building/station. We could see right into the windows so we kept the drapes closed at all times while in the room which was dark. Also the shower was a little difficult to manage. Hard to explain, but it had a separate faucet from the bath water which made the pressure non-existent. Stay here if you are looking for a clean room w/easy access to the Tube. Definitely no frills. BTW swimming pool was being renovated during our stay so no access.	
Nov 23 2009 	Clean comfortable and convenient.	Stayed one night on a visit to see a Football match with my father and my son (11). The Hotel is very conveniently located, close to Victoria station. The Reception/Restaurant/Bar is smallish but nice. Well kept. The room was a good sized twin with an extra rollout bed. Even though there wasn't a lot of free floorspace with the extra bed, the room did not feel cramped. Our room faced onto the backs of neighbouring buildings and whilst not scenic, it wasn't unattractive and did mean it was a very quiet room.We ate dinner in the Restaurant and it was very nice, with the waiter being very friendly and helpful. I would say the food prices were reasonable.If I were to find fault, and I'm being picky just for the sake of it here, it would be that the TV system/signal wasn't great compared to the standard I've experienced at other hotels, although Sky Sports appeared to have been free. And while the translucent bathroom door might not be a problem for most, and indeed for some might have it's advantages, for others it might be a little strange.	
Nov 22 2009 	Good location and friendly staff	Good location. Friendly staff. Big and clean rooms/bathrooms.	
Nov 20 2009 	Decent hotel in good location	I've stayed here quite a few times traveling in business and it's always been just fine. Nothing exiting or special but clean rooms, nice breakfast and ok service.The hotel is located on a quiet street behind Victoria Station and I have never been disturbed by traffic or noice while sleeping.It has fulfilled my purpose of staying: a good nights sleep and a nice breakfast and quick check-in/check-out.4 star? In my opinion, 3+++.	
Oct 16 2009 	Fantastic	This hotel has got everything right. The rooms are large, comfortable, well thought out. The staff are very professional. Very good noise insulation. Short review because really nothing bad to say.	
Oct 10 2009 	o.k. but not 4 star	This hotel is in a good location at the side of Victoria Station in a quiet side street. It's a Spanish owned hotel and is minimalist and stylish, but looks as it it needs a fresh coat of paint. The reception staff were not particularly welcoming, but o.k., our rooms weren't ready so we went to the bar for a light lunch, tapas etc. The waitress obviously hadn't worked in a bar before, she was pleasant but English was her second language and she wasn't particularly efficient. We waited about half an hour for our meal to arrive, an acceptable wait, but a woman who had ordered before us was still waiting when we left an hour later, she was only waiting for a burger!We went back to get our room cards but the reception staff had changed and the new receptionist didn't know who we were and had no paperwork ready so we had to wait to get that sorted out, and when we finally registered, we weren't offered portering services. We didn't particularly want help, but there was a large party of mainly elderly ladies booking in after us and they all had to take their own luggage up to their rooms. We were also told that the spa was not functioning as it was being refurbished, which we were quite upset about as we had been looking forward to relaxing in the pool, it would have been nice if someone had let us know in advance rather than let us find out when we got there.Our room was o.k. but nothing special, pretty much the same size as one I stayed in recently at a Premier Inn, so if I had been paying full price I would have been really ticked off!It was a twin room but in the cupboard was only 1 dressing gown and 1 pair of slippers, there was coffee making facilities, with coffee sachets, but only 1 teabag, and no biscuits etc., not what I expect from a 4 star hotel.The lavatory was good, large with a full size bath, and good range of toiletries.The room decor looked a little 'tired' so did the loo, it could have done with a fresh coat of paint.The hoted security appeared to be pretty non existent. We came back pretty late at night and there was no one in reception or on the door, anyone could have walked in!Although the room was clean enough, things weren't quite right, crumbs hadn't been cleaned off the table, the tea bag we used wasn't replaced, some of the toiletries we had used weren't replaced either, it wasn't what I expected.Breakfast was fine, the hotel was busy and we had to wait a little for breakfast but the staff were busy clearing as fast as possible, and the breakfast selection was good.We ate in the hotel that night, the meal was fine, not too expensive especially for London.All in all I would stay here again, but this hotel is not good enough for a supposed 4 star, it's a 3 star with attitude at best.	
Sep 30 2009 	Great location... Staff aren't very helpful though!	I stayed at the Hesperia Victoria as I am not terribly familiar with London, but I know my way from Victoria station. After waiting for twenty minutes to book in, I checked into a suite which was pleasant; the jacuzzi needed sorting out as it continued to turn itself on through the evening. I was told when I arrived that we had a free minibar excluding the alcohol, which was fine as we don't drink. A few days after my stay I noticed they had charged me £22.50 for 4 small bottles of coke!After chasing them about why I had been charged, I still have no response from the hotel... The staff really don't want to know!	
Sep 28 2009	Nice hotel in good location	My mum and I stayed here for one night on a theatre break last weekend and thoroughly enjoyed it. The rooms are a decent size for London and are clean and modern as is the bathroom. The hotel is about 10 mins walk from the coach station and is directly behind the train station. Despite our room over looking the station we never heard any noise.This is a great location for Billy Elliott which is a couple of mins walk away and Wicked which is literally at the end of the street. We also walked it up to Picadilly via Buckingham Palace and St James Park which took about 20 mins and down to Westminster the following day which was about half hours walk.I can't common on the leisure facilites which we never saw or breakfast but all in all I would recommend this hotel and I would definitely stay here again.	
Sep 27 2009 	Perfect location for exploring London highlights.	We had a difficult time finding the hotel with navigation- a warning for the navi users. The hotel is a very short walk to Victoria station where you can catch the London sightseeing buses and of course, very convenient if you plan to use the underground station in exploring London. We stayed in a suite and was checked-in early. Very nice. No complaints in the room in general, BUT as an exception though-- the door stopper on the bathroom floor was installed WITHOUT CONSIDERING SAFETY of their guests. My husband and I stepped on it more than one occasion-- ouch! (hurts to even think about it again as I do this review). I left them a note about this on their survey form and wish that the management already did something about this. Bathroom amenities are not replaced, another comment. We would have fully enjoyed our stay here, otherwise.	
Sep 22 2009 	Great Location	We booked this hotel using Hotels.ca and got a great deal ($225 Cdn/night). The location was great - right across the street from Victoria Rail/Train station. The Gatwick Express goes from this station every 15 minutes so perfect if you are travelling to/from the airport.Room was very nice and modern. Had lots of toiletries which was extra nice since we had just spent seven days on a walking tour of the Cotswolds. We arrived just after Noon and were pleased to find our room ready. Check in was fast and efficient - no issues.Would absolutely recommend this hotel if you are visiting London.	
