	Great location tiny little rooms mediocre service	Chose this hotel for its location - near to Green Park tube. Will not be going back again. The service was mediocre - sometimes good, sometimes standoffish and not helpful. The rooms were really disapointing - and the corridors were small with lots of steps up and down which is a pain.Overall well worth avoiding unless you get a great rate and don't plan to spend any time in the room.	
Nov 21 2009 	Not worthy of 1 star	Horrible pokey room where you can hear everything that goes on in the next room and in the hall way. Do not recommend it at all.	
Nov 19 2009 	Felt safe and sound	My annual treat, a weekend by myself and I always feel safe and sound. I normally get allocated a single bed room, but my request for a larger room was met which was great. However even in a double room, there no easy chair so I watched TV perched at the end of the bed. Like all Hilton's the bedroom doors slam so loud done the halls, the room shakes. Lovely staff, and I'll be back next year.	
Nov 17 2009 	This is not a Hilton	The staff are friendly and try hard to please, this is the only good thing I can say about the Hilton Green Park. This hotel is actually several buildings knocked together so it seems a bit disjointed and they have tried to squeeze in too many rooms. The room was small with poor hanging and storage room. It was also scruffy as though it needed redecorating. My room was facing the road so I could hear all the traffic and when my neighbour upstairs came back to his romm at 2am, I could hear him taking his shoes off and trampling around the room because of the wooden floorboards.I ate once in the restaurant and wouldn't recommend it. I ordered pork chopS and only received one. The potatoes and vegetables were all hidden underneath it. The &quot;chop&quot; had been marinated in red and white wine but it didn't taste any different from ordinary chops.I will not be staying here unless they rebuild it.	
Nov 14 2009 	Good location 	Overnighted here recently. Located just off Piccadilly between Green Park and Park Lane. Clean and comfortable. Would definitely stay again. Very convenient.	
Nov 3 2009 	Not what you expect of Hilton	Not a typical Hilton. The rooms are small (even provide single bed rooms.) For a North American traveller, this will take some adjusting to. Unlike the Hilton Park Lane, this is a much smaller hotel. The staff though friendly, do not have the same polish. The hotel is slightly more run down, though there is modern furnish. Housekeeping leave some to be desired. The location is fantastic - 5min walk to a very accessible subway station from various different lines. Not more than a 3-star hotel.	
Oct 24 2009 	Good location but....	So the location is good, but the hotel is really not more then 2+ stars or maximum 3. The room and everything else about the hotel is so small and cramped so I almost got clausterphobic. Staff was ok although you got the feeling of the really fake friendyness which I hate. The airconditioner did not heat up the room and it makes a hell of a noice.So to summarize if you can get it for a maximum of 100 Eur per night then it might be an option.	
Oct 4 2009 	Satisfactory stay at deeply discounted rate	After winning the Hilton Green Park on Priceline, I was concerned by the hotel’s decidedly mixed reviews. My 3-night stay ended up being fine, on the whole, but I’m glad I only paid $75 per night ($90 per night after taxes and fees). I liked the hotel’s location in Mayfair, right across the street from Green Park and around the corner from Shepherd Market. I also appreciated the friendly, helpful staff, especially Michelle at reception, who was such a welcoming presence at check-in. I didn’t have any major requests to make during my stay, but whenever I needed something routine – replacement of a room key that had become demagnetized, or storing of luggage for a few hours – I received smiling, efficient service.After reading many previous reviews complaining about the hotel’s small rooms, I was pleasantly surprised by the spaciousness of my room. It turned out that I had been assigned to an accessible room, so the extra space in both bedroom and bathroom was to accommodate a wheelchair. Although spacious, the room had little closet and drawer space. The walls were scuffed, the carpet was old and stained in places, and the furniture had nicks on it. There was a brown velvet sofa that I never sat on, not knowing what multitude of stains might be hidden by the dark color. Overall, the room just felt old and tired, and in need of refurbishment. Thankfully, the bed was comfortable and the white bed linens were pristine. Soundproofing could have been better – I could hear noise from the street and conversations in the hallway very clearly. Fortunately, my earplugs helped me to get a good night’s sleep. The hotel, like all Hiltons, charges something exorbitant for Internet access. Fortunately, there are two branches of Pret nearby, so I toted my netbook over there to use their free wi-fi, which was fast and reliable.	
Sep 28 2009 	Great location	Stayed for one night last week as had tickets for 'Billy Elliott' and the theatre is wtihin easy walking distance. Unfortunate that building work was going on at the time and scaffolding erected outside our bedroom window; to be fair the work finished at 6pm and didn't start until 9am but it was a shame we had to keep the curtains closed all the time otherwise we would have been looking at the bulder's bottom! Tiny room, kept banging our heads on the sloping ceiling - and a rather strange noise like an aircraft landing every time a loo was flushed in ours and nearby rooms. Expensive at 240 gbp for one night booked well in advance. Plus point - fantastic buffet breakfast and friendly staff.	
Sep 27 2009 	Perfect Location	Hotel cant be beat for access to all of London. Across Green Park from Buckingham Palace, nice reasonable restaurants in area as well as expensive. Staff is very accomodating.	
Sep 24 2009 	An Enjoyable Stay	My wife and I spent three enjoyable nights at the Hilton Green Park after a cruise. We were fortunate to have a quiet back room. Friends staying at the same time were assigned a street room and the noise level was so bad that they requested a back room on the second night.For those travelling to Heathrow Airport, the hotel has a fixed rate car service at 40 GBP. When you consider the cost of a taxi from the hotel to Paddington and the train fare (16.50 GBP each person) plus the convenience of a private car, the hotel service is better value.As others have stated, the location is the best.Canadian travellers from Perth, Ontario	
