	Great Hotel	My husband and two teenagers stayed at the Hilton Islington from November 20-26. We arrived at the hotel at 10:00 a.m. and our rooms weren't ready until after 1:00 p.m. but the hotel staff did everything possible to make us feel comfortable. We reserved a double room for me and my husband and a twin room for the kids. Our son came over from Swansea and stayed in the twin room and the kids weren't crowded. Both rooms were very clean and there was plenty of room to get around. We had questions every day for the concierge and they were very helpful.	
Oct 12 2009 	Good location good room good staff	Stayed in this hotel for a weekend as we'd come up for a friends wedding. We got there early but they found us a room we could go to straight away. The room was a reasonable size, not huge but not too crowded either. Bathroom was a good size and the bed was comfy. Situated on Upper Street, a five minute walk from Angel Tubse station, it really is in a good location.Breakfast is a buffet affair but there is almost everything you could want. Breads, cereals, pastries, full english. The coffee was weak and it was a little chaotic but they didn't rush us which was nice.They even let us check out late and didn't charge us for the priveledge, always worth an ask!I'd go back to this hotel but definitely worth looking for special offers, its not cheap!	
Oct 2 2009 	had higher expections	stayed at hilton back in march (only getting around to my reviews now). from what i remember, the OH booked on hotwire and we got a good deal.While the lobby, bar, leisure etc are all fantastic, we felt the rooms were a bit shabby...ours smelled of past smokers..which is a pet hate of mine. Also, housekeeping kept trying to come into our room every morning, despite the do not disturb sign on the door..another pet hate.Location was good - we knew where it was. Would recommend it if you get a &quot;deal&quot; but dont think id book at the rates on hiltons own site.	
Sep 15 2009 	Great Hotel	I have read the reviews before I traveled and thought is it possible. It's too good to be true, but after being there I agree with every word. The rooms are nice the service is good, breakfast is good and you get a good value for your money.	
Sep 13 2009 	One of the best	Before I start,I have to say I love chain hotels.I have travelled to London on business every few weeks for the last 5 years and stayed in most of the Hilton hotels.I do not need the luxury 5 star which are often disappointing and generally find that good four star hotels are better.I have no idea why this hotel was not on my radar as I am always on the lookout for a good deal.Yes this hotel is modern,but you get more space for your money than most in London.Staff were exceptionally kind,I have never been in any hotel anywhere in the world where the staff smiled so much,a credit to the Manager who should be suitably rewarded.I had the basic room which was large for London,at the rear of the hotel which made it exceptionally quiet for central London and could not complain about a thing.Breakfast was the usual Hilton good quality but Pawel ran it with outstanding efficiency,I wish I could employ him in my company.For our visitors I just want to add,Islington is seriously cool and highly fashionable in London.There are loads of restaurants and bars in the area and it is 'the place' to see and be seen in London,so would probably suit the younger crowd.The whole hotel was immaculate and staff just fabulous,I will book again.	
Sep 8 2009 	Excellent clean efficient hotel in a brilliant location!	I stayed at the Hilton Islington with my girlfriend for a few days at the beginning of September. The staff in the hotel were brilliant, super friendly and knowledgable as they recommended a brillitan chinese restaurant just up the street. The hotel is situated on upper street with plenty of restaurants, bars, shops and cafes if you dont fancy taking a tube/taxi on an evening. We found this to be the best thing about the hotel. The rooms are spotless and big however as with all hiltons extras are incredibly expensive. The tube station 'Angel' is about 5mins walk meaning sightseeing is very easy.	
Aug 27 2009 	Always a wonderful stay at the Hilton Islington	We have stayed at the Hilton, Islington twice now and on both occasions have been impressed by the standards &amp; service at the hotel. Rooms are good size, staff are efficient and pleasant. We were worried on this trip as we were given the first room off reception and we thought it might be small &amp; noisy, but the room was excellent in every respect. This hotel is ideally situated on Upper St, just around the corner from Angel tube station. We usually stay here for attending matches at the Emirates and its perfect!	
Aug 26 2009 	Great Hotel Decent Location	My daughter and I stayed at the Hilton Islington last week for four nights. We also got the two for one deal which made this a fantastic place to stay. The room was large(ish) and the air conditioning worked great, nice bathroom. Islington is a great area with tons of cute restaurants, pubs and shops. There was a full breakfast buffet included in our room rate. From Heathrow we took the Picadilly Line to Kings Cross and transfered to the Northern Line to Angel. The hotel is a few minutes walk from the Angel tube stop. The only drawback to this hotel is that the Northern line isn't the most convenient line to be on. It took us at least 45 minutes, usually an hour to get around town. We had to change trains at least once to get anywhere. This isn't necessarily a bad thing, because the rate that we paid made it worth it. I would definitely consider staying here again if I could get a similar rate.	
Aug 19 2009 	Bargain stay!	A great hotel in a nice area close to the centre and a stones throw from Angel tube. We got a very good deal on Hilton.com booking 2 nights for the price of 1. We were plesantly shocked to discover this also included a full breakfast every morning of our stay! A bonus! The hotel was very clean and the receptionists were very helpful with check in being very quick. I hope to visit this hotel again in the near future.	
Aug 12 2009	Excellent hotel for a short stay	We booked this hotel after reading the reviews on Trip Advisor. We got a great deal of 2 nights stay for the price of 1 including breakfast. On arrival we were checked in very quickly and were allocated a Club King room on the 4th floor. This surpassed our expectations as the deal was for a double room. The hotel staff were friendly and helpful. We would stay again if we could get another good deal....................	
Aug 10 2009 	Good location.... shame about the windows	Excellent customer service from the minute we arrived until the minute we left - from Front Desk, to Housekeeping, to Restaurant Staff: no complaints. Good location for restaurants and pubs, bars and coffee shops! Excellent spot for catching a bus to virtually anywhere and to and from mainline rail network. The only problem we had was a faulty bedroom window which was broken (and which we reported) - which meant that we had to use the air conditioning all of the time - which in these environmentally conscious times was a shame - as even though the windows are double glazed to cut down on noise, it felt claustrauphobic to never be able to open the window (during our four day stay).	
