	nice place shame about the area! No Good for anywhere really.	Sold as London Park Royal, this is about as royal as China is Democratic, no obvious park and about 90 minutes from the City, an hour from the west end.The hotel is clean enough, nice and new with rip off parking and expensive films. The area is a bit mix and match with possibly the worst &quot;Mediteranean&quot; restaurant in london across the road, if it wasn't out of stock it was still in the freezer, even the kebab was bland, the lebanese beer on the menu was fake appletise at £1.50 a bottle. The food we had was fresh and the waitress useless but funny, mainly because she spoke about 30 words of english.There is a pub, and a tube station 100 yards away which is JUST in zone 2 and manages to make just enough noise to get you up before dawn.Breakfast starts half an hour later than most at 07:00 and given that it's an hour or more into the office, is totally useless apart from the very nice mini muffins which came out first.You can do so much better for less money.It's handy for... wormwood scrubs prison. It's a short list.Close to the BBC, wembley and some of the roughest places in northwest London, but not close enough to be of any use.	
Nov 15 2009 	clean and convenient	Great hotel, only 20 metres from the tube station. 20 minutes and your in the city centre.Clean and cheaper than city centre hotels. In my opinion it cannot be beaten for the price, that also includes a continental breakfast.	
Oct 28 2009 	Perfect Value Hotel! No regrets at all staying here.	The Holiday Inn Express London Park Royal is exactly as described by the many other positive reviews here. We found this hotel on this site and are so glad we did. The hotel is very convenient to North Acton Metro Stop, which made it super easy coming from Heathrow to get on the metro and walk up the hill (small hill) to the Holiday Inn for an easy and pleasant check-in. We stayed in a Double Room with Sleeper Sofa and it was perfect. It was clean, had enough size for the 2 of us, and worked well. There are tons of reviews to get the full story below, but I'll just throw out the quick pros and cons and summarize afterwards.Pros)- Super easy access to the Tube (Metro)- Clean room with everything we needed- Price- Nearby amenities - Little grocery store nearby for snacks (Tesco Express or something), little Indian deli with good paninis, pub with decent fish and chips and good beer (The Castle I think, get the Honey Dew beer)- Included breakfast- Easy access to the airport since both are on the west side of London- For the tube, it is on Zones 3 and 2, which is perfect. Cheaper Tube ride from Heathrow and standard Zones 1-2 fares for the rest. So nice.Cons)- You are about 15-20 minutes outside of London on the Tube, so it is more difficult to come home for lunch or anything like that if you want.- Calling out using international phone cards is really expensive. Best way is to call your family back home from a pay phone. Give them the hotel number plus room number and have them call you. Most places can call the UK for less than $0.10/minute with no connection fee.- Lack of TV channel choices. This was kind of annoying at night. Another 3 or 4 channels would have really helped.Overall: If you have plenty of cash, then staying right in the heart of London would be nice. But at over 2x the cost, there is no way it is worth it to me. As a value traveler who still likes to stay in decent places, this was perfect. We sacrificed 20 minutes of morning and evening metro riding to save well over $100/day. I'd easily stay here again.	
Oct 18 2009 	very clean........	Very clean but very basic and over priced for what it offers.The lift was very slow. The tube station( north acton) is directly behind the hotel, which didnt cause to much noise however it did sound like an overheating hot water tank everytime a train stopped in the station. I would recommend this hotel if it was cheap but if not I would stay at the far nicer Ramada encore over the road, but the whole hotel was spotless!.	
Oct 11 2009 	City Acess Right Outside Your Door	Our annual Christmas and New Years vacation was spent in London this year. I was unsure how easy transportation would be as my vacation package specified my hotel Holiday Inn Express was not city centered. The price was irresistible, so I went ahead and booked the trip. I travel with my daughters ages 12 and 16, which is a little scary going into a city for the first time. I was pleasantly surprised to find so many friendly people that were willing to show me the easiest ways to travel including taking the underground from the airport directly to the hotel. The underground stopped literally steps away from my hotel. I purchased a week pass and we were able to wander the city on our own time. Although this is a top city to visit, you wouldn't be able to tell by what little money I needed to spend. The hotel was very neat and clean. The staff was very friendly and breakfast was served daily. The most impressive was the location. Do not be afraid to be away from city center, transportation is right outside the lobby doors.	
Oct 5 2009 	Clean hotel friendly staff but don't stay out after midnight !	Due to the location (which some people may say isn't that bad) I would personally try to get a little closer to the centre of London. Everything else about the hotel is very good. The staff, the cleanliness, the breakfast, the rooms are all to a high standard but if your going for the night life you really have to draw up a plan of action. The tube (which is next to the hotel) takes approx 20 mins to London which isn't too bad but if your having a night out the last tube leaves between 12.15 and 12.30 am. There is a night bus which leaves from Hammersmith but you've got to get to Hammersmith in the first place (unless you happen to be going out in that area). There are other night buses but the staff advised against this it would mean being dropped miles from the hotel and needing to arrange a taxi to pick you up.This is the only thing that would stop me going back to this hotel and for the price you can't really complain. I guess I'll have to increase my budget next time!	
Oct 2 2009 	Joining the praise -excellent value for money	We stayed here for five nights in September 2009. I booked the room in their own website and got in my opinion quite a bargain, less than 100£ per night. I've stayed in other HI Expresses before and they are becoming my favorite hotel chain.This one was just like others, clean, comfortable and very fairly priced. Service was very good, check in took three minutes as we arrived in the middle of the night.We asked for an extra blanket as we had a double bed (there were no twin rooms available at the time) and we got it in less than an hour. Check out was also quick and efficient.The room itself was spacious for two shopping lovers and we did have always a good nights sleep.The breakfast was included in the price (which in itself is quite a perk) and it was more than adequate. There is a Tesco and a traditional pub right across the road, so that was excellent too.The tube station was VERY close and on the Central line, so the service was frequent.The location is not for those, who want to be in the middle of the action, but we did spend our days in the city centre and for the price we payed it was an excellent choice.I'd also recommend the HI Express Swiss Cottage, these are great value.	
Sep 29 2009 	This is an Excellent Hotel	I have just returned from a five night stay at this Inn, and the experience was wonderful. In past London visits, I have stayed at budget hotels on Sussex Gardens, and a five star hotel near the British Museum (a hotel which did not impress me as anywhere near FIVE star.) Luckily, in recent years, I have 'discovered' the Express by Holiday Inn sites. This Inn is the third HI Express that I have visited and all were great stays...with this hotel possibly being the best of the three. My welcome and checkin to this nonsmoking hotel were efficient and friendly....in fact, every staff member with whom I came into contact was friendly, always smiling with a cheerful 'hello.' I can't say enough about the condition of the hotel.....spotless, cheerful and pleasant. My room was the same....just fine in every respect...both the room itself and the bath. The housekeeping at this Inn is SUPERIOR. A nice feature is the ability to open the windows to fresh air.....but do read the instructions on both sets (inside and outside) of windows. To close the outside window, one must push a small button in the window frame.....strange, but it works. Another nice feature of the double or triple windows is that they keep out noise. As you know, the Underground (Tube) is right behind the hotel. The breakfast (cost included in your room rate) is an 'expanded' continental...a fine way to begin each day. The young lady who services (and cleans) the area is most efficient....and again, very friendly. If you are arriving from Heathrow, you can take the Tube (as I'm sure you know)....but it necessitates 2 connections with lots of stairs, and if you have luggage, that could be a problem. I recommend that you take the Heathrow Connect Train to Erling Broadway (18 minutes, 6 pounds) and cross over to the next platform and take the Tube (this is the line's beginning, so it goes only one direction) and travel 5 minutes to the second stop, North Acton....and you have arrived. If you have read the previous posts, you will know that just across the street from the hotel is a Tesco 'expended' convenience store (open 6 A.M. to 11 P.M.) and it is well stocked. Also across the street is the Castle a wonderful (again, nonsmoking) pub with a friendly bar staff, and it is clean and comfortable...and serves food. About a mile away (walking or driving) is the British Walmart. For other food, shopping needs, take the tube east 2 stops to White City, exit the station, turn left and proceed a couple of blocks to the Westfield Mall....a huge, upscale indoor mall with several hundred stores and at least FIFYY dining choices from Burger King to an array of great looking ethnic eateries (in an area called Southern Terrace Restaurants)...and so on. Also, don't miss (at the far east end of the mall, with seperate entrance) a fine, again upscale, grocery store called Waitrose....the food selections are fantastic....just take a look at the pastry display....think Harrods! All in all, I HIGHLY RECOMMEND this Inn. Now, a couple suggestions.....(1) purchase (at airport or tube station or selected merchants) the OYSTER card.....a debit like card that gives you discount travel on the tube and buses.....just pass the card over a scanner when entering or leaving the tube (where it will show you how much value remains) or entering a bus...quick and easy....and you can load extra amounts at any tube station. (2) Take the tube to Hammersmith, walk down King Street, and watch for signs taking you to the Thames Walk, a delightful walkway along the river with parks, pubs, etc....delightful. (3) Travel to the Waterloo Train Station....exit and follow signs to the Queen's Walk (passing by the Imax Theatre, a good stop in a rainy day)...where you will find the London Eye, great views of Big Ben, St. Pauls, etc., across the river, major Concert Halls, the Globe Theatre, the tate Modern (free admission), lots of River Cruise opportunities....and so on. All in all.....enjoy your stay at the Express by Holiday Inn at Park Royal and have a fantastic visit to London!	
Sep 21 2009 	Top budget hotel with cheap parking.	A group of 14 people stayed here for the Coldplay concert at Wembley and the hotel was faultless. We all managed to get a car parking spot, check in was in simple and took less than 2 minutes. All of our rooms were clean, tidy and had all the essestials inc' air condtioning. Beds were comfy and spare pillows were available. Theres a nice pub with beer garden over the road, easy access to the tube (2 min walk), shop on site and even a kebab shop over the road!! Breakfast was served until 11am complimentary ( basic - but very nice ). Would certainly recommend this hotel and we will use it next time were in London.	
Sep 4 2009 	Great value	We stayed here for a week in March 2009. I booked it based on reviews on tripadvisor.com. It was exactly what we expected. The room was clean, not big but adequate size for me, my husband and our daughter. Breakfast was good. The usual fair for a continental breakfast. Also had packets of cheese and bread rolls. Did run out of tea flavors and didn't restock for 2-3 days but that was not a big deal. Hotel is really only around the corner from the subway. Not even a 5 minute walk but it is uphill a bit at first. Small market across the street to buy snacks. Did not take long on subway to get to main areas of London although morning rush hour the subway was packed most days. I would stay here again for the price and convenience and definitely recommend for others. Also, we wanted to do a tour and the front desk personnel were very helpful with this. Only downside for us was that we had to pay for internet. I believe it was $10 extra per day purchased. You could also purchase so many hours but I do not recall the price for that.	
Sep 4 2009 	Too Expensive ! It's a Holiday Inn !!	Nothing to complain about the Hotel itself. Very clean, comfortable, well up to the standard maintained by Holiday Inn. But the cost was ridiculous. At the time it was actually cheaper to get an equivelent hotel in Dubai for less money !?Its in London, Park Royal/North Acton isn't the best area in teh world, but it is getting better. Regardless... Hotels like this are far too overpriced for what they are. Just because of it being in London. Its a shame. The Castle Pub across the road tho is a god send !	
