	Great location	Have just returned from three days at the Holiday Inn Bloomsbury from Nov 27th. We could not fault the hotel. We had room 429 right opposite the lift and had no problems sleeping on any of our three nights there. location is great, Euston Station is only 10 mins walk away, so messing with taxi's when you arrive or leave. Lots of places to eat within walking distance, make sure you take a walk into the Bunswick shopping centre right by the hotel, really nice in there and lots of good places to eat. We ate at Giraffe and Strada which we could not fault. Would highly recommend using the Big Bus Company tours to get around, you pick up the bus on the main road buy the hotel, it drops you at Trafalgar Square where you can collect the other buses to different attractions, brilliant way to get around, 48 hr pass for the two of us cost £50 and we well had are moneys worth [one ten minute taxi ride back from the strand cost us £10 and that was around 10pm so when the traffic is busy I'm sure the price would be a lot higher. To sum up great location, great breakfast, nice staff, would highly recommend.	
Nov 14 2009 	Its a holiday inn!	Well, I don't want you to think I'm being negative, but when you've stayed in enough of these types of hotels, you can pretty much make your way around blindfolded. They are usually pretty consisitent in what you get, which is, in the main, why people use them. In this particular case we chose the holiday inn because our friend Tracy, managed to get some amazing rates for the weekend. We live in Nottingham, Tim and Tracy live in Reading, so we left the car in Reading and got the train into town. Now the train wasn't cheap, and Tracy doesnt do buses, so we got a taxi to the hotel from the station, all in all at a cost of about £30 per couple, plus the aggravation of carting cases around etc. On arrival at the hotel I noticed there was an underground NCP carpark right next door, that did a weekend rate of £15. So, if we were going to do it again, I'd drive right in (no congestion charge at the weekend either), and it would have been cheaper and more convenient.So, the hotel was typical holiday inn standard, ie higher middle business class. Some us older types remember when a lot of these Holiday Inns were Trusthouse Forte, who charged half as much, but Holiday Inn bought them, painted them a different colour, and doubled the price. Anyway, the first thing I noticed was the amazing array of exotic accents amongst the staff there. I don't think I heard a single &quot;cockney&quot; accent anywhere in the hotel - not making any kind of political comment here, its just an observation - but the upside of it is that you kind of feel like you've travelled abroad, which all adds to the excitement.Breakfast was nice, but busy. A little bit of queuing but we werent in a hurry. Food was nice, we obviously went for the full fatboy, and the girls ordered poached eggs which were cooked to order.OK so I can't say too much about what the hotel is like during the day because we headed off into town to be tourists. What I would say is that you've got Russell Square on your doorstep and the British museum, which is just a totally fab place, soho and theatre land just down the way, and of course you are minutes from central london by tube.We had a cracking time wandering around London. If you are a Brit and you haven't been for a few years, go check it out one weekend, it really is a superb city to visit now. I always poo-poo-ed it in favour of Paris or Rome but I am willing to admit I was overlooking a jewell on my own doorstep.Both evenings we didn't eat in the hotel, we went out, and had a great time. On Saturday night we returned to the vicinity after our meal, and rather than drink in the hotel bar (which like many hotel bars, despite what they try, does lack ambience) we headed for a local pub. It was about 10.45 I guess, and it took a while to get sorted out, and the guy behind the bar talked me into buying a bottle of red for the girls instead of two glasses because it was better value, then on the dot of 11, he rang the bell for drinking up time! Once again, I think back to all the hoo-har about 24 hour drinking in the UK, why is it whenever I go to a pub (with the exception of my own local), we are still back in the 70's calling time at 11 on a saturday night. There was no negotiation, so we headed back to the hotel bar for a nightcap, unfinished bottle in hand!Even in the hotel, after midnight, it was night porter service, which always makes me feel like a bit of desperate alky!Hey ho.Anyway, long and short is that if you want to do the touristy thing in london at the weekend, shop around to see whether you can get a discount voucher for this hotel, check first about the carpark, but unless its changed, I'd drive my car here (its dead easy to find) and park in the NCP, and if want to have a late nightcap with your mates, buy a bottle of wine and a 4 pack of stella in Sainsburys before you leave home, pack them in your suitcase, and have your nightcap with your friends in your room (whilst being considerate about noise of course!).Hope that helps, and like I said, London is a cracking place now - give it a try.	
Nov 6 2009 	Confortable And Convenient	Warm welcome from reception - could not access room early but able to do check in paperwork and store luggage. Check in very efficient. Clean room- standard Holiday Inn - it was a bit on the small side but I guess this is London. On the gripe side - my husband could hear the occupants of the next room in the early hours. Very convenient for transport - only a block away from Russell square tube and buses at the end of the street. We purchased breakfast vouchers - the breakfast kept us going all day until Dinner time- excellent! Breakfast was self service - the hotel was very busy but we only had to wait an few minutes to choose our main items on Saturday morning. Could do with one more toaster as queus did develop there. All Employees were polite and helpful. I also liked having to insert your room card in the lift to gain access to other floors - a good security item. Many locations such as Eurostar Terminal, British Museum and Leicester square and Holborn within walking distance.	
Nov 6 2009 	Tourist recommended	Great hotel, great location.Staff were helpful and welcoming. Although we arrived before check in time they made every effort to make at least 1 of the 2 rooms, we required ,available.Rooms very nice - clean and modern.Parking in public car park a little steep, pity no reduction for guests.Hotel 1 min from Tube so idea for sight seeing.Great weekend - made ,in part , by a great hotel.Will use it again.	
Oct 31 2009 	So So hotel in good location	Clean and comfortable chain hotel in very good location. Average room (no minibar/fridge, small but functional bathroom, standard holiday inn decor). No real complaints. Minor gripes - waiting in the lobby past 2pm whilst other guests checked straight into their rooms - second consecutive time this has happened to me at holiday inns) and street noise from inadequate windows (hotel appears to be in the process of replacing these throughout the hotel). Other than that fine, good point - cleanliness, an ansolute must for me. Breakfast expensive £16.95 if not part of room rate, OK but nothing special.	
Oct 20 2009 	Don't stay in this hotel if you want to sleep	Although we live in one of the busiest streets in Amsterdam and we are used to a lot of city noise, we found this hotel extremely noisy. As well as from the inside as from the street. The double windows do not help at all and in the hallway there are extra double doors to reduce the noise, but all these doors do is create a lot of extra noise. They close them at night and every time someone passes the doors it's like they try to open the door to your room. The rooms are very small, but I guess that's normal for a London hotel room. I would not recommend this hotel to anyone that is looking for a place to sleep.	
Oct 19 2009 	Very good choice	We recently stayed for five nights. We were very pleased with the location which is one block from the Russell Square tube station on the Piccadilly Line. We loved being close to Piccadilly and Leicester Squares in the evening. The check-in desk and concierge were top notch. Very friendly! We were given the option of purchasing breakfast tickets for about 10 pounds each. We ate the breakfast buffet twice. It was expensive but had a great selection and was a nice treat. The other mornings, we went across to the outside shopping market and ate at a little cafe called Apostrophe. I highly recommend the little place! The market also had a grocery store, drug store, coffee shops, clothing stores, etc.The Holiday Inn rooms were small, but we did fine for five nights. The bathrooms were very small. Housekeeping was outstanding. The room had a hot water pot with tea and instant coffee. The beds were comfy. We didn't use room service and or expensive internet.	
Oct 16 2009 	Very good value lousy bathroom!	Location of this hotel is very good - just on the tube line from Heathrow. Friendly staff, efficient concierge. Excellent breakfast (if included in your rate). The bathroom (at least in the 6th floor, where we stayed) is below standards: water pressure does not allow you to take a decent shower, toilet flushing must be done by extensive &quot;pumping&quot;, and strange noises coming out of the sink. Certainly not what you expect from a Holiday Inn!!!	
Oct 15 2009 	Holiday Inn standards in the middle of London	Clean hotel up to U.S. Holiday Inn standards. Located two blocks from the Russell Square Tube station, across the street from a shopping plaza with several restaurants, etc. Sparse no-frills lobby and rooms.	
Oct 8 2009 	Clean hotel good location	We stayed in a double room and it is very clean and well-designed for a tight space. There were two of us with bags and computers but we had just enough space for it all. We asked for a quiet room to be away from the pub noise on the ground floor and they were able to put us on the 3rd floor with windows looking into the interiors space. No view but it was quiet.Great location - half a block from the Russell Square tube station and lots of buses. The Tesco Express is open 24 hours a day and across the street there are lots of shops and restaurants at Brunswick Centre - a kind of outdoor mall. The Hare &amp; Tortoise is a good, inexpensive asian food place. Not a lot of ambience but it stays open late and the food is clean.	
Oct 7 2009 	Good value in centre of town	Loved this place. I booked it on strength of other reviewers on here and they are dead right. It's very well priced for being right in the heart of the city with the benefit of the tube nearby and 24 hours tescos / restaurants and shops in Brunswick Place next doorBreakfast was great, the service throughout was wonderful, staff really seemed to care about the place. Only drawback is small rooms which I wouldn't fancy staying in for longer than a couple of days	
Sep 21 2009 	Perfect Location for sightseeing	This hotel is great if you're spending a few days in the city. It is one stop away from Kings Cross on the tube and the underground stop is literally around the corner from the hotel. The rooms are quite small but have everything you need including a fridge and hairdryer. Breakfast is buffet style with loads of choice. We found all the staff to be really attentive and helpful.There is an Irish Bar attached to the hotel, so if you fancy a pint of Guiness and some Irish stew then this is the place to head on an eveningCant wait to go back next year and visit all the places we didnt get chance to this time	
Sep 16 2009 	Will stay again convenient lively quiet friendly	we stayed there for 6 nights. Location is excellent. Once go out from Russel Square Tube station (it's on the same line after coming to the city from Heathrow, so no need to change line), there is a 24 hours Tesco convenience store in front of station. Go straight into the small street from its right side the you will immediately see the Holiday Inn sign. There is a pub and hotel bar open late at night. A shopping arcade called Bloomsbury Waitrose is right next block where has many restaurants, Starbucks, Drugstores, Vodaphone store (where you can buy the pay as you go SIM card for 5 pounds + minutes you need). Russel Square is a major tourist station where has a police office inside the station. Hotel throughout very clean, staff are friendly, helpful, efficient. Room shower has good water pressure. We stayed at the 5th floor, quiet and nice maintained. The only negatives are 1. refrigerator temperature seems not working properly. we couldn't chill our beer and drinks. had to ask for bucket of ice every night from the bar.2. we booked with Expedia and were told we could only get the special rate room which has a very small &quot;double&quot; bed for my partner and I. We still wonder that room is actually a Single room for solo traveler. No way it can fit a regular size husband &amp; wife.3. Internet access costs 15 pounds/day. I think it should be complimentary as this is also a business hotel plus internet is already a necessity.4. The towels were rough. Feel like Sand Paper. They really should change them.overall, I am pleased with staying here. I will stay again only that will make sure I and my partner stays the same dress size.Tips: try the Cider called &quot;Bulmbers&quot;, it is delicious. we miss that so much. Also, DO NOT try to access the internet from the Pub across the street. We tried to search for Free flowing signals and got virus on our computer right away.	
Sep 15 2009 	Nicely Remodeled close to Tube and Kings Cross/St. Pancres	This hotel was much nicer than a Crown Plaza we had stayed at in London. Lobby was nice, whole inside of the hotel had a new modern feel to it, and rooms were delightfully nice (small, but same size as most London hotels). Bed was comfortable, bathroom was nice, shower had great water pressure, room was very clean, and all was great. Only negative was that the windows didn't appear to open. Other than the British Musuem, aren't many other tourist sites to walk to. But Russell Square tube stop is only one block away. And it's a short walk to the Kings Cross/St. Pancres station which made it nice when coming from Gatwick airport or taking the Eurostar to Paris. I would definitely stay here again and recommend this to others.	
