	after-pains	not customer-oriented hotelvery low service levelboor reception	
	This hotel was brilliant and was ideal for our theatre break	Myself and a friend stayed here for a theatre break. Hotel clean, staff helpful, rooms comfortable, breakfast superb. Couldn't fault a thing. Great location for tube and we crammed in a fair amount of sightseeing in a short time. The london aquarium, The natural history museum and harrods to name just a few was only either a short walk or tube ride away. There is a nice pattiserie a couple of minutes away and a tesco's express too. The tube is less than a minute away .It was so good that we are staying again in early 2010 for a couple of nights on another theatre break.I would recommend this hotel to anyone.	
	All you can expecto from a Holiday Inn	We arrived at 23,30 hours and they could not recommend a restaurant so we decided to go to Tesco, with very limited choices but when you are hingry you do not careNext day they rang the bell at 8,00 hours to clean the room, not being very nice being waken up so earlyEvery day they gave us a candy bar and two bottlets of water whic is a very nice touch.All in all, a normal chain hotel on a nice location ( close to chelsea, 45 minutes walking from Picadilly ), I will be back if I do not find anthing closer to Picadilly for a better price...	
	Great Price Terrific Location	I stayed at the Kensington Forum in October, while visiting London with my mother. We had a room with two double beds which was surprisingly roomy, considering the small hotel rooms I have in previous trips to London.The room was quiet, clean, the bed and pillows were comfortable, and the service was adequate. There were no service issues to speak of, but it's not an overly-friendly hotel. (We were not expecting this at the Holiday Inn.)The location is absolutely wonderful. There are a number of coffee shops and small restaurants nearby, as well as a grocery store in the mall next to the hotel. We picked up apples and other fruit, then added those to the coffee and muffin/pastry at the cafes. The subway is within one block of the hotel, so you couldn't ask for it to be more convenient. As well, we had good weather, so we walked just about everywhere (probably averaging 10 kms a day). It's a nice neighbourhood with no safety concerns.Our main focus before booking was looking for a low price with good location. We absolutely found it at the Kensington Forum and I would not hesitate to stay there again. . .or to recommend it to a friend.	
Nov 20 2009 	Very Good Value - Excellent Location	We stayed 2 nights and have no complaints. We arrived about 11 am, room was ready. Lobby is large, lots of seating available. Desk staff was friendly and helpful. Room was good size for Europe - clean throughout. Bed very comfortable. The Concierge desk called our room to ask if we needed any information or assistance. The location is ideal for travel all over the city via the Underground. The Gloucester station is practically next door. There is an elevator on the Piccadilly line (from/to Heathrow) - but for only one level. You have to walk one flight of stairs with luggage. But the convenience of 3 major Underground lines at this station is terrific. Lots of small cafes, restaurants, pubs within a block or two. Would definitely stay here again.	
Nov 16 2009 	Excellent hotel in prime location	Just stayed here for a birthday weekend, what can i say, 2 minute walk from Gloster RD tube station, only 10 minute walk from museums. Lobby is large and tidy, we asked for a room with a city view and got one on tenth floor with no messing about. Room was plenty big enough and clean and tidy, bed was comfordable. Staff were freindly and helpfull, the breakfast was top draw, virtualy everything you can think off and plenty off it. I was stuffed until 4.30 in the afternoon ! All for the bargain price off £ 250 for 2 nights including return rail to North Wales.	
Nov 16 2009 	Good Location Horrible Service Disgusting Procedures	My husband and I stayed here for our 1 year anniversary trip October 29th- November 1st.First and foremost, the good, yes it has good location, a block away from Gloucester Road Tube Station. Also, the concierge was very helpful. Now for the bad...First, we walked in and the restroom door was broken. Then, they took our towels and didn't bother bringing us any back by the end of the night, I called to get towels and I waited 45 minutes, walked downstairs to argue with them and had to wait another 20 minutes. Also, we went to lay down, and guess what, the sheets had RED hair on them. I'm a brunette and so is my husband. I walked down there yet again to argue with them and let them know, they said that YOU HAVE TO LEAVE A NOTE IN ORDER FOR THEM TO CHANGE THE SHEETS, BECAUSE THEY ONLY CHANGE THEM ONCE A WEEK!.. how disgusting!...so make sure you leave a note, because if not you'll be laying in week old sheets.	
Nov 9 2009 	Great location	Love Holiday Inn and used our Priority Points for a one night stay here. Previously stayed over the road which is now a Crown Plaza but wouldn't hesitate to come back here. Huge Hotel but very friendly staff. Our room was typical holiday inn the bathroom could have done with updating but was spotless. Just around the corner from Gloucester Rd tube and plenty of pubs restaurants nearby. We had breakfast at the hotel which was good and no waiting or queueing. Would def stay again.	
Nov 5 2009 	Improved Experience - Would Happily Stay Again	We stayed at the Holiday Inn Kensington Forum last Christmas for an eight day vacation. During that time, we found the hotel to be satisfactory with the sole exception of the check-in process (detailed review from that stay is included on this site). However, our guest check-in experience was so bad last time that I did hesitate before booking again on this trip. The convenient location and competitive rates finally sold us on a repeat visit.When arriving for check in we were presented with similar problems from our last visit. (Our rooms were not ready, we were promised rooms at a later time, etc.) I gave a detailed account of our last experience to the desk clerk who immediately got the management involved to help us solve our problem. After about ten minutes, I was given two hotel rooms with little or no difficulty. My room (a single bed) was positively huge by European standards. The bed was perfectly comfortable, I had ample desk space for my work and my bathroom was much bigger than I expected. My friends were given a two bed room which was considerably smaller but, like mine, was clean and stocked with the necessities.If you're looking for a full-service experience, this is still not the hotel for you. Almost nothing is included in your stay (breakfast, phone use, internet, etc. all involve additional charges) but the rooms are clean and in relatively good condition (not flashy or stylish by any standards, however). If you want a safe, comfortable place to stay, I would certainly consider this hotel. After my poor check-in last time, I felt like the staff went out of their way to make sure I was happy on this stay. I also had the opportunity to check out the hotel gym on this trip which is roomy and very useful. Open 24 hours it's also convenient to your schedule.The location of this hotel is it's best feature - two blocks from the tube on lines that run to most major attractions. We also had no trouble catching cabs from the hotel entrance most nights, if necessary. Overall, a very good stay and I would be happy to recommend this hotel to others.	
Nov 3 2009 	Excellent Choice	My friend and I spent 2 nights at this hotel, and highly recommend it. Early check-in only allowed &quot;smoking&quot; room, but it was entirely acceptable, and only the hallway had faint smke odor. Rooms were relatively spacious (considering European properties), bathroom and amenities were outstanding. The window opened, so we were able to enjoy outside air, too. Mini fridge wasn't cooling properly, notified front desk, immediately remedied. This hotel is merely around the block/corner from Gloucester tube station, but the stairs might be a problem for some travelers. Waitrose (grocery) and lot of dining choices in immediate vicinity. You'll never regret this choice when in London!	
Oct 26 2009 	DON'T TAKE THE CAT	The saving grace of this hotel, is the friendly staff and its location in Kensington.As noted in other reviews tube station is on the corner, and there are plenty of amenities close by.Explore the area and you will find plenty of pubs where you can eat for a reasonable price.Rooms in the hotel are very small, as is the double bed. Hence the comment above leave the cat at home as there is no room to swing one.When the hotel is full as it was, last weekend the breakfast restaurant is not big enough to handle all the guests. So guests taking only the continental breakfast option are ushered into a make shift, restaurant in one of the conference rooms.	
