	This the budget hotel that you need	The hotel is located in the very center of the London. It allows easy access to the main objectives, via bus or via underground.We arrived late and first impression in the lobby was of &quot;no frills&quot;.Room was very clean and it was kept like this for the whole 5 days of our staying: 5+ stars for the maintenance staff. Furniture was simple and practical and it fitted well with the neo style. Very comfortable bed, moderate size room for 2 ppl maximum (considering European standards, though an american might find it small, but nonetheless tiny); small bathroom, but not claustrophobic :). Because one has so many things to do in London and won't spend days in the hotel room, I feel this is really a minor thing. Great staff both at reception and also at the restaurant / breakfast room. Also maintenance stuff was very friendly and they did a great job.Very good breakfast for the price (with enough options like: English breakfast, fruits, French croissants, cereals, several varieties of tea &amp; coffee, etc). Some vegetables could be added to really make a difference. We stayed for 5 days and we had enough morning options not to feel bored :)I really recommend this hotel, it will be my first choice when visiting again London.Big price difference between online and lobby quote: book online, you might be able to stay up to 50% more days.	
Nov 6 2009 	clean and functional	We stayed there for three nights during a weekend trip to London. The hotel is centrally located, within walking distance to the Tower. Rooms are small, clean and functional. Don't expect cosiness or luxury. They do not even have hairdryers in the rooms - you have to reserve one at the reception. But good value for money. Good breakfast buffet. I would stay there again.	
Oct 14 2009 	Excellent -	A modern and clean hotel with comfortable rooms, a great breakfast (enough variety), helpful staff, situated in a fantastic location (half a minute to the underground which green line goes directly to the city center). Restaurants and pubs nearby. It really overcame my expectactions.	
Oct 12 2009 	Good value for money	Good:- Central, all other hotels for this price were way out of London or completely crap.- Big and modern rooms for London.- Algate East subway at 1 minute, buses to St Paul, Trafalgar Square around the corner.- Full English breakfast buffet for £7 (£5.50 if paid at the time of booking), basic food but unbeatable price.- Friendly staff.Could be better:- Mattress a bit uncomfortable.- 2 stars hotel looking 2 stars, no more, no less.- Small wardrobe- View on a wall from 3rd floor down.	
Oct 10 2009 	Quite OK	The hotel is situated very near the Aldgate East tube station. I used some time to find the hotel since there is a Commercial street, and Commercial road near by - a bit confusing. The hotel staff was helpful and friendly. The rooms are OK, quite spacious. No minibar, but coffee maker. The beakfast is pretty good, though I had trouble finding a table to sit at to eat. Pay-internet-PC in the lobby. In total good value for money, and a bit surpriced that the hotel only has two stars.	
Sep 29 2009 	another first class stay	another visit to the capital in August 2009. The second time we have stayed and have booked again for December. Rooms well maintained, breakfast enough to feed you for the day, the young guy on reception remembered us from the visit in June. if you need anything extra for example towels or teabags just ask and they are delivered to your room without any fuss.	
Sep 29 2009 	Just what you need!	I like Ibis hotels very much. You only pay for what you need. You don't have to pay for the things that are actually not that needed. They keep the hotels at standard quality level with success.	
Sep 28 2009 	Great friendly service	The hotel was very clean and every member of staff was helpful and polite. The rooms are a good size with a neat bathroom pod. Great walk-in shower and plenty of room to store toiletries. The buffet breakfast is good value for London. I wax expecting a continental breakfast but there was everything from bacon and eggs to fresh fruit salad and croissants. Breakfast served from 6 am if you need an early start. I looked at other budget groups and there were always extras if you want to check in early or leave your luggage at the hotel on day of departure if you aren't leaving until later in the day. It is located close to Brick Lane and Petticoat Lane Market and it was only a 10 minute walk to Tower Hill although there is a frequent bus route to the centre and Aldgate East Underground is just across the road. The only downside was dinner in the restaurant. The price was good but the food was not particularly appetizing although the service was prompt and friendly.	
Sep 26 2009 	Fairly Functional Central London Hotel	I stayed at this hotel for one night while on a business trip to London.The hotel is fairly convenient for Liverpool Street Station as took me just over 10 mins to walk. The hotel lobby was bustling with people going in and out and check in was quick and efficient with a very friendly receptionist. I was able to prepay for my room which meant that in the morning I could just drop off my room card and leave.My room was a twin and was a decent size. The furnishings and decor were nothing to write home about but were perfectly acceptable. The bathroom/shower pod was a little strange but the shower was really good and I guess it's a neat design for maximising room space. There was a good flat screen television.My room was on the first floor and I think faced the back of the building as it was very quiet for it's central location, I can imagine rooms on the other side of the hotel could be nosier as they would face the street.Overall this was a functional no frills central London hotel.	
Sep 25 2009 	PRICE ok QUALITY ok	Very nice, good rooms, good service, underground station is near this good hotel.	
Aug 30 2009 	Pretty good	Plus points :-Very close to Aldgate East underground (2 min walk)Eastern European lady at check-in was very nice and efficientRoom spotlessBathroom pod was great, very nice showerMinus points:-Don't expect much of a view, lots of building works close byTraffic noise means windows have to be closed at night (lots of angry London drivers out there)At £89 on a Saturday night, just a tad expensive.Overall if you can put up with the lack of a view and some traffic noise then this hotel is great.	
