	Great service top class cleanliness and and central location	Stayed at the Imperial midweek for a couple of days in November. Perfect location for visiting any part of London's West End, we were going to the theatre and shopping. Hotel reception cosy and relaxing. Staff were superb ( repeat superb) throughout, always hepful and polite. Twin room on third floor overlooking courtyard was large and had good quality lighting rather than the 40 watt bulbs provided by other hotels.Breakfast of hot and cold food ( all you can eat buffet) served to about 10 am, staff come around with tea and coffee which stops the buffet area getting clogged up.Very clean hotel and we would definitely stay here again. by the way the rooms are not air conditioned but you do not need that in London anyway.	
Nov 26 2009 	A bit overpriced but a great location	This is a bit old fashioned hotel located in a very convenient location. As usual it is overpriced like everything in central London. I have stayed there in end November, 2009 for a tourist visit for 3 days in a twin room along with my wife. Although it was a twin room, we joined the beds easily (the beds are roller beds but comfortable) to make it a double bed. I will say it is a decent one for an expensive city like London, where rooms are small but clean, and toilets with shower and hot water, good English breakfast but limited choice and same menu every day, nice surroundings with lots of affordable restaurants to eat out. In my case toilet and shower area were completely separate, on either side of the passage in the room, bit unusual and uncomfortable but I am not sure if it is same for every room or not. The rooms are equipped with tea/coffee making services and a small refrigerator. Staffs are in general helpful and cordial. The best thing about this hotel is its location. It is centrally located on Russell Square in Bloomsbury area, with a two minute walk (5 min with Luggage) to underground station and close to bus stops connecting most of the London. The station is on Piccadilly line, with a direct connection to Heathrow (1 hour journey by underground), which I found great. The major tourist attractions are also close like British Museum (5 min walk) and Oxford Street (10-15 Min walk) and very well connected through underground. Remember the hotel is not air conditioned, therefore, please check if you are going in summer time. I had no problem in during my visit in November.	
Nov 20 2009 	Try to look for somehting better ...	On the plus side the rooms were clean and functional, if a little basic. The staff were friendly and helpful and doing a good job in what is a sub-standard hotel. The location is excellent but don't get a room overlooking Russell Square - while the view from upper floors is great, the noise from traffic is unbearable. Windows are very draughty and the heating has two settings - off and cremate. My room showed signs of forced entry, which doesn't inspire. The wireless network was broken and the tv had limited channels and was a bit small. Breakfast was a bit poor. I'd personally not stay again but I guess, at a push, it is ok for one night.	
Nov 15 2009 	Impressed with whole package	Stayed at Imperial over August Bank Hol. Used as a base for sightseeing and theatre. Very well placed for the visits we planned; only 1 stop from Kings Cross and a short walk from Covent Garden. Taxi to theatre to see Jersey Boys cost £8 -cheaper than I expected!! Hotel reception lovely - dated but lovely. Staff were very helpful, polite and attentive. They advised on approximate taxi fares, tube stations, places of interest. They offered to call a taxi to save us the effort of hailing one and a taxi appeared very shortly afterwards. Room was on 5th floor and was a good size. Bathroom very well appointed, great deep bathtub for soaking in! Lovely lounge at the front of the hotel on the first floor.Breakfast is served buffet style in second floor restaurant. Very swish room, but again dated. Food was fine with a great variety of eggs, usual cooked English breakfast fayre, cereals, juices etc etc. Help yourself to as little or as much as you wanted. Hotel was busy with the majority of guests attending Rugby League final.Only gripe was that our room overlooked a lovely courtyard which was also shared by the casino. We were disturbed late at night by thoughtless individuals shouting and screaming and arguing when leaving the casino - obviously they'd not had a good night at the tables!! However this was not the fault of the hotel so couldn't really attribute blame to them. Would I stay here again? Most certainly. If you are looking for a budget hotel that is clean and with a bit of character and old style charm, conveniently situated in Central London, this hotel is for you.	
Nov 14 2009 	Perfectly Adequate	Very good for a budget stay in central London. Here's the bottom line:Location - Right across from Russell Square, a block from the British Museum, and around the corner from the tube station. It's on the Picadilly Line, so you can get here directly from Heathrow in about an hour. The Hotel - Dated, spartan common areas. Hasn't been updated since the days of Austin Powers, and he wouldn't have stayed here even then. Mediocre institutional English breakfast that seemed to tickle the fancy of the middle aged Continental tourist groups here.Room - Surprisingly good for a single. And I do mean a single - imagine a standard European hotel room, and then cut it in half. A little stark, but decently appointed, with IKEAish furniture and a small flat screen. A small single bed, which probably wouldnt be too comfortable if you were over 6 feet. New bathroom with a real shower and full tub with real water pressure (yes). The hotel fronts on a busy street, but the back of the hotel looks over a courtyard of sorts, which serves as the parking lot and front of a 24 hour casino. That's sounds worse than it is, but if you have a room on that side, it is relatively quiet at night.Price - This is one of those &quot;the price is the price&quot; places - They have them posted on a permanent plastic sign in front of the hotel. So if they want to change the price, they have to order a new sign. (I think it was about 78 pounds for a single). I booked from their website and they even threw in a voucher for a free dinner the first night. (You get what you pay for, but it saved a few quid....) Not as cheap as many of the places on Gower Street, but I think a decent value for a high price low value hotel city.  Some reviewers on this site have complained that the hotel does not meet expectations as a business hotel, and I would agree with that assessment. All in all, I would stay here again, but I wouldn't bring the wife.	
Nov 2 2009 	Would not go again in a hurry	We stayed here for 2 nights B&amp;B &amp; the first nights evening meal. Unfortunately we decided to use the hotel nearby for the evening meal a big mistake. The President Hotel is in the same group of hotels unfortunately the reception staff do not understand English &amp; the restaurant staff have no idea of what customer service is. We were shown to our table &amp; had to wait 15minutes to get someone to take our order even then only after we complained. After we had eaten our main course we then had to wait a further 30minutes to get someone to take our order for dessert. Our daughter wanted vanilla ice cream but they had run out we were informed they had strawberry but when this came it was more like a frozen strawberry yoghurt even I could not eat what they laughingly call ice cream. We saw another couple leaving the restaurant after there meal who advised the restaurant manger the service was &quot;Diabolical&quot; after this couple left the manager &amp; a waiter could be seen laughing about it. My wife went to reception after our meal for a complaints form but the receptionist had to get somebody else to deal with this as she was incapable of understanding English to a reasonable standard. All of the problems I have stated here relate to The President Hotel which is attached to The Imperial Hotel. The staff in both hotels are mainly of oriental origin which I have no qualms with but would expect them to be able to converse in english to a reasonable standard.	
Oct 27 2009 	GOOD VALUE FOR PRIME LONDON LOCATION!	As a frequent visitor for over 40 years, London has never failed to disappoint with shabby, outdated and often unclean hotel rooms in the value price range. So the Imperial was a pleasant surprise! Clean recently updated rooms with full bath, pleasant and helpful staff, and a fun bar/restaurant with late hours for after the theatre. I agree with others that the included breakfast needs help! For the price and location, the Imperial offers good value and is a solid choice. I would stay here again which I have never said about any London hotel before!!	
Oct 24 2009	Faulty towers gone large	I stayed here for 4 nights and in all honesty wouldn't recommend it to anyone. Firstly the staff were unhelpful and unfriendly. I have never seen such a &quot;dated&quot; hotel in my life. I actually call it Faulty Towers gone Large. The room itself was clean enough but the bedding was not comfortable, the beds have wheels so be prepared to roll every time you move, the toilet and bathroom are seperate (just weird) and the noise from outside was hurrendous (bring ear plugs). There is no wireless despite the hotel claiming to they have it. Bring your own towels too as they arent very generous with the towels and you'd be lucky to get anything bigger than a hand sized towel. The breakfast was appauling. The scrambled eggs are powder made and the toast was soggy. It was also difficult to get tea and coffee served as the staff seem to be doing everything but serving guests. Also you cannot take your key out of the hotel it comes on a metal wand like thing which is just annoying. The only positive about this hotel is the location. Be warned this hotel is not up to standards it claims and it is overpriced for what it is.	
Oct 24 2009 	Good service but my breakfast was horrid!	I like this hotel. There are a few things that irritate me, but I have to remind myself that on our last visit we stayed round the corner in a terrible B&amp;B, the room didnt have a tv etc etc, so to say this is £20 more expensive than the ultra budget london b&amp;b's it is fantastic. LOVED: nice little TV, large desk / dressing table, free WiFi, Room service very good. Staff very very helpfull and good choice of bars etc within the hotel itself. Good storage, 2 wardrobes. DIDNT LIKE: Only 2 towels? One each, not the usual at a hotel surely? Also the pillows were like pancakes... the toilet and bathroom are very small and clautrophobic. The breakfast. We payed the £2 extra to have it delivered to your room. Im not usually fussy but oh dear! I dont know if its possible but the eggs were obviously some kind of frozen ones that they heat up, the sausages terrible! The coffee was good though.The thing is... for the price and location these negatives are more than acceptable and I would return.	
Oct 22 2009 	Great	Visiting from Canada. Stayed for 10 nights. Very clean and comfortable. Breakfeast no variation but good. Staff friendly and very helpful. Bathroom spotless with a great soaker tub! Lots of restaurants and services nearby. Russell Tube convenient.Thoroughly enjoyed our stay.	
Oct 16 2009 	The Imperial saved out weekend!!	The hotel we had booked on line was dirty and unsafe and we took a risk walking out at 10pm with nowhere to stay - it was also the end of London Fashion We ek and really busy. Round the corner was the Imperial - reasonable rates, nice rooms, fabulously helpful staff, great bar, good food, great weekend.	
