	By far surpasses ANY hotel that I've ever stayed at!	I had the great fortune of staying at the Intercontinental Park Lane Hotel, London, over the last 2 days. I was there for a Medical Conference, and my stay at the hotel (as well as the cost of the conference) were paid for by Abbott Pharmaceuticals (as a 'Thank You' to me for helping to produce a drug protocol). The Conference was being held at ExCel; this is 10 stops on DLR and another 5 on underground - so I left the Conference grumbling at the distance that I had to travel to get to the hotel! Well .... I would have travelled twice the distance for this hotel! I arrived at Reception at about 7pm, there was no horrible queue for check-in, and I was met by a smiling face from the lady who booked me in. She made absolutely no reference to the fact that I was being given a luxury suite - just simply gave me my room (suite) key, informed me that it was on the 1st floor and then asked if I required anyone to carry my bags. I declined the offer of a carrier (my bags aren't posh, so I didn't want to be embarrassed!) and took myself up in the lift. I have to say, I did wonder why the door said 'Spa Intercontinental' when I got there, but was so exhausted that I just threw my body through the door. As I opened the door I expected to see exactly what one finds in every other hotel - a bed close to the door, a tray near the door with a kettle, and a trouser press etc. But ..oh no. What actually greeted me as I opened the door was opulence!! Shining black tile floors, gleaming wooden doors. I put the light on, still not sure what I was looking at, saw that there was a door in front of me, assumed that the door to the left was the bedspace - but, again ... no ! It was a stunning walk-in wardrobe, with bar-area prior! There was a loo as large as a standard downstairs toilet-area at the 1st closed door. And then .... I opened the heavy double-doors that were facing me, to find the most ENORMOUS bedroom, beautiful bed, curved sofa at one end, chaisse-longue at the other. Glass finishings everywhere, and, just when I thought I'd seen it all, another door to a HUGE bathroom with illuminated Spa, wet room with rainforest shower and another loo! The view from both windows were of ParkLane Picadilly and Hyde Park (where they had a splendid German Xmas Market!) One of my main reasons for writing this review is that I have stayed in lots of places in my lifetime; I've been to stunning 5-star hotels in SWitzerland when skiing, and all across Europe, the Americas and the wider world. All hotels have professed to probably what they aspire to, but none have quite delivered, in my opinion, what they profess. The Intercontinental seems to play the descriptions down! I know that I wasn't expecting an opulent stay (was only on a 3-day conference for work after all!) so my expectation was fairly low; however, since I've returned home I cannot find a description of the Spa suite on any website! The room, incidentally, is No 106. I really was so very lucky to have it, as I believe that the Pharm Co had over-subscribed, therefore this was an upgrade. However, it seemed to me that the wonderful staff took enormous pride in ensuring that I had a stay which matched my luxury stay thereafter! There wasn't a grumpy face amongst them! The lovely ladies who offered 'turn down', the very cheerful Kimberley who sorted out my extra night - (!) Yes, I stayed on and the hotel staff saw to it that I remained where I was ! I was HUGELY impressed with the night security man, John. I had an unfortunate temporary 'loss' of my handbag in the bar one evening and he was there like a shot, despite there having been no incidents at the hotel before. He scrutinised the CCTV and found my bag for me; all the while remembering to be the perfect gentlemen (he DID tell me that he is ex-military; - however I think his impeccable manners are a credit to his personality, rather than to his military background, as well as to the hotel) Oh, by the way, the bag was only mislaid - by me of course!Finally, on Wed 25th Nov, and after my beautifully relaxing illuminated Jacuzzi in my bathroom, it came to my ever-so-reluctant check out , and I could not believe that the lovely lady behind the desk (wish I'd got her name - I think she is French) not only offered to help me carry my bags outside, but also insisted on leaving her post to come outside and walk me to the end of the road where she could show me the Tube Station! Never before have I had such care and attention and yet, as I say, have stayed in high quality hotels all my life, generally for skiing and leisure.I am highly impressed by this wonderful place and would give my eye-tooth to return one day. However, sadly, don't think I'd ever be able to stay in the Spa Suite, room 106 again! So all I have are my memories!Thank you Intercontinental Park Lane for your unmatchable hospitality. I would love it if you could put some pictures of 106 on your site, as it , and your great staff, really does you proud!Kind regardsLouanne McCabeWinchesterHampshireUK	
Nov 24 2009 	Classic Hotel Ruined By Modernisation... Poor Value For Money.	I've been an IC Ambassador for many years including the top tier Royal Ambassador.Prior to the upgrade / modernisation the hotel was classic in appearance but not such that refurbishment would have been required immediately, indeed by doing so much of the charm of the hotel has been lost into the builders skip and in all honesty I really can't see major improvements other than room upgrades and some aesthetic changes in the lobby area.What strikes you is the change in management style, it is obvious new management have been brought into the hotel to match the new modern appearance whom are nothing more than impolite and arrogant. To be clear with you all, I am writing this review after my third stay at the hotel since refurbishment and have stayed there quite a few times prior to the closure a few years ago... There are no welcoming smiles and no invites to the club lounge, you get exactly what you are entitled to a one level upgrade and there is no discretion at the reception which you could stomach if the rooms and hotel itself were very special, but they just are not... particularly at the rates they charge which are nothing short of an attitude being, &quot;...well we know these rich cats will pay so lets cream the sods...&quot; and I for one have started staying elsewhere in London.As a comparisson I stayed in Intercontinetal Miami for three days after this stay and it was night and day, so the problem isn't the IC group it's just this hotel whom in their own minds seem to think they are a little bit special.My suggestion, save your money and stay closer to the town in comaprable hotels of quality and style which are numerous. The IC London has been outclassed before it was ever even finished with the refurbishment... a truly sad waste of a hotel.	
Nov 22 2009 	Great hotel and location	We stayed at the hotel to go to the Patriots@Buccaneers game. I have been to London many times and it's always the same thing: very expensive hotels and small rooms. But this time it was different. We stayed 4 nights: 3 nights on a friends&amp;familiy rate (135 pounds) and one night through Priceline (130 pounds!!). The room we got was big, certainly for London standards, and very comfortable. We had a corner room looking out over Hyde Park. Even tough that means a lot of traffic, we didn't hear anything.Beds are great, bathroom is wonderful (loved the shower), and the room was just great!Breakfast was good (buy it in advance, saves you 50%. Which helps because otherwise it is ridiculously expensive). We didn't have dinner at the hotel (BTW, the Hard Rock Cafe is around the corner, if you're into that).The bar is small but ok.The lobby itself is small, but then again, it gives a 'cosy' atmosphere to the hotel.Location of the hotel is excellent. You're right next to Hyde Park. Exford street is 10 minutes away, Mayfair is next door, Buckingham Palace is 10 minutes away, as is Harrods. And the subway station nearby as well. So, location-wise you're ok here.A special thanks to the concierge: he got us reservations at Fifteen, even tough it was full. But even better: we found out that Monty Python was going to play at the Royal Albert Hall during our stay. I'm a big Python fan, so I wanted to go there, but of course it was sold out. I asked the concierge if he could do some magic and guess what: he got us tickets at face value. And they were excellent seats!!! Perfect!!All in all a very pleasant stay!	
Nov 19 2009 	Lovely Hotel wonderful service	I stayed at the Intercontinental recently and have to comment on what a lovely stay and warm welcome I received from the staff.Having had a long day on the road I arrived very tired and flustered where I was greeted at reception by Dominic who obviously on seeing how stressed I was made me feel very welcome and kindly upgraded me to a suite.The room itself was lovely very luxurious and quiet with quite possibly one of the most comfortable beds I have ever slept in. There were good quality Elemis toiletries in the bathroom and everything I could have asked for.We ate in the Italian restaurant in the evening and the food was delicious, the service was very quick without being rushed and for a London hotel I thought it was very reasonably priced.The one thing I do have to comment on in particular is the staffs willingness to help. When I arrived back home I realised that I had left my glasses at the hotel and after experiences at other hotels assumed I would never see them again. I couldn't have been more wrong the staff went and found them for me and had them posted back within days at no cost to myself. This is a 5* hotel worthy of the accolade, I would not hesitate to return and strongly recommend you give it a try.	
Nov 17 2009 	Beautiful location good restaurant	We were happy with the location (close to great shopping, eating, and sites of interest), the staff were helpful and the amenities at this hotel were good, particularly the Cookbook restaurant. The room was also well-equipped and tasteful.	
Nov 17 2009 	WOW! Make your own mind up.	I read the reviews on here before we went and so was prepared to be dissappointed. How wrong I was, this hotel is fantastic, especially if you upgrade to the club lounge on the 7th floor. I took my partner for a romantic weekend break and we were both overwhelmed with every aspect of the hotel. The staff were very friendly and helpful, the room, whilst compact, was well appointed with a very comfotable king sized bed and lovely big soft pillows. The minibar was well stocked (I know it expensive, but hey, you only live once!). Its also close to Hyde Park underground so wonderfully positioned for exploring. (5 mins walk to Buckingham Palace). I don't recommend many things but put this on your list of places to stay!	
Nov 16 2009	Ab Fab!	I have just come back from a weekend in London staying at the Intercontinental Hotel on Park Lane and just wanted to say what an abolutely fantastic hotel this is. I am used to staying in 5 star hotels and realise that expectations are high however I have to say the Interconti exceeded them.... the reason... the staff and the service! So many times the big hotels are faceless however this couldnt have been more different. Nothing was too much trouble and never have I found everyone to be so friendlt it was teh same whetehr is was reception, the doorman, concierge, the restaurant or housekeeping. They actually seemed to take pleasure and pride in their jobs which is rare these days. It isnt cheap but then you get what you pay for - or in the case of this hotel you actually get what you only hope to receive. We didnt eat in teh main restaurant but I did sample breakfast in both the cookbook cafe and the lobby lounge and both were outstanding. I cant recommend this hotel high enough.	
Nov 8 2009 	Very nice stay would recommend	We had a very good stay at the Intercontinental Park Lane.We arrived very early and our non smoking room wasn't ready, but we were given a card to access the club lounge and as we decided to go out for a walk we left luggage at the reception and we were asked for our mobile phone number to call when the room was ready.We had just sat down in Green Park when we had a call to say the room was ready, keys just needed to be collected and luggage was already waiting in the room.The superior room we booked was very large with a nice view, bose sound system and B&amp;O TV.As the club lounge was something we added on I wanted to be sure vegeterians would be catered for, so I contacted the lounge in advance.The staff were very helpful and not only arranged vegeterain options for us, they called to confirm a time when we would like the canopes to ensure it was fresh and when we arrived we were waited on with the vegeterian options bought over to our table along with as many alcholic drinks that we wanted.The following morning's breakfast in the lounge was very nice, lots of buffet options and also hot food. We opted for the waffles and they were very nice, but word of warning the waffles are huge, we made the mistake of having some buffet food before the waffles arrived.All of the staff we encounted were very pleasent and couldn't do enough for us.I would definately recommend this hotel to others.	
Nov 8 2009 	excellent location good breakfast	Got a good price on a room for two nights in November. Booked with last minute dot com. Great location, service was good, breakfast both mornings was excellent. On criticism of the hotel was that room was a little on the small side... had a room facing an inner courtyard, possibly one of the cheaper rooms called &quot; classic room&quot;. Rooms facing Park Lane looked bigger. Twin room, but with only two small single beds... not the usual 2 x double which you get in places like marriott... however got a great rate on the room, and overall though it was a very good hotel in an excellent location. Would stay here again.	
Nov 7 2009 	Good but not great	Always a good choice with a great location. However, I always feel there is something missing. Sort of vanilla feeling about the place. Good choice if you find a fair rate but not so special to splurge.	
Nov 1 2009 	Very happy stay at Intercontinental	I've stayed 1 night and I must say I was really happy I did. Hotel location is great, next to Hyde Park and Green Park, close to Mayfair and Picaddilly Circus and next to bus stop, tube station and Hard Rock Café London.Staff was very nice to me and helpful. Can't compain about the service. Easy check-in and check-out and concierge service very convenient.The room I've booked through their own website was on 5th floor and was with a Hyde Park view. It was large, with comfy King size bed, non-smoking (as requested), B&amp;O flat screen TV, desk, sofa/chair. Marble bathroom was well appointed and luxurious with power shower and large towels.The only complain I can make is that there's no free internet access in room and Business Center access was with a fee. This should be included in rate as other 5* hotel do!Housekeeping woke me up twice from 7.30am as I didn't put the &quot;Do not disturb&quot; sign on the door.All in all, I can highly recommend this 5* hotel if you can get an affordable rate.	
