	On the slide	This hotel is on the way down. We have been going for several years and it started off as a great value find. Time passes and standards slip. Dirty towels, disinterested staff, no staff on Reception...no sense of Service	
Nov 18 2009 	Decent hotel very quiet area	I stayed at Jury's Inn Chelsea in November 2009, I thought the hotel was good although it was in an area of London that appears more commercial than residential at present. The rooms were basic but clean, I had booked a single, the room had both a double and a single bed. The flat screen TV had a good selection of channels. The bar was OK and had a few guests in it until late. Walking around the neighbourhood I could not find anything open by night (and it didn't look like there was anything to open by day for that matter).The new Imperial Wharf overground station has just opened up, this is less than 100m from the front door of Jury's Inn (the building across the courtyard from the station entrance backs onto Jury's). Day train services were fine, evening services were patchy though, some waits were as long as 25 minutes between trains. It is only a single stop to West Brompton Station (District Line) or about 3 stops to Shepherd's Bush (Central Line). It is a zone 2 station and the London travelcard is valid on this line.Hotel was good value for simple accomodation, make sure you can live with the evening train timetable though.	
Nov 15 2009 	Superb value - Ticks all the boxes	I occasionally have to stay in London on business, this hotel has become a fairly regular haunt for me, I have stayed in quite a few!!The location is not necessarily it's main selling point, however this has now improved apart from getting the normal taxi or bus, there is an overland train very close by which takes you to West Brompton tube station. This is a new conveniently situated station.Sometimes I have to take the car, luckily a good secure car park is close by.The overland destination for the train is Stratford so for the Olympics in 2012 this hotel is a must place to stay.The rooms are comfortable, the staff unintrusive and very polite, I cant praise the 'value for money' aspect enough.The only criticism was the full English Breakfast, it was appalling, (Jurys please read this and improve it!!) The food items were cold, not ,not, good.However I will continue to stay there but probably not when the Olympics are on because this hotel is going to be very very busy.	
Nov 3 2009 	Great Value for Money in Chelsea	We stayed at the Jury's several times with our children and are back again with another family in December. Yes this hotel is fairly basic but what value for money, great location, parking a 2 min walk away, enough space in the family rooms and our children always enjoy the buffet breakfast. On the rare occasion we have encountered a problem, it has been dealt with quickly and efficiently.	
Oct 30 2009 	FANTASTIC ! hotel on a budget !!!	It was our first time in london,on paying for a cheaper hotel deal i thought &quot;you pay for what you get&quot; HOW WRONG WAS I !!!!we had a lovely family room with a BIG bathroom (wasn't ready in time,but we went out sightseeing). staff were very very friendly and helpful with directions.Requested extra pillows were sent up to room in 5 mins.ate in the bar everynight very reasonable indeed.i would return there again for another trip in the future.C2 bus stop and overground train around the corner,very handy.A trip switch plunged us into darkness one night in our room and the key didn't work on another night but staff were quick off the mark with help,added to the fun !!The only few niggly things were (and doesn't put me off visiting again was that some of the bar staff spoke little english,which was frustrating when ordering drinks,one actually cursed under his breath when we sent back a flat coca-cola and another i saw swept the restaurant table with a floor broom !!!(as a chef with 25 years under my belt ,not good practice !!).But on the good side a waiter called sandeep shetty (think thats right ) worked most of the days in the hotel and was brilliant helping serve us and a new member of staff, who had just started he is a credit to your hotel.I HAVE NO HESITATION IN RECOMMENDING JURYS INN CHELSEA !	
Oct 29 2009 	Good value; out of the way location	My husband and 2 grown children were in London recently to see the NE Patriots play at Wembley Stadium and to go to a Chelsea Premier League match; we got a great deal at Jury's in Chelsea with a British Airways package. We arrived at the hotel at about 6AM and the front desk clerk was kind enough to allow us to check into our rooms immediately. We were able to rest and shower and by 10:30 we were ready to go and explore London. That little bit of rest and clean up after our long flight made a huge difference in how we felt the rest of the weekend! The hotel is equivalent to a Hampton Inn or Holiday Inn Express in decor, but it was clean and the rooms were a decent size for the UK. Internet is about $15.00/day. Breakfast was OK, but the one dinner that we had was just fair.The main drawback was the location - the new Imperial Wharf station of the Overground is right across the street, but the trains do not run often enough. And, we were coming back to the hotel on our last day and the station was announced as the next stop, but the train did not stop; we sped through the station and we needed to take a taxi back to the hotel from the next stop.The Fulham Broadway stop of the tube is a good 10-15 minute walk, and after a day of walking all over the city we just grabbed a cab back to the hotel from there. There aren't any restaurants or places to shop within a close walk. In a few years, when the area is developed, it will be a great place, but for now, I think I would rather be someplace with more to access right from my &quot;home base&quot;.We found most of the staff to be quite helpful. We realized that our room phone was not hooked up and the desk clerk came up immediately with a screw driver and fixed it.We love London and plan to come back, but will probably stay somewhere else closer to a tube stop.	
Oct 9 2009 	stay if the price is right	We'd stayed here in February 2009. The place is pleasant and quiet. The outside exterior looks nice.The room was okay but furniture, upholstery, and equipment were a bit old/stale. The elevator seem slow. The coffee pot was dirty and coaroded. The people were friendly but did not go out of the way to help. We asked for directions but I do not think they are well-versed in where to go for certain destinations. For the price (2 for 1 specially), the price couldn't be beat especially with free breakfast in our package.There's not much going on around the immediately until chelsea piers opens.	
Oct 8 2009 	Great Staff and very Good Hotel	I have just returned from a two-night stay at this hotel as I was attending my daughter's wedding. I can say that the staff were extremely helpful and polite when helping me arrange taxis for lots of people on more than one occasion. The hotel is clean and bright and our room was fine - comfortable and, best of all, quiet as the grave during the night. Breakfast was great with plenty of choices and good hot food. I would recommend this hotel to anyone staying in London especially as a new overground station has just opened next to the hotel. Parking could be an issue as the hotel doesn't have it's own car park and it could be relatively pricey to park at the nearby public car park.	
Sep 22 2009 	2nd time here enjoyed the first time round more!!	Me and my partner stay at Chelsea a week or so back for the second time, but it wasnt the gem of a place as before.Check in wasnt as friendly as last time. Seam as if they were more interested in something other than ourselves. Bedrooms was the same as before. Got a nice corner room, 528, Big bed and lots of windows. So this was a bonus. We still had our print out of the local area and what to do from last time we stay, which leads to saying that it was a shame Gary no longer works there as it was him who took the time to print these for us and the directions were and still are great.But still had a great time seeing the sights again.We dined in the Restaurant this time which the food was good but service was lacking a personal touch. I think the girl who served us spent more time in the Kitchin than she did in the Restaurant. But what came out of the kitchin wasnt nothing to moan about and would dine here again.The bar was quiet, as no football this time, and the barman, Jose i think his name was, was really great. Was friendly and always on the ball when it came to service. Some of the other members of staff should take note from him !!!Other members of staff that we bumped into were all friendly except one rude guy (i think he was indian). Couldnt be bothered to help when we tried to ask him something and on check out the same guy left the poor girl on reception (sorry cant remeber her name but she was blonde) on her on when there was a long que of people.Other than that, i still like the hotel and am looking at other Jurys to stay at when going to other parts of the country.	
Sep 11 2009 	very disappointed all round!!!	receptionist was polite but so slow, the room had an old vomit stained carpet and was right next to the lift on the 3rd floor, all night then from the early morning we had noisy drunks then early travellers using the lift, we ordered a meal from the bar.....only a sandwich each but still took 45mins to arrive at 1100 so not even at a busy time! on checking out we spoke to the duty manager about our stay, he shugged his shoulders and said well someone has to stay in the room!!! unbelievable!!!to top it all, I asked for the bill to be settled using my switch, i've just now found out that the cost was taken from this card then credited as it was then debited from my visa which i reserved the room on! I'd never recomend or stay in one of the groups hotels again.	
Sep 3 2009 	GoodClean And Friendly Staff.	Me,my mum and my son (14) stayed here for 2 days 26-28 August and was very pleased with Jurys inn.The room we stayed in was spacious and very clean and comfortable.the staff was very friendly andi t is about a 10 min walk to Fulham Broadway tube station.will be 100 % staying here on my next London break.	
