	5 star staff	After travelling for 13 hours from a trip abroad i decided to stay in London for the night. I looked online for a hotel near Angel station and this one was the nicest one i could see in my price range. I arrived at the hotel at 10:15 am with the intention of just dropping off my case as i was well before check in time. After mentioning to the staff that i have just been on an 13 hour flight they found me a room and let me check in so i could get some rest and freshen up. I felt they went that bit extra which made my day. The room was lovely, very spacious and clean. It had everything i need and was very comfortable at a very reasonable price.	
Nov 24 2009 	Great location average hotel	I chose to stay at Jury's hotel in Islington because of the location. The hotel is very close to the tube station &amp; there are lots of great resturants/shops etc located nearby in Upper Street.This was the first time I have stayed in a Jury's hotel. I thought it was a little basic, similar to what you would expect in a travel lodge, however I would most definetly stay again. I paid £370 for 3 nights 2 people B&amp;B through travelrepublic.com.Reception staff were very good &amp; check in very swift. Our room was available on arrival at 10am - a big thumbs up! The room was clean, but the bathroom a little shabby. The shower, as mentioned in a previous review, isn't great, but does the job for a short term. Ladies beware - the hairdryer does not do the job at all - its next to useless! Make sure you bring your own. I did ask at reception if they had a handheld one, but unfortunately not! The bed was a little hard, but i think complaining about it is being a little pedantic!There was a good choice at breakfast time, however we found the food to be quite bland. There was a delay in food being replenished, which was a little bit of an iritant.I would definetly recommend this hotel, as long as the price is right &amp; your expectations aren't too high!!	
Nov 17 2009 	Good for groups ideal for stag/hen or friends	Date of stay November 13th-15th 2009There were around 20 of us staying at the Jury's on this particular weekend. Certainly the hotel is ideally placed 200 yards from the Angel tube on the Northern Line just one station along from King's Cross.Check in on Friday around 5pm proved smooth, decent sized room, flat screen Samsung TV set, toiletries for use in the bathroom were of good quality (shower gel, conditioner) In our room, a double and a single, and in other friend's rooms this was repeated so Jury's are certainly geared up for the party booking trade.Relatively quiet environment too, as our room faced the back courtyard.Facilities on site seemed reasonably, had to laugh at the vending machine which dispensed essentials such as razors, playing cards, toothpaste, toothbrushes! Breakfast at the weekend is a leisurely affair, serving until 11am (certainly very much appreciated on a stag weekend!) as was the 12.00noon check out time, thumbs up to Jury's for this. The self service Breakfast room was slightly crowded around the peak time. Foods on offer were excellent, with a great selection of continental and traditional cooked foods, breads, cereals. However, some of the foodstuffs did run out and took a few minutes to be replenished by the staff during the very busy periods which resulted in a couple of queues. Plus be warned, the normal tea bags are already placed in the pots, so don't do what I did and hunt round where the selection of around 12 other flavoured teas were!Staff were generally friendly, certainly very efficient. For our booking, the room cost £190 for two nights, certainly very affordably if 3 are sharing.I would visit this hotel again.	
Nov 11 2009 	Disappointed	Having prevouisly stay at Jurys in Watford and Liverpool, I was looking forward to staying at the Islington hotel on business. However I couldn't have been more wrong, from the outside the hotel looked grand and welcoming along with the reception. Howver once i enter my room, i felt like i have entered a hotel room back in the 60's. The room certainly was not what i am use to with the Jurys brand. Firstly I was a young women travelling alone and they located me a room on the first floor, which is not the normal policy for the hotel. Secondly the beds had no sheets on them, the bathroom sink was dirty and had a cracked in and the bathroom was shabby and old. Finally the gap under the door was concerning. I could see peoples feet outside my door and could put my hands under the door on top of one another 4 times. Being a young lone women i found the gap under the door concerning. I was told at receptoion that there was no more rooms on either nights i was staying and haad to make do with the room i had. Also i was told that the bed was made up to hotel standards which i know was incorrect. The staff at the hotel was adverage until they found out while i was staying at the hotel they could not be more helpfull however i still had t make do with the room.	
Nov 9 2009 	Shabby but cheap in London terms	I stayed here for three nights last month. The room I got was small and shabby. Although I only paid 79GBP per night , I felt the overall standard of the room to be less than that of a travelinn, or even an Ibis. I had a mail from the manager saying they were planning a refurb, but I still thing the whole experience was a bit poor. I was awakened at 6am by the receptionist asking if I had ordered a taxi. I can only guess whether he phoned every room in the hotel asking the same question.I would be reluctant to stay there again, but would try the Hilton at Angel, or travelinn Euston instead.	
Oct 26 2009 	Overall hotel was good but 'seriously' lacking in room security.	The location was good for sightseeing and shopping. The rooms were nicely sized and clean. The breakfast was generous with a wide variety of hot and cold choices to suit all tastes and very fresh. These are the best reasons to stay at this hotel but the main reason for not returning would be the 'serious' lack of room security that we experienced the day we checked out. This was sadly disappointing as it spoiled our stay at the hotel and our overall visit to London and would not encourage me to return in future.	
Oct 26 2009 	Excellent vaue for money	I was sceptical of this hotel at first as the reviews on this hotel made me think that the Jurys Inn Islington was an average hotel. However I was not disappointed. Lets get the minor negatives out of the way first:• You don’t get biscuits in your room• You don’t get an iron in your room as standard (you have to request one from reception)• The Mira showers lacked any serious power• The decor of the bathrooms and the corridors were very green &amp; basic but very cleanThe positives:• The hotel was very close to Angel Tube station on the Northern line• There were plenty of shops , restaurants &amp; bars including a Weatherspoon's in case you wanted to eat out• The rooms themselves were of a very high standard in terms of size, decor &amp; cleanliness• Each room had Samsung LCD TV’s with all the freeview channels on• The bar had Sky sports• The food standards in the bar &amp; restaurant were excellent &amp; all respectably priced. Although my employers picked up the tab for my 5 day stay, no matter how hard I tried, I could not exceed £25 on my evening meal bill despite having a 3 course meal &amp; two drinks• Breakfast was £8.50 per head buffet &amp; they did a good range of English hot &amp; cold food• Hotel check-in and check-out is lightening fastIf I ever visit London again I would certainly consider bringing my family here as this hotel provides great value for money without feeling you have compromised.	
Oct 21 2009 	Very comfortable	Having stayed here briefly last month, I booked for four days through Lastminute. I have nothing but praise. As promised, we now get many Freeview channels and there is SkySports in the bar. There is a large comfortable lounge if you need more space. I slept as well as I ever do and the hotel was always clean and fully functioning. Good water pressure and a very acceptable breakfast buffet as part of the lastminute deal. I will definitely be booking in here for my next visits to London. If you like good thin-crust pizza, find Pizzeria Oregano down a lane off Upper Street.	
Sep 24 2009 	Meets the brief for a business trip	Welcome was friendly and a request for a quiet room granted (I got one at the back as opposed to the front which was over the road - although the double glazing would probably have coped.The room was standard business class, broadband available at a small fee, spacious and comfortable. The bathroom needed updating however. It took a wet towel and a lot of effort to turn the shower on (maybe a strong armed bloke may not have struggled as much as I did!). There was a strange doorstop (aka trip-hazard) in the middle of the floor but I managed to avoid it!The hotel has a restaurant and bar but no room service which is a pity as I would have used it. The breakfast buffet at £8.50 is reasonably priced for London and seemed to offer a comprehensive range of breakfast fare. All in all, the hotel is good value for money, particularly considering the central (ish) location not far from Kings Cross.	
Sep 22 2009 	Good for the money.	I stayed in this hotel with my boyfriend on a siteseeing trip to london. I know the area of islington very well, and this was the cheapest hotel availible. It was £90pn B and B on laterooms.com. In terms of value for money, the room was very clean and tidy and the breakfast was a fantastic hot buffet affair. The Reception supervisor when we checked in was very helpful - we requested to pay for the room up front in cash because I didnt want to be walking around with all that money in my purse - this was not a problem. They also had a secure luggage room for us to put our bags in until we checked in.My only quip was when we were checking out and the Trainee Receptionist was dealing with us. I presented my receipt from check in and was told that we were on a £95pn deal and we owed another £10. Having only budgeted a certain amount for travelling home - I was horribly embaressed. I asked for my room key back and went upstairs to bin hoke for my confirmation letter which I had thrown out thinking that i didnt need it. After all the hassle, when I came back down to the lobby she told me everything was okay. I just think it was a situation that could have been avoided, it made her look incompetent and me look cheap. As a receptionist in a hotel myself, I know the importance of having staff on the desk who know what they are doing, personally I think check outs should be supervised.All in all though, fab hotel with Angel and Kings Cross tube station nearby. I would stay there again.	
Sep 20 2009 	Adequate for our needs	This hotel is nestled away in Islington not more than 5 minutes away from the Tube station Angel. Our visit was short and sweet with us staying 2 nights at this hotel. Our room was adequate for our needs, but it didn't blow us away. It was a rather dull room when the lights went on, not representative of the photos posted on Trip Advisor which are very bright.We stayed on the 2nd floor of this building - which in itself is of no consequence, but we did detect on every time we exited onto this floor the strong smell of TCP/ disinfectant. This smell didn't continue into our room, but we always wondered where this odour came from.Although the hotel says it comes with Satellite TV beware as this consists of less channels than you would get on a normal free-view box! - 5 terrestrial channels, Sky 1, BBC News and TMF (music channel) - not exactly what I was expecting.The bed was pretty good and the sheets nice and soft, unlike some hotels where they can be like cardboard.We were pleasantly surprised to find that our room had a large bathroom, which is rare for a centrally located London hotel. The rooms are also serviced with Wireless internet, but it's not free. ~£5 per day to use these facilities - which isn't all that good when there are many hundreds of free wireless hotspots about the city.Breakfast was a bit of a joke for us, when we got downstairs on morning 1 we decided to go with the continental breakfast, rather than upgrade to the cooked breakfast for a further £2.50. There was plenty of cereal to be had, but the pastry counter was a bit bereft of any savoury goods. There were some mini croissants, but no danishs or other goodies to be had. Morning 2 we decided to go elsewhere for breakfast.All in all this hotel was perfectly functional for us to get to and for us to tour the city. Its convenience to the tube sold it to us when we booked this trip ages ago. Its only downfall in our eyes was the breakfast for us, but in itself it is not a deal breaker as there are plenty of eateries open very close to the Angel tube stop.	
