	Excellent Hotel in a great location	After much research I chose to stay at the K&amp;K while in London on business and sightseeing and I was not disappointed. The location is roughly 150 yards from the Earl's Court tube station. I relied heavily on mass transportation on this trip. The ExCel convention center is a bit of a trip and takes a little over an hour to reach but the South Kensington area is so much nice than the area around ExCel. I also used the train system for a number of trips to meet with clients. The connections into Victoria and several other stations were all very easy from the Earl's Court tube station.It is quiet. The hotel is a block off the main drag. In addition, you can get a room that overlooks a courtyard. There was minimal noise from the city or from within the hotel.The room was small (typical for Europe) but well designed. The internet was free (although they do not have wifi to all rooms so you may need to connect via cable).The bed was comfortable and the bedding new.The bath is well designed with plenty of light.The staff was very attentive. We were on their case early as a package had not arrived as scheduled. They dealt with our concerns professionally and notified us promptly when it arrived. When they learned that we were also scheduled to stay at a sister hotel in Paris they phoned ahead, confirming our reservation and ensuring that we were well cared for. A class act!I really enjoy the hotel location. There are a wide range of restaurants just a few feet from the hotel. We did not use the restaurant at the hotel but it looked clean and was very active in the mornings.I will stay at this at the Hotel George again.	
Nov 15 2009 	Stylish and comfortable	We booked this as a package with airfare via Virgin Atlantic. Location is excellent - one street back from busy Earls Court Rd., tube station close by - and amenities (free Internet, small but stylish room) were just right. Caters to business travelers, strong German influence, great buffet breakfast. Very affordable as a package deal.	
Nov 15 2009 	Great breakfast nice rooms very well located	We spent 4 nights in this hotel, together with our friends. We think it was expensive, but well worth the money we paid.We were always early for breakfast, which was ideal. Not to crowded, very good service, very friendly. Also our welcome by the reception was good. Only less friendly guy was the barkeeper.Rooms were very nice, bathroom was functional with great walk-in shower, all very modern and in good condition. Beds were good.Television was OK, but no limit to the volume which we experienced when our neighbours felt like watching TV until 1:30 AM! Only night we had trouble sleeping.Hotel George is ideally located. Very quiet in the evening and morning, and still very close to Earls Court Underground.	
Nov 9 2009 	Very pleasant stay	Ideal location. Tube just round corner. In walking distance to V &amp; A, Natural History museum etc. Breakfast really good, overlooking a lovely garden. Wouldn't recommend the bar food but there are plenty of eating places close by. Rooms were very clean. Although bathroom is very small it has everything you need. Strangely low toilet though, seems to be at child height. Would definitely stay here again as so handy for travel and so clean. Only decaf in my room though...for 4 days, but hey, I could have asked.	
Nov 8 2009 	Hotel Great Welcome not so Great	We have just returned from a two night stay to attend an event at Earls Court. Unfortunately we had a disappointing first impression as we actually didn’t feel welcome. I excitedly handed over my booking reference to reception but she immediately dismissed it and asked me for my name instead in a very demanding manner. I instantly felt unwelcome and my excitement diminished. I gave her my name and she processed our booking, again, in a very mechanical, unfriendly manner. She wasn’t rude as such but she wasn’t welcoming either. We were in a family room which met our needs completely and we didn’t have an issue with space at all. The wardrobe had plenty hangers and the safe was handy and easy to use. The bed was huge and very comfortable. We did have to request extra pillows as we were provided with just one each and there was not an additional one in the wardrobe as stated. The extra pillows were on our beds for our return that evening. We had two very peaceful nights although we could hear the man next door breaking wind in the morning which was a bit off putting!The bathroom is small but has everything you need and was very well equipped. There was ample surface space for toiletry bags including a handy shelf under the sink. They even had a pull out washing line to help dry off your towels. The shower was lovely, great pressure, heat and ample space although there didn’t appear to be an expelair which was strange.We experienced no problem with housekeeping, the room was spotless and the staff very friendly.Breakfast incurred a slight wait for a table but the service and choice were fine. The only slight gripe I would have is that we had to ask for tea/coffee to be served and even then it took a while. The problem seems to be that the servers also have to clear the tables, they are so busy trying to keep the queues down that they don’t have time to keep up with tea/coffee serving. It would be more efficient to have staff assigned to each of these tasks as we have experienced in America.Location is fantastic especially if attending Earl’s Court as we were, with ample choice of eateries. We ate at Zizzi (Italian) which I would highly recommend and is just on the next street to the hotel.For me the TV was fine but my 14 year old was disappointed with the channel choice and the fuzzy screen for some channels.Checking out was slow and frustrating due to the fact the receptionist answered the telephone whilst dealing with us and was held up for some while, however she apologised and proceeded with our checking out.All in all the hotel is fine but I just couldn’t get that first unwelcome impression out of my head and for that reason I would not stay here again, which is a shame.	
Nov 4 2009 	Champagne breakfast marks this out	Following an efficient welcome from reception staff we went to our small yet adequate room. It was clean with free wifi and mini-bar. The public areas were well decorated and the car park was clean. The buffet breakfast was as you would expect with the addition of a bottle of bubbly should you wish which was a nice touch.	
Oct 31 2009 	Okay but nothing special	I stayed here for one night with my mother as it was closer to where we usually stay to where we needed to be that night and we were quite taken in by the champagne breakfast.We stayed in an executive room which was small but quite nicely layed out with a nice desk area near the window overlooking the garden. The beds were comfortable and we had no trouble with exterior noise (apart from a man snoring in the room next door but I suppose that is unavoidable!). Also nice to see so many global TV stations on the TV.Sadly the reason why we chose this hotel, the champagne breakfast, didn't quite live up to expectations. The breakfast room is far too small and there was a large queue for breakfast. Whilst there was quite a large selection of food to choose from, most of it wasn't covered up and so the croissants and some meats were cold. I also couldn't help thinking that with all the people reaching across the buffet table that hairs etc. would easily fall into the yoghurt and cereals below.The staff were quite friendly and helpful. I might stay here again if they have a deal on.	
Oct 28 2009 	Great location comfortable hotel quiet	Very quiet location in lovely neighborhood but only 1 block from restaurants and shops and underground station. Room small, but adequate and quiet. We had a bath with no shower, but our friends had both. Breakfast room much too small - there was always a line to get in. Breakfast was copious and excellent (buffet).	
Oct 27 2009 	Nice well located hotel perfect for a city trip	We were in this hotel with our teenage daughter. It is perfectly located in Kensington near Earls Court tube station. The rooms are small but very sensibly equipped. You get what you pay for. Nice bar. The receptionist service is average friendly but helpful.	
Oct 25 2009 	Excellent hotel	I have just returned from a one night stay at the K&amp;K. We were at the Chelsea game and wanted to stay over. I booked this hotel with Airmiles and paid aprox £114 pounds for a double room with buffet breakfast.We arrived at 12 md and just wanted to leave the bags-not expecting to get into the room but were pleasantly surprised to be able to. The reception staff were polite, helpful and attentive.The hotel is a 2 minute walk from Earls Ct tube and in a quite back street. The recpetion and bar were very clean and very smart and the overall feel was relaxed but high on service. There was complimetary tea and coffee in reception. The hotel was fully booked. Internet use is free and there were several stations dotted around. The room was small but very well laid out with tea/coffee, safe and mini bar. The bathroom was again small but spotless and new. There was an excellent walk in shower and plenty of toiletries and for once decent sized towels.The bed was comfortable and you could open the windows. our room faced the beautiful garden which really is a rarity in London.we had a few drinks from the bar and these were typical hotel prices but served with some care. The buffet breakfast was excellent and offered all you could want. All the staff were great.Position wise this hotel is very good. there are many restaurants within a minute. Lots of chains like masarla zone and waggamama and many independants from Japanese to lebanese. There are also many pubs and bars.We have stayed at many of the hotels in Chelsea and think this one really was better for value and convenience. Will definitely be going back.	
Oct 17 2009 	Great Hotel	We stayed here for 5 nights in Sept. The front desk and restaurant personnel were all very friendly and willing to answer questions. We had a standard room with a queen bed. The room and bathroom were very small, however, both were extremely clean. Good water pressure in the shower. It was quite, not a lot of noise in the hall. Breakfast buffet was included in our room price. The buffet was very good. Lots of choices and wll stocked. We were very glad we picked this hotel and definitely stay here again. It is close to the Earl's Court tube station. There are many very good restaurants in walking distance to the hotel. There are 4 computers with high speed internet in basement and 1 on the main level. All are free of charge. The only downside to me was the bed. It was not comfortable for me, however, my husband had no complaints. They restocked the bathroom amenities every day.	
