	love this place	Great hotel, staff lovely, great gym and food is cool. Not cheap.	
Nov 22 2009 	Miserly grasping hotel with no concept of service. Avoid.	EVERYTHING costs extra. Staff are not empowered to help and most (&quot;Max&quot; is the exception) are casual beyond belief. The duty manager laughs if you complain. The breakfast chef can't poach an egg without making it rock hard. You can't get a wake up call within 20 minutes of the time you asked for it. So many guests complaining (it seemed like every time I went past the front desk someone was agitatedly complaining, usually about being ripped off or being charged for something they hadn't expected to be charged for), so much stonewalling. People running around the hotel at 4am shouting loudly, no effort by staff to quieten things down. Room keys don't work, we and loads of other people kept having to get the re-programmed. In-room internet stopped working after 20 minutes. Fitness centre hours don't suit working people and are more restrictive than other London hotels I have stayed at. This place pretends to be hip and chic but it is actually dowdy and pretentious. A rip off. Probably the only hotel I have ever stayed at (from backpacking to 5 star) that I would never stay at again, either business or leisure. You have to really stand your ground not to get taken advantage of. I have never written a negative review of a hotel before but this place really is a greedy disgrace.	
Nov 9 2009 	No way it´s 4 star hotel!	We stayed there for 3 nights and I would NEVER go back. Our double room was so small that one had to stay in bathroom, so other could move around. No lights, exept night table lights. In breakfast room/entrance lobby you actually have to point to food and order that piece by piece over the counter, no access to food etc.	
Nov 9 2009 	Not very impressed trying to be trendy but missing the mark	Not a very good location by Shepards Bush station, weird people handing around the hotel at night. Room was dark and tired looking, in room internet did not work and they never tried to fix it in the 3 days I stayed. Most of the staff could hardly speak english so it didnt help much. They forgot to clean my room on the second night, breakfast is small &amp; limited to brown bread or brown bread. One nice aspect is the bar area open till very late and got to meet some friends to lived near by as most of the bars close by 11 during the week. Short walk to the tube stop and has a big shopping centre close by and some nice pubs if you seek them out.	
Nov 2 2009 	Very nice!	We booked our 3 night stay at very short notice and were given a great rate through the hotel. The room was very nice with a very comfortable king size bed. Bathroom was great though the extractor fan didn't work very well so the bathroom was constantly fogged up. We had an issue with the TV and it was fixed immediately. Sent something out to be dry cleaned and received back same day. Very nice, friendly service. Close proximity to Westfield, great restaurants and tube station. Hotel located in quiet residential street. The hotel's bar in the lobby was filled with people every night, though we didn't hear any noise at all.The spa was being refurbished so unfortunately the jacuzzi and sauna were closed. We didn't have breakfast in the hotel, however there were many options close by including the Westfield restaurant strip.Great stay overall and would happily return next time we're in town.	
Oct 30 2009 	Surprising	Stayed at K West with friends for a shopping weekend. Ideally placed for the fabulous Westfield centre with shops and restaurants galore. Only 5 stops on underground to Oxford Street if Westfield isn't enough or if you want to do tourist type things.The hotel has nice rooms but I found the decor in the corridors dark and gloomy and littered with room service pots. Continental breakfast is served in the bar area on the same level as reception and this only has low tables and chairs so you need to have your breakfast on your knee. Bananas seem to be on ration too as only managed one on one morning out of three! The area where breakfast was also became messy very quickly with crumbs from muffins and croissants on furniture and the floor from earlier customers.In the evening the bar area is busy but some strange behaviour tolerated by staff, people lying on sofas with their feet on the furniture and my friends and I were accosted by a &quot;lady&quot; who appeared to be a local resident who comes in there because it's the only place open and tells anyone who'll listen her life story while she waits for someone to buy her a drink!Surprised too when going to use the gym to be told there was a £10 charge as this is not mentioned either on the website or in the in-room information. Needless to say a brisk walk was taken instead!	
Oct 13 2009 	Fantastic staff and generally a great hang out	I stayed at the k west hotel and spa for 5 nights last week for my five year wedding anniversary. I booked the room though a third party, so the rates were more than reasonable. The room we stayed in was a regular double, and it was a nice size with a bath tub and lots of natural light. The reception staff decorated our room with balloons and wrote a lovely card congratulatiing us on our anniversary. All staff reception, bar, restaurant, house keeping - were SO hepful and friendly. We will definately be staying here again and would recommend this hotel to anyone young/old, staying for business or for pleasure.	
Oct 12 2009 	This is a great London Hotel - highly recommended	Could not believe the size and overall comfort of the room. Has everything one needs, wi-fi, big flat screen, iron, tea &amp; coffee making, huge bathroom - list goes on. Needed to be in the area to meet family and had a added bonus of the new Westfield Centre across the road. Am not shopper but the area offers quality dining and bars. Great tube access on the central line.The rooms and service offered here is far superior to the poor value for money closer into town, so the little extra travel time into central London is a small price to pay. Am very pleased to have accidently stumbled across K West.	
Oct 10 2009 	Spacious Rooms and Good Service	We recently stayed here for a week visit to London. It was difficult finding the hotel the first time, as it is on a quiet residential street, but it is very close to the Shephard's Bush tube station--which made it a breeze to get into the city. We arrived early and they were happy to store our bags for us until we returned (a service that many 4-star hotels in the states charge for). The room itself was quite spacious, particularly for London, and the maids kept it nice and clean. The only odd thing about the room was the shower stall in the bathroom, which was about 4 feet off the ground with a half-door that tended to drip water on the floor. It wasn't terrible, just a bit strange and slightly inconvenient.The staff were all quite helpful whenever we needed anything, and quite accommodating. The continental breakfasts were adequate and a nice perk for saving your travel money for other things (but yes, it's a continental breakfast so it's not huge--but still filling). The drinks at the bar are overpriced, but as others have mentioned there are plenty of off-license shops around where you can buy your own wine or liquor. Finally, the room-service and restaurant food was very good and exceeded our expectations for hotel food. We would definitely stay here again.	
Oct 6 2009 	Average Hotel for a city break	The hotel map that was given was not very helpful at all. It took asking a few people to get to know where we were going. The hotel is nothing special. We were early for check in, but they took our bags off us, while we went to olympia conference hall for the day. The room was clean and tidy. The only gripe i would make, is that for breakfast you have to eat in the lobby not my ideal of eating a Continental Breakfast, scrunched over a little table. The drinks are expensive, but plenty of shops near by to buy it in.	
Sep 25 2009 	What a lovely  camp stay	Having recently split from Tony, Gary and i decided to spend some time in London with our new Chums , John and Will. What a great time we had cavorting in the spa and having many sensuous experinces. The hotel catered for our needs and provided as many towels as requested. We did have one complaint against the noise from our room, But as explained if a group of men cant enjoy a game of yatzi whats the world coming too.Great Hotel AAAAA+++++Thanks D &amp; G	
