	Will always check here first when staying in London	This was our second stay at the London Elizabeth and we will definitely look into staying again. There is no denying that it is tired and shabby in places but it is only chips and cracks. It is clean and comfortable and has such character. Our first room was quite small but we must have been happy with it as we booked again for our next London trip and our room this last weekend was spacious with two armchairs, fireplace, desk and wardrobe. There was street noise this time but it didn't really bother us. The room was too warm for me but most hotels are (there was air conditioning but we didn't turn it on). There are no tea or coffee facilities so we took our own travel kettle etc, there is no fridge but we found a ledge outside the window to put the milk on. The location is brilliant, (google it, it has street view), bus stop outside, seconds away from Lancaster Gate tube and minutes walk from Kensington Gardens, few more minutes from Hyde Park. We (in our mid fifties) easily walked to and back from the Royal Albert Hall (takes about fifteen - twenty minutes). All staff we met were friendly, check in staff were brilliant and very helpful. There is a lovely pub just around the corner called The Swan. Breakfast comes with the room and on this occasion the bread rolls were stale, but you do have cereals, tinned fruit, yoghurt and fresh blueberry muffins. There were croissants, pastries and some brioche but we didn't have those so can’t comment on the freshness of them. I should add that the breakfast last time (end June) was much better. Both times though, for two of us, with breakfast it didn't cost £80 for everything and at that price (in London) it is a bargain. If you can afford to pay more, maybe you should do so, but if on a budget, I would definitely try this.	
Nov 24 2009 	Lack of security	I stayed for two nights late sept 09. While attending a meeting in London on the 30th I decided to leave my laptop in my room on the 4th floor. I placed my laptop in the bottom of my suitcase under my clothes. On returning to the hotel around 8.30pm, I found my laptop had been stolen. No forced entry to the room indicated a ' inside job' however this was strenuously denied by the hotel management.The owners and management were unhelpfull in offering any recompense for my losses other than an offer of £100.00 and a free nights accomodation, after some badgering they relented and refunded the cost of my stay. So my £1500.00 laptop is no longer. Warning do NOT leave valuables in this hotel.	
Nov 17 2009 	Staff is so pleasant I would definitely come back to this hotel	The staff really made the hotel great. Very friendly and accommodating. Cute bar, right across the street from the Lancaster Gate tube station and the park. Room service was prompt, tasty and not too expensive. Would stay again - thanks to my travel agent for booking it.	
Oct 20 2009 	A fine old hotel	I stayed in the Victorian room.The room was spacious.Large by London standards.The free internet was great and the free continental breakfast was filling.The front office staff were great and very helpful.Good senses of humour and exemplary attitudes.The location of the hotel is very convienient within walking distance of paddington station and overlooking Hyde Park with Lancaster gate underground station 100metres away.Highly recommended.(Anyone can find faults in a hotel if they look hard enough.If you dont like traffic noise ask for a back room not facing the street)However if you want a reasonably priced hotel in a great location with excellent staff the Elizabeth is worth consideration.	
Oct 2 2009 	Good hotel room maybe bit small but excellent location	Me and 2 friends of mine stayed at this hotel in december 2006 after the christmas days.The room was too big but we could still move around the beds to our stuff. Bathroom was big enough.The elevator is so tiny!! I rather take the stairs with my suitcase then even trying to get into the elevator!Location of Hotel right next to Hyde Park and a subwaystation (With a much bigger elevator!) is spot on. Shopping isn't too far walking either.	
Sep 27 2009 	A good base for visiting London.	Regular visitor. All the staff we met were friendly and helpful. You get the impression they really want you to enjoy your stay. Convenient for Paddinton Station. Close to Hyde Park, many Camra pubs, bus stops, and tube. (Ask for a quiet room).	
Sep 5 2009 	Fantastic taste of London	My partner and I stayed here in June 2009 for our first overseas trip together. After reading the reviews before we booked, I would have to agree that this hotel is great value for money. It's in a fantastic location, something my partner and I consider to be very important.It is literally across the road from Lancester Gate tube station which is more efficient in travelling around London then taxis.The hotel gives a lovely taste of London, however is not overly flashy. Our room was very small and quite basic. If you can deal with that then this is the hotel for you. The breakfast was also basic.If we were to return we would most likely stay again and I would definately recommend it to family and friends that were looking for accomodation that is reasonable but not 5 star.	
Sep 1 2009 	Think carefully before staying here ...	If you are willing to compromise on quality of accommodation for the location then maybe this place is for you. The bathroom was water damaged (complete with rotting wood around the hand basin, bath and bathroom door). We asked to change to another room and were told that they had only one other room available and the one we were in was in better condition. We were in room G19. We will be seeking a refund for our stay - it was extremely poor. Someone else mentioned Faulty Towers in their review - I agree absoutely faulty!	
Aug 29 2009 	I definitely recommend this hotel	Very cleanGreat location: Cross the street to Hyde Park, cross the street from the other side and you're in Lancaster Gate tube station, just a stop away from Marble Arch, followed by Bond Street and Oxford Circus stations.Professional staff, get advice on where to go and how to get there with maps and guides. Free Internet AccessWhen it gets warm, rent an AC This hotel is suitable for single people and families alike. It felt like home and I would definitely recommend it for the readers.	
Aug 15 2009 	Great location on the Edge of Hyde Park but small room.	We are a young couple in our mid 20's &amp; We stayed in the london Elizabeth Hotel for 1 week when we first moved to London from Australia. The hotel i located in a great location across the road from Hyde Park &amp; close to the Lancaster Gate Tube Station. the room was an awkward triangular shape &amp; cosy. the heating was good, bed was comfortable but we were bummed as their was no fridge. Other than that a nice spot. Small lift. Free wi-fi.	
Aug 3 2009 	Never Again	I was originally booked to stay 7 nights but checked out after only one night - and that was from a double deluxe room. I pity the poor guests in the standard rooms. On the plus side, the hotel has a great location, an average breakfast and the staff does try. However, the negatives far outweigh the positives. This old townhouse hotel has potential however the emphasis is on 'old'. Throughout the hotel the woodwork and paint are badly chipped, wallpaper is peeling, bed linens are old and upholstery is threadbare. The hotel is tired and and shabby - 'not shabby chic' and appears dark and a bit seedy. The lobby &amp; bar are both dingy and dark. The major issue, especially for someone traveling on business, is the poor internet service. It took hours to get online and required assistance of front-desk staff and external technician. Was told it was just my computer but I then saw others lined up in the lobby with their laptops also trying to get online. This hotel badly needs a serious refurbishment, upgrading and some general TLC. I could have stayed, but why, when there are so many nicer places to stay in London.	
