	stay somewhere else	We spent 2 weekend nights at the London Guards and could not wait to leave. The receptionist barely spoke to us when we checked in..we had to ask about breakfast times, check out etc. and were given one word answers. We stayed in a quad room that smelled like my grandmothers attic. Luckily our next hotel in Edinburgh had laundry facilites because our clothes all smelled musty. My daughter fell badly on a wet floor coming downstairs one morning (no signs posting it was wet) and the 3 employees who were watching didn't say a word or try to help. Unbelievable. The Lancaster Gate tube stop was also shut down so it wasn't even convenient. The breakfast was sufficient and the servers were polite. This is about the only positive thing I can say about this hotel. There are too many other options in London to stay at this hotel.	
Nov 18 2009	Best cost hotel in London	Its not the Ritz, but in my opinion the best value London accommodation. Larger than normal rooms which are clean, have tea/coffee facilites, a safe with breakfast included.	
Nov 1 2009 	decent	The hotel is in a great location. walking distance from Padington station. The room was clean and there was a fridge, but the shower was old and not the best experience. for one-two nights in a low price I would recommend, but not more than that.	
Oct 26 2009 	Safe location next to Hyde park	I would definitely recommend this if you are looking for a nice, quite, reasonably priced for the area, place to stay in London. The location seemed very safe for tourists. The rooms were large and clean. The continental breakfast was nice. It is close to the Swan Pub for excellant fish and chips. The steps to get into the rooms were quirky, but it was definitely better that I had been led to expect for this type of B&amp;B in London. I would definitely stay there again!	
Oct 20 2009 	Dissapointed If I'd Paid the normal rates	Easy to get to from Paddington Train and Lancaster Gate tube station and a stroll from Hyde Park, a few local shops and a Fullers pub. Arrived to a reception full of luggage and the guy on reception assumed that as I was within earshot of the previous guest that I wouldn't need to have the same info repeated when I checked in i.e that the bar was shut beacuse it was Sunday. Double Room on the ground floor was average size for a London room and it soon warmed up once the heating was on. Agree with previous reviews that the hotel/rooms could do with bit of TLC inc the bathroom and the portable TV in the room must have been around for a bit as all the symbols had worn off the remote! (thought a LCD TV was a given in this star hotel). Saying that the room was clean and laid out with fresh folded towells and toiletries in the bathroom. Not the quietest room (G3) including the fridge in the room which whilst useful did wake me up a few times during the night. Got a double room for £45 (against the £135 rack rate) which was a bargain through a Hotels site (via Trip Advisor) so the rating is based on that price and it was last double room available. If I'd paid the full rate, I would have given it a 2 rating and I'm not convinced staying longer than a couple of days would be a great experience	
Oct 16 2009 	Charm and character	We spent a week at the London Guard and had a great room on the top floor! This is an older building with wonderful charm and character. The beds were firm and comfortable and everything was clean. The lift worked and we didn't have to walk down miles of corridors to get to it. The continental breakfast was more than adequate including a variety of cereals, yogurt, fruit, toast and croissants. The staff were all very pleasant and helpful. Internet was available in the lobby for 1 pound for 30 minutes. We have stayed at several London Hotels and this is definitely the best for the money.	
Sep 20 2009 	London Guards is on guard for your comfort	Thank you to those whose positive reviews led me to this great value hotel a stone's throw from Hyde Park at Lancaster Gate. It may be a little worn, and the lobby may be navy blue and pink, but this is a very clean, honest, budget hotel with staff who are friendly and helpful, even after working a double shift...We booked a twin, and got an L-shaped room (301) with a double and a twin, tv, desk, and spotless bathroom with a bathtub. Towel rack heater in bath was a plus, as was the mini fridge. Paid 50 euros on Hotels.com.Breakfast, served in the basement, includes a great choice of cereals, toasts, and nutella. Orange juice is industrial-strength gut rot.Tip on flushing the toilets there - push the lever down hard, and hold...hold...hold.Coin internet, passable but a bit slow - there is a big internet café near Bayswater tube station.	
Sep 18 2009 	Great location - comfortable enough	We stayed at the hotel for 2 weeks - the breakfast had enough that you could go several days before it got boring. The location was awesome! One block from Hyde Park to start or end the day with a relaxing stroll. Close to Paddington Station to walk once you take the train from Heathrow.The room was nice and clean - and had lots of space for luggage and purchases. We had our own bathroom which had a tub with a shower.We don't really ask a lot of the staff at the hotel - clean the room and make the bed and we are happy. The front desk was useful the one time we asked for information.This hotel is great for having a great location and a comfortable place to sleep. If you are looking for a place to relax and spend lots of time in then not the place for you.	
Sep 13 2009 	Nice location old hotel can't complain	When we checked in the desk clerk couldn't find our reservations, luckily we'd brought our reservation confirmation and they were able to find us a room. Our room was very small and it had only one double bed for my wife, 5 yr old daughter and I to share. The carpets were stained and looked dirty enough my wife wouldn't walk around barefoot. The bathroom was small, but the shower had maybe the best water pressure I've ever experienced in a hotel. The rather cramped bed was comfortable.We liked that the room had a small refrigerator. The maids gave us fresh towels each day. At night it was very quiet. There is a complimentary continental breakfast.The best thing was its location. It is only a few minute walk to the Lancaster Gate Underground station and Kensington Gardens (which is a great place to take kids who are tired of sightseeing). From the airport it is a single transfer on the underground (from the Piccadilly line to the Central line) to get there. Notting Hill is 2-3 minute underground ride or a 15 minute walk. This puts stores and inexpensive restaurants nearby. If we go back to London we'd consider this hotel again but probably only stay here if it offered the best deal.	
Jul 30 2009 	Other reviews are accurate - I got what I expected.	I chose this hotel based on other tripadvisor reviews and I was not disappointed. I have no other experiences with London hotels, but it was pretty much as expected: clean but tired furniture and decor, a lift, plumbing that worked, a basic continental breakfast in the basement dining room, and staff that were reasonably pleasant and helpful.Our quad room on the ground floor (semi-basement) was next to the main airconditioning units which were noisy, and the bathroom was a bit musty, so we asked to be moved to another room, which they did. I think that this room was probably one of the poorest located in the building, so we were a bit unlucky. The replacement room on the first floor was excellent. Note that the double beds creak loudly and are a bit on the firm side. Very quiet neighbourhood, plenty of cabs down the street, great central location, and a variety of restuarants &amp; shops in close walking distance. Given the price and the age/style of the buildings, I thought this was fair value with no major annoyances or disappointments to spoil our stay of 6 nights..	
Jul 26 2009 	Ok hotel for short stay	The rooms are quite small, but most hotelrooms in London are. We had a problem with the room being a bit cold, no heating. The location is great, close to Hyde Park and Lancaster Gate station. For short stays this hotel is ok, but for longer trips I'd rather pay a bit more and find a hotel with larger rooms.	
