	3 nights...perfect...nowt wrong with this hotel	stayed for our wedding anniversarya great hotel....good bedrooms...great fym /pool...also thy now have a spa...for spa treatments....lifts were ok.......no probs at all........nice walks to primrose hill and regents park canal...nice parks in area for kids....playgrounds and stuff.....all nice and clean .......fresh towels everyday ....staff very good and friendly.....will defo stay again 10/10.....	
Nov 19 2009 	Excellent family stay!	Travelling with a 2 and 5 year old I'm always picky on where we stay but I have to say this hotel was great and I would definatly stay there again. The rooms had two big double beds and were lovely and clean. For breakfast there was lots to choose from which is great for the kids. We stayed on a Saturday night and on the Sunday took advantage of the swimming pool, we were the only ones in there! The location is very good, only a short walk to the tube at Swiss Cottage. Overall a very enjoyable stay!One more thing in the reception area there is a small disney tv playing kids movies which is great when your having to hang around in reception for one thing or another.	
Nov 17 2009 	Good Hotel	Me and my partner stayed here for the weekend and the Hotel is very clean and the staff are very friendly.We took a taxi to the west end because it was raining very hard and some to tubes were not running and it cost us £ 14.00, so not that expensive.Did not get a chance to use any of the facitilies so cannot comment. It is £25 per night to park at the hotel under ground parking.	
Nov 9 2009 	Enjoyed our stay - comfortable and good location just overpriced.	As other reviews have noted the hotel looks worn from the outside, but don't let that put you off, the rooms and the service are quite good, and the bed was very comfortable. We didn't use the pool and health club but they also looked good. My wife and I enjoyed our stay here, however, the hotel just missed the mark for the price they charge. It was little things like trays and other material being left for extended periods in the hallways, seals that didn't fit well on the balcony sliding doors, and bathroom fittings that needed a refurbishment etc. We also had access to the Executive Lounge, but it was one of the more basic executive lounges I have been in. The overall impression wasn't helped by one lift, out of three, being out of action for refurbishment. Light sleepers should also avoid the rooms on the Adelaide St side of the hotel. The traffic noise starts very early on weekdays.The hotel is an easy walk to Swiss Cottage tube station on the Jubilee Line so travel into central London is easy - although the line is often closed for all or part of the weekends. However, there is a good replacement bus service and also plenty of normal bus routes close by for travel to the surrounding areas.We didn't eat in the hotel, as nearby Finchley Rd had several cafes and numerous restaurants - we particularly liked Eriki (Indian) and Luigis - and only a few minutes on the other side of Finchley Rd was the Singapore Gardens and nearby to that the Arches wine bar and restaurant - which had a very extensive wine list. All an easy walk.	
Oct 28 2009 	Nice enough hotel but the worst evening meal we have had in a long time	Agree with other reviews on the good location (near tube) and typically nice Marriott bedrooms. Would add a minor gripe at the swimming pool - a local lady was having her child's private swimming lesson (?) in the pool so when our excited group of children jumped in the pool she took it on herself to shout at them almost before their feet had hit the water - it was half term so not her private pool and, God forbid, other people wanted to use the facilities!! Plus as we were supervising our children, we would rather have been given the opportunity to reprimand them ourselves! Not sure why this pool is being used for private lessons is my point?Aside from this, what actually ruined our stay was the evening meal we had in the dining room. We had returned from a long day out visiting sights in London and were looking forward to our family meal. The food was awful. The children's main course arrived before the adults food by a good 15 minutes. When our food did arrive, the mashed potato was from a packet, the Beef Bourguignon used tinned beef, the vegetables arrived 15 minutes before our main course and the service was awful. The fries that the children had were cold and from a frozen packet. For a hotel like this and at the prices on the menu you would have expected much more. We asked to see the chef who did come and talk to us and after initially lying about the mashed potato, did finally admit it was from a packet! We did get most of the food taken off the bill ......... not the point, we were hungry!	
Oct 27 2009 	Good clean hotel excellent location	This is the second time we have stayed at this hotel as a family ( 9 and 14 year old) last stayed 7 years ago. Pleased to say just as satisfied this time as last. Admittedly outside does seem a bit run down now but room was very clean and comfortable. Breakfast good choice of fine food. We all found plenty of choices to satisfy us. We stayed 3 nights (Friday - Monday) and never experienced any queues at breakfast (but we were there by 7.30 am!). Excellent transport links - Swiss Cottage tube station just minutes away and even when this was closed on Saturday only a 25 min walk to Chalk Farm tube station. Main reason for choosing this hotel was the parking and we were pleased to find plenty of spaces. All in all very satisfactory visit and will most definitely stay here again next time in London	
Oct 26 2009 	Nice location. Don't judge by outside appearance.	The thing about this hotel is location. It is perfectly situated about 3 minutes walk from the Swiss Cottage tube station. And if you are there on the weekend Chalk Farm (Central) is a short bus/cab ride away. If you judge this hotel by the outside appearance you will probably never make it inside. It appears to be a late 70's or early 80's design that has not been updated. However, the inside mostly meets Marriott standards. A nice restaurant and a nice little bar were right inside the door. If you are sensitive to strong smells beware. Whatever they used as air freshener was so strong I could smell it when I came around the corner from the tube station and only got stronger as I got closer. Very annoying but never bothered me once I got to the room. The room was pretty standard. Nice big king bed with comfortable sheets and comforters. Apples and water from the maid every day, and turn down service. Internet was fast enough but expensive (about $150/wk US). Exec lounge was average at best. Overall a B+	
Oct 11 2009 	Comfortable accomodations close to Swiss Cottage and Primrose Hill	I traveled with my 16 year old grandson and found the hotel had comfortable accomodations and was close to the Swiss Cottage tube stop and shops and restaurants. I liked being in a neighborhood rather than the center of the city. Part of the joy of visiting London is being able to use public transportation to get all over the city. We enjoyed the London Eye, Victoria and Albert Museum, Science Museum, British Museum and just walking around. Having a friend who lived 3 blocks away was a great plus..	
Oct 3 2009 	Good hotel but overpriced	We used the hotel to be located near family members for a party. Otherwise, we'd have stayed in the centre of London - probably at much less expense. I was really annoyed when the room rate came up at £118 - but then added tax - bring it to around £135 - unheard of in my experience in the UK. This didn't even include breakfast.The room was fine, nice and big with a balcony. However, there was a big gap in the patio door so it would probably be freezing in winter! Pool was fine, although changing rooms located quite a distance from the pool and you have to go down a set of narrow steps with wet feet which isn't an ideal situation, especially for kids. The underground line at Swiss Cottage was closed the weekend we visited for the development work for the olympics, so we had to walk to Finsbury Park - 10 minutes walk, although this did take you past quite a number of good restaurants. Overall, the stay was ok - but I wouldn't pay this much money for this hotel again.	
Sep 28 2009 	Outstanding Guest relation!	This is a nice hotel in a quiet street a little outside of the Center. For the Underground station is just 5 mins walk, you can reach the very center easily. The rooms are furnished tastefully, the beds are very comfortable and you'll find everything you need.On our departure day we had a problem with my luggage and the staff of the hotel, especially their manager on duty, did an outstanding job in helping us to sort it out. You'll only really find out about the quality of a hotel and their guest relation when there is a problem to solve, an the staff of this hotel was really top.	
Sep 24 2009 	Good Marriott Hotel	My sister and I stayed here on points for 3 nights while visiting London. Hotel is further out of the center of tourist destinations, the closest touristy thing is the London Zoo. However, the hotel is located less than 10 minutes walk from the Swiss Cottage stop on the Jubilee line so getting around wasn't difficult. Hotel room was as expected for a Marriott with comfortable beds. I did have Platinum status, so my sister and I were able to make use of the Executive Lounge for snacks, beverages, light h'or d'oeuvres and breakfast. Hotel staff for the most part were very welcoming...the only person that wasn't so welcoming was the elderly lady who set out the nightly happy hour h'or d'oeuvres in the Executive Lounge...she always seemed suspicious as to whether my sister and I should be in the lounge as we were definitely the youngest looking people who made use of the lounge. She always checked their sign-in book to see if we had signed in whenever we showed up, but never did it to any of the other people who entered the lounge after us. Overall a good hotel, can't say that it's one I'd definitely return to, but it's definitely a hotel I'd use as a &quot;back up&quot; if there isn't a better option available when I'm back in London.	
Sep 21 2009 	Best of many visits at this hotel	Having stayed here many times, this was our best visit. Staff very attentive, Executive lounge access enhanced our stay with excellent breakfasts, complimentary computer access and a place to unwind after a day's walking and touring. The room is comfortable, specially on the quiet side of the hotel. The hotel is well located for underground and bus access. We will return on our next visit to London.	
