	Fantastic Value/location	Stayed at the hotel Nov. 24 - 26 in room #8. Fantastic location for the hotel, the room was spotless and what really impressed my wife was the cleanliness of the washroom. The room was quite small by North American standards but all we did was sleep there. Special thanks to the guys at the front desk, you made our stay very enjoyable. We will be back...	
Nov 24 2009 	brilliant clean friendly family run hotel. Exceptional well worth the money	My friends and I booked the hotel, following the good reviews on trip advisor. We were very impressed overal with the hotel, First impressions were the hotel was immaculatley clean, and our room (a twin bedded room) was nice, modern, and clean, and with a re-furbished bathroom. The owners were very friendly and really made us feel welcome. This hotel is a little gem, and the owners should be so proud that they have built up such a great hotel. It really shows !! I will certainly be recommending this hotel to my friends.	
Nov 24 2009 	EXCELLENT STAFF - AVERAGE HOTEL	Yes I'm pleased that the Hotel was very close to Victoria station.Yes our room was very clean and bathroom was renovated though tinyYes I'm completely pleased that the staff was so helpful (even borowed us an umbrella!)But...there is always a but.Room was way small. We couldn't fit ourselves there.Room was in the back area, very calm, no noise but only a very small window it's not enough to feel comfortableBreakfast was average. Tiny glass of orangejuice, a slice of bacon and an egg it's not what you can say a full breakfast.I think with a small addition someone could find something better though London is always London and you don't know what you will get.I've booked because of the reviews I have read and that's probably why I had more expectations and now I'm a little bit dissapointed.Anyway I would suggest this Hotel as a budget solution, clean and friendly staff but I don't thing in anyway you can tell it a gem. Frankly	
Nov 22 2009 	The best little Hotel in Town	i chose this Hotel form recommendations off Trip advisor and I am very pleased that I did. This has to be the best little Hotel in Town .The rooms are like me, small but perfectly formed. The decoration is immaculate and the standard of cleanliness is exceptional. The service is excellent and the breakfast is just what you need to start the day. The owners, who have been in the business for forty years are exceptionally friendly and helpful and they have trained their son who is now in the business very well. They offer good advice on places to eat and the bus outside the door goes to Leicester Square in 15 mins or Pimlico tube is 5 mins walk away and Victoria is 10 mins walk. Flat screen TV in room has freeview and there is free Internet downstairs. I hate recommending this place because I am frightened that it will be full the next time I visit. It is half the price of the big hotels in the area and twice as good.	
Nov 22 2009	A London Gem	It is a great little hotel with friendly and helpful staff. They responded promptly to all my emails and we loved chatting to the owners at breakfast time. They really started our day off well with a friendly smile and good breakfast. It's not the full English Breakfast but it was definitely enough to get us going. It's very close to public transport (with a bus right outside your door that takes you to most major sights), but it was a little difficult to find, as the street changes names a few times.There is no lift which made it difficult with our luggage but I guess you only need to take it up the stairs once. And the room was very small - actually smaller than our room in Paris - but it was clean and the bathroom was modern and clean.We would highly recommend this quaint little, friendly and clean hotel.	
Nov 16 2009 	Wonderful owners homey and helpful	I stayed at the hotel this week with two 10 year old boys for a tour on London. We loved the hote, breakfast recieved rave reviews fromt eh boys, and the location of the hotel made travelling convenint. Most significantly, the owners of the hotel take a personal interest in their guests and are so helpful about directions, leaving luggage after check-out and their general warmth. We had a room with 3 twins in it on the main level decorated in lovely blues and yellows. It was quiet and secure. Free internet was helpful as well.We will definitely return to this hotel.	
Nov 14 2009 	Very good location fairly good value	Stayed here one night with my friend. The room was small but was clean and the beds were quite comfortable. The staff seem quite friendly but we didnt spend much time in the hotel as wanted to get out and do stuff and see as much of London as possible!Breakfast was served from 7 until 8.30 which means getting up early - but this wasn't a problem as we wanted to get up and head out sooner rather than later, if the breakfast had finished later this would only have made us lazy! The breakfast was fine, tasted good. you got either corn flakes or toast, 2 rashes of bacon, a fried egg and some beans. a tea or coffee and a glass of orange juice - my one criticism was the glass of orange juice was TINY!!! think they could probably be a little bit more generous there!The location is really good, the surrounding area is nice with a few pubs, and its literally a 5 minute walk from Victoria tube station.The stairs are pretty horrific but hey, at least it keeps the blood flowing!! We were in a room 3 flights up I think and after a day shopping it was a bit of a pain in the thighs. If you're unfit or struggle with stairs then I dont recommend staying here, or if you do make sure you request a ground floor room!!Oh and the tv was rediculously high up so it wasnt really watchable!I would probably stay here again as its convenient and quite good value. and the stairs will keep me fit haha	
Nov 12 2009 	friendly comfortable immaculate and inexpensive	This hotel was such a refreshing change compared to the huge tatty impersonal hotels I have stayed in previously while in London for conferences. Particular good points were the really comfy bed, the modern ensuite with very powerful hot shower and the cooked English breakfast which was waiter served. The location was quiet and I felt safe walking back to the hotel alone in the early evenings, there was a free computer with internet access for guests, and all the staff were very courteous. True, the room was not large and there was no lift, but the stairs are shallow and carpeted so that was no big deal even though I was on the top floor, and I wouldn't have wished to pay more for a larger room!	
Nov 11 2009 	GOOD SERVICE AND VALUE FOR MONEY	After leaving paris and Rome, my husband and i stayed at this hotel. As london is very expensive, we decided o stay at this Hotel. It is very good for the money. The staff are very nice and friendly and I found the rooms very clean. I would stay again when I am in London.	
Nov 8 2009 	A fantastic place to stay	Just back from a lovely trip to London staying at the Luna Simone. We booked this hotel after seeing the positive reports on trip advisor and can honestly say we are very glad we did. This hotel charges budget prices but delivers so much more. The hotel is in a perfect location which is quite and safe while being well served by transport including bus and tube. The hotel is in a very good state of repair and absolutley spotless. The room whilst small are fine and we had no problems with it. Good clean bathroom with great hot power shower. Breakfast was lovely, we had bacon, fried egg and beans with lovely fresh hot toast. Check in is normally 12pm but we arrived at 10am and was just wanting our bags to be minded until the room was ready, but they were already working at cleaning our room and had the room ready within 10 mins. The best thing about this hotel though has to be the staff. So often in London you do not receive a personal service, well not in the Luna Simone. The two owners were great, very chatty and would do anything for you. They really deserve the reputation they have got for there lovely hotel. The receptionist even helped us check in for our flights online. Will definatley be back again next time in we are in London.	
Nov 8 2009 	Don't get the raving reviews	Stayed here during a business trip as I needed easy access to Victoria station. Having booked pretty last minute over the phone, the person I spoke to (I believe it was Pete) and was told I had a room on the first floor.When I arrived I was given a dingy room with three single beds in the basement of the building with iron bars on the windows, which only helped to make me feel more uncomfortable. I complained, but was told the hotel was full.I only stayed for one night - and that was more than enough. Based on my experience, will not be staying again.	
