	Terrific Hotel-very pleased	I saw some of the reviews here and was somewhat afraid of what I would find, but what a nice hotel at a great value! Really a good neighborhood near the Kilburn Park tube stop and a short bus ride to central London on the 16 bus. Friendly staff, great breakfast, nice room, nice health club, what more could you want. Practical shopping district up from the hotel, with grocery store, Starbucks, pharmacy and restaurants. Eggy the concierge was very helpful. I would highly recommend this Marriott, and I travel alot and stay with the chain almost excusively.	
Nov 24 2009 	Great hotel!	Stayed for 3 nights in the Marriott Hotel Maida Vale. Easy to get to, less than 5 mins walk from Kilburn Park tube station on the Bakerloo line (about 15 mins in to central London). Nearby tescos express which was handy. Hotel staff were very helpful. The room was lovely, decent size, very clean, beds were made every day, large tv with some sky channels, tea/coffee replaced everyday. There was also lots of handy storage space. The room was slightly too warm when you first come in but with a quick burst of the air con it was fine. I really enjoyed my stay and would definitely go back.	
Nov 2 2009 	Reasonable - not great	It's a standard Marriot, with reasonable service. Reception staff though not always on hand. Executive lounge is weak, couple of wired internet connections only one of which is working. Otherwise there is an expensive in-room connection. Room itself was quite nice.	
Oct 30 2009 	Great hotel + ok location = great deal	We chose the Maida Vale Marriott because it was so much cheaper than staying in central London. It is actually really close (5 minute walk) to a tube stop that can put you in central London in about 15 minutes. For being half the price of a central London hotel, it had plenty of great amenities. The staff was great. The only real complaint I have about the hotel is the overzealous cleaning lady who knocked on our door at 8:00 a.m. on a Saturday morning seeing if she could get in to clean. The immediate location is nice, but there are some rougher neighborhoods nearby. You have to walk through a rougher area to get to the tube stop, but I never felt threatened going through there. The internet in the hotel is pretty pricey (6 pounds/hour, or 75 pounds/week), and you have to pay to use the internet at the business center. The complimentary breakfast is VERY English, so be prepared for some weird stuff if you are from the states. Overall a great value for staying in London.	
Oct 25 2009 	Mediocre 	The beds were just not fit for purpose! We stayed two nights,that was more than enough. Would not stay there again until they have changed all the beds!! The worst marriott I have ever stayed in and i'm a marriott rewards member. The reception were non commital when I told them.	
Oct 11 2009 	Good location	Just come back from a lovely weekend at this hotel, and have since read the previous reviews. We has a very nice time and, being just 5 min walk from kilburn park tube station, an excellent location. The staff were very friendly and helpful, and when we found our room a tad cold they instantly installed a portable electric heater. The only negative, and hence 4-star, were the Internet wifi charges; I do think a true 5-star would offer this as a complementary service (bearing in mind every thing else one is paying for...) - come on Marriot and make yourselves truely 5-star!!! Or you will become a 3 star...	
Sep 27 2009 	Worth it	This Marriott is located in a quieter area of London, only 2 blocks from a metro station. The staff were courteous and helpful, and the concierge was able to answer most of our questions. The room was a fair size, we were expecting smaller, and most importantly...quite sound-proof. We did not hear doors banging in the hallway, or people walking passed. We would definitely stay here again.	
Sep 8 2009 	A Great Hotel in A Great Location w/Great Value	I got the London Marriott Maida Vale at $88 per night via bidding on Priceline and now that I've returned from my trip, I couldn't be happier.It is a 4* hotel and was in a nice, quiet building. It had all of amenities you'd expect of a 4* hotel: shower AND bath (seems to be a rarity in many European hotels), as well as a hair dryer, refrigerator, in-room safe and shampoo AND conditioner (a rarity in many hotels worldwide, it seems - I hate combined shampoo and conditioner!). The hotel itself was in a very safe and quiet residential area and only about 2 1/2 blocks from the nearest Tube station: Kilburn Park.In some of the reviews, there was concern about this particular area, but I want to alleviate that. This is a nice, quiet, multi-cultural residential neighborhood. I never once felt unsafe or threatened (even as a solo female traveler walking alone by myself late at night) and I'm still confused as to why anyone would refer to this area as &quot;dodgy&quot; in some of the reviews. It is not. It's a good area. I liked it because it wasn't touristy. It's where real Londoners live and work (maybe that's frightening to some people). There are also plenty of shops around, including a Tesco and a Primark, as well as banks, and plenty of inexpensive places to get a meal. The hotel staff were more than accommodating and went out of their way to make me feel comfortable. The Italian restaurant on-site, Fratelli, was wonderful, too - the food was wonderful and the service was impeccable.	
Aug 29 2009 	nice hotel cozy convenient	We stayed at the Marriott last week for 3 days. We had a comfortable stay. The rooms arer nice and clean. Rooms are small, though. The location is very convenient. The hotel is really in Kilburn Park, it is a 5 min walk from the Kilburn Park tube station on the Bakerloo line. Very easy to get to central london.	
Aug 27 2009 	Quick break to London	Although it looks as though the hotel is quite far from central London, we found that via tube is was only 2 changes and 15 minutes from the very heart of the city. A taxi from the centre will cost approximately £15-£20 for those who don't want to crush on the tube at busy times.The hotel is very modern with a decent restaurant and bar, rooms are fairly spacious and equipped with the usual facilities.We found the hotel staff to be welcoming, polite and attentive. The extended breakfast times on a morning are a god send for those looking to avoid an early morning rise to beat the crowd.	
Aug 25 2009 	Satisfied our expectations.	We were forewarned that hotels are different from the US standards so we weren't expecting this hotel to knock our socks off. However, we were very comfortable in the bed and room. We were planning on doing lots of walking and enjoyed the location. We were able to walk to quite a few destinations with no problems, worries, or concerns. We were on the 6th floor and faced an apartment complex. Occasionally, we could hear loud vehicles drive by but we are from a big city so we are used to the sounds of city life. We took our 2-year old who makes traveling a bit challenging.Pros: Our flight arrived very early for check-in - we had to wait a short while to check-in but were able to do so 2 hours before the actual check-in time. (Good for jet lag).Pool was a nice option to take our little one to wind him down for the evening.Comfy bed, decent location if wanting to do some touristy sight seeing. We walked to Little Venice, Abbey Road Studios, Regents Park, and the London Zoo - to name a few.Close to a Tesco, Starbucks, banks to exchange money, and cafes.Cons: Not too impressed with breakfast buffet - especially for the price. The restaurant hours were not convenient.We would return to this hotel if we wanted a good night's sleep.	
