	Small but satisfying	After reading some of the negative reviews on this website, we decided to upgrade as we arrived at the hotel. The upgrading from standard double en-suite to executive double en-suite cost us £15 a night, and it was well worth the money. We were explained that the standard rooms were very small, with room little more than the bed. When upgrading we got a small, but rather nicely furnished bedroom, with a high double bed (with wooden carvings India style), with room underneath to stack the suitcases. There was a TV, a big Indian wardrobe, and a desk. Big windows facing Trebovir Road. The bathroom was small, but nice with tiled walls and nice equipment, and clean (!). The first morning the breakfast room was full, so we decided to have breakfast in a local cafe instead, but the next two mornings we ate at the hotel. Breakfast was good and plenty: rolls, bread for toasts, croissants, muesli, fruit, cheese, coffee, tea, juice, milk......Service was also good. Our room was not ready when we arrived so we left our luggage in the foyer, and on return, the luggage hade been placed in our room. The next morning we discovered that the electric kettle was not clean (probably some earlier guests have been warming milk or something in it) and when we pointed that out, the kettle was changed immediately.Some of the other reviewers complain about the room size. I quite agree, everything in this hotel is very tiny. The web side photos are almost real size photos! Tine reception, tiny rooms, narrow staircases, but if you're not planning to spend much time at the hotel, it serves your needs. The location is very convenient: 1 min from Earls Court underground station..	
Nov 22 2009 	Much Better Than I Expected!	I booked a standard double room at this hotel for one night with my partner. After booking the room, I came across this website and the reviews that it had received! Instantly I was concerned and was apprehensive about going. However I really shouldn’t have been.The hotel is in a brilliant location, mere minutes from Earls Court tube station and very easy to find. It is situated in a pleasant street; (with plenty of shops, restaurants and cash points all nearby.) We checked in with ease and received a warm welcome. The inside of the hotel is clean, tidy and well decorated. When we got into the room we were pleasantly surprised after reading other people’s thoughts - yes it was smaller than other rooms that you may have stayed in before - but again, it was decorated nicely, very clean, had a television and free view box, tea and coffee making facilities and a nice clean bathroom. For just under £80 in a prime location, I don’t think you could ask for anything better! A continental breakfast was included in the price, which is served at a reasonable time and in a designated ‘breakfast room.’ The food that was provided when we stayed was nice and there was plenty of juice and tea and coffee on offer. (The only negative thing about it, was that it is a small room and there is the feeling that you are sitting very closely to other guests.) I do agree that if you had a big suitcase with you, that it would be a slight problem because there is not much extra space in the room. Also I do agree that their website is not entirely accurate to the reality - particularly if you are staying in one of the standard rooms. However, if you are staying for a short amount of time, it is a perfect base and has all the facilities that you need. Finally, the price is key to what you are getting. In a prime London location to pay under £100 and expect a large room with lots of added luxuries is naïve - as long as you take that into consideration - I don’t think it deserves the criticism that it has received.	
Nov 8 2009 	Avoid like the plague..or you could catch it !!	Two of us booked a weekend stay here but went home early.We had been conned by the website and a glowing review from Conde Nast..The policy is to pay on check in with no chance of a refund.The room allocated was tiny,noisy and filthy.On complaining we were told that there was no other room available,but that we could &quot;upgrade&quot; the second nightfor a further £20.We actually booked the nearby Premier Inn instead on the first night,which was excellent and we will use it in future.The secnd room was marginally bigger than the first with a minute bathroom with hardly enough room to sit down,and was also grubby.Having been out shopping we deicided to go staight home and not stay the second night..On phoning up since we have been hung up on twice......DON'T GO THERE !!!!	
Nov 7 2009 	Enter At Your Own Risk If You Want To Be Ripped Off	Well where shall I start, the web photos are nothing like what you are going to get. My friend and I booked a twin room and what we got was a shoe box with noise from the trains and a view of a Corination Street back yard, six inches space between the beds, a very small TV on top of the wardrobe, stained toilet, broken grate in the shower and the tea cups were dirty.So we decided to complain (what a waste of time that was) very unhelpful, the housekeeper said the toilet was stained due to the toilet brush going backwards and forwards as she cleaned it (could not bring myself to look at the toilet brush) The broken shower grate was done by another guest so it was not their fault (at this point the housekeeper was showing my friend and I how the other guest broke the grate by standing in the shower with her shoes on pretending to have a shower. We decided to go and find another hotel as this was not what we expected to find having booked from the web site picturing lovely rooms on it, how wrong can you be, we got the broom cupboard turned twin bedroom. We asked for a refund so that we could go and find a decent hotel but the hotel operates a 48hour cancellation policy also taking full payment before checking in. We now know why that is, this hotel makes a living from taking peoples money and not returing it when there is a genuine complaint, this is easy money for them. We left and spent a brilliant night at the Premier Inn Kensington just round the corner ( I would fully recommend this hotel for a really great stay) We were offered by the Mayflower an upgrade for £20 for the Saturday night , we took this offer as the Premier was full but what a mistake to think this would be any better, the room was slightly bigger but the bathroom was smaller than the previous room with very little room to even sit on the toilet properly, this was the last straw and we have cut our trip to London short and come home. The staff at the Mayflower were very unhelpful and was not concerned we were leaving as they say they have never had any complaints before, I beg to differ maybe they should read their review. This hotel is no more than a &quot;DHSS Bed and Breakfast&quot;and to top it all my friends husband rang them up to complain only to have the phone hung up on him.that says it all about this place.dee and shaz	
Nov 7 2009 	MAYFLOWER IS HORRIBLE!	Do not believe the pictures. This was the worst hotel ever stayed at.. Bed springs stick out of bed and could not walk right all day. Next to train station and loud. Managment has NO concern for guest care and would not let us leave early!. Do not check in until you have seen the room!. Check for the heat in room if you can adjust. Check if toilet was clean (ours was not!!) horrible smell in room!! Horrible.	
Oct 24 2009 	Disappointing throughout! Avoid at all costs.	I was deceived into booking into the Mayflower Hotel by an outrageously flattering website and recommendation from Condé Nast. What appeared to be an excellent rate for a spacious, well equipped room was in fact a poor deal on the smallest hotel room I've ever set eyes on. The apparently slightly-below-standard-sized double bed reached from the partition separating the sink (in the bedroom, not the bathroom) to the far end of the room, with a very narrow channel separating the only accessible side of the bed from the poorly built, shallow, inadequate wardrobe. The shoe-box feel of the room was compounded by the angled wall at the foot of the bed.Dissatisfied with the room, we were, reluctantly offered another which was marginally bigger - the bed was in this room was only against one wall(!) The usable size of the room (including the bed which felt smaller than a standard double) was roughly 7' square - smaller than some hotel bathrooms! Again, the quality of the furniture was very poor, the blind was torn and frayed along the length of one side. The bathroom was basic, and not well cleaned which may have contributed to the slight unpleasant smell.The noise from the road is almost unbearable, but is marginally more palatable than the shrieking caged birds in the 'juice bar'.Breakfast is included, but isn't a saving grace for this terrible hotel. A small selection of unidentified cereals, foul tea and coffee, and artificial-tasting unidentifed juice was topped only by the croissants which gave the impression they were baked a week previously. I didn't pluck up the courage to try the plates of two very-cheap looking processed meats or dry cheese. Cereal with milk had been spilled on the floor of the breakfast room before we reached it, and was still unattended when we had finished.The staff are less than enthusiastic, an appropriate reflection of the hotel.The hotel's website is entirely misleading, using words such as &quot;spacious comfort&quot;, &quot;luxury&quot;, &quot;state-of-the-art&quot; and &quot;elegant&quot; to describe what would be a step down from the average student halls of residence.	
Oct 13 2009 	Best avoided	A six night stay with payment in advance meant we had to stick with this very average hotel. The standard room pre booked was so small that we could not fit our luggage and the two of us in the same room so a upgrade to the 'Luxury room' was negotiated with difficulty. Cleanliness of the room and houskeeeping standards were poor.Hotel staff were mostly courteous but little enthusiasm was displayed.Take several references in some well known travel guides with a grain of salt.	
Oct 6 2009 	Never ever ever ever stay here - sleeping on the pavement is cleaner	This is a dirty, pretentious hotel with poor facilities and extremely rude staff. When reporting a rat in my room (quite a large one), the reception staff asked me to 'open the balcony door and let it out as there is no porter available'. No restaurant for evening meal and the furniture in the room has signs all over it saying 'damages will be charged for'. Very unwelcoming indeed. The bathroom in my room had mould and i got a splinter from the 'antique effect wooden flooring'. I am not particurlarly fussy, but this hotel really is dreadful.	
Sep 24 2009 	Poor Service	We had a bereavement , the Hotel took all the money for the cancelled room and then booked the room again, taking double money , and leaving a very distressed grieving wife.Their management supported this process.	
Sep 14 2009 	Warning - check the location of your apartment is not on a major road with a noise level to wake the dead.	Booked a one bedroom apt. in good faith having stayed with this hotel on Trebovir Road before. On arrival, taken some distance to &quot;newly refurbished' property with an extremely busy 3 lane road literally metres from the bedroom window. The website has flash pictures of both bathroom and kitchen, however the substance is not there with very poor/dirty/minimal cooking equipment , a significant drainage problem in the shower, and a certainly not new, rock hard bed. Upon expressing our dismay at our location, the staff replied we should have filled out a special request at the time of booking and no, they did not have any other vacancy to relocate us. A done on the cheap renovaton of an older building in a poor location. Avoid.	
Sep 1 2009 	enjoyed our stay	We stayed in Apartment 10 in the apartments on Warwick road. At our late arrival we were shown our apartment by a polite young man. The lobby was lovely and the receptionist informed us that there was a buffet breakfast every day until 9:30. After several steep flights of stairs we arrived. The flights of stairs did not bother us but I can imagine how they could be bad for young children or the elderly. Our apartment was exactly what we needed. It had a fully furnished kitchen, double bed and eating area. Though we went out to eat for most meals, we stayed in a couple times and cooked during our five night stay. The maid service was great. The young women were very friendly and cautious not to disturb. Our only complaints are the following:-no air conditioner (though there is a fan which made the room bareable during the day)-only 1 channel on the tv worked. After midnight there was absolutely nothing to watch.-during breakfast most of the staff are very friendly, unfortunately one guy who worked there made it difficult to enjoy a relaxing breakfast. The first time we walked in he looked at his watch before he said hello, worried we got there after the 9:30 deadline (10:00 on weekends). He pretty much yells at you to get out, warning 5 more minutes to everyone and taking away the food before 9:30! We enjoyed our breakfast only once when it was his day off... This man needs to take his job a little less seriously and put his customers first. Otherwise, we were quite pleased with our stay. Do not expect 5* because it is not a 5* hotel.	
