	Excellent Value for Money!	This hotel is ideally located with Kings Cross Station and underground on your doorstep. You can easily walk from Euston station too as it is a mere 10 minutes along the road. Also note that there is a burger king next to it (makes it a lot easier to find). The rooms itself are lovely and maintained to a very high standard. All rooms come with free tv and internet(via the tv) and each morning you are supplied with a newspaper of your choice which is also a nice touch. The bed's are very comfortable and the shower is excellent. Only slight problem was the heat of the room which was soon solved by asking reception to turn on the air conditioning. They also have a luggage room which is very handy if you have late flight/train. I would definitely recommend this hotel as it also has a Starbucks, Costa and Tesco nearby.	
Nov 21 2009 	Very handy	Great location opposite Kings Cross for us northern types. Shower was the most amazing thing we've seen with jacuzzi built in. Proper coffee machine too. Seemed to be a bargain considering location and extra freebies. Bed was super confortable too!	
Nov 20 2009 	Lovely hotel and ideally located	I stayed with my partner and daughter in this hotel for a long weekend. We were really pleasantly suprised. It was great value for money and ideally located, being almost opposite Kings Cross.We had a family room which was extremely modern and clean. There was internet access via the TV - really useful for checking on places to visit. The restaurant is excellent and great value for money too. I particularly liked the friendly atttitude of all staff and it ahd a warm feel as it was a fairly small sized hotel.I do not normally write reviews but was so impressed, felt that I should!!	
Nov 16 2009 	Perfect for Eurostar	Stayed at Megaro Hotel Friday 13th November. Perfect position for connecting to Eurostar. Rooms excellent, bed super comfy, little noisy at night but you are in London its to be expected. Expresso machine in room but degree needed to operate or i'm just not clever enough. Like previous reviewers small flood. If you need to use Eurostar and want a perfect place to sleep over then the Megaro is for you. Book you rate via hotel booking site, not direct with hotel.	
Nov 9 2009 	Excellent excellent excellent	What a find..thanks Trip Advisor! Superconvenient location across from Kings Cross and St Pancras and the place is so upscale and nice. We got a great weekend rate that included full English Breakfast and it was really fantastic. I never thought I'd find a hotel room in London so conveniently located with all the amenities this place has, but now I won't stay anywhere else. From Kings Cross you can pretty much get anywhere you want to go. Upon leaving we were able to walk across the street, get on the tube to Heathrow with our luggage and ride all the way there for under £3. Priceless :)	
Nov 6 2009 	Hidden gem right across from the tube station.	Luckily I knew ahead of time that this hotel was located next to Burger King or else I may not have found it, but I'm glad I did find it. All hotel staff were friendly and helpful. My room was big by European standards. I had no problems with the wireless keyboard and access to the Internet through the television. I had dinner one night in the hotel's restaurant--it was great!	
Nov 3 2009	Cute  Clean 	We -a family of 2 adults,1 child and 1 infant-spent 4 days in London on our way back from Scotland, we got a good review from trip advisor about the hotel and we booked directly...... wonderfully placed just beside the king's cross tube.It is a clean , beautufully managed hotel and most important the size of the room is quite big (which is very rare in London city)....The hotel is on the main road with full of shops &amp; restaurant....every items in the room are in proper working condition and thoroughly cleaned / serviced.liked the hotel and the location very much.....	
Nov 2 2009 	Great hotel fantastic location	I sat at this hotel at elast once a month as I need to travel to London with work regularly. I now wont stay anywhere else but the Megaro. Its a perfect location and you feel very safe despite being in the hustle and buslte of Kings Cross.Great rooms with very comfy bed. All ameneities needed including TV, great bathroom, etc however no mini bar but there is a newsagent right next door.Last visit I was updgraded free of charge to the tp suite which was very big witha great veiw of London.Great hotel.	
Oct 17 2009 	Great value and convenience for London	Location is very convenient for King's Cross and St Pancras. This hotel is very updated and modern – almost Swedish, with wood floors and glass doors. Bonus for internet thru the TV screen – and check out the tons of CDs you can play thru the TV for music. Refrig in room. Tons of space (we were up on the 6th floor). We got a great 2-day weekend deal that included a full breakfast, which was very good. Security is terrific – everything is behind key access, so it's very safe there.	
Oct 10 2009 	Good hotel reasonably priced - but don't book through Expedia	Very nice hotel, right next to the steps as you come out of tube/station at Kings Cross. Everything in the hotel is modern and clean and the staff were very friendly and helpful. The room was lovely and the shower was great.Colleagues had worried about me staying at Kings Cross as they said it wasn't very safe and I was there as a female alone on a business trip, but with the hotel right at the top of the tube steps, i found it absolutely fine.I was worried that it might be noisy as the hotel is based right on the main road, but the hotel is well soundproofed so i found it fine. if you are super-sensitive to noise, i would ask for a room at the back of the hotel.The only issue i had was with my booking through Expedia. Expedia had quoted a price, which looked like the total but actually didn't include taxes. The only reference they made was to say 'Taxes may or may not be included in total'. This was completely misleading so i was less than happy when i went to check out and the price came to £125 rather than £108 as listed on the Expedia confirmation. I understand that this is not the hotel's fault however, on the hotel's own documentation from Expedia, it is listed much more clearly, but it is an issue they encounter all the time.As a result i have already booked to stay at the hotel again next week - but I have booked directly with the hotel this time and will avoid using Expedia again as they are misleading.	
Oct 7 2009 	A nice little surprise at King's Cross	My husband and I picked this hotel for a three night's stay for its location. We wanted to be on the Northern Line of the Underground so we could easily visit our daughter and son-in-law in Tufnell Park--a few stops away. King's Cross is udnergoing enormous rehab, so it is noisy and busy, but the hotel is an oasis of comfort and quiet. The rooms, although on the small side , are very nice and the beds are really comfortable. The bathroom is roomy and modern--the shower can take a little getting used to but it's fine thereafter. There is a first-floor restaurant and a sweet bar that's open late. Our one complaint is the in-room computer, which uses the television and a wireless keyboard, had problems while we were there. Still, we were very satisfied, especially given the reasonable price.	
