	Just ordinary	I stayed in an individual room at the Meliá White House for one night. I found the hotel just ordinary. The decoration and furnishing are pretentious and a bit dated.The staff at the reception desk were nice and both the chek-in and the check-out were fast. The room was small, if not too much for London standards; however there wasn't even one chair and the only &quot;table&quot; in the room was more of a ledge with legs, barely 25cm deep and placed in a narrow, poorly-lit, aisle-like space (which is awkward for a four-star hotel that claims to be ideal for business travelers; but of course with a chair and a desk the room would have appeared crammed). The TV was big and a bit old. The closet looked a bit shabby. The bed was comfortable. The bathroom was up-to-date but really tiny; not even a shelf for the toilet bag, just the small counter around the sink. Everything was clean enough. There is a coffee and tea kit (inside the closet, as there is no other place to put it).There is something odd about the use of the in-room minibar: an note advises that if the customer uses the minibar to cool his own stuff then he will be charged 15 pounds.No free internet at any area of the hotel. Rate is 15 pounds per 24h.I didn't have breakfast at the hotel; I don'd remember the price but it was in the region of 20 pounds, so I had a good breakfast somewhere nearby (Great Portland St. is just across the street).The hotel is well located but you can find plenty of well located hotels in London at similar or cheaper rates and this one does't add any special value.In brief, it was just fine but there's nothing special about it. I've stayed at nicer hotels in London and would recommend this one only if you get a cheap rate.	
Nov 21 2009 	Standard rooms small noisy and too dark	I get the impression that if you pay to upgrade to a better room this is an OK place to stay. The upgrade is heavily pushed with notices/adverts in the hotel. There is very little space in the standard room and the walls are paper thin so you can hear everything in the next room. The lighting is very gloomy. Otherwise the hotel seems OK but we won't stay there again because, when one of us was taken ill, 3 hotel staff said a doctor could be called but it would cost £175. There was no mention of the NHS until I really pushed them when the nearest hospital A&amp;E was suggested. In the end I called NHS direct myself. We are UK citizens so could work out how to do this but how many foreign visitors end up paying for the &quot;hotel's&quot; doctor because they don't know there could be an alternative? This seems very unfair to me.	
Nov 16 2009 	Very pleasant experience	We stayed in this hotel for 2 nights and had no complaints.We had 2 rooms and both were tastefully decorated well equipped and clean. I would agree that the rooms are small but that is quite common in city centre hotels. Unless one intends to spend a lot of time in the room the space is adequate. In contrast the lobby and bar area are very spacious. I found the staff to be helpful , efficient and non intrusive. The bar is comfortable and well furnished with a good selection of drinks and cocktails but like most hotel bars it is quite pricey. The breakfast buffet has a wide selection of foods on offer and plenty of seating space. Location is good ,near tube and a taxi service outside hotel door. The general area is quiet and it is less than 10 mins walk to Madame Tussauds.	
Nov 14 2009 	Impersonal and disappointing	I have stayed once before several years ago and the hotel felt opulent and a real treat, but this time it felt like a slightly faded impersonal in your face money making machine.It's got a good location, and the breakfast is immense. The room was tiny, and poky but very clean and quiet.	
Nov 9 2009 	Great hotel fantastic location very enjoyable stay!	I stayed here for two nights over a weekend with my partner and my parents. This hotel was perfect for us. The location is fantastic. Only two minutes walk to Great Portland St. tube station and five minutes walk to Regents Park Tube station. Oxford St. is a 15 minute walk or 5 minutes on the bus which you can catch across the road from the hotel. The hotel itself is very clean and tastefully decorated. Rooms are a wee bit small but that's to be expected for London. Staff were very helpful and anything that we needed it was delivered without a problem. Bar in the evening was very relaxing for a drink after a long day with live music every night. Can be quite expensive but if you can get a deal it's well worth it!	
Nov 8 2009 	Great Hotel Great location Few niggles.	My wife and I stayed at this hotel on 7th Nov 2009 for the one night and it was very nice. We upgraded our room to a superior double and although the room was slightly on the small side, it was clean, tidy and what is to be expected when staying at a 4 star hotel.On Saturday night we had a night cap in the hotel bar which was again very nice and of 4 star expectations, however it was very dark in there and they need to light it up a bit more so as the customers can read the drinks menu a little easier. I also was a little disappointed that they did not have any ginger wine for my whisky; I think that being a 4 star hotel in London they should have ginger wine. In the morning breakfast was disappointing. The bacon was well over cooked and the rashers were stuck and clumped together; the breakfast was also cold due to lack of adequate hot plates. I would like to stress this hotel is very nice,of 4 star standard, in a great location and a stones throw away from Portland street tube station. Would definately stay there again.	
Nov 8 2009 	Last minute bargain	We booked this through lastminute.com and got a bit of a bargain. The hotel's website pointed out that the rooms have been soundproofed and having had problems with almost every hotel we've been in over the past months that was music to our ears. When we checked in, without our asking, the receptionist rejigged our booking as the room was going to be noisy. And in the end, the room was lovely and quiet.The only problems were that the tv wasn't much use, and the bathroom light wasn't working properly, but apart from that it was a great bargain. We paif Travelodge prices for a proper old-style lush hotel room.	
Nov 5 2009 	We loved it!	We stayed for one night - 31st October - as visiting the WestEnd. Booked a &quot;secret location&quot; through Lastminute.com and we were delighted with the hotel ( well, for what we saw of it as we only wanted a room) We had paid for a superior deluxe, but upgraded to The Level when we arrived and and got the most enormous bed - it was heaven! Lovely and clean, none of this queing that everyone seems to mention, either booking in or checking out! Great location, easy tube access - would highly recommend and stay again. Just wish we could have stayed longer!	
Nov 4 2009 	Good choice for location budget and quirky bits and bobs	It was OK. Just OK. There were highlights - the quirky lift system, the piped-in aromas, spaciousness, a good-sized bathroom, nice lobby... But the biggest downside were the awful (and I mean TERRIBLE!) pillows, the slow laborious check-in and out and the breakfast that tasted like soap or something. Yuk! I booked through 'secret rooms' on laterooms and it was an interesting place to spend a night, but I am not sure if I could suffer those pillows and not too comfortable beds for more than that. We were upgraded to the next one up from standard, all for £120 a night.	
Nov 2 2009	Try the Crown Plaza Group instead much better value.	Booked Executive room. Great location. The special reception for executive rooms wasn't open, so booked in at front desk. The executive level bar was very nice but no music and no telly so not too inviting to stay for more than half an hour. The bar itself was very limited, wines, red, white and fizzy, and beer. Sodas and juices in abundance but no ice!Breakfast was appalling. No fresh fruit except either five grapes or one kiwi. The cooked food wasn't even remotely warm. The fried egg was so over cooked that it could not be cut in half with the knife provided. Had to ask for more hot water for the coffee because it was so strong.The wonderful Spanish restaurant didn't open Sundays, mind you that was probably just as well considering the cost of the drinks in the bar!!!Altogether, £200 plus for a quite small room - very bad value for money. As I said above, Crown Plaza much better value.	
Oct 31 2009 	Good hotel great location	My partner and I stayed here for one night whilst visiting friends in London. There were no queues to check-in; the lifts however are a bit odd as you select your floor prior to getting into the lift, and only have an open/close door button in the lift! The lobby and restaurant are bright and airy; the bar, bedrooms and corridors are perhaps slightly dated - a lot of dark wood and dark coloured furnishing and carpets. The standard double room was quite small and the bathroom was also poky, but on the whole I was fairly happy with it because of the great location (next to Great Portland Street tube), comfy bed, cleanliness and the quality spread available at breakfast - on Sunday morning we sat reading the papers and were spoilt for choice food-wise. The service was attentive and polite. When we came to leave there was an enormous queue at the reception; as I'd paid I just dumped the keycard and left - but it would have been a pain to queue if there had been a bill to pay. Would go back, but wouldn't prioritise this over other London hotels that I've stayed in; it would be dependent on price (we paid £140 for double with breakfast, which I thought was fair enough for what we got, but wouldn't pay more I don't think).	
