	Great neighbourhood classic hotel	Overall satisfied, the lobby makes you feel in an expensive hotel. The room is perfect, however walls are thin, the neighbours kept knocking on the wall for any small noise from our room. The hotel is huge, and in the morning the breakfast area is totally crowded - the breakfast selection is quite ok.	
Nov 22 2009 	Stop all the moaning - for the price it's fine	Having read some of the moans I here do wonder why some people ever travel.I've stayed here four times. For me the location is great (as others have pointed out) - it's not the best hotel in London but for the price I do think it is great value.Yes - my rooms was chilly and the heating was poor (an old system I guess), I had a problem with my TV but this was rectified by the maintainence man, plus the room probably could do with a refurbishment - but for under £120 per night including breakfast, it's really not that bad.As for having to ring down for more tea bags (as another poster complains) - for goodness sake! - Tesco's and Waitrose are across the road. Go get them yourself.	
Nov 14 2009	disappointing	We recently stayed at this hotel for two nights on a coach holiday with our local coach firm who usually stay at very, very good quality hotels. On this occasion it was a let down, we can only agree with other reviewers negative comments.The rooms were cool with an inefficient heating system which is not fit for purpose i.e it's a large hotel &amp; the system is totally wrong &amp; inadequate. My husband is a highly qualified gas engineer &amp; can usually sort out failing heating probs, not this time. The room we had overlooked the street &amp; boy did we know it. When we first checked in &amp; walked into the room we thought someone had left the window open, the room was cold &amp; the NOISE from the traffic was horrendous. The windows seem to be ill fitting&amp; should be tripled glazed, you could even hear people's conversations in the street! The breakfasts were uninspiring &amp; COLD &amp; at best cool. Of course it's buffet style which is fine providing that they keep the food warm, they don' t&amp; although the plates were in plate warmers like everything else that should provide heat in this hotel they did not.On our first day after 'doing' some retail therapy we looked forward to crashing out in our room with a cuppa before we headed off out to the theatre. Bad move, when we got back late afternoon our room had not been cleaned. All credit to housekeeping they were on the case straight away, however we still of course had to go &amp; sit down in the lobby until it had been done.Check out is at 11o'clock &amp; facilities are provided to leave your luggage until you depart &amp; for this privilege they charge a £1 per bag!!! Now this was a first for us, we have stayed in many London hotels &amp; have never been charged. Our courier was not happy &amp; complained to a manager who said they would refund £1 on any plastic type shopping bags, big deal, I had a small denim shoulder bag &amp; he refused a refund!We logged our complaints with our tour operator &amp; have told them if they feature this hotel again for their London/Theatre weekends we would not book. We could have asked to move rooms as others in the group did but some found they were no better off &amp; to be honest we didn't have time to wait for a room exchange as we were booked on a tight schedule meeting family for meals &amp; the theatre. We would not recommend this hotel.	
Nov 5 2009 	No sound proofing - you won't have a restful stay!	On paper this hotel looks great - close to Natural History Museum, V&amp;A etc and over the road from Gloucester Road tube station but i wouldn't reccomend staying there. The outside of the building looks like a 1970s office block and our room was overlooking a car park and some bins. The room wasn't in any way soundproofing so we unitentionally became very intimate with the couple next door - we head them coughing, burping, using the bathroom and even stirring a cup of tea. After a long day of sightseeing the last hting we needed was to be constantly disturbed by other people's noise. disappointing.	
Nov 2 2009	Perfect Location	The hotel is very close to a tube station with three lines, including one that goes directly to Heathrow. Nearby is a Waitrose (grocery store), Starbucks, Tesco Express, and numerous places to get breakfast (the hotel breakfast is very pricey). The neighborhood is safe and picturesque. The hotel staff was very accomodating. I would definitely stay there again!	
Oct 19 2009 	Below Average	I stayed in this hotel from 15th Oct. 2009 to 18th Oct, 2009. I read the reviews before I went but did not take a lot of notice of then as there are always people who complainbut I regretted I did not take more care.I asked for a quite room and I was given same on the third floor. Room was quite dark in so far as there was no central light, only the lights over the beds. The duvet wasvery light and the room was rather cool. I intended to complain about it the following morning but as reception was busy, I did not do so. The second night I really felt cold and I spoke to reception the following morning. In fairness, they offered to change me to another room but I decided to stay where I was because of the inconvenience. Theybrought blankets to the room and send someone to look at the air conditioning, hense making the room warmer. There was also no toilet brush in the bathroom.I felt that a standard lamp and extra blankets should have been in the room at the start.On the second night I also had to ring housekeeping twice for teabags as we had used then on night one and they were not replaced.Breakfast: I considered this below average. There was juice and fruit, fresh and cannedand cereal, all of which were OK. Bread was the sliced variety for toast and also there was french bread which seemed rather hard to me so I ended up having crossants.The fry smacked of the conveyor belt variety. the fried eggs were cooked in compartments so the did not taste like your traditional fried egg. The first morning I did not have one as they were all gone and not replaced. There were rather large saucages, bacon beans, scrambled eggs and little potato triangles, can't remember the correct name and they were nice. I stayed at the Ramada Jarvis in February and breakfast was cooked so nicely, you felt that the person who cooked it had you in mind. That sence of care was missing at the Millennium. I choose the Millennium because of Glouster Rd Tube station and the convenience to Piccadilly line and the Airport.On our last morning the telephone rang twice at 7.40 a.m. probably a mistake. I got up,had a shower and then the fire alarm went off. We went to breakfast through the fire escape. This was quite disturbing as I believe the hotel was full but I guess unavoidable. I don't think I would choose a Millennium Hotel again.	
Oct 9 2009 	Nice hotel with terrible service	Let me start at the beginning--checkin. I made my reservation with the Millennium chain by phone and asked for a Deluxe room. The person I spoke to told me he would request a large corner room and told me that I should make sure to ask for a non-refurbished room in the new building. When we got there, the receptionist said that our room was on the fourth floor but was not ready, which I expected, as it was in the AM. Then she said she'd found one that was available on the fifth floor, so we took it. It turned out to be a small room in the old building (the old building had smallerrooms with old fashioned sash windows, while the newer buildings had larger rooms with floor to ceiling windows. When I went back to reception to ask for a diiferent room, one that I had seen pictures of and that I had reserved, she told me that all the rooms in the hotel were the same, that there was no old building (which there was, as you could clearly see from the outside). On my way down to her I had seen the larger room in the new building being cleaned, and I told her so. She kept denying that the rooms were different and that there were no rooms she could move me to. I told her that I would be willing to wait for the original room on the fourth floor, if it were one of the larger ones. She then told me that that room would be a downgrade from the 5th floor. I saw from the floor plans that the rooms were the same on both floors, so I asked her how it could be a downgrade if it waqs the one she offered originally? She said something about the decor being different, and when I asked if a downgrade meant a lower rate, she said they couldn't do that because I had already booked the room. As you can see, this woman was just making up lies as she went along. Finally, after getting very angry, I got her to give me another room on the fifth floor in the new building, which was indeed much larger. Throughout all this, she continued to argue and shout at me, having no concept of customer service.Now I am in my room and I notice that the air conditioning did not seem to be working, it was a very warm day and the room was very warm with the AC on. They sent up an engineer who reset everything and told me that the thermostat would show a lower temperature and the room would be cooler in about 15 minutes. An hour later nothing had changed, but we had to go out. When we came back later that evening, I called again, and they sent up another engineer, who told me that this was a cool as it was going to get and made up some strange story about the hotel having to shut off the AC in the evenings because neighbors were complaining about the noise. Mind you, this is a very large hotel taking up most of the entire block..A few days later, the televison was not working, and it took 3 calls before someone came up to fix it. Another day, one of the cleaning staff broke off the towel ring that was attachded to the bathroom sink. She just left ithere on top of the sink and apparently told no one to fix it.I suppose all this can be looked at in a comical way (I was beginning to think I was staying at Fawlty Towers), but it is just a shame that such a lovely hotel (and it really is) is marred by the fact that they seem to have no concept whatsoever of customer service. Not once during all this did anyone apologize or say they were sorry.	
Sep 29 2009 	Clean comfortable convenient	My stay at the Gloucester Millineum was very comfortable and convenient. The staff was helpful and the hotel is conveniently located to the underground as well as plenty of places to eat.	
Sep 26 2009 	Nice Hotel but not nice experience	Great hotel great location very convenient!! But reception staff very rude and helpless!By arrival time a french speaker acent lady didnt looked to my face asked name, credit card and gave my room key for that not realy a big deal. surprisely open room door went straight to toilet what a surprise a diseble toiltet assigned to me, was I didnt felt confortable with that called back requesting room move the same person answered the phone advising me dont having any other room available to be allocated as insisted was told that I was getting more than what I was paying for , what was a rude attitude.	
Sep 25 2009 	Great location and style	Good ambiance and decor. Breakfast buffet not that grand. Ideallly located close to underground and direct line from Heathrow A/port. Great stay.	
Sep 14 2009 	wow what a great hotel!!!!(especialy the concierge)	we stayed here for 4 days in august nice hotel good rooms and a nice hotel bar. close to high st kensington shopping area and short walk to knightsbridge (harrods).check desk was quick even though there was a lot of people there checking in at the same time.But i must say the one person that made our stay that extra special was the concierge called kelvin he was just amazing at his job his knowledge was second to non his smile his attitude to his work was very good.we wanted to go to gordon's ramsey restaurant and tried to make reservation but to no avail (and we did try a month before) but kelvin told us to give him 5 mins and he will see what he can do.He took us to the bar in the hotel and gave us a drink and said he will be back. two mins later he came back and said that he pulled a few and got us a table at 8pm wow.so all i can say we had a great stay all thanks to kelvin the conciergeMrs p	
