	perfect	I was part of a group of 4 couples stayed in this hotel and would recommend it highly.The rooms were a very good size and the location could not have been better less than 5 mins walk to oxford street and bond st tube station.lots of restaurants within walking distance.Staff in hotel were very helpfull and gave us lots of recommendations for restaurants shopping ,sightseeing etc.The hotel had a very relaxed atmosphere away from the hustle and bustle .	
Nov 20 2009 	Very nice hotel in a lovely neighborhood	I just stayed at the Milennium Mayfair for 3 nights while I was in London on business. The room was pretty spacious for London standards. The furnishings were lovely, bathroom well appointed and their service was very good. I was very pleased with the value for what I spent and would definitely stay there again. Mayfair is a gorgeous neighborhood also.	
Nov 9 2009 	Club Tropicana!!! Air conditioning not working!	If you are looking to stay in an air conditioned room, choose another hotel!We stayed last night for my birthday and the air-conditioning did not work at all in our room, no air at all coming from the vents either. The temperature in our room according to the digital display was 27.5 degrees, not at all pleasant to sleep in or get ready for a night out without leaving the room covered in sweat!Requested at 8pm when leaving for dinner that the reception ask an engineer to look at the room while we were out, arrived back to the hotel about 10:30 asked at reception if they had fixed the fault to be told &quot;Gary the engineer was on his way to look at it&quot;. Needless to say I was not going to wait at that time of night for someone to resolve a problem and requested a room change to somewhere much cooler. Gary and the reception staff then showed us another room (which Gary the maintenance engineer couldn't find the light switch in!!!! Hardly reassuring my faith in the hotel maintenance system!!) which at the time seemed cooler although it had been unoccupied. Within 15 minutes we realised that the air-conditioning in this room did not work at all.Reception then offered to change room again, by this time they had truely screwed up what was supposed to be a relaxing weekend away for my birthday and couldn't be bothered to move to another room at about 11:15, so requested to speak to the Duty Manager in the morning.Duty manager responded by saying there was nothing she could do, we had paid our bill and there was no compensation for the fact we didn't get any sleep in what is normally the primary function of a hotel?? Iasked to speak with someone more senior, he told us the same basically that they wouldn't reduce the room rate and thats it!Please think about staying somewhere else unless you want to sleep in a Sauna.4 star, I doubt it, even Travelodge has air-conditioning that works.	
Oct 27 2009 	Best to Us!	This hotel had superb service. Although our friends across the pond can be downright snobby towards Americans, the staff was nothing but friendly and helpful (but not overly so). My husband and I stayed for a week while on our honeymoon in July. Upon arrival, we were given and upgrade to the junior suite. We were thrilled! The room was very spacious and larger than standard American hotels (i.e. Hampton Inn, Hilton). We had a large desk, couch, and separate living area, TV, and king size bed. The bathroom had a large, deep tub featuring &quot;old world&quot; faucets (the shower worked wonderfully as well). Everything was clean and well-kept--not one hair on the towels or sheets. What I like most about the stay was that I felt comfortable everywhere in and around the hotel. Mayfair is one of the wealthiest neighborhoods in London, and it is close to everything! Bond Street or Green Park are the closest tube stations around. There are restaurants everywhere around the hotel, not to mention the 24-7 armed guards guarding the American Embassy next door (check out the HUGE eagle and American flag on top of the Embassy!).What I liked least of the stay was the outrageous internet prices. It was $30 for 15 minutes, and the connection was entirely too slow (think dial up). Nothing was &quot;included&quot; in the stay, but it is a nice room and area in London.	
Oct 27 2009 	Excellent Location Lovely Hotel some areas for improvement	Stayed in this hotel for 3 nights with some friends &amp; overall had a fantastic time. It is located perfectly for Oxford Street. 5 minutes stroll will take you to the heart of the shopping! It is also 5 mins from either Bond St or Green Park tube stations. Gordon Ramsay's Maze is right across the square &amp; there are some lovely cafes just past the embassy. The hotel looks exactly like the photos added by users. The room (classic) was a good size &amp; had a lovely bathroom with a great power shower. The staff in the hotel are all very pleasant. The bar food is excellent. The bed was huge and one of the most comfortable I've ever slept in. The only fault with the room was the lighting - no main light in the main area, only the &quot;hallway&quot; area. This might seem like a small thing, but when you can't see yourself in the mirror to style your hair before going out at night, it gets very annoying. The one area I would rate this hotel poorly on is the Business Centre. The internet is hugely expensive (£5 for 15 mins) and is unreliable. It crashed 6 times in the 15 minute slot I purchased. It would have been very frustrating had I booked the hotel with the intention of working. The only explanation the staff could offer was that there must be alot of traffic and I found them quite unhelpful.Overall I would definitely recommend this hotel.	
Oct 8 2009 	Great location and value!	Overall, we had a great experience with this hotel. The location is amazing - we were close to the underground and all of the activity on Oxford Street. The front desk staff was friendly and helpful with each request. The rooms were beautiful and well-kept, although small, which is pretty standard.	
Oct 8 2009 	Location and Luxury we loved it.	We spent a couple of nights in London to celebrate our 5th wedding anniversary. We booked the Millennium two days before having monitored prices for the top London hotels for weeks before. We got it for €150 a night, down from over €700 a night! When we arrived at the hotel we told them it was our anniversary and they gave us a complimentary upgrade to a superior room over looking the park, which was beautiful.The concierge staff couldn't do enough for you, but if you are heading to London at the weekend and have particular restaurants in mind, book well in advance to avoid disappointment.The hotel's location is excellent, a five minute stroll one direction to Hyde Park and the Serpentine lake where you can have a beer and a bite to eat in the very informal yet cool cafeteria/restaurant. Five minutes in the other direction from the hotel is the shopping paradises of Bond St and Oxford St. Bond St is for the wealthy and the window shoppers, Oxford St for the rest of us mere mortals.In short, we loved this hotel and the area around it and will return to it when we next return to London.	
Oct 1 2009 	good location and pleasant stay	We got a very good price on this hotel for the location - right on Grosvenor Sq and just a few blocks off Oxford Street. Rooms are a good size and everything was very clean. As others have noted, decor is slightly faded but not dirty or bothersome. We had little need to ask for anything of the staff but they were pleasant at check in and out. Hotel is about equidistant from both Marble Arch and Bond St tube stops (about 2-3 blocks each). The area is quiet and very safe at night as there are many embassies right on the square. The hotel has two restaurants and a bar (pricey) but there are many cafes and a few pubs within 1-2 blocks on S Audley or Davies St. We liked Alan's Organic on Weighthouse St. For dinners, we had best luck north of Oxford on James St where there are many options - La Tasca for tapas was best. Selfridges and M&amp;S are right on Oxford and there is a M&amp;S Simply food in the Bond St tube station, which we used to stock up on fruit and waters and such. Would defintely stay here again!	
Sep 26 2009 	Wonderful stay	A real bonus we got a great deal on the room inc buffet breakfast, staff were fab room was fab, Buffet breakfast awesome, nothing was to much trouble. My hubby did his knee in while walking and needed to see a doctor Not a problem the receptionist gave us a hotel card recommended the Dr and off we trotted saw the doc handed over the hotel card, no charge for the visit. I am a Very Happy Punter.	
Sep 15 2009 	Nice breakfast	Stayed here for a night in June. Located in a relatively quiet square in Mayfair, about 15 mins walk from Oxford Street and Piccadilly. Rooms a good size for West End. Breakfast buffet really good	
Aug 28 2009 	The best value in London	I love this place, I have stayed on about 10 different occasions and would 100% recommend it. I don't know about service problems in some reviews (I have always found it fine) and some reviewers have obviously been double charged, but any complaints are way outweighed by the fact that this is a grown up hotel for a good price. On one occasion i was given a room which was a bit smelly, but I was immediately given an alternative when I told the front desk. The beds are great, bathrooms fine, and everything is clean and modern. To me, staff have always been very friendly. I just hope they keep their room prices reasonable (I normally get internet rates). I agree with people who say drinks are expensive and 24hr internet is ridiculous at 20 pounds, but what do you expect? You are in the most expensive part of the most expensive city in the world. If you want a coffee in the nearby coffee house (lovely) you have to take out a small mortgage. All in all I have yet to find better at the price.	
Aug 27 2009 	Great location clean hotel good service.	Mayfair is a great area to stay in, and this hotel is very centrally located to many of the sites in London's West End. The best part of the hotel is the location. Very quiet neighborhood in short walking distance to everything you need. Very easy to get from this hotel to the underground, very close to Hyde Park (where you can get the big red bus tours) and very close to Oxford and Bond streets. Room was on the smaller side (just a standard room) but clean, same with the bathroom. Nice amenities, powerful shower, good housekeeping service all around. Valet, concierge and front desk were all helpful, though it could be crowded in the lobby.The bar was nice, dark woods and a piano..though not very busy. Couple of restaurants in the hotel but we didn't eat in any. Room service wasn't terrible. Internet access was expensive (common in London) but fairly quick. The business center was very helpful. No store in the hotel but one right around the corner so you don't have to raid the mini-bar. Always lot of black cabs waiting around by the valet for when its rainy. We were certainly pleased with this place. I would definitely stay here again and recommend this place, especially if they are running a special and you can get a room for less than $200 (125 gbp) like we did. You can't beat that in Mayfair.	
Aug 22 2009	It was clean well located and had great showers	Ever feel that when you travel to europe, you come back absolutely ready for a good hot shower. Well, that wasn't the case with staying at the Mayfair. It is more of a business hotel, so if you're going only for the party, this probably isn't the place for you. If you're goingt o see the sites, have nice dinners and get normal night's rest, this was perfect. Close to the tube, to the hop on/off buses, Hyde park, Oxford Street, Bond Street - everything. I would stay there again in a heartbeat...	
