	Perky staff. Tired rooms.	Staff are great. They're the best thing about the hotel now. I've stayed here a few times when on business in London. On my previous visit I changed rooms because the room I was assigned wasn't up to scratch. This time, on booking, I reminded reservations that I hadn't been impressed on my previous visit expecting that I might get a better room this time around. It was basic, tired and shabby. Lumpy pillows. Poorly ordered room. Hand held shower. It felt and looked more like an upscale hostel. It's a pity, because it used to be great.	
Nov 24 2009 	Excellent Hotel - Stylish Clean and Comfortable Room	We stayed at MyHotel Bloomsbury when we went on a theatre break, the hotel was excellent, really clean and contemporary, the room was bigger than the last hotel we stayed at and the bed was a proper double and really comfortable. I marked down one point for service as we weren't told the bar had a private party on that evening so we went back and found we couldn't go in for a drink and had we been told then we would have changed our plans slightly after the show. Value wise for us to be honest it was excellent as it was at a reduced rate due to us having booked the theatre package.	
Nov 23 2009 	Excellent location spotlessly clean 	For my partner's birthday we decided to have a 'stay-cation' weekend in London and we picked myHotel because of it central location and its east-west fusion theme. I've previously stayed at this hotel for a business trip and I think it hotel has struck the perfect balance for both business/leisure customers. It's ideally located right next to Soho, Oxford Street, Covent garden making it the perfect place for our stay as we wanted to goto a few restaurants, bars and also do some shopping. The room we had was on the top floor and the view was very nice, we even saw the 1000 day olympics countdown at the BT tower from our window. The room was spotlessly clean and the trendy decor matches the style of the boutique hotel. The bed was big and comfy, I think it was one of the most relaxing deep sleep I had for a long time.The fitness room was slightly on the small side but was quiet and sufficient. The library was one of my favourite areas of the hotel. You can go there to surf the internet, read a book/magazine or just sit down on one of the comfy chairs and relax over a cup of coffee/tea.The staff were friendly, always smiling, had good attention to details and willing to go the extra mile. We had a few requests made through the reception and they were all met very quickly. Also on the day of us checking out we were (a few minutes) late for our breakfast and while most other hotels I've been to would have turned us away the staff at myHotel were very understanding and were happy to let us in... no hesitation, no attitude, no pulling faces, just smiles and warm welcomes.I've stayed at this hotel for both business &amp; leisure purposes and I'd highly recommend this hotel for both.	
Nov 16 2009 	A friendly hotel	A friendly and courteous staff welcomed us on arrival. The room was well equiped and clean. Location was ideal for all facilities and quiet considering we were just off of Tottenham Court Road!!The breakfast room was a little small for the amount of guests but the breakfast was of a good quality.	
Nov 10 2009 	Comfy bed good breakfast but some shortcomings in the bathroom.	We'd hoped to stay again at the Radisson Grafton, but it was full so we chose this hotel as we wanted to be in this area of London.We liked: the location was perfect for us; our corner room was a decent size with a very comfy bed; there was a good choice of food at breakfast; the staff were very friendly; we dropped our bags off early and when we returned that evening they had already been taken to our room. Considering the central location we did not find it noisy, and even with the windows closed it was not too hot, as London hotels often are.We didn't like: the bath was very slow to drain which meant standing up to your ankles in water when taking a shower; you had to work out the knack of flushing the toilet as the handle was slightly loose; I used the shampoo and shower gel on the first morning and these were not replaced for the following day; we asked a member of reception staff for directions to the nearest bus stop and were directed to a stop which would have taken us in the opposite direction - we needed to be on a different street.The bar was a pleasant place for a drink, but a little cramped for serving breakfast.This is not a bad hotel at all, but it's not particularly cheap and I didn't feel it offered great value for money.	
Nov 9 2009 	Very pleasant but a bit old hat.	Been four times and were growing accustomed. Very convenient, not bad value and no hassle. But there are now so many of these types of small hotels about that it has lost some momentum and enthusiasm. Would recommend it to those who have not done boutique hotels and want something which is smartish but with none of the baroque cumbersome clutter of big trad hotels nor boring and predictably modern.	
Oct 10 2009 	Good location 	Very convenient location, the rooms are good - spacious and nicely decorated.	
Oct 3 2009 	Worst night of sleep - ever!	We have stayed in many hotels over the years and plenty of average ones. We thought My Hotel would have been a safe bet as we have stayed at the one in Brighton and it was great, we were however dissapointed. On walking into our 'Standard Room' it felt more like a backpackers than a 'Boutique Hotel'. Tiny room, no double glazing and the windows didn't even close properly so you can imagine the noise on Tottenham Court Road on a Friday night and Saturday morning! The blinds were set 6&quot; back from the window so we may as well have slept with the lights on. Hotel staff did offer to show us other standard rooms but suggested paying to upgrade to superior if we weren't happy, clearly £145 is not enough for a decent room. It was my girlfriends Birthday on the Saturday and needless to say after a terrible night of sleep it was a disaster, if you want to sleep while in London avoid this hotel.	
Sep 27 2009 	well located but not quiet given on Tottenham Court Road	A lovely well-located hotel in the heart of London. Staff were great in the bar that evening. However, the outside noise is bad (although unsurpising). shame there was little soudn proffing between rooms either as I was woken by next doors wake up call as if it was in my own room. Unfortunately upon getting up I found out that my TV or main light did not work. While it was efficiently fixed, disappointing that I had to have sorted in the first place	
Jul 27 2009 	Good services small (single) room perfect for business or quick stay.	Lowkey laidback small hotel with helpful but unobtrusive staff. Nice small bar. Didn't check out the gym. Small comfortable library with free internet terminals, plentiful newspapers, mineral water fridge and excellent coffee machine. Small but comfortable single room with tea/coffee maker, trendy magazines, plasma TV, modern bathroom with adequate toiletries. Great location minutes walk from Covent Garden and theatre district. Close to a leafy square, and large supermarket. Would recommend for solo, business or weekend break travellers.	
Jul 13 2009 	Style over Substance	At first glance this hotel looks stylish and classy and indeed it is once inside.However the room itself was decidedly spartan and lacking a 4* feel.While the bed was firm and supportive the pillows were soft and decidedly unsupportive.The bathroom was small,the shower awkward and the supply of toiletries niggardly.Although beautifully clean and tidy the furniture was in need of painting as it looked tired.We felt that the hotel merited a 3* instead of a 4*:it seemed that the effort went into providing a basic service at a costly charge.	
Jul 7 2009 	Comfortable and good location	I was sent here from a nearby hotel which had overbooked. The staff were unobtrusive but perfectly friendly; I only stayed one night and did not eat at the hotel so I'm not sure about the service in the restaurant or bar. The room was small but adequate and the bed was very comfortable. Everything was spotlessly clean and the shower was powerful and hot. The room was painted maroon, which does show every chip but otherwise it was stylish, with loads of storage. It was very close to the tube and the British museum. Although I think I paid the (lower) price I would have paid at the hotel which had overbooked I did think it was reasonable value for this standard of hotel room in this part of London. I might well use the hotel again for a special occasion.	
May 21 2009 	Great hotel small room	Try and avoid room 408. A VERY small room and for the price charged, not worth the money. Having said that it was clean. Staff very friendly, quite efficient, but what on earth posessed them to buy those black chairs in the bar/restaurant. They wobble when you sit on them. Dirch them I say and get something comfortable. I guess it's called modern or funky. Sorry, to me they just don't work. Reception staff efficient, but they did not go out of there way to make us feel welcome.	
