	Amazing view! Great location! Friendly service!	Stayed over in this hotel before heading off to Paris on the Eurostar for our honeymoon! I'll be honest - we were on a bit of a budget and this was the cheapest 4* hotel I could find within walking distance of St Pancras - I was not expecting much at all. The staff were very friendly when we checked in, and the hotel was very clean and well presented. Our bed was HUGE and very comfortable indeed, BUT THE REALLY AMAZING THING WAS THE VIEW!!! We were on the 14th floor with a direct view out over the London Eye. The way that the hotel is organised means that pretty much all of the rooms have brilliant views out over London, we had not booked a special room or been upgraded at all. Excellent value for money - and a wonderful start to a wonderful holiday!	
Nov 24 2009 	Nice location nice room	I stayed for 4 nights at this hotel.This hotel is so close to King's cross station, and it is very easy to access many places in London.We used Eurostar to go to Paris, so it really helped.The hotel looks older than it's website(it's not a surprising thing), but it is clean and comfortable enough, considering the rate of this hotel(Off course, it's not cheap, but it's in London, anyway..).The room is very spacy(we stayed 2 singlebedd room) and clean.And the breakfast is very nice.I would recommend this hotel.	
Nov 18 2009 	Great base for everywhere in London	Very handy for Euston Station - clean, modern rooms, great bath and shower - £14.99 for 24 hour internet and movie package. Great breakfast buffet - although no ramp entrance - had to lift luggage up the stairs. Quick check-in/check-out.	
Nov 17 2009 	......okay but lacked some polish.....and someone had been smoking in there.	We stayed at the Novotel because of its proximity to the Eurostar station, and it was very convenient for this reason. Our room, an Executive, was spacious and mostly quite clean. However, there were some details that were a bit disconcerting: the sink did not drain properly, taking about 5-10 minutes to empty, the desk lightbulb was burnt out, the shower leaked water all over the floor, not enough toilet paper, only one pair of slippers, no face cloths. Some of these items were given to us upon asking, but it appeared that the room had not been inspected after the last occupants. There was also a distinct smell of cigarette smoke in the room, though it was not terribly noticeable after being in the room for a time ..... still, it was bothersome upon entering. Even with all these things, we were quite comfortable, and the central location of the hotel made it seem okay.	
Nov 15 2009 	Eurostar getaway	We decided to stay at the Novotel London St Pancras for a Saturday night in Oct 09 - with the choice being made purely for it's proximity to the Eurostar terminal.  We were not disappointed as the hotel is about a mere 400 metre walk to the station, which helped our journey to Paris off to a super smooth start. The room was very large (for London) and had everything that one could want - TV, mini bar, great shower etc. Beds were very comfortable and the room was quiet (despite overlooking Euston Rd). Staff were friendly enough - I had a few laughs with the cockney receptionist at 5am - it was nice to find a Londoner working in London. The only slight disappointment was when we wanted to leave some luggage overnight. They said it was not possible and that there was a left luggage depot at St Pancras. Fair enough I suppose, but I have been to numerous hotels were this request has been accommodated so I know it's not impossible.It's often said there are two types of hotels in London - cheap or clean. The Novotel London St Pancras is clean and an ideal hotel for a Eurostar trip.	
Nov 14 2009 	Noisy and inefficient booking procedure	If using this hotel I would suggest you request - insist on a room at the back of the hotel on a high floor. We were placed in a smoking room on the first floor - despite requesting a non-smoking room. It stank and they claimed they had no other room available. But beware worse than the smell were the sirens - ambulance we think - that continually sound all night. I even resorted to buying ear plugs but still could hear them all night. Worse noisy room I have ever experienced.	
Nov 2 2009 	Great hotel for a weekend in London!	Arrived at St Pancras for a 1 night stay. Hotel was very easy to find and very impressive to look at. Stayed in a room on the 9th floor, with a great view of London and the London Eye. Had to keep the window closed as Euston Road is very busy and noisy, but this didin't bother us. Beds were very comfy, and plenty of channels tgo choose from on the TV. Breakfast was very good, one of the best I have had in a London hotel. Quite expensive but free for kids, so that made it good value for us. Just accoss the road was a Pizza Express and a Starbucks so didn't need to venture far for lunch. Lots of buses take you all over London, and only a 5 minute walk from Euston or Kings Cross tube stations. Will definitely stay again.	
Nov 1 2009 	Great Location and good value.	My wife and I stayed here overnight prior to travelling by Eurostar. The location is excellent - convenient for Underground and both Euston and Kings Cross main-line stations. Staff were friendly and efficient, and the room was spacious, with good quality furniture and fittings. It was a bit pricey - £130, excluding breakfast, and that was the no-frills, no-refunds rate, but I'd recommend, particularly if you are travelling by Eurostar the next day.Re comments from other reviewers, the lifts were all working when we were there, but were quite slow. Our room was to the back, so while the view wasn't great - we had no problems at all with noise.	
Oct 30 2009	Not up to standard ...	I‘ve stayed at a few Novotels in different parts of the world in recent months and hold an Accor frequent guest card. I have to say, though, that the Novotel – St. Pancras really doesn‘t match up to the others.We were planning a long weekend vacation and after a great deal of investigation selected the Novotel St. Pancras based on a combination of location, facilities, price and past experience of the chain.Booking about two months in advance we got a good prepaid rate of GBP 128 (USD 210) per night including breakfast and taxes for a twin room. We arrived on Friday 23 October about 30 minutes before the advertised earliest check-in time of 14:00 and were received without question. The process was efficient and we were quickly on our way to the elevator.The room was on the small side, particularly when compared to Novotels in other countries, but then this is London where anything larger than a broom cupboard is a bonus! But, the fixtures and fitting did rather leave something to be desired.Only one chair was provided, which doubled for the desk and as an easy chair – surely an oversight for a twin-bedded room? The desk was clearly intended only to be that – no mirror was provided for make-up and hair. And why, or why, do so many hotels insist on glass topped desks, without providing a mouse-pad? A mini-bar contained a small selection of soft drinks and beers but provided hardly any cooling. The complimentary tea &amp; coffee facilities were barely adequate, but we had brought our own supplies. TV, movies and Internet were available individually, or in a “special offer“ package at GBP 14,99 for 24 hours, probably about the going rate. The bottom of three drawers in the wardrobe could not be opened as it fouled the door frame, reducing space to a bare minimum. Coat hangers were provided, but no skirt hangers – despite apparently sincere attempts by housekeeping to locate some. The bathroom was small, but by no means the smallest I have seen in London – reasonable shelf space and a combined bath / shower. Amenities were minimal – soap, conditioning shampoo, shower gel. Why have so many hotels stopped providing separate shampoo and conditioner? No shower cap, no body lotion ... and no face cloths, the first Novotel in which I have stayed where the latter are not provided!We had a mid-afternoon snack on room service shortly after our arrival – promptly delivered, of good quality and reasonably priced, so no complaints there. We ate breakfast on our first and last days, and it was substantial – a wide selection and very well presented. The queue on the Sunday morning was simply too long, so we ate elsewhere. We didn‘t otherwise use the dining facilities. A compact but well equipped gym is provided and includes a sauna and a steam-bath; kudos here!One of the three elevators was out of action for much of our stay which resulted in some rather lengthy waits at peak times.We requested a late check-out and were offered this complimentary until 16:00 which was a little too early for us; I willing paid a charge for a 18:00 check out which was smooth and efficient.Overall, I felt that I was in a 2-3 star hotel rather than a 4 star. The location is good – taxis are easy to find, and there are a multiplicity of Underground lines at Kings Cross / St. Pancras and at Euston, the hotel being roughly equidistant between the two.But, next time I shall pay more and stay at a genuine 4 star hotel !	
Oct 30 2009 	Smart and adequate	Does a good job with the limited space in a London hotel. Rooms efficient and compact but not over roomy like many U.S. hotels. Was on a lower floor - late night noise from pub next door. Go higher and away from corner with Chalton St.	
Oct 20 2009 	Ideal for an early Eurostar departure	We stayed here for a night before taking an early Eurostar train to Paris and would do so again. Novotels seem to be pretty reliable - clean, comfortable, spacious and good value if you take their pre-paid rate offer, as we did. They gave us three rooms for our party of 7, with 2 interconnecting as we had requested, although they won't allocate rooms until you arrive, so we did take a chance that the'd be able to do this for us.The location is great for St Pancras/King's Cross, but is also not too far from the British Museum, British Library, Bloomsbury, so there is plenty to do if you are staying longer, although some way from the West End.My onyl gripe would be that the rooms on the front of the hotel overlooking Euston Road aren't too well insulated against sound, so traffic noise will be a problem for you if you are a light sleeper. there did seem to be rooms to the rear of the hotel so it may be worth asking for one of those.	
